dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-28 19:45:38,Alfa_Romeo_145_Schrott/_bastler,privat,Offer,80,control,Other,2000,manuell,0,145,150000,Jan,Gasoline,alfa_romeo,Other,2016-03-28 00:00:00,24351,2016-03-30 11:18:44,2016,2016,March,March,2,11,16,11
2016-03-09 12:55:34,Alfa_156_SW_2_4_Diesel_175_PS_Facelift_Progressive,privat,Offer,750,control,Other,2016,manuell,175,Other,150000,Sep,Other,alfa_romeo,Other,2016-03-09 00:00:00,37603,2016-03-13 00:17:29,2016,2016,March,March,4,0,0,3
2016-04-05 11:50:16,Alfa__87000km,privat,Offer,3490,test,Other,2005,Unspecified,0,Other,90000,Jan,Gasoline,alfa_romeo,Other,2016-04-05 00:00:00,74889,2016-04-05 11:50:16,2016,2016,April,April,0,11,11,11
2016-03-10 23:53:29,Alfa_romeo_156,privat,Offer,500,test,Other,2000,manuell,150,156,150000,Jan,Other,alfa_romeo,Other,2016-03-10 00:00:00,51069,2016-03-11 19:49:26,2016,2016,March,March,1,19,16,11
2016-03-16 12:47:14,Verkaufe_mein_gelieben_alfa,privat,Offer,300,test,Other,2000,manuell,120,156,150000,Jan,Gasoline,alfa_romeo,Other,2016-03-16 00:00:00,39638,2016-03-21 12:46:19,2016,2016,March,March,5,12,16,11
2016-03-22 13:57:17,Alfa_Romeo_GT_1750_Sprint_Bertone_Prospekt,privat,Offer,0,control,Other,1980,Unspecified,0,andere,5000,Jan,Other,alfa_romeo,Other,2016-03-22 00:00:00,70197,2016-04-06 02:46:35,2016,2016,March,March,15,2,36,11
2016-04-02 15:46:04,Alfa_Romeo_T.Spark_156,privat,Offer,290,test,Other,2016,manuell,155,156,150000,Oct,Other,alfa_romeo,No,2016-04-02 00:00:00,56349,2016-04-05 20:15:27,2016,2016,April,April,3,20,0,2
2016-04-05 10:50:12,Alfa_Lancia_Romeo_164_3.0L_V6,privat,Offer,350,control,Other,1990,manuell,184,andere,150000,Nov,Gasoline,alfa_romeo,Other,2016-04-05 00:00:00,14621,2016-04-07 14:56:12,2016,2016,April,April,2,14,26,1
2016-03-21 00:58:23,Suche_guenstiges_Auto_mit_TÜV,privat,Offer,0,test,Other,1910,Unspecified,0,Other,150000,Jan,Other,alfa_romeo,Other,2016-03-21 00:00:00,35083,2016-03-25 02:17:12,2016,2016,March,March,4,2,106,11
2016-04-04 05:36:21,Alfa_Romeo_147_1.6_Liter_mit_120_PS,privat,Offer,620,control,Other,2016,manuell,120,147,150000,Jan,Gasoline,alfa_romeo,Other,2016-04-04 00:00:00,49074,2016-04-04 09:41:12,2016,2016,April,April,0,9,0,11
2016-03-05 15:59:26,Alfa_romeo_156_sitze,privat,Offer,15,control,Other,2005,Unspecified,0,156,100000,Jan,Other,alfa_romeo,Other,2016-03-05 00:00:00,44651,2016-04-05 15:17:06,2016,2016,March,March,31,15,11,11
2016-03-26 11:58:10,Unfall_Auto_alfa_rome_146,privat,Offer,200,control,Other,1995,Unspecified,0,andere,150000,Jan,Other,alfa_romeo,Other,2016-03-26 00:00:00,83064,2016-03-27 23:47:37,2016,2016,March,March,1,23,21,11
2016-03-19 09:45:46,Alfa_Romeo_147_zum_Entnehmen_von_Teilen,privat,Offer,990,test,Other,2005,Unspecified,105,147,150000,Jan,Gasoline,alfa_romeo,Yes,2016-03-19 00:00:00,97688,2016-04-06 08:15:18,2016,2016,March,March,18,8,11,11
2016-03-06 08:37:20,Alfa_Romeo_147,privat,Offer,3200,test,Other,2016,manuell,120,147,100000,Jan,Gasoline,alfa_romeo,Other,2016-03-06 00:00:00,40489,2016-04-06 01:16:39,2016,2016,March,March,31,1,0,11
2016-03-23 18:38:37,Alfa_Romeo_147,privat,Offer,0,test,Other,2016,Unspecified,0,147,150000,Jul,Gasoline,alfa_romeo,Other,2016-03-23 00:00:00,49733,2016-04-05 23:15:49,2016,2016,March,March,13,23,0,5
