dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-18 10:43:02,Alfa_Romeo_147_156_2_0_l_selespeed_Schlachtfest,privat,Offer,1,control,andere,2001,automatik,150,147,150000,Nov,Gasoline,alfa_romeo,Other,2016-03-18 00:00:00,44139,2016-04-05 22:16:24,2016,2016,March,March,18,22,15,1
2016-03-19 11:59:21,Alfa_Romeo_147_1.6_Twin_Spark,privat,Offer,1500,test,andere,2003,manuell,120,147,150000,Sep,Gasoline,alfa_romeo,No,2016-03-19 00:00:00,37359,2016-04-06 16:16:39,2016,2016,March,March,18,16,13,3
2016-03-26 21:47:22,Alfa_Romeo_147_JTDm_M_JET_16V_140PS_Fahrwerk_17_Zoll_4trg.,privat,Offer,2250,control,andere,2004,manuell,140,147,150000,Mar,Diesel,alfa_romeo,No,2016-03-26 00:00:00,36043,2016-03-26 21:47:22,2016,2016,March,March,0,21,12,9
2016-03-28 18:54:47,Alfa_Romeo_147___1_6_Pb.,privat,Offer,2099,control,andere,2003,manuell,105,147,125000,Oct,Gasoline,alfa_romeo,No,2016-03-28 00:00:00,81379,2016-03-28 18:54:47,2016,2016,March,March,0,18,13,2
2016-03-20 11:50:59,Alfa_Romeo_146,privat,Offer,500,test,andere,2000,manuell,0,andere,150000,Jan,Gasoline,alfa_romeo,Other,2016-03-20 00:00:00,4509,2016-04-06 10:16:24,2016,2016,March,March,17,10,16,11
2016-03-18 01:58:02,Alfa_Romeo,privat,Offer,850,control,andere,2002,Unspecified,120,147,150000,Jun,Gasoline,alfa_romeo,No,2016-03-18 00:00:00,80636,2016-03-21 06:47:49,2016,2016,March,March,3,6,14,6
2016-03-07 19:54:24,Alfa_Romeo_147_Twin_Spark,privat,Offer,1100,control,andere,2001,manuell,105,147,150000,Jul,Gasoline,alfa_romeo,No,2016-03-07 00:00:00,58579,2016-03-07 19:54:24,2016,2016,March,March,0,19,15,5
2016-03-26 20:53:49,Alfa_Romeo_156_zum_Ausschlachten_ohne_Tuev.,privat,Offer,350,control,andere,1999,manuell,0,156,150000,Nov,Gasoline,alfa_romeo,Yes,2016-03-26 00:00:00,87743,2016-04-06 12:17:57,2016,2016,March,March,11,12,17,1
2016-03-15 16:45:28,Alfa_Romeo_GT_2.0_JTS_Distinctive_SLSPD____NUR_TEILE!!!!!,privat,Offer,0,control,andere,2006,automatik,166,andere,100000,Apr,Gasoline,alfa_romeo,No,2016-03-15 00:00:00,44339,2016-03-15 16:45:28,2016,2016,March,March,0,16,10,8
2016-03-11 21:55:11,Zum_Verkauf_steht_ein_Alfa_Romeo_147,privat,Offer,800,test,andere,2003,manuell,104,147,150000,Nov,Diesel,alfa_romeo,Yes,2016-03-11 00:00:00,74544,2016-03-30 00:15:38,2016,2016,March,March,19,0,13,1
2016-03-08 18:43:30,Kaufe_ihr_Auto_an_zahle_bis_500_Euro_mit_TÜV,privat,Offer,500,test,andere,1995,manuell,100,145,100000,Feb,Gasoline,alfa_romeo,No,2016-03-08 00:00:00,66606,2016-03-12 03:45:39,2016,2016,March,March,4,3,21,10
2016-04-01 15:47:53,Alfa_Romeo,privat,Offer,1600,test,andere,2001,manuell,0,andere,80000,May,Other,alfa_romeo,No,2016-04-01 00:00:00,66113,2016-04-07 13:17:58,2016,2016,April,April,6,13,15,7
