dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-17 23:37:39,Alfa_Romeo_147_2_0_16_v,privat,Offer,1850,control,kleinwagen,2002,manuell,150,147,125000,Aug,Gasoline,alfa_romeo,Other,2016-03-17 00:00:00,38226,2016-04-05 21:16:02,2016,2016,March,March,19,21,14,4
2016-03-10 14:47:34,Muss_dringend_weg_Alfa_147_1_6_ts_Eco_105_tkm,privat,Offer,1399,test,kleinwagen,2001,manuell,105,147,125000,Feb,Gasoline,alfa_romeo,No,2016-03-10 00:00:00,7546,2016-03-11 14:48:13,2016,2016,March,March,1,14,15,10
2016-03-14 18:58:13,Alfa_147_jtd_16v_multijet_zu_verkaufen,privat,Offer,3700,test,kleinwagen,2007,manuell,150,147,150000,Jun,Diesel,alfa_romeo,Yes,2016-03-14 00:00:00,51688,2016-04-06 03:17:05,2016,2016,March,March,23,3,9,6
2016-04-04 14:39:09,Alfa_145_Leder_Klima_Vollaustattung,privat,Offer,600,test,kleinwagen,1998,manuell,140,145,150000,Jan,Gasoline,alfa_romeo,Other,2016-04-04 00:00:00,34314,2016-04-06 15:46:04,2016,2016,April,April,2,15,18,11
2016-04-05 11:53:53,Alfa_Romeo_147_1.6_Twin_Spark_ECO_Distinctive,privat,Offer,1950,test,kleinwagen,2001,manuell,105,147,150000,Feb,Gasoline,alfa_romeo,No,2016-04-05 00:00:00,35287,2016-04-05 12:44:07,2016,2016,April,April,0,12,15,10
2016-04-04 13:50:21,Unfallwagen_Alfa_147_2.0ts_bj_2003,privat,Offer,350,control,kleinwagen,2003,manuell,150,147,150000,Mar,Gasoline,alfa_romeo,Yes,2016-04-04 00:00:00,45661,2016-04-06 15:16:29,2016,2016,April,April,2,15,13,9
2016-03-20 20:43:52,Alfa_Romeo_Mito_1.4_16V_Turismo,privat,Offer,5600,test,kleinwagen,2009,manuell,95,andere,80000,Aug,Gasoline,alfa_romeo,No,2016-03-20 00:00:00,63075,2016-03-23 07:16:15,2016,2016,March,March,3,7,7,4
2016-03-31 18:49:57,Alfa_145_zu_Verkaufen,privat,Offer,400,control,kleinwagen,1997,manuell,0,145,150000,Nov,Gasoline,alfa_romeo,Yes,2016-03-31 00:00:00,74842,2016-04-06 12:46:35,2016,2016,March,March,6,12,19,1
2016-03-24 13:49:02,Alfa_Romeo_146_1_6_l_TS_70tkm_schwarz_klima....,privat,Offer,333,control,kleinwagen,1999,manuell,120,145,70000,Feb,Gasoline,alfa_romeo,No,2016-03-24 00:00:00,6648,2016-04-01 08:46:40,2016,2016,March,March,8,8,17,10
2016-04-03 10:38:34,Alfa_Romeo147_JTD,privat,Offer,2050,control,kleinwagen,2003,manuell,116,147,150000,Mar,Diesel,alfa_romeo,Other,2016-04-03 00:00:00,29585,2016-04-03 10:38:34,2016,2016,April,April,0,10,13,9
2016-03-28 20:51:02,Alfa_Romeo_145_1_6L_Boxer___Bastler/Teiletraeger,privat,Offer,600,control,kleinwagen,1996,manuell,103,145,100000,Aug,Gasoline,alfa_romeo,No,2016-03-28 00:00:00,24217,2016-04-07 03:44:34,2016,2016,March,March,10,3,20,4
2016-03-24 17:37:34,Alfa_Romeo_Rot_zu_verkaufen,privat,Offer,2000,control,kleinwagen,2003,manuell,110,147,150000,May,Gasoline,alfa_romeo,No,2016-03-24 00:00:00,82449,2016-04-07 10:17:21,2016,2016,March,March,14,10,13,7
2016-03-06 19:48:01,Alfa_Romeo,privat,Offer,700,control,kleinwagen,2003,manuell,0,147,150000,May,Diesel,alfa_romeo,Other,2016-03-06 00:00:00,79713,2016-03-17 15:44:26,2016,2016,March,March,11,15,13,7
2016-03-28 20:58:46,Alfa_Romeo_Sud,privat,Offer,1100,control,kleinwagen,1979,manuell,68,andere,80000,Apr,Gasoline,alfa_romeo,Yes,2016-03-28 00:00:00,29690,2016-04-07 03:45:06,2016,2016,March,March,10,3,37,8
2016-03-25 16:56:52,Alfa_Romeo_147_Selespeed_mit_150PS_Automatik,privat,Offer,1150,control,kleinwagen,2001,automatik,150,147,150000,Nov,Gasoline,alfa_romeo,No,2016-03-25 00:00:00,21640,2016-04-02 21:49:06,2016,2016,March,March,8,21,15,1
2016-03-05 14:19:28,Alfa_Romeo_Mito_1.4_16V_Getriebe_neu_/_8_fach_bereift,privat,Offer,4800,test,kleinwagen,2009,manuell,79,andere,150000,Jun,Gasoline,alfa_romeo,No,2016-03-04 00:00:00,63225,2016-04-06 03:17:10,2016,2016,March,March,33,3,7,6
