dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-01 22:39:35,muss_dringend_weg_!!!_2_mal_Alfa_romeo_156_Zu_Verkaufen,privat,Offer,250,test,kombi,2000,manuell,155,156,150000,Jan,Gasoline,alfa_romeo,Yes,2016-04-01 00:00:00,8396,2016-04-05 20:18:14,2016,2016,April,April,4,20,16,11
2016-03-25 11:51:45,Alfa_Romeo_156_JTS_2.0_16V_Kombi_TÜV!leder_VOLLAUSSTATTUNG/Klima/,privat,Offer,1900,test,kombi,2002,manuell,166,156,150000,Nov,Gasoline,alfa_romeo,No,2016-03-25 00:00:00,23552,2016-04-06 12:44:55,2016,2016,March,March,12,12,14,1
2016-03-31 14:51:19,Alfa_Romeo_159_Sportwagon_mit_ti_Paket,privat,Offer,7250,control,kombi,2007,manuell,150,159,150000,Jul,Diesel,alfa_romeo,No,2016-03-31 00:00:00,79426,2016-04-06 08:16:56,2016,2016,March,March,6,8,9,5
2016-03-27 10:56:54,Alfa_Romeo_159_Sportwagon_1.9_JTDM_16V_DPF_Automatik_Di...,privat,Offer,4500,control,kombi,2007,automatik,150,159,150000,Apr,Diesel,alfa_romeo,No,2016-03-27 00:00:00,82418,2016-03-30 15:18:07,2016,2016,March,March,3,15,9,8
2016-03-20 16:45:02,Alfa_Romeo_156_Sportwagon_1.8_Twin_Spark,privat,Offer,600,test,kombi,2001,manuell,140,156,150000,Apr,Lpg,alfa_romeo,No,2016-03-20 00:00:00,45884,2016-03-23 00:45:47,2016,2016,March,March,3,0,15,8
2016-03-22 11:54:28,Alfa_Romeo_156_1.9_JTD__rote_Volleder_Ausstattung!_150PS,privat,Offer,4100,control,kombi,2003,manuell,150,156,150000,Jul,Diesel,alfa_romeo,No,2016-03-22 00:00:00,59320,2016-04-06 00:46:38,2016,2016,March,March,15,0,13,5
2016-03-12 23:37:37,Alfa_Romeo_159_SW_2_4_JTD_Xenon__voll,privat,Offer,4980,control,kombi,2006,manuell,200,159,150000,Jul,Other,alfa_romeo,Yes,2016-03-12 00:00:00,16515,2016-03-31 19:17:30,2016,2016,March,March,19,19,10,5
2016-03-28 18:46:25,Alfa_Romeo_156,privat,Offer,1400,control,kombi,2000,manuell,150,156,150000,Jul,Gasoline,alfa_romeo,Other,2016-03-28 00:00:00,53940,2016-04-07 00:45:57,2016,2016,March,March,10,0,16,5
2016-03-29 20:48:14,Alfa_Romeo_156_Sportwagon_2.0_Twin_Spark,privat,Offer,700,test,kombi,2000,manuell,155,156,150000,Sep,Gasoline,alfa_romeo,Yes,2016-03-29 00:00:00,82024,2016-04-06 07:17:05,2016,2016,March,March,8,7,16,3
2016-03-09 16:36:18,Verkaufe__mein_Alfa_Romeo__Kombi,privat,Offer,2000,test,kombi,2001,manuell,155,156,150000,Mar,Gasoline,alfa_romeo,No,2016-03-09 00:00:00,72415,2016-03-15 21:16:24,2016,2016,March,March,6,21,15,9
