dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-10 18:39:50,A3_2.0_TDI_Ambition,privat,Offer,2900,test,andere,2003,Unspecified,0,a3,150000,Oct,Diesel,audi,No,2016-03-10 00:00:00,97996,2016-03-10 18:39:50,2016,2016,March,March,0,18,13,2
2016-03-27 03:02:04,Audi_A3_2.0_FSI_Ambiente,privat,Offer,4990,test,andere,2003,manuell,150,a3,150000,Sep,Gasoline,audi,No,2016-03-27 00:00:00,74676,2016-03-30 14:46:54,2016,2016,March,March,3,14,13,3
2016-03-24 09:46:49,Audi_a3_1.6,privat,Offer,2999,control,andere,2003,manuell,102,a3,150000,Sep,Other,audi,Other,2016-03-24 00:00:00,69181,2016-03-28 17:45:29,2016,2016,March,March,4,17,13,3
2016-03-26 19:49:59,Audi_A2_90_PS_Akoyasilber_Klimaautomatik,privat,Offer,5250,control,andere,2004,manuell,90,a2,150000,Sep,Diesel,audi,No,2016-03-26 00:00:00,63263,2016-04-06 21:44:49,2016,2016,March,March,11,21,12,3
2016-03-19 11:49:43,Audi_A3_1.8T_Ambition__Kupplung_und_Turbo_fast_neu,privat,Offer,2200,test,andere,2001,manuell,150,a3,150000,Oct,Gasoline,audi,No,2016-03-19 00:00:00,75446,2016-03-20 13:44:50,2016,2016,March,March,1,13,15,2
2016-03-15 21:56:31,AUDI_A2_1_4_TDI_Klimaautomatik,privat,Offer,3750,control,andere,2001,manuell,75,a2,150000,Nov,Diesel,audi,No,2016-03-15 00:00:00,85072,2016-03-16 20:48:44,2016,2016,March,March,1,20,15,1
2016-03-10 17:47:30,Schlachte_oder_verkaufe_Audi_a3_8l,privat,Offer,0,control,andere,1996,manuell,0,a3,150000,Nov,Gasoline,audi,No,2016-03-10 00:00:00,94315,2016-04-05 19:45:03,2016,2016,March,March,26,19,20,1
2016-03-16 19:06:18,Audi_A_2_TDI,privat,Offer,2900,control,andere,2004,manuell,75,a2,150000,Nov,Diesel,audi,Other,2016-03-16 00:00:00,56072,2016-03-16 19:06:18,2016,2016,March,March,0,19,12,1
2016-03-14 16:42:45,Audi_A3_2.0_TFSI_Quattro,privat,Offer,6500,test,andere,2004,manuell,200,a3,150000,Sep,Gasoline,audi,No,2016-03-14 00:00:00,89160,2016-04-05 20:45:51,2016,2016,March,March,22,20,12,3
2016-03-09 13:47:05,Audi_A3_1_9_TDI_top_Zustand,privat,Offer,3900,control,andere,2001,manuell,130,a3,20000,Jun,Diesel,audi,No,2016-03-09 00:00:00,81925,2016-03-12 11:44:18,2016,2016,March,March,3,11,15,6
