dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-10 11:56:39,Audi_A2_Top_92500_km_Klima_eFH_ESP_ASR_Alukarosserie,privat,Offer,4150,test,bus,2001,manuell,75,a2,100000,Feb,Gasoline,audi,No,2016-03-10 00:00:00,38239,2016-03-12 01:16:59,2016,2016,March,March,2,1,15,10
2016-03-09 11:38:02,Audi_a_4_.......,privat,Offer,1000,test,bus,1995,automatik,0,Other,150000,Jun,Gasoline,audi,Other,2016-03-09 00:00:00,75015,2016-04-05 14:45:57,2016,2016,March,March,27,14,21,6
2016-03-23 18:43:44,Audi_Avant_A6,privat,Offer,2200,test,bus,2001,manuell,158,a6,150000,May,Diesel,audi,No,2016-03-23 00:00:00,76726,2016-03-25 02:44:22,2016,2016,March,March,2,2,15,7
2016-03-10 17:47:42,Audi_A2_1.4_TDI,privat,Offer,3800,control,bus,2001,manuell,75,a2,150000,Jun,Diesel,audi,No,2016-03-10 00:00:00,92637,2016-03-12 23:15:59,2016,2016,March,March,2,23,15,6
2016-03-07 16:59:04,Sehr_gepflegter_Audi_A2_1.4,privat,Offer,5000,control,bus,2001,manuell,75,a2,150000,Jan,Gasoline,audi,No,2016-03-07 00:00:00,37115,2016-03-13 02:46:51,2016,2016,March,March,6,2,15,11
2016-03-29 19:50:38,Audi_A4_kombi_lpg_1.8,privat,Offer,1200,control,bus,1997,manuell,125,a4,150000,Jan,Lpg,audi,No,2016-03-29 00:00:00,90411,2016-03-29 19:50:38,2016,2016,March,March,0,19,19,11
2016-04-03 20:56:34,Audi_A2__1_4TDI__75PS__an_Bastler/Liebhaber/Aufkaeufer,privat,Offer,2500,test,bus,2002,manuell,75,a2,150000,Nov,Diesel,audi,Yes,2016-04-03 00:00:00,48282,2016-04-05 21:47:24,2016,2016,April,April,2,21,14,1
2016-03-10 17:49:33,Top_gepflegter_A2_zu_verkaufen.,privat,Offer,3500,control,bus,2001,manuell,75,a2,150000,Jun,Diesel,audi,No,2016-03-10 00:00:00,92637,2016-04-05 19:45:51,2016,2016,March,March,26,19,15,6
2016-03-12 21:51:03,AUDI_A2_Klima__Sitzheizung__Anhaengerkupplung__Bose__1_6_FSI,privat,Offer,4300,control,bus,2002,manuell,110,a2,125000,Nov,Gasoline,audi,No,2016-03-12 00:00:00,61350,2016-03-17 23:16:32,2016,2016,March,March,5,23,14,1
2016-03-29 13:59:34,Audi_A4_benzin_2.0_multitronic,privat,Offer,7200,control,bus,2005,manuell,131,Other,150000,Jan,Gasoline,audi,Other,2016-03-29 00:00:00,90491,2016-04-05 23:47:07,2016,2016,March,March,7,23,11,11
