dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-01 22:55:34,Audi_Cabriolet_Typ_89_2.0L,privat,Offer,4800,test,cabrio,1996,manuell,116,80,150000,Jun,Gasoline,audi,No,2016-04-01 00:00:00,38300,2016-04-05 23:46:14,2016,2016,April,April,4,23,20,6
2016-03-19 10:54:59,Audi_A4_Cabriolet_3.0,privat,Offer,5299,test,cabrio,2002,manuell,220,a4,150000,Apr,Gasoline,audi,No,2016-03-19 00:00:00,80999,2016-04-02 14:46:07,2016,2016,March,March,14,14,14,8
2016-03-21 12:56:08,Audi_A5_Cabrio_3.0_TDI_DPF_quattro_S_tronic,privat,Offer,20500,control,cabrio,2009,automatik,239,a5,150000,Apr,Diesel,audi,No,2016-03-21 00:00:00,83735,2016-04-06 07:45:39,2016,2016,March,March,16,7,7,8
2016-03-25 11:50:46,Audi_A4_Cabriolet_2.4,privat,Offer,7450,test,cabrio,2003,automatik,170,a4,150000,Mar,Gasoline,audi,No,2016-03-25 00:00:00,76756,2016-04-06 12:44:54,2016,2016,March,March,12,12,13,9
2016-03-08 12:47:47,Audi_S4_Cabriolet_tiptronic,privat,Offer,17000,test,cabrio,2008,automatik,344,andere,125000,Apr,Gasoline,audi,No,2016-03-08 00:00:00,22880,2016-03-08 19:21:27,2016,2016,March,March,0,19,8,8
2016-04-03 18:41:09,Audi_TT_Roadster_1.8_T,privat,Offer,6100,control,cabrio,2002,manuell,150,tt,150000,May,Gasoline,audi,No,2016-04-03 00:00:00,97729,2016-04-05 18:46:27,2016,2016,April,April,2,18,14,7
2016-03-12 13:53:31,Audi_A4_Cabriolet_1.8_T,privat,Offer,10500,control,cabrio,2005,automatik,163,a4,100000,Jul,Gasoline,audi,No,2016-03-12 00:00:00,71083,2016-04-06 19:17:55,2016,2016,March,March,25,19,11,5
2016-03-11 09:50:16,Audi_A4_Cabriolet_1.8_T,privat,Offer,7660,control,cabrio,2004,manuell,163,a4,150000,Jun,Gasoline,audi,No,2016-03-11 00:00:00,1619,2016-04-06 21:47:37,2016,2016,March,March,26,21,12,6
2016-03-26 09:39:02,Audi_A4_Cabriolet_1.8T_multitronic_S_line,privat,Offer,12690,control,cabrio,2007,automatik,163,a4,100000,Mar,Gasoline,audi,No,2016-03-26 00:00:00,13189,2016-03-27 21:16:00,2016,2016,March,March,1,21,9,9
2016-04-01 13:37:53,Audi_A3_Cabriolet_1.9_TDI_DPF,privat,Offer,11900,test,cabrio,2008,manuell,105,a3,150000,Apr,Diesel,audi,No,2016-04-01 00:00:00,22083,2016-04-07 11:17:51,2016,2016,April,April,6,11,8,8
2016-04-01 21:55:23,Audi_TT_Roadster_1.8_T_1a_Zustand,privat,Offer,7950,test,cabrio,2002,manuell,179,tt,125000,Apr,Gasoline,audi,No,2016-04-01 00:00:00,32049,2016-04-01 22:43:46,2016,2016,April,April,0,22,14,8
2016-03-22 19:36:26,Audi_A3_Cabriolet_1.8_TFSI_S_tronic_Ambition,privat,Offer,20600,test,cabrio,2011,automatik,160,a3,60000,Mar,Gasoline,audi,No,2016-03-22 00:00:00,85435,2016-04-06 14:17:08,2016,2016,March,March,15,14,5,9
2016-03-22 18:40:32,Audi_A4_Cabrio__Top_Zustand__wie_neue.,privat,Offer,8200,control,cabrio,2003,manuell,170,a4,150000,Feb,Gasoline,audi,Other,2016-03-22 00:00:00,88267,2016-04-06 10:16:17,2016,2016,March,March,15,10,13,10
2016-03-07 17:44:25,Audi_Cabriolet_2.0,privat,Offer,4250,test,cabrio,1996,manuell,116,andere,150000,May,Gasoline,audi,No,2016-03-07 00:00:00,21449,2016-03-13 03:15:21,2016,2016,March,March,6,3,20,7
2016-04-01 16:55:01,Audi_TT_Roadster_1_8_T,privat,Offer,10250,control,cabrio,2004,manuell,150,tt,80000,May,Gasoline,audi,No,2016-04-01 00:00:00,59348,2016-04-05 12:17:41,2016,2016,April,April,4,12,12,7
2016-03-09 20:55:23,Audi_TT_1_8T_Cabrio_S__Line_Klimaautomatik,privat,Offer,4500,test,cabrio,2000,manuell,180,tt,150000,Jun,Gasoline,audi,No,2016-03-09 00:00:00,33332,2016-03-10 17:45:24,2016,2016,March,March,1,17,16,6
2016-04-04 20:52:18,Audi_A4_cabriolet_2_4l__170_PS,privat,Offer,8990,control,cabrio,2003,manuell,170,andere,150000,Mar,Gasoline,audi,No,2016-04-04 00:00:00,94234,2016-04-06 23:17:58,2016,2016,April,April,2,23,13,9
2016-03-23 05:36:34,Audi_Cabrio_2_6_V6_ohne_TÜV,privat,Offer,3500,test,cabrio,2000,manuell,150,80,150000,May,Gasoline,audi,No,2016-03-23 00:00:00,19399,2016-04-07 04:46:24,2016,2016,March,March,15,4,16,7
2016-03-30 21:55:51,Audi_A4_Cabriolet_2.5_TDI,privat,Offer,6990,test,cabrio,2004,manuell,163,a4,150000,Jan,Diesel,audi,No,2016-03-30 00:00:00,10115,2016-04-05 13:16:13,2016,2016,March,March,6,13,12,11
2016-03-16 14:49:18,Audi_80_Cabrio_v6_2.6,privat,Offer,1800,test,cabrio,1997,manuell,150,80,150000,Jun,Gasoline,audi,No,2016-03-16 00:00:00,45886,2016-03-16 14:49:18,2016,2016,March,March,0,14,19,6
2016-03-12 09:14:42,Audi_TT_Roadster_1.8_TFSI_NAVI_XENON_SITZHZ,privat,Offer,18700,control,cabrio,2009,manuell,160,tt,70000,Apr,Gasoline,audi,No,2016-03-10 00:00:00,57627,2016-04-06 12:45:08,2016,2016,March,March,27,12,7,8
2016-04-02 17:01:21,Audi_A3_Cabriolet_2.0_TDI_DPF_Attraction,privat,Offer,16950,control,cabrio,2009,manuell,140,a3,90000,Jul,Diesel,audi,No,2016-04-02 00:00:00,73230,2016-04-06 16:46:09,2016,2016,April,April,4,16,7,5
2016-03-06 16:52:06,Audi_A4_Cabriolet_1.8_T,privat,Offer,8600,test,cabrio,2004,manuell,163,a4,125000,May,Gasoline,audi,No,2016-03-06 00:00:00,36093,2016-04-06 22:15:33,2016,2016,March,March,31,22,12,7
2016-04-03 19:46:30,Audi_TT_Roadster_1.8_T,privat,Offer,6500,test,cabrio,1999,manuell,179,tt,150000,Nov,Gasoline,audi,No,2016-04-03 00:00:00,45128,2016-04-03 19:46:30,2016,2016,April,April,0,19,17,1
2016-03-16 20:45:07,Audi_TT_Roadster_1.8TFSI_*Navigation_Plus_Xenon_Alcantara/Leder*,privat,Offer,20750,control,cabrio,2012,manuell,160,andere,70000,Jun,Gasoline,audi,Other,2016-03-16 00:00:00,53809,2016-03-16 20:45:07,2016,2016,March,March,0,20,4,6
2016-04-02 11:57:21,Audi_A4_Cabriolet_1.8_T_S_Line__Navi__Xenon__Bose,privat,Offer,17700,test,cabrio,2009,manuell,163,a4,100000,Jan,Gasoline,audi,No,2016-04-02 00:00:00,74336,2016-04-06 10:17:33,2016,2016,April,April,4,10,7,11
2016-03-08 11:54:25,Audi_80_Cabriolet__Showcar_Scenefahrzeug_Oldschool_RS,privat,Offer,4900,control,cabrio,1992,manuell,133,andere,150000,Aug,Gasoline,audi,No,2016-03-08 00:00:00,73430,2016-03-16 22:17:32,2016,2016,March,March,8,22,24,4
2016-03-28 14:42:57,"Audi_A4_Cabrio_3.0TDI_quattro_S_Line_19""_F1_Schaltung",privat,Offer,14299,test,cabrio,2006,automatik,232,a4,100000,Apr,Diesel,audi,No,2016-03-28 00:00:00,3149,2016-04-06 18:19:31,2016,2016,March,March,9,18,10,8
2016-04-03 22:42:00,Audi_A4_Cabriolet_1.8_T,privat,Offer,13333,control,cabrio,2006,manuell,163,a4,125000,Jun,Gasoline,audi,No,2016-04-03 00:00:00,87600,2016-04-05 23:44:55,2016,2016,April,April,2,23,10,6
2016-04-01 11:48:03,Audi_Cabriolet_2.6__E_,privat,Offer,4600,test,cabrio,1995,automatik,150,andere,150000,Jul,Gasoline,audi,No,2016-04-01 00:00:00,13503,2016-04-07 08:17:12,2016,2016,April,April,6,8,21,5
2016-03-17 11:46:09,Super_gepflegtes_Audi_Cabrio_1.8T_//Sommer__und_Garagenfahrzeug,privat,Offer,11499,control,cabrio,2005,manuell,163,a4,90000,May,Gasoline,audi,No,2016-03-17 00:00:00,63477,2016-04-06 11:16:41,2016,2016,March,March,20,11,11,7
2016-04-02 11:45:24,einzigartiges__schwarzes_80er_Cabrio_mit_braunem_Leder,privat,Offer,3300,test,cabrio,1994,manuell,115,80,150000,Mar,Gasoline,audi,No,2016-04-02 00:00:00,92289,2016-04-03 11:41:13,2016,2016,April,April,1,11,22,9
2016-03-27 20:50:38,Audi_80_Cabriolet_Bj_1997,privat,Offer,3200,control,cabrio,1997,manuell,125,80,150000,May,Gasoline,audi,No,2016-03-27 00:00:00,37085,2016-04-03 19:45:35,2016,2016,March,March,7,19,19,7
2016-03-06 06:36:19,Audi_Cabrio_/_Alles_gemacht_/_Verdeck__Reifen_NEU,privat,Offer,6499,control,cabrio,1996,manuell,115,80,150000,Nov,Gasoline,audi,No,2016-03-06 00:00:00,83064,2016-04-06 01:46:31,2016,2016,March,March,31,1,20,1
2016-03-05 22:55:17,Audi_80_2.3_133PS_Cabrio_5_Zylinder_Teilleder_RS2_Look_Wertanlage,privat,Offer,2499,control,cabrio,1992,manuell,133,80,150000,Jun,Gasoline,audi,Other,2016-03-05 00:00:00,57076,2016-03-27 14:18:46,2016,2016,March,March,22,14,24,6
2016-03-12 12:55:52,A4_Cabrio_2_4_/_Top_Zustand_/_76806km,privat,Offer,9900,test,cabrio,2002,manuell,170,a4,80000,Apr,Gasoline,audi,No,2016-03-12 00:00:00,76756,2016-03-29 23:17:21,2016,2016,March,March,17,23,14,8
2016-04-02 12:48:41,Audi_A4_Cabriolet_1.8_T_Vollausstattung,privat,Offer,11999,test,cabrio,2004,manuell,163,a4,150000,Jul,Gasoline,audi,No,2016-04-02 00:00:00,48161,2016-04-06 10:46:51,2016,2016,April,April,4,10,12,5
2016-03-11 18:58:47,Audi_TT_roadster_8N_feuerroter_Sommerflitzer,privat,Offer,3000,test,cabrio,2000,manuell,180,tt,150000,Apr,Gasoline,audi,No,2016-03-11 00:00:00,84384,2016-03-12 09:46:29,2016,2016,March,March,1,9,16,8
2016-03-16 19:56:28,Audi_A4_Cabriolet_1.8_T__S_line_sport__Leder__Xenon,privat,Offer,17480,test,cabrio,2007,manuell,163,a4,40000,Jun,Gasoline,audi,No,2016-03-16 00:00:00,40489,2016-04-07 06:45:37,2016,2016,March,March,22,6,9,6
2016-03-23 19:50:03,Audi_TT_Roadster_2.0_TFSI_S_Line_Navi_Bose_Tempomat,privat,Offer,18900,control,cabrio,2010,manuell,200,tt,80000,Feb,Gasoline,audi,No,2016-03-23 00:00:00,41517,2016-04-06 01:15:45,2016,2016,March,March,14,1,6,10
2016-04-02 16:06:23,Audi_TT_Roadster_1.8_T__S_line__Sonderfarbe,privat,Offer,9950,control,cabrio,2003,manuell,179,tt,80000,Oct,Gasoline,audi,No,2016-04-02 00:00:00,65760,2016-04-05 22:18:14,2016,2016,April,April,3,22,13,2
2016-03-09 21:46:58,Audi_80_Cabrio_2_3,privat,Offer,2800,test,cabrio,1992,manuell,133,80,150000,Aug,Gasoline,audi,No,2016-03-09 00:00:00,59174,2016-03-19 04:46:50,2016,2016,March,March,10,4,24,4
2016-03-15 00:55:36,Audi_Cabrio_2.8_v_6_Leder_alu_Klima_el_Verdeck_usw,privat,Offer,1990,test,cabrio,1997,manuell,170,80,150000,Jul,Gasoline,audi,Other,2016-03-14 00:00:00,82211,2016-03-26 05:47:09,2016,2016,March,March,12,5,19,5
2016-03-18 01:57:45,Audi_A4_Cabriolet_1.8T___BOSE_/_XENON_/_19_ZOLL_/_LPG,privat,Offer,7499,control,cabrio,2003,manuell,163,a4,150000,Jun,Lpg,audi,No,2016-03-18 00:00:00,23968,2016-03-29 12:17:49,2016,2016,March,March,11,12,13,6
2016-03-08 13:49:24,Audi_80_cabrio,privat,Offer,3450,control,cabrio,1994,manuell,160,80,150000,Jan,Gasoline,audi,Other,2016-03-08 00:00:00,58285,2016-03-22 09:15:20,2016,2016,March,March,14,9,22,11
2016-04-02 11:57:45,Verkaufe_A3_Cabrio/_Ambition_Euro_5,privat,Offer,19800,test,cabrio,2012,manuell,140,a3,80000,Mar,Diesel,audi,No,2016-04-02 00:00:00,66538,2016-04-02 12:40:55,2016,2016,April,April,0,12,4,9
2016-03-20 11:44:11,AUDI_A5_TID_CABRIO_LEASINGÜBERNAHME_//_647___noch_24_Monate_//,privat,Offer,647,test,cabrio,2015,automatik,190,a5,30000,May,Diesel,audi,No,2016-03-20 00:00:00,33619,2016-03-20 11:44:11,2016,2016,March,March,0,11,1,7
2016-04-01 15:54:40,Audi_A4_Cabriolet_1.8_T,privat,Offer,13500,test,cabrio,2006,manuell,163,a4,60000,May,Gasoline,audi,No,2016-04-01 00:00:00,31311,2016-04-07 14:32:06,2016,2016,April,April,6,14,10,7
2016-03-26 16:18:08,Audi_A4_Cabriolet_1.8_T_nur_85.400_km,privat,Offer,8200,test,cabrio,2003,manuell,163,a4,90000,May,Gasoline,audi,No,2016-03-25 00:00:00,65510,2016-04-05 00:15:50,2016,2016,March,March,11,0,13,7
2016-03-31 22:57:55,Audi_A4_Cabrio_2.4_V6_Top_gepflegt_3.Wagen!!,privat,Offer,9350,test,cabrio,2003,manuell,170,a4,90000,Mar,Gasoline,audi,No,2016-03-31 00:00:00,58706,2016-04-01 02:42:05,2016,2016,March,March,1,2,13,9
2016-03-31 11:58:30,Audi_TT_Roadster_1.8_T,privat,Offer,6900,control,cabrio,2001,manuell,150,tt,125000,May,Gasoline,audi,No,2016-03-31 00:00:00,42499,2016-04-06 04:46:49,2016,2016,March,March,6,4,15,7
2016-03-31 08:32:43,Audi_A4_Cabriolet_2.4,privat,Offer,6900,test,cabrio,2003,manuell,170,a4,150000,Oct,Gasoline,audi,No,2016-03-31 00:00:00,57234,2016-03-31 12:46:54,2016,2016,March,March,0,12,13,2
2016-03-20 13:36:58,Audi_TT_Roadster_2.0_TFSI,privat,Offer,15000,test,cabrio,2008,manuell,200,tt,100000,Mar,Gasoline,audi,No,2016-03-20 00:00:00,82140,2016-04-06 14:18:18,2016,2016,March,March,17,14,8,9
2016-03-21 07:37:03,Audi_80_Cabrio_es_umbau,privat,Offer,6000,control,cabrio,1996,manuell,150,andere,150000,Mar,Gasoline,audi,No,2016-03-21 00:00:00,15345,2016-04-05 22:45:34,2016,2016,March,March,15,22,20,9
2016-04-01 16:55:02,Audi_A4_2_5Lliter_Diesel_Cabrio_Multitronic_silber/dunkelblau,privat,Offer,7500,control,cabrio,2004,automatik,163,a4,150000,Feb,Diesel,audi,No,2016-04-01 00:00:00,84140,2016-04-05 12:17:38,2016,2016,April,April,4,12,12,10
2016-03-28 13:56:22,Audi_Cabrio__B4___2_0E,privat,Offer,3100,test,cabrio,1997,manuell,115,andere,150000,Apr,Gasoline,audi,Other,2016-03-28 00:00:00,49152,2016-04-06 17:46:00,2016,2016,March,March,9,17,19,8
2016-03-09 22:56:47,Audi_A3_Cabriolet_1.8_TFSI_Attraction,privat,Offer,14900,test,cabrio,2009,manuell,160,a3,80000,Apr,Gasoline,audi,No,2016-03-09 00:00:00,25479,2016-03-23 13:16:00,2016,2016,March,March,14,13,7,8
2016-03-26 02:48:58,Audi_TT_Roadster_1.8_T,privat,Offer,5900,test,cabrio,2000,manuell,179,tt,150000,May,Gasoline,audi,No,2016-03-25 00:00:00,32584,2016-04-05 15:45:46,2016,2016,March,March,11,15,16,7
2016-03-30 17:50:33,Audi_A4_Cabriolet_2.4,privat,Offer,4200,control,cabrio,2002,automatik,170,a4,150000,May,Gasoline,audi,Yes,2016-03-30 00:00:00,60486,2016-04-07 12:16:16,2016,2016,March,March,8,12,14,7
2016-03-22 11:58:50,Audi_A3_Cabriolet_1.8_TFSI_S_Line_Sportpaket,privat,Offer,19900,control,cabrio,2011,manuell,160,a3,30000,Nov,Gasoline,audi,No,2016-03-22 00:00:00,99195,2016-04-06 00:46:24,2016,2016,March,March,15,0,5,1
2016-03-22 19:48:24,Audi_TT_Roadster_2.0_TFSI,privat,Offer,14500,test,cabrio,2007,manuell,200,tt,100000,Jun,Gasoline,audi,No,2016-03-22 00:00:00,92237,2016-04-06 13:15:54,2016,2016,March,March,15,13,9,6
2016-03-17 20:45:08,Audi_Cabriolet_1.9_TDI,privat,Offer,3700,control,cabrio,1995,manuell,90,andere,150000,Oct,Diesel,audi,No,2016-03-17 00:00:00,92224,2016-04-07 09:16:42,2016,2016,March,March,21,9,21,2
2016-03-09 15:47:29,Audi_A5_Cabrio_1.8_TFSI_2_Hd_SCHECKHEFT_LEDER_ALU_PDC,privat,Offer,17900,control,cabrio,2011,manuell,160,a5,150000,Mar,Gasoline,audi,No,2016-03-09 00:00:00,52477,2016-04-07 01:15:40,2016,2016,March,March,29,1,5,9
