dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-14 20:37:41,Audi_A6_2_5_TDi_Quattro_Avant_Automatic__Turbo__Kombi__132_KW__2_,privat,Offer,5900,control,kombi,2005,automatik,178,a6,150000,Jan,Diesel,audi,No,2016-03-14 00:00:00,88131,2016-04-06 07:17:00,2016,2016,March,March,23,7,11,11
2016-03-14 12:46:46,Audi_A4_b5_Avant_TÜV_10/17,privat,Offer,1500,test,kombi,1996,manuell,126,a4,150000,Jan,Other,audi,No,2016-03-14 00:00:00,24873,2016-03-17 00:45:29,2016,2016,March,March,3,0,20,11
2016-03-29 07:56:29,Audi_A6_Avant_2_5tdi*Navi*Automatik*Euro4*,privat,Offer,4000,test,kombi,2003,automatik,163,a6,150000,Jun,Diesel,audi,No,2016-03-29 00:00:00,22525,2016-03-31 01:47:16,2016,2016,March,March,2,1,13,6
2016-03-10 18:45:59,Audi_A6_Avant_2.5_TDI_quattro_S_line,privat,Offer,3700,test,kombi,2003,automatik,179,a6,150000,Nov,Diesel,audi,No,2016-03-10 00:00:00,64846,2016-03-13 00:16:56,2016,2016,March,March,3,0,13,1
2016-03-08 09:56:53,A3_2.0_TDI_Sportback_DPF_quattro,privat,Offer,3200,control,kombi,2006,Unspecified,0,a3,150000,Nov,Diesel,audi,No,2016-03-08 00:00:00,41748,2016-03-08 09:56:53,2016,2016,March,March,0,9,10,1
2016-04-01 18:45:45,Audi_A6_Avant_2.7_TDI_DPF_multitronic,privat,Offer,12999,control,kombi,2008,automatik,179,a6,150000,Aug,Diesel,audi,No,2016-04-01 00:00:00,25551,2016-04-05 14:18:28,2016,2016,April,April,4,14,8,4
2016-03-27 23:48:09,"Audi_A3_2.0_TDI_Sportback_DPF_S_tronic_Navi_Xenon_19""",privat,Offer,12899,test,kombi,2009,automatik,140,a3,150000,Sep,Diesel,audi,No,2016-03-27 00:00:00,51109,2016-04-06 02:15:20,2016,2016,March,March,10,2,7,3
2016-03-16 15:47:36,A6_Avant_Quattro,privat,Offer,1000,test,kombi,1999,manuell,165,a6,150000,Jan,Other,audi,Other,2016-03-16 00:00:00,50181,2016-04-06 17:46:17,2016,2016,March,March,21,17,17,11
2016-04-04 10:53:57,Audi_A6_Avant_2.5_TDI_TÜV_10.2017,privat,Offer,3250,control,kombi,2003,manuell,163,a6,150000,Apr,Diesel,audi,No,2016-04-04 00:00:00,40789,2016-04-06 12:17:40,2016,2016,April,April,2,12,13,8
2016-03-16 03:03:22,Audi_A6_Avant_2.5_TDI_GRÜNE_Plakette_VOLL,privat,Offer,3999,test,kombi,2004,automatik,163,a6,150000,Mar,Diesel,audi,No,2016-03-16 00:00:00,18442,2016-04-05 23:16:34,2016,2016,March,March,20,23,12,9
