dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-25 19:44:06,Audi_A8_3.0_TDI_quattro,privat,Offer,7499,test,limousine,2004,automatik,232,a8,150000,Mar,Diesel,audi,Yes,2016-03-25 00:00:00,71711,2016-04-07 01:44:24,2016,2016,March,March,13,1,12,9
2016-03-23 11:53:21,A4_Diesel_Leder_Top___NAVI,privat,Offer,2400,test,limousine,2003,manuell,0,a4,150000,Sep,Diesel,audi,Other,2016-03-23 00:00:00,40210,2016-03-23 11:53:21,2016,2016,March,March,0,11,13,3
2016-03-15 17:41:31,Audi_A4_B5_1_6_Liter,privat,Offer,499,control,limousine,1995,manuell,101,a4,150000,May,Gasoline,audi,Other,2016-03-15 00:00:00,85414,2016-03-22 20:48:22,2016,2016,March,March,7,20,21,7
2016-04-01 09:54:39,Audi_a4_2.5_TDI_Tausch_moeglich,privat,Offer,6500,test,limousine,2004,manuell,163,a4,150000,Apr,Diesel,audi,Other,2016-04-01 00:00:00,97450,2016-04-01 09:54:39,2016,2016,April,April,0,9,12,8
2016-03-27 20:51:23,Audi_80_5_Zylinder_b4_liebhaberfahrzeug,privat,Offer,1450,control,limousine,1992,manuell,136,Other,150000,Jan,Other,audi,No,2016-03-27 00:00:00,38709,2016-04-05 20:17:31,2016,2016,March,March,9,20,24,11
2016-03-30 22:51:56,Audi_80_1.8_in_tadellosem_Zustand._Erst_71.000_km!,privat,Offer,2790,control,limousine,1992,manuell,90,80,80000,Mar,Gasoline,audi,No,2016-03-30 00:00:00,1219,2016-04-05 15:46:38,2016,2016,March,March,6,15,24,9
2016-03-21 15:43:25,Audi_A3_1.8_Ambiente,privat,Offer,1250,control,limousine,1996,manuell,125,a3,150000,Sep,Gasoline,audi,No,2016-03-21 00:00:00,63811,2016-03-30 01:18:23,2016,2016,March,March,9,1,20,3
2016-04-03 11:59:39,Audi_A6_2.0_TDI_DPF_multitronic,privat,Offer,9800,control,limousine,2008,automatik,140,a6,150000,Oct,Diesel,audi,No,2016-04-03 00:00:00,48249,2016-04-03 11:59:39,2016,2016,April,April,0,11,8,2
2016-03-12 07:26:49,Tausche_Youngtimer_Audi_80_mit_knapp_62000_km,privat,Offer,1,test,limousine,1990,manuell,90,80,70000,Jun,Gasoline,audi,No,2016-03-11 00:00:00,55122,2016-03-26 23:15:49,2016,2016,March,March,15,23,26,6
2016-04-01 19:54:05,Audi_A3_2.0_TDI_Sportback_DPF,privat,Offer,7950,control,limousine,2008,manuell,140,a3,150000,Oct,Diesel,audi,No,2016-04-01 00:00:00,26419,2016-04-01 19:54:05,2016,2016,April,April,0,19,8,2
2016-04-03 15:49:38,Audi_A6_4B_4_2_V8,privat,Offer,6250,test,limousine,2003,Unspecified,299,a6,150000,Mar,Gasoline,audi,Other,2016-04-03 00:00:00,49733,2016-04-05 15:16:12,2016,2016,April,April,2,15,13,9
2016-03-20 23:45:11,Audi_A4_1.8,privat,Offer,2700,control,limousine,1999,manuell,125,a4,125000,Jul,Gasoline,audi,No,2016-03-20 00:00:00,57072,2016-04-07 09:45:41,2016,2016,March,March,18,9,17,5
2016-04-01 22:51:18,Audi_A4_1.8_T_quattro,privat,Offer,8500,test,limousine,2003,manuell,300,a4,150000,Mar,Gasoline,audi,No,2016-04-01 00:00:00,18573,2016-04-05 21:45:11,2016,2016,April,April,4,21,13,9
2016-04-05 00:55:53,Audi_A6_2.0_TFSI,privat,Offer,11500,control,limousine,2010,manuell,170,a6,150000,Jan,Gasoline,audi,No,2016-04-05 00:00:00,4275,2016-04-07 11:15:55,2016,2016,April,April,2,11,6,11
2016-03-26 13:38:11,Audi_A3_2.0_TDI__Pano,privat,Offer,7900,control,limousine,2009,manuell,170,a3,150000,Jun,Diesel,audi,No,2016-03-26 00:00:00,32839,2016-03-29 15:45:12,2016,2016,March,March,3,15,7,6
2016-03-14 08:51:58,Audi_A8/S8_3.7_quattro_Automatikgetriebe_/_Zahnriemen,privat,Offer,11800,test,limousine,2001,automatik,260,a8,150000,Sep,Gasoline,audi,No,2016-03-14 00:00:00,25926,2016-04-07 08:16:16,2016,2016,March,March,24,8,15,3
2016-03-31 23:54:31,Audi_A4_2.7_TDI_DPF_multitronic,privat,Offer,11900,control,limousine,2007,automatik,179,a4,150000,Jul,Diesel,audi,No,2016-03-31 00:00:00,83700,2016-04-07 04:16:25,2016,2016,March,March,7,4,9,5
2016-03-22 21:50:36,Audi_A3_2.0_TDI_Sportback_Ambiente,privat,Offer,4499,control,limousine,2005,manuell,140,a3,150000,Nov,Diesel,audi,No,2016-03-22 00:00:00,52066,2016-04-06 17:15:54,2016,2016,March,March,15,17,11,1
2016-03-27 22:52:02,Audi_A8_d2_4_2Ltr_Quattro,privat,Offer,2200,test,limousine,1995,automatik,299,Other,150000,May,Other,audi,Yes,2016-03-27 00:00:00,74182,2016-04-05 23:47:17,2016,2016,March,March,9,23,21,7
2016-03-23 11:50:35,Audi_A2_1_4_TDI,privat,Offer,2500,test,limousine,2001,manuell,0,a2,150000,Jan,Diesel,audi,Other,2016-03-23 00:00:00,24329,2016-03-29 04:47:32,2016,2016,March,March,6,4,15,11
2016-03-08 16:42:59,Audi_A3_2.0_TDI_DPF_Ambition,privat,Offer,12800,test,limousine,2010,manuell,140,a3,80000,Jan,Diesel,audi,No,2016-03-08 00:00:00,34596,2016-03-11 11:15:54,2016,2016,March,March,3,11,6,11
2016-03-20 11:53:15,Audi_A4_1_8_Turbo_163PS,privat,Offer,5500,test,limousine,2003,automatik,163,a4,150000,Nov,Gasoline,audi,No,2016-03-20 00:00:00,97450,2016-03-26 20:16:52,2016,2016,March,March,6,20,13,1
2016-03-14 18:30:47,Audi_A4_2.8,privat,Offer,2000,control,limousine,1997,manuell,193,a4,150000,Feb,Lpg,audi,No,2016-03-14 00:00:00,65474,2016-03-28 08:46:19,2016,2016,March,March,14,8,19,10
2016-03-26 19:51:33,Audi_A3,privat,Offer,9000,control,limousine,2008,manuell,140,a3,150000,May,Diesel,audi,No,2016-03-26 00:00:00,35260,2016-04-06 09:47:00,2016,2016,March,March,11,9,8,7
2016-03-11 12:52:36,A2_1.4_TDI_TOP,privat,Offer,2200,test,limousine,2003,Unspecified,0,a2,150000,Nov,Diesel,audi,No,2016-03-11 00:00:00,52393,2016-03-11 12:52:36,2016,2016,March,March,0,12,13,1
2016-04-02 16:49:46,Audi_A4_1.8_T_AHK__Xenon__Navi__gepflegt!,privat,Offer,9450,control,limousine,2005,manuell,163,a4,125000,Mar,Gasoline,audi,No,2016-04-02 00:00:00,26676,2016-04-06 16:15:44,2016,2016,April,April,4,16,11,9
2016-03-24 15:50:15,Audi_A4_2.0_T_FSI_S_Line,privat,Offer,7890,test,limousine,2005,manuell,200,a4,150000,Apr,Gasoline,audi,No,2016-03-24 00:00:00,56291,2016-03-29 17:17:35,2016,2016,March,March,5,17,11,8
2016-03-11 11:53:53,Audi_A4_1.8,privat,Offer,700,control,limousine,1996,manuell,125,a4,150000,Apr,Gasoline,audi,No,2016-03-11 00:00:00,56472,2016-03-22 09:44:49,2016,2016,March,March,11,9,20,8
2016-03-29 10:37:04,Audi_A4_1.6_Top_Zustand,privat,Offer,1600,control,limousine,1996,manuell,101,a4,150000,Feb,Other,audi,Other,2016-03-29 00:00:00,81827,2016-04-05 20:18:00,2016,2016,March,March,7,20,20,10
2016-03-21 20:43:35,Audi_A4_HU_neu,privat,Offer,1800,control,limousine,1995,manuell,101,a4,150000,Mar,Gasoline,audi,No,2016-03-21 00:00:00,3238,2016-04-06 23:45:51,2016,2016,March,March,16,23,21,9
2016-03-22 00:38:14,+++Audi_A4_1.8_TFSI_Ambition+++,privat,Offer,10900,control,limousine,2008,manuell,160,a4,100000,May,Gasoline,audi,No,2016-03-21 00:00:00,33129,2016-03-22 06:47:45,2016,2016,March,March,1,6,8,7
2016-03-17 20:38:17,Audi_A6_2.7_TDI,privat,Offer,6300,control,limousine,2005,manuell,179,a6,150000,Oct,Diesel,audi,No,2016-03-17 00:00:00,67105,2016-03-20 23:16:32,2016,2016,March,March,3,23,11,2
2016-03-14 19:56:40,A4_2.0_TDI_quattro_NAVI+LEDER+XENON+eSHD+18_ALU,privat,Offer,10000,control,limousine,2012,manuell,177,a4,150000,Mar,Diesel,audi,No,2016-03-14 00:00:00,10115,2016-03-14 19:56:40,2016,2016,March,March,0,19,4,9
2016-04-04 13:56:09,Audi_A8_2.8,privat,Offer,8500,control,limousine,2000,manuell,193,a8,150000,Apr,Gasoline,audi,No,2016-04-04 00:00:00,74172,2016-04-06 15:16:50,2016,2016,April,April,2,15,16,8
2016-03-09 12:47:44,Audi_A4_Limosine_1.6,privat,Offer,4700,control,limousine,2001,manuell,102,a4,60000,Jun,Other,audi,No,2016-03-09 00:00:00,14612,2016-04-05 23:45:05,2016,2016,March,March,27,23,15,6
2016-03-05 16:37:39,"Audi_A8_4_2__quattro__LPG_Prins__20""_Felgen_ABT",privat,Offer,10900,control,limousine,2003,automatik,334,a8,150000,Mar,Gasoline,audi,No,2016-03-05 00:00:00,50181,2016-04-05 12:19:49,2016,2016,March,March,31,12,13,9
2016-03-07 22:57:05,Audi_A4_2.0,privat,Offer,4950,test,limousine,2001,automatik,131,a4,80000,Nov,Gasoline,audi,No,2016-03-07 00:00:00,72406,2016-04-05 19:16:44,2016,2016,March,March,29,19,15,1
2016-03-08 03:59:46,Audi_A4_Limousine,privat,Offer,4900,control,limousine,2004,manuell,102,a4,150000,Jun,Gasoline,audi,No,2016-03-08 00:00:00,51067,2016-04-03 17:45:59,2016,2016,March,March,26,17,12,6
2016-03-22 23:58:29,Audi_A6_2.5_TDI__Bose__Temp__Leder__RPF__AHK__8_Reif,privat,Offer,4990,test,limousine,2002,automatik,155,a6,150000,Mar,Diesel,audi,No,2016-03-22 00:00:00,13086,2016-04-07 05:45:47,2016,2016,March,March,16,5,14,9
2016-03-31 02:32:44,Audi_A3_1.6,privat,Offer,999,control,limousine,2001,manuell,101,a3,150000,Nov,Gasoline,audi,Yes,2016-03-31 00:00:00,64569,2016-03-31 15:49:16,2016,2016,March,March,0,15,15,1
2016-03-08 20:55:27,Audi_A3_1.6_Ambiente,privat,Offer,3250,control,limousine,2003,manuell,102,a3,150000,Oct,Gasoline,audi,No,2016-03-08 00:00:00,32120,2016-04-06 01:17:07,2016,2016,March,March,29,1,13,2
2016-03-25 01:57:39,Audi_A3_1.8_T_Ambition_Euro_4_8_Fach_Bereift,privat,Offer,3299,test,limousine,2001,manuell,150,a3,150000,Sep,Gasoline,audi,No,2016-03-25 00:00:00,90429,2016-03-31 13:16:14,2016,2016,March,March,6,13,15,3
2016-03-15 14:55:29,A4_1.9_TDI_Navi,privat,Offer,2250,control,limousine,2002,Unspecified,0,a4,150000,Oct,Diesel,audi,No,2016-03-15 00:00:00,48291,2016-03-15 14:55:29,2016,2016,March,March,0,14,14,2
2016-03-27 19:45:13,Audi_100_2_6_v6__bj_1992__top!_Klima_usw!!,privat,Offer,1100,control,limousine,1992,automatik,150,100,150000,Nov,Gasoline,audi,No,2016-03-27 00:00:00,40625,2016-04-01 20:18:05,2016,2016,March,March,5,20,24,1
2016-03-28 20:51:41,Audi_A4_1.8_TFSI_Attraction.XENON,privat,Offer,12200,control,limousine,2009,manuell,120,a4,100000,Jun,Gasoline,audi,No,2016-03-28 00:00:00,90763,2016-04-07 03:44:36,2016,2016,March,March,10,3,7,6
2016-04-05 10:57:39,Audi_A4_2.0_TFSI__Ambiente_Bi_Xenon_PDC_Scheckheft,privat,Offer,11500,control,limousine,2009,manuell,179,a4,150000,Sep,Gasoline,audi,No,2016-04-05 00:00:00,12353,2016-04-07 14:56:42,2016,2016,April,April,2,14,7,3
2016-03-15 20:43:10,Audi_Audi_A4_1.8_Sonder_Ausstatung__Tuev___Tunig_...,privat,Offer,1500,test,limousine,1996,manuell,182,a4,150000,Nov,Gasoline,audi,No,2016-03-15 00:00:00,59929,2016-04-01 05:16:51,2016,2016,March,March,17,5,20,1
2016-03-23 18:38:32,Audi_A4_2.0,privat,Offer,3900,test,limousine,2001,manuell,131,a4,150000,Apr,Gasoline,audi,No,2016-03-23 00:00:00,83329,2016-03-27 23:45:27,2016,2016,March,March,4,23,15,8
2016-03-08 08:53:15,Audi_80_1.8_S,privat,Offer,900,test,limousine,1990,manuell,90,80,150000,Jul,Gasoline,audi,Yes,2016-03-08 00:00:00,93128,2016-04-06 20:19:16,2016,2016,March,March,29,20,26,5
2016-03-09 18:45:06,SportbackDIESELTOOOPP!!!,privat,Offer,7855,test,limousine,2009,automatik,0,a5,150000,Sep,Diesel,audi,No,2016-03-09 00:00:00,50374,2016-03-09 18:45:06,2016,2016,March,March,0,18,7,3
2016-03-23 16:39:20,Audi_A4_2.0_T__230Ps_Chipgetunt,privat,Offer,3000,test,limousine,1996,manuell,230,a4,150000,Feb,Gasoline,audi,No,2016-03-23 00:00:00,46562,2016-03-31 03:17:22,2016,2016,March,March,8,3,20,10
2016-03-25 20:56:12,Audi_A6_2.4_quattro,privat,Offer,1800,control,limousine,1998,manuell,165,a6,150000,May,Gasoline,audi,No,2016-03-25 00:00:00,97357,2016-04-07 03:17:46,2016,2016,March,March,13,3,18,7
