dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-18 19:23:55,Audi_Q7_3.0TDI_Quattro,privat,Offer,14200,test,suv,2006,automatik,0,q7,150000,Sep,Diesel,audi,No,2016-03-18 00:00:00,56070,2016-03-24 00:16:35,2016,2016,March,March,6,0,10,3
2016-03-25 15:37:20,Audi_Q5_3.0_TDI_quattro_S_tronic,privat,Offer,20500,test,suv,2009,automatik,239,q5,125000,Nov,Diesel,audi,No,2016-03-25 00:00:00,68623,2016-04-06 19:16:05,2016,2016,March,March,12,19,7,1
2016-03-27 17:41:13,AUDI_Q5___3.0_tdi_/_Panorama_/_Xenon_/_PDC_vh_/_Alcantara_/_Navi,privat,Offer,21950,test,suv,2009,automatik,239,q5,150000,Nov,Diesel,audi,No,2016-03-27 00:00:00,72820,2016-04-05 13:17:48,2016,2016,March,March,9,13,7,1
2016-03-23 13:45:41,Ayvasyan_070785,privat,Offer,16999,test,suv,2007,Unspecified,232,q7,150000,Mar,Other,audi,No,2016-03-23 00:00:00,25524,2016-04-05 13:45:57,2016,2016,March,March,13,13,9,9
2016-03-15 16:53:38,Q7_3.0_TDI_S_Line_Sport_Paket_PLUS__FACELIFT,privat,Offer,14000,control,suv,2009,automatik,239,q7,60000,Nov,Diesel,audi,No,2016-03-15 00:00:00,10115,2016-03-15 16:53:38,2016,2016,March,March,0,16,7,1
2016-03-15 02:03:00,Audi_Q7_Top!_MwSt._ausw._Vollausstattung_Restgarantie_8_fach_ber.,privat,Offer,21499,test,suv,2008,automatik,240,q7,150000,Jun,Diesel,audi,No,2016-03-15 00:00:00,20359,2016-03-22 06:47:00,2016,2016,March,March,7,6,8,6
2016-03-23 20:37:21,Audi_Q7_3.0_TDI_Diesel_S_Line__Automatik,privat,Offer,10900,test,suv,2008,automatik,0,q7,150000,Feb,Diesel,audi,Yes,2016-03-23 00:00:00,46354,2016-03-23 20:37:21,2016,2016,March,March,0,20,8,10
2016-03-19 18:49:50,AUDI_Q3_2.0_TFSI_Automatik._XENON_Quattro_40810_km,privat,Offer,24450,test,suv,2013,automatik,170,q3,50000,Nov,Gasoline,audi,No,2016-03-19 00:00:00,85055,2016-04-07 05:15:33,2016,2016,March,March,19,5,3,1
2016-03-11 10:38:14,"Audi_Q3_1.4_TFSI___Anhaengerkupplung_All_Season_17""235",privat,Offer,25900,test,suv,2014,manuell,150,q3,10000,Jul,Gasoline,audi,No,2016-03-11 00:00:00,85049,2016-03-14 23:45:38,2016,2016,March,March,3,23,2,5
2016-03-29 04:03:35,Audi__Q3,privat,Offer,27300,test,suv,2014,manuell,177,q3,30000,Jan,Diesel,audi,No,2016-03-29 00:00:00,85055,2016-04-05 17:26:09,2016,2016,March,March,7,17,2,11
2016-03-29 15:45:43,Audi_Q3_2.0_TFSI_quattro_170PS,privat,Offer,21900,control,suv,2012,manuell,170,q3,30000,Jan,Gasoline,audi,Other,2016-03-29 00:00:00,9599,2016-04-02 02:47:43,2016,2016,March,March,4,2,4,11
2016-04-03 14:47:59,Audi_Q7,privat,Offer,23990,test,suv,2008,automatik,326,q7,150000,Apr,Diesel,audi,No,2016-04-03 00:00:00,67061,2016-04-05 13:47:31,2016,2016,April,April,2,13,8,8
