dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-01 17:47:30,Bmw_e36_316i_compact_viel_neu....,privat,Offer,250,test,kleinwagen,1994,manuell,102,3er,150000,Jan,Gasoline,bmw,Other,2016-04-01 00:00:00,52393,2016-04-05 13:15:55,2016,2016,April,April,4,13,22,11
2016-03-18 17:42:48,BMW_316_ti_Compact__Klima,privat,Offer,790,test,kleinwagen,1996,manuell,102,3er,150000,May,Gasoline,bmw,No,2016-03-18 00:00:00,86368,2016-03-22 11:15:15,2016,2016,March,March,4,11,20,7
2016-03-10 23:56:22,TAUSCHE____BMW_E46_Compact_320td_gegen_anderen_BMW,privat,Offer,1,test,kleinwagen,2002,manuell,150,3er,150000,Oct,Diesel,bmw,Other,2016-03-10 00:00:00,83043,2016-04-06 02:44:33,2016,2016,March,March,27,2,14,2
2016-03-28 22:50:51,Leasinguebernahme!_+_1000_Bar_!!,privat,Offer,301,control,kleinwagen,2015,manuell,136,1er,30000,Feb,Gasoline,bmw,No,2016-03-28 00:00:00,73728,2016-04-07 05:45:36,2016,2016,March,March,10,5,1,10
2016-03-29 20:41:56,Bmw_316i_Compact,privat,Offer,2000,test,kleinwagen,1998,manuell,102,Other,150000,Jul,Gasoline,bmw,Other,2016-03-29 00:00:00,74343,2016-04-06 06:45:28,2016,2016,March,March,8,6,18,5
2016-04-02 16:59:25,Leasinguebernahme!_+_1000_Bar_!!_1er_F20_116i,privat,Offer,301,control,kleinwagen,2015,manuell,136,1er,30000,Feb,Gasoline,bmw,No,2016-04-02 00:00:00,73728,2016-04-06 16:16:11,2016,2016,April,April,4,16,1,10
2016-03-21 09:56:27,BMW_116i_/_BJ_2008_/_NUR_HEUTE_5500_FESTPREiS,privat,Offer,5500,control,kleinwagen,2008,manuell,122,1er,150000,May,Gasoline,bmw,Yes,2016-03-21 00:00:00,42853,2016-03-22 14:18:40,2016,2016,March,March,1,14,8,7
2016-03-15 21:56:24,BMW_e36_Compakt,privat,Offer,250,control,kleinwagen,1995,manuell,0,3er,150000,Jan,Other,bmw,Yes,2016-03-15 00:00:00,7549,2016-04-07 07:17:36,2016,2016,March,March,23,7,21,11
2016-03-08 20:57:55,Bmw_116i_e87_top_zustande,privat,Offer,5200,control,kleinwagen,2005,manuell,116,Other,150000,Sep,Gasoline,bmw,No,2016-03-08 00:00:00,94405,2016-03-11 07:44:24,2016,2016,March,March,3,7,11,3
2016-03-14 15:51:36,BMW_E28_520i_Oldtimer/Youngtimer,privat,Offer,2500,control,kleinwagen,1987,manuell,130,5er,150000,Jun,Gasoline,bmw,No,2016-03-14 00:00:00,7973,2016-04-05 19:44:47,2016,2016,March,March,22,19,29,6
2016-04-01 13:47:24,Bmw_316i_Compact_TÜV_04._2017_Klima_Automatik,privat,Offer,590,test,kleinwagen,1997,automatik,90,3er,150000,Nov,Gasoline,bmw,Yes,2016-04-01 00:00:00,53879,2016-04-07 10:45:17,2016,2016,April,April,6,10,19,1
2016-04-02 21:50:36,BMW_316i_Compact_Gepflegt,privat,Offer,2500,test,kleinwagen,1999,manuell,105,Other,100000,Jan,Other,bmw,No,2016-04-02 00:00:00,21706,2016-04-06 22:45:33,2016,2016,April,April,4,22,17,11
2016-03-15 00:42:35,BMW_316ti_Compact_Klima_SHD_TÜV_Neu!,privat,Offer,2850,test,kleinwagen,2004,manuell,116,3er,150000,Oct,Gasoline,bmw,No,2016-03-14 00:00:00,37671,2016-03-15 01:42:30,2016,2016,March,March,1,1,12,2
2016-04-04 21:58:39,BMW_316,privat,Offer,500,test,kleinwagen,1995,manuell,102,3er,150000,Nov,Gasoline,bmw,No,2016-04-04 00:00:00,80939,2016-04-04 21:58:39,2016,2016,April,April,0,21,21,1
2016-03-24 10:51:53,BMW_316_ti__COMPACT_M_PAKET_MIT_EINPARKHILFE,privat,Offer,3500,test,kleinwagen,2004,manuell,105,3er,150000,Mar,Gasoline,bmw,Other,2016-03-24 00:00:00,52538,2016-04-02 23:49:26,2016,2016,March,March,9,23,12,9
2016-04-02 10:37:40,E36_Compact___Leder___Klima___HU_4/16,privat,Offer,700,test,kleinwagen,1999,manuell,105,3er,150000,Jan,Gasoline,bmw,Other,2016-04-02 00:00:00,33165,2016-04-06 08:15:24,2016,2016,April,April,4,8,17,11
2016-03-21 16:48:00,BMW__316i_Compact,privat,Offer,1500,control,kleinwagen,1999,manuell,105,3er,125000,Mar,Gasoline,bmw,No,2016-03-21 00:00:00,12359,2016-04-02 17:16:24,2016,2016,March,March,12,17,17,9
2016-03-27 14:48:03,BMW_e36_Compact_318ti,privat,Offer,1000,control,kleinwagen,1995,manuell,0,3er,5000,Mar,Gasoline,bmw,Other,2016-03-27 00:00:00,84359,2016-04-07 11:44:58,2016,2016,March,March,11,11,21,9
2016-04-01 19:59:30,BMW_316i_mit_TÜV_bis_03/17,privat,Offer,800,control,kleinwagen,2000,manuell,115,3er,150000,Jan,Gasoline,bmw,Other,2016-04-01 00:00:00,23570,2016-04-05 17:27:01,2016,2016,April,April,4,17,16,11
2016-03-09 18:44:30,BMW_E36_316_i__Compact,privat,Offer,750,test,kleinwagen,1998,manuell,102,3er,150000,Jun,Gasoline,bmw,Other,2016-03-09 00:00:00,8248,2016-03-16 00:45:20,2016,2016,March,March,7,0,18,6
2016-03-10 21:51:15,BMW_316i_Compact__LEDER__SITZHEIZUNG__SCHIEBEDACH,privat,Offer,600,control,kleinwagen,1998,manuell,115,3er,150000,Mar,Gasoline,bmw,Other,2016-03-10 00:00:00,87634,2016-04-07 00:17:10,2016,2016,March,March,28,0,18,9
