dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-18 21:44:09,BMW_530d_touring_Vollausstattung_NAVI,privat,Offer,2500,control,kombi,2002,automatik,193,5er,150000,Sep,Diesel,bmw,Yes,2016-03-18 00:00:00,73765,2016-03-18 21:44:09,2016,2016,March,March,0,21,14,3
2016-04-04 00:38:22,BMW_528i_touring,privat,Offer,2100,test,kombi,1998,automatik,193,5er,150000,Feb,Gasoline,bmw,No,2016-04-03 00:00:00,86157,2016-04-06 08:16:21,2016,2016,April,April,3,8,18,10
2016-03-13 01:57:12,BMW_530d_touring,privat,Offer,3550,control,kombi,2000,automatik,184,5er,150000,Nov,Diesel,bmw,No,2016-03-13 00:00:00,72525,2016-04-06 08:45:19,2016,2016,March,March,24,8,16,1
2016-04-05 09:55:37,BMW_330d_schadow_line,privat,Offer,4200,control,kombi,2003,automatik,204,3er,150000,Jan,Diesel,bmw,No,2016-04-05 00:00:00,53757,2016-04-07 13:16:46,2016,2016,April,April,2,13,13,11
2016-03-12 17:47:07,BMW_e46_318i_touring,privat,Offer,2999,test,kombi,2001,manuell,0,3er,150000,Jul,Gasoline,bmw,Other,2016-03-12 00:00:00,45891,2016-04-07 09:17:32,2016,2016,March,March,26,9,15,5
2016-04-02 23:54:43,BMW_530d_Touring_Aut._TOP_Ausstattung!!!_Rabatt_!!,privat,Offer,11000,test,kombi,2006,automatik,231,5er,150000,Nov,Diesel,bmw,No,2016-04-02 00:00:00,76332,2016-04-07 07:16:22,2016,2016,April,April,5,7,10,1
2016-04-01 14:38:34,Bmw_320i_Touring_mit_Lederausstattung_in_schwarz__Vollaustattung.,privat,Offer,9200,test,kombi,2006,manuell,150,3er,150000,Jan,Gasoline,bmw,No,2016-04-01 00:00:00,85659,2016-04-05 08:50:10,2016,2016,April,April,4,8,10,11
2016-03-10 15:52:45,BMW_318i_touring,privat,Offer,800,test,kombi,2000,manuell,118,3er,150000,Sep,Gasoline,bmw,Yes,2016-03-10 00:00:00,51647,2016-03-10 15:52:45,2016,2016,March,March,0,15,16,3
2016-03-13 13:38:54,Biete_BMW_318_i_Kombi_auch_Tausch,privat,Offer,1600,test,kombi,1999,manuell,0,Other,150000,Jun,Gasoline,bmw,No,2016-03-13 00:00:00,41199,2016-03-28 12:46:35,2016,2016,March,March,15,12,17,6
2016-03-19 17:48:55,BMW_520d_Touring_Aut.,privat,Offer,11200,control,kombi,2008,automatik,177,5er,150000,Jul,Diesel,bmw,No,2016-03-19 00:00:00,91301,2016-04-01 07:49:21,2016,2016,March,March,13,7,8,5
2016-03-08 08:56:07,BMW_520d_Touring_Aut.___NAVI___AHK___Scheckheft,privat,Offer,6880,test,kombi,2007,automatik,150,5er,150000,Sep,Diesel,bmw,No,2016-03-08 00:00:00,83236,2016-03-09 07:15:46,2016,2016,March,March,1,7,9,3
2016-03-18 18:47:36,BMW_530i_Touring,privat,Offer,12650,control,kombi,2006,manuell,258,5er,150000,Jun,Gasoline,bmw,No,2016-03-18 00:00:00,96114,2016-04-05 22:45:26,2016,2016,March,March,18,22,10,6
2016-03-24 18:50:52,BMW_318i_touring,privat,Offer,3299,test,kombi,2002,manuell,143,3er,150000,Sep,Gasoline,bmw,No,2016-03-24 00:00:00,8060,2016-04-07 13:15:43,2016,2016,March,March,14,13,14,3
2016-03-16 15:47:39,Bmw_530d_kombi,privat,Offer,1699,test,kombi,1998,manuell,0,5er,150000,Jul,Diesel,bmw,Other,2016-03-16 00:00:00,51145,2016-04-06 17:46:18,2016,2016,March,March,21,17,18,5
2016-04-05 11:57:46,BMW_520i_touring_TÜV_Neu,privat,Offer,1500,test,kombi,1998,manuell,150,5er,150000,Apr,Gasoline,bmw,No,2016-04-05 00:00:00,38239,2016-04-05 12:44:52,2016,2016,April,April,0,12,18,8
2016-03-11 14:57:04,Beschreibung__Verkaufe_mein_BMW_e46_328i_Ausstattung,privat,Offer,1700,control,kombi,1999,manuell,193,3er,150000,May,Gasoline,bmw,No,2016-03-11 00:00:00,48157,2016-03-17 22:17:52,2016,2016,March,March,6,22,17,7
2016-03-28 16:42:44,BMW_528i_touring,privat,Offer,750,test,kombi,1998,automatik,193,5er,150000,Jun,Gasoline,bmw,No,2016-03-28 00:00:00,88400,2016-03-28 16:42:44,2016,2016,March,March,0,16,18,6
2016-03-19 19:39:52,BMW_523i_touring,privat,Offer,1200,control,kombi,1997,manuell,170,5er,150000,Nov,Gasoline,bmw,Yes,2016-03-19 00:00:00,97297,2016-04-07 06:46:44,2016,2016,March,March,19,6,19,1
2016-03-09 13:54:44,BMW_520d__M_Paket_Touring,privat,Offer,9600,control,kombi,2008,manuell,177,5er,150000,Jul,Diesel,bmw,No,2016-03-09 00:00:00,46395,2016-03-17 10:46:32,2016,2016,March,March,8,10,8,5
2016-03-07 21:57:39,TOP___BMW_E46_328i_Touring___160000___TÜV_02/2017,privat,Offer,3999,control,kombi,1999,automatik,193,3er,150000,Nov,Gasoline,bmw,No,2016-03-07 00:00:00,48159,2016-04-06 19:46:34,2016,2016,March,March,30,19,17,1
2016-03-10 07:36:57,BMW_530d_Touring_als_Kombi_3_Liter_218_PS,privat,Offer,5900,control,kombi,2004,automatik,218,5er,150000,Oct,Diesel,bmw,No,2016-03-10 00:00:00,15366,2016-03-20 09:47:10,2016,2016,March,March,10,9,12,2
2016-03-25 12:49:40,BMW_318d_DPF_Touring,privat,Offer,11599,test,kombi,2010,manuell,143,3er,150000,Apr,Diesel,bmw,No,2016-03-25 00:00:00,51147,2016-04-06 14:16:56,2016,2016,March,March,12,14,6,8
2016-04-04 15:47:10,BMW_120d_M_paket_Sportsitze..,privat,Offer,9800,test,kombi,2006,manuell,0,1er,150000,Oct,Other,bmw,No,2016-04-04 00:00:00,51469,2016-04-06 17:17:35,2016,2016,April,April,2,17,10,2
2016-04-02 15:47:02,BMW_520i_touring___2._Hand__Neuwagenzustand,privat,Offer,4950,control,kombi,1997,manuell,150,5er,150000,Jul,Gasoline,bmw,No,2016-04-02 00:00:00,88521,2016-04-06 14:44:32,2016,2016,April,April,4,14,19,5
2016-03-12 19:59:21,BMW_320d_touring,privat,Offer,4000,test,kombi,2003,manuell,150,3er,150000,Jun,Diesel,bmw,No,2016-03-12 00:00:00,89250,2016-03-15 07:45:11,2016,2016,March,March,3,7,13,6
2016-03-08 13:36:58,BMW_318i_touring,privat,Offer,1650,control,kombi,1997,manuell,116,3er,150000,Jan,Gasoline,bmw,No,2016-03-08 00:00:00,86391,2016-03-13 00:44:18,2016,2016,March,March,5,0,19,11
2016-03-27 21:40:29,Bmw_320_D_voll_Leder_Austattung,privat,Offer,5500,test,kombi,2002,manuell,150,3er,150000,May,Diesel,bmw,No,2016-03-27 00:00:00,59494,2016-04-05 20:17:32,2016,2016,March,March,9,20,14,7
2016-04-03 14:37:27,BMW_320i_Touring_Xenon_Teilleder_Tempomat_PDC,privat,Offer,8900,test,kombi,2008,manuell,170,3er,90000,Jul,Gasoline,bmw,No,2016-04-03 00:00:00,70378,2016-04-05 13:18:05,2016,2016,April,April,2,13,8,5
2016-03-11 20:59:54,BMW_330_Touring_M_Ausstattung,privat,Offer,12900,control,kombi,2006,manuell,231,3er,150000,Jul,Other,bmw,Other,2016-03-11 00:00:00,88263,2016-03-19 08:47:00,2016,2016,March,March,8,8,10,5
2016-03-29 20:37:34,BMW_525d_touring,privat,Offer,3700,test,kombi,2001,automatik,163,5er,150000,Jan,Diesel,bmw,No,2016-03-29 00:00:00,4603,2016-04-06 06:45:22,2016,2016,March,March,8,6,15,11
2016-03-09 15:51:13,BMW320d_DPF_top_Zustand_Scheckheftgepflegt_Klima_Panorama_BC_PDC,privat,Offer,2550,control,kombi,2002,manuell,163,3er,150000,May,Diesel,bmw,No,2016-03-09 00:00:00,59609,2016-04-03 00:47:56,2016,2016,March,March,25,0,14,7
2016-04-03 16:52:01,BMW_E46_320d_Touring_M_Technik_Sport,privat,Offer,5150,control,kombi,2001,manuell,150,3er,150000,Nov,Diesel,bmw,No,2016-04-03 00:00:00,26197,2016-04-03 16:52:01,2016,2016,April,April,0,16,15,1
2016-03-09 21:50:13,Bmw_520_Kombi_nav.prof.+Tuev:_06.2017.Unfallfrei,privat,Offer,10800,test,kombi,2010,manuell,166,5er,150000,May,Diesel,bmw,No,2016-03-09 00:00:00,56332,2016-03-27 21:15:48,2016,2016,March,March,18,21,6,7
2016-03-22 07:53:01,Tauschen_fur_WV_AUDI_OPEL_,privat,Offer,2500,control,kombi,2001,manuell,136,3er,150000,Jul,Diesel,bmw,No,2016-03-22 00:00:00,80937,2016-04-05 20:16:54,2016,2016,March,March,14,20,15,5
2016-04-02 14:53:22,BMW_E46_325xi_Facelift_Schwarz_Metallic_TÜV_Neu,privat,Offer,4499,test,kombi,2003,automatik,192,3er,150000,Nov,Gasoline,bmw,No,2016-04-02 00:00:00,85777,2016-04-02 14:53:22,2016,2016,April,April,0,14,13,1
2016-04-05 01:06:24,BMW_530d_touring,privat,Offer,7900,test,kombi,2003,automatik,193,5er,150000,Jan,Diesel,bmw,No,2016-04-05 00:00:00,60596,2016-04-05 12:29:12,2016,2016,April,April,0,12,13,11
2016-03-29 17:52:51,BMW_530i_touring,privat,Offer,4350,control,kombi,2003,automatik,193,5er,150000,May,Diesel,bmw,Yes,2016-03-29 00:00:00,47166,2016-03-29 17:52:51,2016,2016,March,March,0,17,13,7
