dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-15 17:43:21,Top_zustand,privat,Offer,2600,control,Other,2005,Unspecified,0,Other,125000,Jan,Other,chevrolet,Other,2016-03-15 00:00:00,94315,2016-04-06 14:45:44,2016,2016,March,March,22,14,11,11
2016-03-27 19:55:52,Gepflegter_Chevrolet_Matiz_0.8,privat,Offer,2399,control,Other,2016,manuell,52,matiz,80000,Jul,Gasoline,chevrolet,Other,2016-03-27 00:00:00,33605,2016-04-05 18:45:52,2016,2016,March,March,9,18,0,5
2016-04-01 15:53:31,Chevrolet_Matiz_1.0l_49KW_67PS_Kleinwagen,privat,Offer,1500,test,Other,2016,manuell,67,matiz,125000,Oct,Other,chevrolet,Other,2016-04-01 00:00:00,4158,2016-04-07 13:50:20,2016,2016,April,April,6,13,0,2
2016-04-01 20:39:02,Chevrolet_Astrovan_lpg_4.3_189_ps,privat,Offer,1350,test,Other,2016,automatik,189,andere,150000,Jan,Lpg,chevrolet,Yes,2016-04-01 00:00:00,2633,2016-04-05 17:26:56,2016,2016,April,April,4,17,0,11
2016-03-07 15:58:27,Chevrolet_Matiz,privat,Offer,2999,control,Other,2016,manuell,0,matiz,70000,Aug,Gasoline,chevrolet,No,2016-03-07 00:00:00,21244,2016-03-14 14:44:54,2016,2016,March,March,7,14,0,4
2016-03-14 18:50:34,Chevrolet_Camaro,privat,Offer,0,test,Other,1980,Unspecified,0,andere,125000,Jan,Other,chevrolet,No,2016-03-14 00:00:00,24943,2016-04-06 03:16:36,2016,2016,March,March,23,3,36,11
2016-03-12 13:45:01,Suzuki_GSX_R_1100_Turbo_tausche_gegen_Chevrolet_K30_Chevy_K30,privat,Offer,0,control,Other,1985,Unspecified,0,Other,5000,Jan,Other,chevrolet,Other,2016-03-12 00:00:00,64732,2016-04-06 19:46:00,2016,2016,March,March,25,19,31,11
2016-03-26 18:43:05,Guter_Gebrauchter,privat,Offer,2800,test,Other,2009,Unspecified,0,aveo,70000,Jun,Gasoline,chevrolet,Yes,2016-03-26 00:00:00,47809,2016-03-28 07:18:27,2016,2016,March,March,2,7,7,6
2016-04-01 19:57:56,Chevy_6_2_Diesel,privat,Offer,0,control,Other,1985,Unspecified,130,andere,150000,Jan,Diesel,chevrolet,Other,2016-04-01 00:00:00,4931,2016-04-05 17:27:06,2016,2016,April,April,4,17,31,11
2016-04-04 23:38:07,Chevrolet_Alero_Sportausstattung,privat,Offer,550,control,Other,2000,Unspecified,0,andere,150000,Jan,Other,chevrolet,Other,2016-04-04 00:00:00,13357,2016-04-07 08:46:54,2016,2016,April,April,3,8,16,11
2016-03-18 01:57:31,Chevrolet_Aveo_1.4,privat,Offer,2999,control,Other,2016,manuell,101,aveo,80000,Nov,Gasoline,chevrolet,Other,2016-03-18 00:00:00,45888,2016-04-05 21:18:31,2016,2016,March,March,18,21,0,1
2016-04-04 15:52:41,1946_Chevrolet_Fleetmaster_/_Tausch_moeglich,privat,Offer,0,test,Other,1960,Unspecified,0,Other,100000,Jan,Other,chevrolet,Other,2016-04-04 00:00:00,16727,2016-04-06 17:44:46,2016,2016,April,April,2,17,56,11
2016-03-10 09:47:39,SCHLACHTE_GEO_TRACKER,privat,Offer,100,test,Other,1960,Unspecified,0,andere,5000,Jan,Other,chevrolet,Other,2016-03-10 00:00:00,66976,2016-03-17 10:17:35,2016,2016,March,March,7,10,56,11
