dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-29 14:39:03,zu_verkaufen_chevrolet_s10,privat,Offer,1500,test,andere,1985,automatik,0,andere,50000,Jul,Gasoline,chevrolet,Other,2016-03-29 00:00:00,49767,2016-03-29 14:39:03,2016,2016,March,March,0,14,31,5
2016-03-23 16:47:51,Reparaturbeduerftiger_ASTRO___VAN,privat,Offer,650,test,andere,1988,automatik,150,andere,90000,Jun,Gasoline,chevrolet,No,2016-03-23 00:00:00,24558,2016-03-23 16:47:51,2016,2016,March,March,0,16,28,6
2016-03-17 20:53:18,Chevrolet_C10_Crewcab_1985_5.7_V8_TBI_LPG,privat,Offer,6500,control,andere,1985,automatik,300,andere,90000,Feb,Lpg,chevrolet,No,2016-03-17 00:00:00,52066,2016-04-07 11:15:54,2016,2016,March,March,21,11,31,10
2016-03-16 21:47:26,Chevrolet_C1500_2WD_v6_LPG_Manuel_5_Gang_MOT__GMC,privat,Offer,6500,control,andere,1992,manuell,162,andere,70000,Jan,Lpg,chevrolet,No,2016-03-16 00:00:00,48308,2016-03-24 17:16:51,2016,2016,March,March,8,17,24,11
2016-03-06 22:48:38,Police_car/_Showcar/_Hot_Rod,privat,Offer,2911,control,andere,1991,automatik,171,andere,150000,May,Gasoline,chevrolet,Other,2016-03-06 00:00:00,45731,2016-04-05 16:47:33,2016,2016,March,March,30,16,25,7
2016-03-07 14:57:18,Chevrolet_Camaro_5_7_l_V8_H__Kenzeichen__Tuev_5/_2017,privat,Offer,0,control,andere,1979,Unspecified,0,andere,80000,Jun,Gasoline,chevrolet,No,2016-03-07 00:00:00,39343,2016-04-07 10:46:17,2016,2016,March,March,31,10,37,6
2016-03-13 11:42:10,1000_km_mit_Gas_und_Benzin___Chevrolet_REZZO,privat,Offer,1800,control,andere,2005,manuell,121,andere,150000,Feb,Lpg,chevrolet,No,2016-03-13 00:00:00,1587,2016-03-15 19:47:29,2016,2016,March,March,2,19,11,10
2016-03-12 16:45:07,Chevy_S_10_LS_4.3_V6,privat,Offer,1600,control,andere,1996,manuell,193,Other,150000,Jan,Gasoline,chevrolet,Other,2016-03-12 00:00:00,54533,2016-04-07 06:17:06,2016,2016,March,March,26,6,20,11
2016-03-12 16:53:55,Chevrolet_Camaro_an_Selbstabholer_zu_Verkaufen,privat,Offer,0,control,andere,1981,Unspecified,0,andere,150000,Nov,Other,chevrolet,Other,2016-03-12 00:00:00,93413,2016-03-14 09:15:49,2016,2016,March,March,2,9,35,1
2016-03-21 01:36:18,Chevrolet_Silverado_C10_Pick_Up_6.2_HAVEY_DUTY_DIESEL,privat,Offer,6300,test,andere,1984,automatik,133,andere,150000,Jul,Diesel,chevrolet,Yes,2016-03-21 00:00:00,36037,2016-04-06 01:15:20,2016,2016,March,March,16,1,32,5
