dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-09 20:45:43,Camaro_3.4_..V6,privat,Offer,3550,test,limousine,1993,manuell,0,andere,125000,Nov,Gasoline,chevrolet,Other,2016-03-09 00:00:00,54634,2016-03-14 15:15:34,2016,2016,March,March,5,15,23,1
2016-03-19 04:47:05,Klein_wagen_fuer_Klein_Geld___,privat,Offer,550,test,limousine,2005,manuell,35,matiz,150000,Mar,Gasoline,chevrolet,Other,2016-03-18 00:00:00,47169,2016-04-06 03:45:09,2016,2016,March,March,19,3,11,9
2016-04-04 18:39:16,Chevrolet_Matiz_0_8,privat,Offer,2500,test,limousine,2008,manuell,52,matiz,125000,Nov,Gasoline,chevrolet,No,2016-04-04 00:00:00,21493,2016-04-06 20:44:29,2016,2016,April,April,2,20,8,1
2016-04-04 22:45:03,Chevrolet_lasetti,privat,Offer,3900,test,limousine,2008,manuell,122,andere,150000,Nov,Diesel,chevrolet,No,2016-04-04 00:00:00,29633,2016-04-07 01:17:16,2016,2016,April,April,3,1,8,1
2016-04-01 07:36:24,Chevrolet_lacetti_1_4_se_Orginal_79000km__TÜV_bis_08/16,privat,Offer,1600,test,limousine,2007,manuell,95,Other,80000,May,Gasoline,chevrolet,No,2016-04-01 00:00:00,66606,2016-04-01 08:51:33,2016,2016,April,April,0,8,9,7
2016-03-10 21:39:48,Chevrolet_Nubira_1.6,privat,Offer,2350,control,limousine,2005,manuell,0,andere,125000,Sep,Lpg,chevrolet,No,2016-03-10 00:00:00,44145,2016-03-22 23:16:45,2016,2016,March,March,12,23,11,3
2016-04-01 19:38:33,Chevrolet_Cruze_1.8_LT,privat,Offer,10500,control,limousine,2013,manuell,141,andere,30000,Feb,Gasoline,chevrolet,No,2016-04-01 00:00:00,99734,2016-04-05 15:44:53,2016,2016,April,April,4,15,3,10
2016-03-12 16:50:15,Chervolet_Evanda,privat,Offer,2200,control,limousine,2006,manuell,130,Other,150000,May,Gasoline,chevrolet,Other,2016-03-12 00:00:00,24860,2016-04-07 07:17:17,2016,2016,March,March,26,7,10,7
2016-03-29 15:51:35,Chevrolet_Lacetti_1.8_CDX,privat,Offer,2500,control,limousine,2005,manuell,122,andere,150000,Jun,Gasoline,chevrolet,No,2016-03-29 00:00:00,59320,2016-03-29 15:51:35,2016,2016,March,March,0,15,11,6
2016-03-17 00:58:38,Chevrolet_Cruze_LTZ_Vollausstattung,privat,Offer,9700,test,limousine,2013,manuell,136,andere,70000,Jan,Diesel,chevrolet,No,2016-03-16 00:00:00,6128,2016-04-06 01:48:53,2016,2016,March,March,21,1,3,11
2016-03-20 19:59:16,Chevrolet_Impala_SS,privat,Offer,5990,test,limousine,1995,automatik,264,andere,150000,Apr,Gasoline,chevrolet,No,2016-03-20 00:00:00,87439,2016-04-07 04:46:53,2016,2016,March,March,18,4,21,8
