dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-01 00:57:58,Chrysler_Grand_Voyager_3.3_Limited_AWD,privat,Offer,3900,test,bus,2003,automatik,174,grand,150000,Mar,Gasoline,chrysler,No,2016-03-31 00:00:00,70839,2016-04-03 04:16:04,2016,2016,March,April,3,4,13,9
2016-04-01 19:44:26,Chrysler_Voyager_2.5_CRD_LX,privat,Offer,2790,control,bus,2003,manuell,143,voyager,150000,Jul,Diesel,chrysler,No,2016-04-01 00:00:00,78224,2016-04-05 15:45:19,2016,2016,April,April,4,15,13,5
2016-03-23 09:39:13,Chrysler_Grand_Voyager_2.8_CRD_Automatik_Classic,privat,Offer,6990,test,bus,2007,automatik,150,grand,125000,Apr,Diesel,chrysler,No,2016-03-23 00:00:00,13347,2016-04-05 05:46:21,2016,2016,March,March,13,5,9,8
2016-03-14 18:47:03,Chrysler_Grand_Voyager,privat,Offer,750,test,bus,1998,automatik,150,voyager,150000,Mar,Lpg,chrysler,Yes,2016-03-14 00:00:00,6868,2016-03-22 14:17:48,2016,2016,March,March,8,14,18,9
2016-03-14 13:55:57,Chrysler_Grand_Voyager_2.5_CRD,privat,Offer,4300,test,bus,2004,Unspecified,0,grand,125000,Jan,Diesel,chrysler,Yes,2016-03-14 00:00:00,22765,2016-04-05 16:44:25,2016,2016,March,March,22,16,12,11
2016-04-01 23:36:37,Chrysler_voyager_2_5l_Diesel_gruene_Plakette,privat,Offer,1300,control,bus,2002,manuell,141,voyager,150000,Jun,Diesel,chrysler,No,2016-04-01 00:00:00,12309,2016-04-05 21:44:53,2016,2016,April,April,4,21,14,6
2016-03-20 16:50:28,Chrysler_Grand_Voyager_3.3,privat,Offer,1500,test,bus,2001,automatik,174,grand,150000,Nov,Gasoline,chrysler,Yes,2016-03-20 00:00:00,34393,2016-03-30 08:44:37,2016,2016,March,March,10,8,15,1
2016-03-10 23:50:12,Chryler_voyager_2.8_el.schibertuer_vollaustaung,privat,Offer,6100,test,bus,2005,automatik,150,Other,150000,Nov,Diesel,chrysler,No,2016-03-04 00:00:00,21521,2016-03-23 13:19:54,2016,2016,March,March,19,13,11,1
2016-03-11 11:51:37,Chrysler_Voyager_2.0_Family,privat,Offer,900,control,bus,1999,manuell,133,voyager,150000,Mar,Gasoline,chrysler,No,2016-03-11 00:00:00,90443,2016-03-23 07:18:23,2016,2016,March,March,12,7,17,9
2016-04-01 12:54:33,Chrysler_Voyager__Grand_TÜV_bis_0716,privat,Offer,350,test,bus,1997,Unspecified,0,Other,5000,Nov,Diesel,chrysler,Yes,2016-04-01 00:00:00,39307,2016-04-07 10:15:54,2016,2016,April,April,6,10,19,1
2016-03-14 20:49:48,Chrysler_Voyager_top_Zustand_sparsam,privat,Offer,2200,control,bus,2003,manuell,147,voyager,150000,May,Gasoline,chrysler,No,2016-03-14 00:00:00,47809,2016-03-19 10:17:50,2016,2016,March,March,5,10,13,7
2016-03-12 16:55:13,Chrysler_Grand_Voyager_2.5_TD,privat,Offer,1250,control,bus,2000,manuell,116,grand,150000,Apr,Diesel,chrysler,No,2016-03-12 00:00:00,90599,2016-03-29 00:45:26,2016,2016,March,March,17,0,16,8
2016-03-16 23:53:55,Chrysler_Voyager_2.0_Family,privat,Offer,650,test,bus,1998,manuell,133,voyager,150000,Aug,Gasoline,chrysler,Yes,2016-03-16 00:00:00,41334,2016-04-02 01:18:19,2016,2016,March,March,17,1,18,4
2016-03-29 16:58:38,Chrysler_Voyager_3.3_LE,privat,Offer,1999,control,bus,1999,automatik,158,voyager,150000,Nov,Gasoline,chrysler,Yes,2016-03-29 00:00:00,68789,2016-03-31 10:15:34,2016,2016,March,March,2,10,17,1
2016-03-06 17:06:43,Chrysler_Voyager_family_2.0,privat,Offer,1500,control,bus,1999,manuell,133,voyager,150000,Oct,Other,chrysler,No,2016-03-06 00:00:00,35096,2016-04-05 13:45:19,2016,2016,March,March,30,13,17,2
2016-03-24 19:41:56,Chrysler_Voyager_2.4_SE,privat,Offer,999,control,bus,1999,manuell,150,voyager,150000,Apr,Gasoline,chrysler,No,2016-03-24 00:00:00,67551,2016-03-24 19:41:56,2016,2016,March,March,0,19,17,8
2016-04-01 20:53:24,Chrysler_Voyager_Van/Bus_3_3_LE_//_TÜV_Neu,privat,Offer,1490,test,bus,1997,automatik,158,voyager,150000,Jan,Gasoline,chrysler,No,2016-04-01 00:00:00,26169,2016-04-05 18:18:57,2016,2016,April,April,4,18,19,11
2016-03-16 18:56:39,Chrysler_Grand_Voyager_2.5_CRD,privat,Offer,1899,control,bus,2001,manuell,141,grand,150000,Nov,Diesel,chrysler,Yes,2016-03-16 00:00:00,85399,2016-03-19 17:19:48,2016,2016,March,March,3,17,15,1
2016-03-25 16:37:45,Chrysler_voyager_Vollausstattung_2.8_diesel,privat,Offer,6050,control,bus,2005,automatik,150,voyager,150000,Nov,Diesel,chrysler,No,2016-03-25 00:00:00,21521,2016-04-06 20:47:55,2016,2016,March,March,12,20,11,1
2016-03-10 06:36:21,Chrysler_Grand_Voyager_1997_Gruen_3_3liter_v6,privat,Offer,600,control,bus,1997,automatik,157,voyager,30000,Jan,Gasoline,chrysler,Other,2016-03-10 00:00:00,27305,2016-03-21 09:47:22,2016,2016,March,March,11,9,19,11
2016-03-23 15:38:47,Chrysler_voyager_3.3_V6,privat,Offer,2150,test,bus,1993,automatik,117,voyager,150000,Apr,Gasoline,chrysler,No,2016-03-23 00:00:00,16833,2016-04-05 18:17:00,2016,2016,March,March,13,18,23,8
