dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-06 11:38:19,Chrysler_sebring_cabrio.Weisse_Ledersitze._TOP._Tuning._GOLD,privat,Offer,3850,test,cabrio,2001,manuell,141,andere,150000,Jun,Gasoline,chrysler,No,2016-03-06 00:00:00,13055,2016-04-06 11:36:39,2016,2016,March,March,31,11,15,6
2016-03-19 10:36:21,Chrysler_Crossfire_Roadster_3.2___6_Gang_Leder_Unfallfrei,privat,Offer,12990,test,cabrio,2007,manuell,218,crossfire,70000,Nov,Gasoline,chrysler,No,2016-03-19 00:00:00,20537,2016-03-28 11:16:49,2016,2016,March,March,9,11,9,1
2016-03-16 13:56:51,Chrysler_Stratus_2.5_LX,privat,Offer,3300,control,cabrio,2000,automatik,163,andere,150000,Jun,Gasoline,chrysler,No,2016-03-16 00:00:00,34127,2016-04-06 12:45:49,2016,2016,March,March,21,12,16,6
2016-03-25 17:25:42,Chrysler_Sebring_Cabrio_Schwarz,privat,Offer,2200,test,cabrio,2001,manuell,140,Other,150000,Jan,Gasoline,chrysler,Other,2016-03-25 00:00:00,35619,2016-04-07 12:17:49,2016,2016,March,March,13,12,15,11
2016-03-15 20:51:38,TOP_Chrysler_Stratus_Cabrio,privat,Offer,3500,test,cabrio,1998,automatik,170,andere,150000,Oct,Gasoline,chrysler,Other,2016-03-15 00:00:00,81541,2016-03-26 14:17:07,2016,2016,March,March,11,14,18,2
2016-03-19 22:58:34,Der_Sommer_kommt,privat,Offer,850,test,cabrio,1997,automatik,0,andere,150000,Jan,Other,chrysler,Other,2016-03-19 00:00:00,79114,2016-03-22 12:47:47,2016,2016,March,March,3,12,19,11
2016-04-05 09:57:14,Chrysler_Crossfire_Roadster_Automatik,privat,Offer,13995,control,cabrio,2005,automatik,218,crossfire,70000,Aug,Gasoline,chrysler,No,2016-04-05 00:00:00,1099,2016-04-07 12:45:29,2016,2016,April,April,2,12,11,4
2016-03-26 17:56:08,Chrysler_Stratus_Cabrio_Lpg_Anlage_2_5_lx_defekt,privat,Offer,950,control,cabrio,1998,automatik,165,andere,150000,Apr,Lpg,chrysler,Yes,2016-03-26 00:00:00,27243,2016-03-29 20:45:39,2016,2016,March,March,3,20,18,8
2016-03-09 16:38:20,Chrysler_Crossfire_Roadster_SRT_6_Automatik,privat,Offer,21400,test,cabrio,2008,automatik,334,crossfire,60000,Feb,Gasoline,chrysler,No,2016-03-09 00:00:00,42897,2016-03-14 07:45:19,2016,2016,March,March,5,7,8,10
2016-03-22 10:49:52,Chrysler_Stratus_2.0_Sunset_TRIPLE_BLACK,privat,Offer,1750,control,cabrio,1998,manuell,131,andere,150000,Sep,Gasoline,chrysler,No,2016-03-22 00:00:00,82152,2016-04-05 22:44:45,2016,2016,March,March,14,22,18,3
2016-03-10 22:48:58,Chrysler_PT_Cruiser_Cabrio_2.4,privat,Offer,4999,control,cabrio,2006,manuell,143,ptcruiser,70000,May,Gasoline,chrysler,No,2016-03-10 00:00:00,49134,2016-03-15 03:16:44,2016,2016,March,March,5,3,10,7
2016-03-28 09:51:15,Chrysler_Le_Baron_2.5,privat,Offer,2000,control,cabrio,1990,automatik,101,andere,150000,Feb,Gasoline,chrysler,No,2016-03-28 00:00:00,6217,2016-03-28 10:43:59,2016,2016,March,March,0,10,26,10
2016-03-10 14:38:57,Sebring_cabrio,privat,Offer,2750,test,cabrio,2001,automatik,203,andere,150000,Jan,Gasoline,chrysler,Other,2016-03-10 00:00:00,73441,2016-04-03 11:15:42,2016,2016,March,March,24,11,15,11
2016-03-16 20:40:05,Chrysler_Stratus_2.5_LX,privat,Offer,3750,control,cabrio,1999,automatik,163,andere,125000,Jul,Gasoline,chrysler,No,2016-03-16 00:00:00,47198,2016-03-20 21:45:22,2016,2016,March,March,4,21,17,5
2016-03-18 15:47:39,Le_Baron_Euro_2__3_0_Liter_B6,privat,Offer,1850,control,cabrio,1992,automatik,138,andere,20000,Jul,Gasoline,chrysler,No,2016-03-18 00:00:00,52080,2016-04-05 22:17:44,2016,2016,March,March,18,22,24,5
2016-03-23 11:50:00,Chrysler_PT_Cruiser_Cabrio_2.4_Automatik_Limited,privat,Offer,5400,test,cabrio,2005,automatik,143,ptcruiser,80000,Aug,Gasoline,chrysler,No,2016-03-23 00:00:00,37247,2016-04-07 13:17:08,2016,2016,March,March,15,13,11,4
2016-04-02 22:50:38,Chrysler_Stratus_2.0_LX,privat,Offer,2500,control,cabrio,1997,manuell,131,andere,150000,Jan,Gasoline,chrysler,No,2016-04-02 00:00:00,35444,2016-04-06 14:44:55,2016,2016,April,April,4,14,19,11
2016-03-15 12:46:43,Chrysler_Serbing_Cabrio_2.7_Automatikgetriebe_vollausstattung,privat,Offer,3900,control,cabrio,2003,automatik,203,andere,150000,Oct,Gasoline,chrysler,Other,2016-03-15 00:00:00,13357,2016-03-19 05:45:28,2016,2016,March,March,4,5,13,2
2016-04-03 11:49:48,Chrysler_Stratus_Cabrio_guter_Zustand,privat,Offer,1900,control,cabrio,1999,manuell,131,andere,150000,Jun,Gasoline,chrysler,No,2016-04-03 00:00:00,30926,2016-04-07 12:46:38,2016,2016,April,April,4,12,17,6
2016-03-05 14:08:00,"Chrysler_Stratus_2.5_LX_""Gepflegt""_AHK",privat,Offer,2700,test,cabrio,1998,automatik,163,andere,150000,Feb,Gasoline,chrysler,No,2016-03-04 00:00:00,35510,2016-03-07 17:19:55,2016,2016,March,March,3,17,18,10
2016-03-12 20:25:45,Chrysler_Sebring_Cabrio_2.7_Automatik_Touring_vollfahrber,privat,Offer,3500,control,cabrio,2006,automatik,203,andere,150000,Jun,Gasoline,chrysler,Yes,2016-03-12 00:00:00,35435,2016-03-19 12:47:17,2016,2016,March,March,7,12,10,6
2016-03-17 09:51:46,Chrysler_Sebring_Cabrio_2_8,privat,Offer,2500,test,cabrio,2002,automatik,0,andere,150000,Jan,Gasoline,chrysler,Other,2016-03-17 00:00:00,25785,2016-04-02 09:47:37,2016,2016,March,March,16,9,14,11
2016-03-10 11:57:41,Pt_Cruiser__Cabrio_2_4_Red_Crystal_Limitid_Leder__Navi_etc,privat,Offer,2300,test,cabrio,2005,manuell,141,ptcruiser,150000,May,Gasoline,chrysler,Yes,2016-03-10 00:00:00,53757,2016-04-07 04:46:20,2016,2016,March,March,28,4,11,7
2016-03-20 11:36:44,Chrysler_Stratus_2.5_LX,privat,Offer,950,test,cabrio,2000,automatik,163,andere,150000,Jan,Gasoline,chrysler,No,2016-03-20 00:00:00,35510,2016-03-21 17:10:47,2016,2016,March,March,1,17,16,11
2016-03-11 20:55:57,Crossfire_Chrysler,privat,Offer,10000,control,cabrio,2004,automatik,0,crossfire,80000,Oct,Gasoline,chrysler,No,2016-03-11 00:00:00,46045,2016-04-06 04:44:25,2016,2016,March,March,26,4,12,2
