dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-27 11:46:59,Dodge_Caliber_2.0l_Sxt_cvt___Unfall___teilespender___ami___us_car,privat,Offer,2100,test,suv,2009,automatik,156,andere,90000,Jun,Gasoline,chrysler,Yes,2016-03-27 00:00:00,8118,2016-04-01 10:44:39,2016,2016,March,March,5,10,7,6
2016-04-02 17:01:24,Jeep_Wrangler,privat,Offer,2700,control,suv,1990,manuell,0,andere,80000,Oct,Gasoline,chrysler,No,2016-04-02 00:00:00,56588,2016-04-02 22:45:07,2016,2016,April,April,0,22,26,2
2016-03-07 21:42:10,Oldtimer__V8__Dodge_W_200__pick_Up_mit_H_Kennzeichen,privat,Offer,7950,control,suv,1976,automatik,150,Other,150000,Jun,Gasoline,chrysler,No,2016-03-07 00:00:00,75446,2016-04-03 22:18:57,2016,2016,March,March,27,22,40,6
2016-03-08 12:45:54,Chrysler_Grand_Voyager_Liebhaberstueck_/_Ersatzteilspender,privat,Offer,699,test,suv,1995,automatik,0,voyager,150000,May,Gasoline,chrysler,No,2016-03-08 00:00:00,29559,2016-04-05 11:49:51,2016,2016,March,March,28,11,21,7
2016-03-07 12:52:03,Grand_Cherokee_4.0__LPG,privat,Offer,2650,test,suv,1994,automatik,190,grand,150000,Jan,Lpg,chrysler,Other,2016-03-07 00:00:00,32758,2016-03-15 11:15:30,2016,2016,March,March,8,11,22,11
2016-03-15 21:49:16,Chrysler_Grand_Voyager_Limited_mit_LPG,privat,Offer,3200,control,suv,2003,automatik,179,voyager,150000,Sep,Gasoline,chrysler,No,2016-03-15 00:00:00,77723,2016-03-17 18:48:02,2016,2016,March,March,2,18,13,3
2016-03-17 18:36:16,Cherokee_Jeep_4.0__D3_/_AHK_/_Klima,privat,Offer,2222,control,suv,1996,automatik,0,andere,150000,Jul,Gasoline,chrysler,Other,2016-03-17 00:00:00,67346,2016-04-05 02:18:12,2016,2016,March,March,19,2,20,5
2016-03-28 12:48:57,Dodge_W200,privat,Offer,12500,test,suv,1977,automatik,180,andere,150000,Jul,Gasoline,chrysler,No,2016-03-28 00:00:00,21698,2016-04-06 15:46:33,2016,2016,March,March,9,15,39,5
2016-03-11 11:55:29,Dodge_Pickup_Truck_XLT_Laramie_4x4_Cummins_Diesel_Long_Bed,privat,Offer,10900,control,suv,1997,automatik,180,andere,150000,May,Diesel,chrysler,No,2016-03-11 00:00:00,85250,2016-04-03 04:46:27,2016,2016,March,March,23,4,19,7
2016-03-21 20:45:15,Dodge_ram_2500_5.7_Hemi_4x4,privat,Offer,11000,control,suv,2003,automatik,365,Other,150000,Mar,Gasoline,chrysler,Other,2016-03-21 00:00:00,86485,2016-04-06 23:46:50,2016,2016,March,March,16,23,13,9
2016-03-20 17:52:14,Chrysler_Caravan_7_Sitzer,privat,Offer,400,test,suv,2000,automatik,145,andere,150000,Jul,Gasoline,chrysler,Other,2016-03-20 00:00:00,66822,2016-04-07 00:46:22,2016,2016,March,March,18,0,16,5
2016-03-18 00:54:52,Dodge_Caliber_2.0_SXT_CVT___Teile___Us_car___Ami___Unfall,privat,Offer,2100,test,suv,2009,automatik,156,andere,90000,Jun,Gasoline,chrysler,Other,2016-03-18 00:00:00,8118,2016-04-01 23:47:03,2016,2016,March,March,14,23,7,6
2016-03-20 18:48:35,Dodge_W200_Neu_Aufbau_fast_fertig,privat,Offer,1,test,suv,1976,automatik,2201,andere,100000,Aug,Other,chrysler,Yes,2016-03-20 00:00:00,39112,2016-03-20 18:48:35,2016,2016,March,March,0,18,40,4
2016-03-26 10:47:58,Chrysler_Aspen_5.7_V8_Hemi,privat,Offer,11900,test,suv,2008,automatik,340,andere,150000,Jul,Gasoline,chrysler,No,2016-03-26 00:00:00,9638,2016-04-05 22:15:51,2016,2016,March,March,10,22,8,5
2016-03-30 22:46:05,Dodge_RAM_1500_SLT_V8_5_9l_4x4_Benzin/Gas,privat,Offer,9900,control,suv,2000,automatik,250,Other,150000,Jun,Lpg,chrysler,Other,2016-03-30 00:00:00,17309,2016-04-05 13:18:59,2016,2016,March,March,6,13,16,6
2016-03-23 17:39:04,Verkaufe_mein_Chrysler_Grand_Voyager_2_4_GS,privat,Offer,200,control,suv,2001,manuell,150,voyager,150000,Jun,Gasoline,chrysler,Yes,2016-03-23 00:00:00,41541,2016-03-26 10:45:52,2016,2016,March,March,3,10,15,6
2016-03-18 07:37:05,Chrysler_Jeep_Grand_Cherokee_Diesel,privat,Offer,5500,test,suv,2003,automatik,160,andere,150000,Feb,Diesel,chrysler,No,2016-03-18 00:00:00,18510,2016-03-22 10:18:46,2016,2016,March,March,4,10,13,10
2016-03-23 08:54:17,Dodge_RAM__5.7_Hemi__UNFALL,privat,Offer,9650,control,suv,2005,automatik,345,andere,150000,Nov,Gasoline,chrysler,Yes,2016-03-23 00:00:00,37186,2016-04-07 07:44:54,2016,2016,March,March,15,7,11,1
2016-03-09 21:48:22,Chrysler_Pacifica,privat,Offer,1950,test,suv,2003,automatik,286,andere,150000,Nov,Diesel,chrysler,Yes,2016-03-09 00:00:00,79822,2016-04-06 00:15:38,2016,2016,March,March,28,0,13,1
2016-03-24 08:56:52,Jeep_Compass_Limited_2.4L_4x4_Allradantrieb_125_KW___170_PS,privat,Offer,20000,control,suv,2013,automatik,170,andere,20000,Nov,Gasoline,chrysler,No,2016-03-24 00:00:00,70199,2016-04-06 20:46:24,2016,2016,March,March,13,20,3,1
2016-03-25 09:50:59,Chrysler_Pacifica,privat,Offer,4900,test,suv,2004,automatik,253,andere,125000,Jan,Gasoline,chrysler,No,2016-03-25 00:00:00,52531,2016-03-29 22:16:12,2016,2016,March,March,4,22,12,11
2016-03-25 12:58:14,Dodge_Durango_Hemi__kein_Jeep__Cadillac__Chevrolet__Fiat,privat,Offer,11900,test,suv,2006,automatik,349,andere,150000,Mar,Lpg,chrysler,Other,2016-03-25 00:00:00,82266,2016-04-06 15:44:41,2016,2016,March,March,12,15,10,9
2016-03-13 00:56:15,Spassmobiel_Jeep_Cherokee_Chrysler___USA__,privat,Offer,1111,control,suv,1998,Unspecified,200,andere,20000,Jul,Lpg,chrysler,No,2016-03-13 00:00:00,26909,2016-03-16 14:46:37,2016,2016,March,March,3,14,18,5
