dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-25 18:56:32,Citroen__c1,privat,Offer,2350,test,Other,2006,Unspecified,0,c1,5000,Jan,,citroen,Other,2016-03-25 00:00:00,26123,2016-04-07 00:46:08,2016,2016,March,March,13,0,10,11
2016-03-21 19:48:25,Citroen_saxo_1.5_D_an_Bastler,privat,Offer,0,test,Other,2016,Unspecified,0,andere,150000,Oct,Diesel,citroen,Other,2016-03-21 00:00:00,28832,2016-03-30 08:17:36,2016,2016,March,March,9,8,0,2
2016-03-30 23:36:16,Citroën_Berlingo_Bastlerfahrzeug,privat,Offer,350,control,Other,2000,Unspecified,0,berlingo,150000,Jan,Gasoline,citroen,Other,2016-03-30 00:00:00,66265,2016-04-02 03:15:41,2016,2016,March,March,3,3,16,11
2016-03-09 18:36:42,Citroen__Saxo_1.0i_crono_Baujahr_2000,privat,Offer,150,test,Other,2000,manuell,0,andere,150000,Jan,Gasoline,citroen,Yes,2016-03-09 00:00:00,55578,2016-04-07 11:46:03,2016,2016,March,March,29,11,16,11
2016-03-22 16:57:36,Citroen_berlingo,privat,Offer,150,test,Other,2000,manuell,0,berlingo,150000,Apr,Other,citroen,Other,2016-03-22 00:00:00,18230,2016-03-22 16:57:36,2016,2016,March,March,0,16,16,8
2016-03-14 12:45:25,Citroen_xsara_an_Bastler__Baujahr_2000_TÜV_bis_11/2016,privat,Offer,150,test,Other,2000,Unspecified,0,Other,150000,Jan,Other,citroen,Other,2016-03-14 00:00:00,22455,2016-03-14 12:45:25,2016,2016,March,March,0,12,16,11
2016-03-14 14:52:47,Zu_verkaufen,privat,Offer,500,control,Other,2000,Unspecified,0,Other,150000,Jan,Other,citroen,Other,2016-03-14 00:00:00,32052,2016-03-20 02:18:42,2016,2016,March,March,6,2,16,11
2016-03-26 15:51:36,Citroen_Picasso_HDI_erste_Hand,privat,Offer,1500,test,Other,2016,Unspecified,0,Other,150000,Apr,Diesel,citroen,Other,2016-03-26 00:00:00,49459,2016-04-06 04:15:43,2016,2016,March,March,11,4,0,8
2016-03-17 09:57:36,Citroen_Cabrio,privat,Offer,2900,test,Other,2005,manuell,74,andere,125000,Mar,Other,citroen,Other,2016-03-17 00:00:00,17209,2016-03-29 20:16:15,2016,2016,March,March,12,20,11,9
2016-03-31 23:36:19,Citroen_AX,privat,Offer,250,control,Other,1995,Unspecified,0,andere,150000,Apr,Gasoline,citroen,Other,2016-03-31 00:00:00,10781,2016-04-01 07:45:09,2016,2016,March,March,1,7,21,8
