dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-02 21:54:46,CITREON_JUMPER_2_2_2010_LKW__KASTEN_HOCH_UND_LANG_TOP,privat,Offer,5500,test,andere,2010,manuell,120,andere,150000,Jul,Diesel,citroen,No,2016-04-02 00:00:00,7545,2016-04-02 22:44:37,2016,2016,April,April,0,22,6,5
2016-03-22 13:51:53,Citroen_Berlingo_Chrono_Multispace_Raum_/_Sparwunder_LPG/Benzin,privat,Offer,850,control,andere,2001,Unspecified,0,andere,150000,Jan,,citroen,Other,2016-03-22 00:00:00,23829,2016-03-28 03:47:05,2016,2016,March,March,6,3,15,11
2016-03-29 19:52:13,Citroen_Jumpy_2.0_HDI_LKW_Kastenwagen_Transporter_wie_Caddy_od_T4,privat,Offer,3149,control,andere,2006,manuell,109,andere,150000,Mar,Diesel,citroen,No,2016-03-29 00:00:00,54534,2016-03-29 19:52:13,2016,2016,March,March,0,19,10,9
2016-03-17 20:38:14,Citroen_Jumper_Bj._2003__Gruene_Plakette__125.000Km__Wohnmobil,privat,Offer,4000,control,andere,2003,manuell,74,andere,125000,Sep,Diesel,citroen,No,2016-03-17 00:00:00,42279,2016-03-23 09:47:55,2016,2016,March,March,6,9,13,3
2016-03-22 18:50:32,Citroen_Berlingo___An_Bastler,privat,Offer,750,control,andere,1996,manuell,70,berlingo,150000,Jun,Diesel,citroen,Other,2016-03-22 00:00:00,26817,2016-03-24 03:16:19,2016,2016,March,March,2,3,20,6
2016-03-05 18:43:47,Citroen__Berlingo,privat,Offer,250,test,andere,1999,manuell,70,berlingo,150000,Mar,Diesel,citroen,Yes,2016-03-05 00:00:00,1468,2016-03-30 14:44:54,2016,2016,March,March,25,14,17,9
2016-04-01 18:37:50,Citroen_Jumper,privat,Offer,650,control,andere,1994,manuell,86,andere,150000,Jan,Diesel,citroen,Other,2016-04-01 00:00:00,18519,2016-04-05 14:16:52,2016,2016,April,April,4,14,22,11
2016-03-08 20:49:22,Citroen_jumpy_Serie_2,privat,Offer,0,control,andere,2006,manuell,90,andere,150000,Feb,Other,citroen,Other,2016-03-08 00:00:00,47546,2016-03-10 18:19:36,2016,2016,March,March,2,18,10,10
2016-03-24 12:38:13,Citroen_Berlingo_Multispace___66_kw___Klima,privat,Offer,2300,test,andere,2006,manuell,90,berlingo,150000,Jul,Diesel,citroen,Yes,2016-03-24 00:00:00,12103,2016-03-24 12:38:13,2016,2016,March,March,0,12,10,5
2016-03-23 20:48:00,Citroen_Berlingo_1.6L.,privat,Offer,650,test,andere,1999,manuell,75,berlingo,150000,Jan,Gasoline,citroen,Other,2016-03-23 00:00:00,46485,2016-03-23 20:48:00,2016,2016,March,March,0,20,17,11
2016-03-23 07:54:04,Citroeen_jampyer_mit_TÜV_bis_2018,privat,Offer,4999,control,andere,2008,manuell,101,andere,150000,Nov,Diesel,citroen,No,2016-03-23 00:00:00,67112,2016-03-28 23:44:20,2016,2016,March,March,5,23,8,1
2016-03-30 15:37:14,Citroen_Mehari,privat,Offer,4750,test,andere,1980,manuell,0,andere,40000,Apr,Gasoline,citroen,No,2016-03-30 00:00:00,34621,2016-03-30 15:37:14,2016,2016,March,March,0,15,36,8
2016-04-02 22:39:32,Citroen_Berlingo_Diesel_LKW_Zulassung_,privat,Offer,955,test,andere,1999,manuell,68,berlingo,150000,Sep,Diesel,citroen,No,2016-04-02 00:00:00,41352,2016-04-02 22:39:32,2016,2016,April,April,0,22,17,3
2016-04-04 18:48:40,Citroen_Berlingo_Kasten_1.6_HDI_90_Niveau_B_L1,privat,Offer,6280,test,andere,2010,manuell,90,berlingo,125000,Jun,Diesel,citroen,No,2016-04-04 00:00:00,67722,2016-04-06 21:15:48,2016,2016,April,April,2,21,6,6
2016-04-01 11:37:03,Citroen_Xara_Picasso,privat,Offer,1250,test,andere,2003,manuell,116,andere,150000,Apr,Gasoline,citroen,No,2016-04-01 00:00:00,44227,2016-04-01 12:44:40,2016,2016,April,April,0,12,13,8
2016-03-17 18:47:35,Citroen_Berlingo_Kastenwagen,privat,Offer,500,control,andere,2001,manuell,0,berlingo,150000,Jan,Gasoline,citroen,Other,2016-03-17 00:00:00,37269,2016-03-19 18:47:06,2016,2016,March,March,2,18,15,11
2016-03-30 20:37:21,Citroën_C4_Picasso_Grand_2.0_16V_EGS6_style,privat,Offer,2500,control,andere,2007,automatik,0,c4,150000,Sep,Gasoline,citroen,Other,2016-03-30 00:00:00,23560,2016-03-30 20:37:21,2016,2016,March,March,0,20,9,3
2016-04-02 13:52:44,Citroën_Xsara_TÜV_8/16,privat,Offer,555,test,andere,2003,manuell,109,andere,150000,Apr,Gasoline,citroen,Other,2016-04-02 00:00:00,35116,2016-04-06 12:46:06,2016,2016,April,April,4,12,13,8
2016-03-08 11:53:13,Citroën_Berlingo_1.9_Diesel_mit_75PS_mit_TÜV_11/2016_mit_air_bag,privat,Offer,1350,control,andere,2006,manuell,75,berlingo,150000,Sep,Diesel,citroen,No,2016-03-08 00:00:00,42277,2016-03-08 12:43:56,2016,2016,March,March,0,12,10,3
2016-03-29 11:38:22,Citroën_Berlingo,privat,Offer,3000,test,andere,2006,manuell,110,berlingo,150000,Jun,Gasoline,citroen,No,2016-03-29 00:00:00,83623,2016-03-31 03:45:01,2016,2016,March,March,2,3,10,6
2016-03-19 22:50:35,Berlingo_1.6_16V_Multispace_Van/_Kleinbus_80_KW_109_PS_Benzin,privat,Offer,6900,test,andere,2009,manuell,0,berlingo,90000,Feb,Gasoline,citroen,No,2016-03-19 00:00:00,69488,2016-04-03 16:15:44,2016,2016,March,March,15,16,7,10
2016-03-08 11:49:37,Verkaufe_oder_Tausche_Citroen_Berlingo_gegen.....?,privat,Offer,2500,control,andere,2000,manuell,75,berlingo,150000,Nov,Gasoline,citroen,No,2016-03-08 00:00:00,18147,2016-04-07 10:45:21,2016,2016,March,March,30,10,16,1
2016-03-18 21:46:46,Zuverkaufen_oder_Tauschen,privat,Offer,0,control,andere,2002,manuell,75,berlingo,150000,Mar,Gasoline,citroen,Other,2016-03-18 00:00:00,31275,2016-04-05 22:47:32,2016,2016,March,March,18,22,14,9
2016-03-05 16:36:55,Citroën_Berlingo,privat,Offer,2600,control,andere,2004,manuell,70,berlingo,70000,Jan,Diesel,citroen,Other,2016-03-05 00:00:00,38116,2016-03-09 10:45:15,2016,2016,March,March,4,10,12,11
2016-03-24 11:54:15,Citroen_xara_Picasso_Familienauto,privat,Offer,1999,test,andere,2005,manuell,105,Other,125000,Aug,Other,citroen,No,2016-03-24 00:00:00,6408,2016-03-24 12:46:37,2016,2016,March,March,0,12,11,4
2016-03-08 11:52:58,Berlingo_1_4_.Multi_D4_Kat_Klima_el_Faltdach_ABS_EFH_AHK_ect.,privat,Offer,1190,control,andere,2000,manuell,75,berlingo,150000,Jul,Gasoline,citroen,No,2016-03-08 00:00:00,45472,2016-03-10 04:45:09,2016,2016,March,March,2,4,16,5
2016-03-27 17:55:56,Verkaufe_gebrauchten_Citroen_Berlingo,privat,Offer,2150,test,andere,2006,manuell,73,berlingo,150000,Jun,Lpg,citroen,No,2016-03-27 00:00:00,99869,2016-03-27 17:55:56,2016,2016,March,March,0,17,10,6
2016-03-09 16:56:52,Berlingo_zum_ausschlachten,privat,Offer,200,test,andere,2002,manuell,65,berlingo,150000,Mar,Diesel,citroen,Other,2016-03-09 00:00:00,57076,2016-03-23 09:18:13,2016,2016,March,March,14,9,14,9
2016-03-15 16:47:41,Citroen_jumper_hoch_lang,privat,Offer,3700,control,andere,2004,manuell,105,Other,150000,Mar,Diesel,citroen,Other,2016-03-15 00:00:00,14478,2016-04-06 12:17:05,2016,2016,March,March,22,12,12,9
2016-03-19 18:36:55,Citroen_Jumpy_2.0_Hdi_Lang_Lkw_mit_Tuev,privat,Offer,1000,test,andere,2000,manuell,95,Other,150000,Nov,Diesel,citroen,Other,2016-03-19 00:00:00,54316,2016-03-19 19:40:35,2016,2016,March,March,0,19,16,1
2016-03-25 19:37:44,Citroën_C4_1_4l_nur_78600_Km_Scheckheft_gepflegt,privat,Offer,2990,test,andere,2006,manuell,88,c4,80000,May,Gasoline,citroen,No,2016-03-25 00:00:00,49201,2016-04-05 09:43:20,2016,2016,March,March,11,9,10,7
2016-03-29 15:44:59,Citroën_jampyer_mit_6_sitzer_neue_TÜV_2018,privat,Offer,4999,control,andere,2008,manuell,101,andere,150000,Nov,Diesel,citroen,Other,2016-03-29 00:00:00,67112,2016-04-06 01:16:05,2016,2016,March,March,8,1,8,1
2016-03-15 22:48:42,Citroën_Berlingo_1.9DIESEL_75PS_MIT_TÜV_11/2017,privat,Offer,1450,control,andere,2005,manuell,75,berlingo,150000,Nov,Diesel,citroen,No,2016-03-15 00:00:00,42277,2016-03-15 22:48:42,2016,2016,March,March,0,22,11,1
2016-03-29 14:54:24,Gebrauchtwagen,privat,Offer,0,test,andere,2003,manuell,115,andere,150000,Oct,Gasoline,citroen,Other,2016-03-29 00:00:00,13507,2016-04-02 02:17:39,2016,2016,March,March,4,2,13,2
2016-03-21 10:48:54,Citroen_jumpy_Kastenwagen_aus_erster__hand,privat,Offer,3850,test,andere,2010,manuell,90,Other,150000,Apr,Diesel,citroen,Yes,2016-03-21 00:00:00,26842,2016-04-06 04:16:04,2016,2016,March,March,16,4,6,8
2016-03-27 00:59:00,Citroen__F___LKW_Kasten__Acadiane,privat,Offer,450,test,andere,1981,manuell,29,andere,5000,Feb,Gasoline,citroen,Other,2016-03-26 00:00:00,25581,2016-04-07 04:17:34,2016,2016,March,March,12,4,35,10
2016-03-18 15:39:00,Arbeitsauto_Berlingo_LKW_Zulassung,privat,Offer,1100,control,andere,2001,manuell,45,berlingo,150000,Nov,Diesel,citroen,Other,2016-03-18 00:00:00,39624,2016-03-23 17:50:55,2016,2016,March,March,5,17,15,1
