dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-20 19:49:21,Citroën_Berlingo_L1_1.6_HDi_75_Niveau_B,privat,Offer,4850,test,bus,2009,manuell,75,berlingo,80000,Jan,Diesel,citroen,No,2016-03-20 00:00:00,42651,2016-03-20 19:49:21,2016,2016,March,March,0,19,7,11
2016-04-02 07:56:21,Citroën_Xsara_Picasso_1.6_HDi_Exclusive,privat,Offer,2790,test,bus,2004,manuell,109,andere,150000,May,Diesel,citroen,No,2016-04-02 00:00:00,26133,2016-04-02 08:48:45,2016,2016,April,April,0,8,12,7
2016-03-27 13:55:27,Citroën_Jumper_35_L3H2_Heavy,privat,Offer,6800,test,bus,2011,manuell,120,andere,150000,Jan,Diesel,citroen,No,2016-03-27 00:00:00,67071,2016-04-07 09:46:23,2016,2016,March,March,11,9,5,11
2016-03-06 14:49:30,Citroen_Grand_C4_Picasso,privat,Offer,9300,control,bus,2011,manuell,120,c4,80000,Jul,Gasoline,citroen,No,2016-03-06 00:00:00,64646,2016-04-06 11:45:55,2016,2016,March,March,31,11,5,5
2016-03-16 01:36:18,Citroën_Jumper_30_L2H1,privat,Offer,5100,test,bus,2010,manuell,120,andere,150000,Oct,Diesel,citroen,No,2016-03-16 00:00:00,33649,2016-03-25 04:44:54,2016,2016,March,March,9,4,6,2
2016-03-07 07:55:12,Citroën_Berlingo_Kasten_Lang2__AHK_Bulli_Bus_PDC_Klima_TÜV_NEU,privat,Offer,6100,test,bus,2011,manuell,90,berlingo,150000,Oct,Diesel,citroen,No,2016-03-07 00:00:00,28355,2016-03-23 21:19:58,2016,2016,March,March,16,21,5,2
2016-04-04 19:47:05,Citroën_C3_Picasso_VTi_95_Tendance_inkl._Winterreifen,privat,Offer,10350,test,bus,2013,manuell,95,c3,30000,Apr,Gasoline,citroen,No,2016-04-04 00:00:00,86159,2016-04-06 22:15:39,2016,2016,April,April,2,22,3,8
2016-03-15 17:25:19,Citroën_C4_Picasso_2.0_16V_Aut._Exclusive,privat,Offer,4950,test,bus,2008,automatik,140,c4,150000,Apr,Lpg,citroen,No,2016-03-15 00:00:00,60386,2016-04-06 16:45:13,2016,2016,March,March,22,16,8,8
2016-03-26 16:43:31,Citroën_Berlingo_600_1.6_HDi_90_Niveau_Klimaanlage,privat,Offer,2999,control,bus,2007,manuell,90,berlingo,125000,Mar,Diesel,citroen,No,2016-03-26 00:00:00,52249,2016-03-31 12:17:01,2016,2016,March,March,5,12,9,9
2016-03-20 22:36:55,Citroen_Xsara_Picasso_1.8_Chrono,privat,Offer,2650,test,bus,2002,manuell,116,andere,100000,Nov,Gasoline,citroen,Other,2016-03-20 00:00:00,53340,2016-04-07 11:17:03,2016,2016,March,March,18,11,14,1
2016-03-25 12:55:24,Citroën_Xsara_Picasso_1.8i_Exclusive,privat,Offer,1650,test,bus,2000,manuell,116,andere,150000,Aug,Gasoline,citroen,No,2016-03-25 00:00:00,24558,2016-03-25 12:55:24,2016,2016,March,March,0,12,16,4
2016-03-21 20:50:20,Citroën_Xsara_Picasso_1.8i_SX,privat,Offer,1350,control,bus,2002,manuell,116,andere,150000,May,Gasoline,citroen,No,2016-03-21 00:00:00,1279,2016-04-04 21:47:51,2016,2016,March,March,14,21,14,7
2016-04-02 15:57:23,Citroën_Berlingo_Multispace_1.6_16V_Plus,privat,Offer,5250,control,bus,2007,manuell,109,berlingo,80000,Mar,Gasoline,citroen,No,2016-04-02 00:00:00,36251,2016-04-02 15:57:23,2016,2016,April,April,0,15,9,9
2016-03-29 21:59:18,Citroën_Berlingo_Multispace_e_HDi_90_FAP_EGS6_Start_...,privat,Offer,12500,test,bus,2012,manuell,92,berlingo,60000,Sep,Diesel,citroen,No,2016-03-29 00:00:00,29352,2016-04-06 08:45:40,2016,2016,March,March,8,8,4,3
2016-03-17 03:03:48,Citroën_Berlingo_1.6_HDI_Advance,privat,Offer,999,test,bus,2007,manuell,75,berlingo,150000,Mar,Diesel,citroen,No,2016-03-17 00:00:00,81829,2016-03-17 03:03:48,2016,2016,March,March,0,3,9,9
2016-03-09 21:43:11,Citroën_C8_2.0_HDi_SX,privat,Offer,2100,test,bus,2003,manuell,107,andere,150000,Jun,Diesel,citroen,No,2016-03-09 00:00:00,82069,2016-04-05 20:46:28,2016,2016,March,March,27,20,13,6
2016-04-05 12:46:01,Citroën_Berlingo_800_1.9_D,privat,Offer,700,test,bus,2001,manuell,69,berlingo,150000,Feb,Diesel,citroen,No,2016-04-05 00:00:00,31228,2016-04-05 12:46:01,2016,2016,April,April,0,12,15,10
2016-03-18 21:43:45,hola_buenas_senores,privat,Offer,1599,control,bus,2002,manuell,115,andere,150000,Jul,Gasoline,citroen,No,2016-03-18 00:00:00,66763,2016-04-05 22:47:31,2016,2016,March,March,18,22,14,5
2016-03-24 21:00:02,Citroën_Berlingo_Multispace__1_4_TÜV_08.17,privat,Offer,1350,test,bus,2002,Unspecified,0,berlingo,150000,Jul,Gasoline,citroen,Other,2016-03-24 00:00:00,50825,2016-03-24 21:00:02,2016,2016,March,March,0,21,14,5
2016-03-21 22:51:36,Citroën_Berlingo_Multispace_1.6_16V,privat,Offer,4100,control,bus,2006,manuell,109,berlingo,125000,Nov,Gasoline,citroen,No,2016-03-21 00:00:00,88637,2016-03-24 14:17:07,2016,2016,March,March,3,14,10,1
2016-03-12 16:57:40,Citroën_C3_Picasso_VTi_120_Exclusive,privat,Offer,9200,control,bus,2010,manuell,120,c3,50000,Sep,Gasoline,citroen,No,2016-03-12 00:00:00,87480,2016-03-22 01:46:55,2016,2016,March,March,10,1,6,3
2016-04-03 21:40:12,Citroën_Xsara_Picasso_1.6i_Tonic,privat,Offer,1500,test,bus,2003,manuell,95,andere,90000,Nov,Gasoline,citroen,No,2016-04-03 00:00:00,44628,2016-04-03 21:40:12,2016,2016,April,April,0,21,13,1
2016-03-20 07:56:15,Zuverkaufen_ist_ein_Citroën_xsara,privat,Offer,750,control,bus,1998,Unspecified,0,andere,150000,Jun,Diesel,citroen,Other,2016-03-20 00:00:00,40211,2016-03-21 11:17:44,2016,2016,March,March,1,11,18,6
2016-03-15 09:52:17,Citroen_Xsara_Picasso_Van_5_Sitzer,privat,Offer,1500,control,bus,2002,Unspecified,115,andere,150000,Jan,Gasoline,citroen,No,2016-03-15 00:00:00,14712,2016-03-15 10:43:45,2016,2016,March,March,0,10,14,11
2016-03-31 01:36:24,Citreon_Jumpy_L1_H1,privat,Offer,7450,test,bus,2011,Unspecified,0,andere,100000,Nov,Other,citroen,Other,2016-03-31 00:00:00,66125,2016-04-06 02:16:14,2016,2016,March,March,6,2,5,1
2016-03-09 09:55:33,Citroën_Jumpy_2.0_HDi_SX,privat,Offer,3500,test,bus,2003,manuell,94,andere,150000,Oct,Diesel,citroen,No,2016-03-09 00:00:00,77836,2016-03-14 12:44:35,2016,2016,March,March,5,12,13,2
2016-04-02 19:54:26,C_4_Grand_C_4_Picasso__135_Ps_Diesel_NAVI_top_Ausstattung_7_Sitze,privat,Offer,9990,control,bus,2009,manuell,135,c4,80000,Aug,Diesel,citroen,No,2016-04-02 00:00:00,96052,2016-04-06 20:17:28,2016,2016,April,April,4,20,7,4
2016-03-14 23:00:26,Citroën_Jumper_2_2_hdi,privat,Offer,3350,control,bus,2005,manuell,101,andere,150000,Aug,Diesel,citroen,No,2016-03-14 00:00:00,35083,2016-04-07 14:58:28,2016,2016,March,March,24,14,11,4
2016-03-31 16:57:16,Citroën_Jumpy_1.6i_verglast,privat,Offer,800,control,bus,1996,manuell,79,andere,150000,Apr,Gasoline,citroen,No,2016-03-31 00:00:00,3149,2016-04-06 10:45:49,2016,2016,March,March,6,10,20,8
2016-03-11 11:50:53,Citroën_Berlingo_Multispace_2.0_HDi,privat,Offer,1450,control,bus,2001,manuell,90,berlingo,150000,Oct,Diesel,citroen,No,2016-03-11 00:00:00,28844,2016-03-16 19:19:23,2016,2016,March,March,5,19,15,2
