dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-31 14:39:03,Citroën_c4_Coupé_TÜV_2017,privat,Offer,2300,control,coupe,2006,manuell,88,c4,150000,Jun,Gasoline,citroen,No,2016-03-31 00:00:00,49565,2016-04-05 18:46:30,2016,2016,March,March,5,18,10,6
2016-03-29 14:54:44,Citroeen_Xara_1_4_inklusive_Neu_TÜV/AU,privat,Offer,1299,test,coupe,1998,manuell,75,andere,150000,Sep,Gasoline,citroen,No,2016-03-29 00:00:00,13435,2016-04-06 01:15:42,2016,2016,March,March,8,1,18,3
2016-04-05 00:39:34,Citroën_Xsara__Coupe_1.8i_SX,privat,Offer,2550,control,coupe,2000,manuell,90,andere,50000,Jun,Gasoline,citroen,No,2016-04-04 00:00:00,59494,2016-04-07 08:15:37,2016,2016,April,April,3,8,16,6
2016-03-09 15:38:35,Citroen_C4_Coupe___VTS_Ausstattung___2_0_l_HDI_16V___136_PS,privat,Offer,3300,control,coupe,2005,manuell,136,c4,150000,Jan,Diesel,citroen,Other,2016-03-09 00:00:00,49082,2016-03-23 01:17:51,2016,2016,March,March,14,1,11,11
2016-03-23 17:59:45,Verkaufe_ein_Citroën_Xara_Coupé,privat,Offer,1000,control,coupe,2002,manuell,110,andere,150000,Mar,Gasoline,citroen,No,2016-03-23 00:00:00,19055,2016-04-05 22:18:07,2016,2016,March,March,13,22,14,9
2016-03-17 11:49:55,Citroen_xsara_1.4_fuer_teile_oder_export,privat,Offer,100,control,coupe,2000,manuell,75,andere,150000,Jan,Gasoline,citroen,Yes,2016-03-17 00:00:00,13597,2016-03-22 20:17:07,2016,2016,March,March,5,20,16,11
2016-03-26 20:53:12,Citroën_C4_Coupe_1.6_16V_VTR_Plus,privat,Offer,3000,control,coupe,2005,manuell,109,c4,150000,Jul,Gasoline,citroen,No,2016-03-26 00:00:00,83139,2016-04-04 11:44:24,2016,2016,March,March,9,11,11,5
2016-04-03 21:56:05,Citroën_C4_Coupe_VTi_120_C_Chic,privat,Offer,4900,test,coupe,2010,manuell,120,c4,150000,May,Lpg,citroen,No,2016-04-03 00:00:00,38350,2016-04-05 23:44:57,2016,2016,April,April,2,23,6,7
2016-03-24 21:38:17,Citroen_zx_16v_163ps_Klima_und_viel_mehr,privat,Offer,5555,test,coupe,1997,manuell,163,andere,150000,Jan,Gasoline,citroen,No,2016-03-24 00:00:00,2625,2016-04-05 17:17:13,2016,2016,March,March,12,17,19,11
2016-03-17 23:45:22,Citroën_Xsara_Coupe_1.6_16V_VTS,privat,Offer,1500,control,coupe,2001,manuell,109,andere,150000,Apr,Gasoline,citroen,No,2016-03-17 00:00:00,79379,2016-04-05 12:47:29,2016,2016,March,March,19,12,15,8
2016-03-09 17:31:03,Citroën_C4_Coupe_1.6_HDi_FAP_VTR,privat,Offer,5800,test,coupe,2007,manuell,109,c4,100000,Oct,Diesel,citroen,No,2016-03-09 00:00:00,55120,2016-04-07 06:45:57,2016,2016,March,March,29,6,9,2
2016-03-20 11:46:59,Citroën_C4_Coupe_1.6_16V_VTR,privat,Offer,2600,test,coupe,2006,manuell,109,c4,150000,Jul,Gasoline,citroen,No,2016-03-20 00:00:00,50769,2016-04-06 09:44:55,2016,2016,March,March,17,9,10,5
2016-03-05 16:39:12,Citroën_C4_Coupe_1.4_16V_VTR_fuer_2099_EUR,privat,Offer,1990,control,coupe,2006,manuell,88,Other,150000,Jan,Gasoline,citroen,No,2016-03-05 00:00:00,58640,2016-03-12 20:48:17,2016,2016,March,March,7,20,10,11
2016-04-02 11:45:25,Citroën_C4_Coupe_THP_150_VTS_/_Checkheftgepflegt,privat,Offer,5799,test,coupe,2009,manuell,150,c4,80000,Mar,Gasoline,citroen,No,2016-04-02 00:00:00,90763,2016-04-06 09:17:37,2016,2016,April,April,4,9,7,9
2016-03-10 22:47:17,Citroën_Xsara_Coupe_2.0_16V_VTS,privat,Offer,2900,control,coupe,2001,manuell,163,andere,150000,Sep,Gasoline,citroen,Yes,2016-03-10 00:00:00,74613,2016-04-07 04:15:24,2016,2016,March,March,28,4,15,3
2016-03-23 15:36:24,Citroën_C4_Coupe_HDi_110_FAP,privat,Offer,5990,test,coupe,2010,manuell,109,c4,125000,Apr,Diesel,citroen,No,2016-03-23 00:00:00,58507,2016-04-05 20:16:17,2016,2016,March,March,13,20,6,8
2016-04-01 22:51:00,Citroën_c2_1.2,privat,Offer,2400,test,coupe,2007,manuell,68,c2,150000,Jul,Gasoline,citroen,Other,2016-04-01 00:00:00,45277,2016-04-01 23:43:13,2016,2016,April,April,0,23,9,5
