dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-09 12:55:36,Citroen_C3__TÜV_neu_Benzin__109_PS_1_6i_2003_Automatik,privat,Offer,3555,control,kleinwagen,2003,automatik,109,c3,100000,Feb,Gasoline,citroen,No,2016-03-09 00:00:00,48683,2016-04-05 23:45:18,2016,2016,March,March,27,23,13,10
2016-04-01 14:56:45,Citroën_C3_1.4_Exclusive,privat,Offer,4000,test,kleinwagen,2008,manuell,73,c3,90000,Oct,Gasoline,citroen,No,2016-04-01 00:00:00,6567,2016-04-07 12:46:22,2016,2016,April,April,6,12,8,2
2016-03-14 05:41:10,gepflegter_Citroen_C3,privat,Offer,2400,test,kleinwagen,2004,manuell,74,c3,125000,Jun,Gasoline,citroen,No,2016-03-13 00:00:00,96515,2016-04-06 21:18:44,2016,2016,March,March,24,21,12,6
2016-03-15 11:37:05,Citroën_C3_1.4_16V_Senso_Drive_VTR_Teilleder_Webasto,privat,Offer,4999,test,kleinwagen,2006,automatik,88,c3,70000,May,Gasoline,citroen,No,2016-03-15 00:00:00,12157,2016-04-05 20:46:37,2016,2016,March,March,21,20,10,7
2016-03-22 09:51:06,Citroen_Saxo_1.1,privat,Offer,400,test,kleinwagen,1998,manuell,54,andere,150000,Jan,Gasoline,citroen,No,2016-03-22 00:00:00,56307,2016-03-28 06:46:19,2016,2016,March,March,6,6,18,11
2016-04-02 19:50:22,Citroën_C1_TÜV_NEU,privat,Offer,2850,control,kleinwagen,2007,manuell,68,c1,100000,May,Gasoline,citroen,No,2016-04-02 00:00:00,25524,2016-04-06 20:17:11,2016,2016,April,April,4,20,9,7
2016-03-09 19:49:47,Citroën_C3_1.4_HDi_Exclusive,privat,Offer,1990,test,kleinwagen,2004,manuell,68,c3,150000,Apr,Diesel,citroen,No,2016-03-09 00:00:00,90478,2016-04-05 14:18:05,2016,2016,March,March,27,14,12,8
2016-03-15 19:45:40,Citroën_Saxo_1.4_VTS,privat,Offer,1450,control,kleinwagen,2002,manuell,75,andere,150000,Apr,Gasoline,citroen,No,2016-03-15 00:00:00,24220,2016-03-28 17:47:05,2016,2016,March,March,13,17,14,8
2016-03-06 18:41:55,Citroën_C1_1.0_Style,privat,Offer,3250,control,kleinwagen,2010,manuell,68,c1,125000,Oct,Gasoline,citroen,No,2016-03-06 00:00:00,24106,2016-03-15 19:20:16,2016,2016,March,March,9,19,6,2
2016-03-26 12:48:56,Citroën_C1_1.0_Servo__Gruene_Plakette,privat,Offer,3799,control,kleinwagen,2009,manuell,68,c1,70000,Jul,Gasoline,citroen,No,2016-03-26 00:00:00,24116,2016-04-06 00:44:51,2016,2016,March,March,11,0,7,5
