dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-12 21:38:44,Citroën_C_Crosser_FAP,privat,Offer,11690,test,suv,2009,manuell,156,andere,125000,Jun,Diesel,citroen,No,2016-03-12 00:00:00,76872,2016-04-05 15:45:29,2016,2016,March,March,24,15,7,6
2016-03-31 11:51:02,Citroën_Picasso_C4_1_8._16V_7_sitzer,privat,Offer,6000,control,suv,2006,manuell,125,c4,150000,Nov,Gasoline,citroen,No,2016-03-31 00:00:00,33699,2016-04-04 03:44:43,2016,2016,March,March,4,3,10,1
2016-03-14 05:41:10,Citroen_C4_Aircross_Leasinguebernahme_+_1.000_Barauszahlung,privat,Offer,350,test,suv,2015,manuell,150,Other,20000,Feb,Diesel,citroen,Other,2016-03-13 00:00:00,46395,2016-04-02 20:48:42,2016,2016,March,March,20,20,1,10
2016-03-16 23:51:05,Sauber_und_gepflegter_Citroen_Evasion_mit_Autogas_LPG,privat,Offer,1400,test,suv,2000,manuell,132,andere,150000,Sep,Lpg,citroen,No,2016-03-16 00:00:00,60389,2016-03-17 21:40:35,2016,2016,March,March,1,21,16,3
2016-03-13 21:46:48,Citroën_C4_Aircross,privat,Offer,16600,test,suv,2011,manuell,150,c4,60000,Oct,Diesel,citroen,No,2016-03-13 00:00:00,76307,2016-04-06 19:16:55,2016,2016,March,March,24,19,5,2
2016-03-11 12:37:54,Citroën_C_Crosser_FAP_DCS_Exclusive,privat,Offer,13950,test,suv,2012,automatik,156,andere,150000,Oct,Diesel,citroen,No,2016-03-11 00:00:00,41747,2016-04-07 05:44:22,2016,2016,March,March,27,5,4,2
2016-03-12 12:45:22,Citroën_C_Crosser_FAP_Exclusive,privat,Offer,10529,test,suv,2008,manuell,156,andere,125000,Mar,Diesel,citroen,No,2016-03-12 00:00:00,86161,2016-04-06 08:44:19,2016,2016,March,March,25,8,8,9
2016-04-01 17:59:31,Citroën_C_Crosser_FAP_Exclusive,privat,Offer,10200,test,suv,2007,manuell,156,andere,150000,Nov,Diesel,citroen,No,2016-04-01 00:00:00,13053,2016-04-05 14:17:03,2016,2016,April,April,4,14,9,1
2016-03-16 20:39:17,Citroën_C_Crosser_FAP_Tendance,privat,Offer,14300,control,suv,2010,manuell,156,andere,125000,Jul,Diesel,citroen,No,2016-03-16 00:00:00,74523,2016-03-17 19:18:43,2016,2016,March,March,1,19,6,5
2016-03-21 11:54:29,Citroën_C_Crosser_FAP_Tendance,privat,Offer,9999,control,suv,2009,manuell,156,andere,100000,Oct,Diesel,citroen,No,2016-03-21 00:00:00,89134,2016-03-23 23:46:31,2016,2016,March,March,2,23,7,2
