dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-06 16:48:16,Zuverlaessiges_Auto_sucht_neuen_Besitzer,privat,Offer,600,test,Other,2000,manuell,86,lanos,125000,Jan,Gasoline,daewoo,No,2016-03-06 00:00:00,18181,2016-03-25 17:17:54,2016,2016,March,March,19,17,16,11
2016-03-19 10:37:44,Daewoo_....,privat,Offer,320,test,Other,2005,Unspecified,0,Other,150000,Jan,Gasoline,daewoo,Other,2016-03-19 00:00:00,47139,2016-03-19 10:37:44,2016,2016,March,March,0,10,11,11
2016-03-24 10:52:59,Deawoo_matiz,privat,Offer,999,test,Other,2016,manuell,63,matiz,60000,Jun,Gasoline,daewoo,Other,2016-03-24 00:00:00,26133,2016-04-07 01:47:06,2016,2016,March,March,14,1,0,6
2016-04-03 21:47:29,DAEWOO_LEGANZA._2.0_CDX,privat,Offer,275,test,Other,2016,manuell,0,andere,125000,Apr,Gasoline,daewoo,No,2016-04-03 00:00:00,19061,2016-04-03 21:47:29,2016,2016,April,April,0,21,0,8
2016-03-26 18:54:55,Auto_Daewoo,privat,Offer,100,test,Other,2000,manuell,70,Other,150000,Sep,Gasoline,daewoo,No,2016-03-26 00:00:00,79771,2016-03-26 18:54:55,2016,2016,March,March,0,18,16,3
2016-03-17 18:38:54,Daewoo_zu_verkaufen,privat,Offer,599,control,Other,2000,manuell,0,matiz,70000,Jan,Other,daewoo,Yes,2016-03-17 00:00:00,26817,2016-04-05 02:18:18,2016,2016,March,March,19,2,16,11
2016-03-30 13:39:24,tausche_stadtpflitzer_gegen_7_sitzer_diesel,privat,Offer,1250,test,Other,2005,manuell,58,matiz,70000,Jan,Other,daewoo,Other,2016-03-30 00:00:00,71540,2016-04-07 04:15:36,2016,2016,March,March,8,4,11,11
2016-04-01 11:48:01,Daewoo_Leganza_2.0_CDX,privat,Offer,350,test,Other,2016,manuell,133,andere,125000,Apr,Gasoline,daewoo,No,2016-04-01 00:00:00,19061,2016-04-03 07:50:05,2016,2016,April,April,2,7,0,8
2016-03-15 20:39:12,Daewoo_Rezzo_Benzin_/Gas,privat,Offer,1100,test,Other,2005,manuell,0,andere,150000,Sep,Other,daewoo,Yes,2016-03-15 00:00:00,93413,2016-04-07 01:46:44,2016,2016,March,March,23,1,11,3
2016-03-08 16:50:12,Daewoo_Nubira,privat,Offer,250,test,Other,2000,automatik,0,nubira,150000,Jan,Other,daewoo,Other,2016-03-08 00:00:00,14532,2016-03-09 08:15:29,2016,2016,March,March,1,8,16,11
2016-03-22 17:39:31,Daewoo_Lanos__Kleinwagen,privat,Offer,300,control,Other,2000,manuell,68,lanos,150000,Jan,Gasoline,daewoo,No,2016-03-22 00:00:00,83278,2016-04-06 08:17:06,2016,2016,March,March,15,8,16,11
2016-03-28 21:46:21,Daewoo_Lacetti,privat,Offer,999,control,Other,2005,manuell,108,Other,150000,Feb,Other,daewoo,Other,2016-03-28 00:00:00,21423,2016-04-07 04:17:30,2016,2016,March,March,10,4,11,10
2016-03-22 09:52:05,Daewoo_Nubira_tuev_2018,privat,Offer,2599,test,Other,2005,manuell,122,nubira,100000,Nov,Other,daewoo,Yes,2016-03-22 00:00:00,31515,2016-04-03 21:15:59,2016,2016,March,March,12,21,11,1
2016-03-15 07:55:50,Daewo_lanos,privat,Offer,300,test,Other,2016,manuell,60,lanos,125000,Jun,Other,daewoo,No,2016-03-15 00:00:00,47809,2016-03-16 04:47:08,2016,2016,March,March,1,4,0,6
2016-03-17 07:56:46,Daewo_lanos,privat,Offer,300,control,Other,2016,manuell,0,lanos,125000,Jan,Other,daewoo,No,2016-03-17 00:00:00,47809,2016-03-17 09:41:48,2016,2016,March,March,0,9,0,11
2016-03-12 00:52:40,Dewoo_Matiz,privat,Offer,900,test,Other,2006,Unspecified,0,matiz,150000,Nov,Other,daewoo,Other,2016-03-11 00:00:00,39124,2016-03-18 01:16:09,2016,2016,March,March,7,1,10,1
2016-03-08 13:57:04,Daewoo_Lanus_Klat_zu_verkaufen,privat,Offer,200,control,Other,2016,manuell,0,lanos,150000,Feb,Other,daewoo,No,2016-03-08 00:00:00,66780,2016-03-19 05:16:57,2016,2016,March,March,11,5,0,10
2016-03-16 07:57:35,Daewo_lanos,privat,Offer,300,control,Other,2016,manuell,60,lanos,125000,Jun,Other,daewoo,No,2016-03-16 00:00:00,47809,2016-03-16 08:37:55,2016,2016,March,March,0,8,0,6
2016-04-03 09:37:23,Daewoo_Lacetti/Klan,privat,Offer,999,control,Other,2005,manuell,108,Other,150000,Feb,Other,daewoo,Other,2016-04-03 00:00:00,21224,2016-04-07 11:17:20,2016,2016,April,April,4,11,11,10
2016-03-22 15:36:57,Daewoo_Rezzo,privat,Offer,1000,control,Other,2006,automatik,0,Other,5000,Jan,Gasoline,daewoo,Other,2016-03-22 00:00:00,22149,2016-04-02 08:47:37,2016,2016,March,March,11,8,10,11
2016-03-29 14:53:57,Daewoo_Lanos,privat,Offer,100,test,Other,2016,Unspecified,0,Other,150000,Sep,Other,daewoo,Other,2016-03-29 00:00:00,33161,2016-04-02 02:17:37,2016,2016,March,March,4,2,0,3
2016-03-08 10:50:01,Daewoo_Nubria,privat,Offer,700,test,Other,2005,automatik,133,nubira,150000,Nov,Other,daewoo,Yes,2016-03-08 00:00:00,21037,2016-03-08 17:47:29,2016,2016,March,March,0,17,11,1
2016-03-16 14:53:17,Daewoo_Matiz_tuerkis_blau,privat,Offer,800,test,Other,2000,Unspecified,0,matiz,5000,Jan,Other,daewoo,Other,2016-03-16 00:00:00,47441,2016-04-06 14:47:07,2016,2016,March,March,21,14,16,11
