dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-07 18:57:15,Daewoo_Kalos,privat,Offer,650,control,kleinwagen,2002,Unspecified,0,kalos,20000,Aug,Other,daewoo,No,2016-03-07 00:00:00,8371,2016-03-07 18:57:15,2016,2016,March,March,0,18,14,4
2016-03-08 19:41:01,Daewoo_Matiz_TÜV_Neu,privat,Offer,1250,test,kleinwagen,2003,manuell,52,matiz,125000,Sep,Gasoline,daewoo,No,2016-03-08 00:00:00,23858,2016-03-09 11:15:43,2016,2016,March,March,1,11,13,3
2016-03-25 13:54:37,Daewoo_Lanos.1.4_75ps_HU.12.16,privat,Offer,649,test,kleinwagen,2000,manuell,75,lanos,150000,Oct,Gasoline,daewoo,No,2016-03-25 00:00:00,67269,2016-03-28 13:17:38,2016,2016,March,March,3,13,16,2
2016-03-05 19:46:08,Gebrauchtwagen_zu_verkaufen,privat,Offer,1700,test,kleinwagen,2003,manuell,83,kalos,100000,Aug,Gasoline,daewoo,No,2016-03-05 00:00:00,94469,2016-03-12 03:16:07,2016,2016,March,March,7,3,13,4
2016-03-23 18:47:07,Daewoo_Lanos_mit_TÜV_bis_6/16,privat,Offer,399,test,kleinwagen,1996,manuell,0,lanos,150000,Mar,Gasoline,daewoo,No,2016-03-23 00:00:00,54655,2016-04-05 23:45:05,2016,2016,March,March,13,23,20,9
2016-04-01 00:40:57,Daewoo_Kalos_1_4_SE,privat,Offer,1300,test,kleinwagen,2003,manuell,83,kalos,125000,May,Gasoline,daewoo,No,2016-03-31 00:00:00,27628,2016-04-01 00:40:57,2016,2016,March,April,1,0,13,7
2016-03-23 00:56:22,Daewoo_Matiz_0.8_SE_Klima,privat,Offer,550,test,kleinwagen,2000,manuell,52,matiz,150000,Jun,Gasoline,daewoo,No,2016-03-22 00:00:00,50769,2016-03-24 14:16:18,2016,2016,March,March,2,14,16,6
2016-03-08 17:40:38,Daewoo_Matiz_1.0,privat,Offer,1350,control,kleinwagen,2004,manuell,64,matiz,150000,Nov,Gasoline,daewoo,Yes,2016-03-08 00:00:00,41061,2016-04-07 06:16:01,2016,2016,March,March,30,6,12,1
2016-03-18 21:42:43,Deawoo_matiz_2005_motorschaden_tuv_2017!,privat,Offer,450,control,kleinwagen,2005,manuell,0,matiz,125000,Mar,Gasoline,daewoo,Yes,2016-03-18 00:00:00,48599,2016-03-22 11:17:20,2016,2016,March,March,4,11,11,9
2016-03-08 16:46:31,verklaufe_ein_daewoo_lanos_scheibenwischergeht_nicht_!_sonst_top,privat,Offer,1000,test,kleinwagen,1998,manuell,86,lanos,125000,Feb,Gasoline,daewoo,Yes,2016-03-08 00:00:00,28779,2016-04-07 01:17:43,2016,2016,March,March,30,1,18,10
2016-03-14 15:53:35,Daewoo_Matiz_0.8SE,privat,Offer,490,control,kleinwagen,1999,manuell,52,matiz,150000,Aug,Gasoline,daewoo,No,2016-03-14 00:00:00,52249,2016-03-31 02:46:44,2016,2016,March,March,17,2,17,4
2016-03-30 17:47:45,Daewoo_Kalos_1.4_Klimaanlage_TÜV_08/2016,privat,Offer,1200,control,kleinwagen,2003,manuell,83,kalos,150000,May,Gasoline,daewoo,No,2016-03-30 00:00:00,13581,2016-04-07 08:45:27,2016,2016,March,March,8,8,13,7
