dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-15 12:50:00,Krankenfahrstuhl_25_kmh__zu_verkaufen.,privat,Offer,300,control,Other,2005,manuell,0,punto,40000,Sep,Other,fiat,Yes,2016-03-15 00:00:00,26215,2016-03-25 04:19:17,2016,2016,March,March,10,4,11,3
2016-03-22 16:37:59,Fiat_Scudo_Bulli_Werkstattwagen_Diesel,privat,Offer,0,test,Other,2006,Unspecified,0,andere,5000,Jan,Other,fiat,Other,2016-03-22 00:00:00,44867,2016-04-06 06:17:56,2016,2016,March,March,15,6,10,11
2016-03-19 12:47:58,Verkaufe_Fiat_Punto,privat,Offer,120,test,Other,2016,manuell,60,punto,150000,Jan,Gasoline,fiat,Other,2016-03-19 00:00:00,57439,2016-03-19 12:47:58,2016,2016,March,March,0,12,0,11
2016-03-08 18:57:51,Fiat_punto_1_2_model188,privat,Offer,360,test,Other,2016,manuell,80,punto,150000,Oct,Other,fiat,Yes,2016-03-08 00:00:00,55545,2016-03-16 23:46:42,2016,2016,March,March,8,23,0,2
2016-03-31 15:25:23,Fiat_Punto,privat,Offer,175,control,Other,2000,Unspecified,0,punto,150000,Jan,Other,fiat,Other,2016-03-31 00:00:00,65344,2016-03-31 21:29:29,2016,2016,March,March,0,21,16,11
2016-03-29 19:56:33,Fiat_Punto_188,privat,Offer,0,control,Other,2016,manuell,60,punto,125000,Aug,Other,fiat,No,2016-03-29 00:00:00,47805,2016-03-31 13:44:49,2016,2016,March,March,2,13,0,4
2016-03-23 22:46:52,Fiat_Punto_2002_Diesel,privat,Offer,490,test,Other,2005,Unspecified,0,punto,150000,Jan,Diesel,fiat,Other,2016-03-23 00:00:00,57462,2016-04-04 03:44:33,2016,2016,March,March,12,3,11,11
2016-03-10 14:37:19,Fiat_Stilo_Abarth_2.4l,privat,Offer,1650,test,Other,2005,automatik,170,stilo,150000,Jan,Gasoline,fiat,Other,2016-03-10 00:00:00,44805,2016-03-24 18:18:45,2016,2016,March,March,14,18,11,11
2016-03-28 17:53:07,Fiat_Cinquecento_s,privat,Offer,350,test,Other,1997,Unspecified,0,andere,150000,Jan,Other,fiat,Other,2016-03-28 00:00:00,49767,2016-04-02 22:47:54,2016,2016,March,March,5,22,19,11
2016-03-26 10:57:15,Auto_Elektriker_gesucht,privat,Offer,0,test,Other,1995,manuell,82,ducato,150000,Feb,Diesel,fiat,Other,2016-03-26 00:00:00,47475,2016-04-05 22:16:02,2016,2016,March,March,10,22,21,10
2016-03-18 11:47:49,Fiat_Punto_188_1.9_Diesel,privat,Offer,200,control,Other,2005,Unspecified,0,punto,150000,Jan,Other,fiat,Other,2016-03-18 00:00:00,44653,2016-03-18 11:47:49,2016,2016,March,March,0,11,11,11
2016-03-24 22:57:29,Fiat_Punto_1_2_8V,privat,Offer,1600,control,Other,2016,manuell,60,punto,125000,Feb,Gasoline,fiat,No,2016-03-24 00:00:00,97078,2016-04-06 04:46:19,2016,2016,March,March,13,4,0,10
2016-03-28 17:36:23,Suche_Fiat_126_Zustand_ist_egal,privat,Offer,0,test,Other,1980,Unspecified,0,andere,150000,Jan,Other,fiat,Other,2016-03-28 00:00:00,66822,2016-04-06 23:15:42,2016,2016,March,March,9,23,36,11
2016-04-01 16:43:29,Ein_punto_fuer_kleines_Geld,privat,Offer,250,control,Other,2000,manuell,0,punto,150000,May,Gasoline,fiat,Yes,2016-04-01 00:00:00,49716,2016-04-05 11:45:17,2016,2016,April,April,4,11,16,7
2016-03-12 14:39:58,Fiat_Barchetta,privat,Offer,1100,test,Other,2000,Unspecified,0,Other,150000,Jan,Other,fiat,Other,2016-03-12 00:00:00,24988,2016-03-17 15:46:08,2016,2016,March,March,5,15,16,11
2016-03-11 10:48:36,Fiat_palio_weekend_1.6_1998rok,privat,Offer,200,test,Other,2000,Unspecified,0,Other,5000,Jan,Other,fiat,Other,2016-03-11 00:00:00,14199,2016-04-06 23:45:25,2016,2016,March,March,26,23,16,11
2016-03-11 20:52:55,FIAT_doblo,privat,Offer,590,control,Other,2005,manuell,0,doblo,5000,Mar,Diesel,fiat,Yes,2016-03-11 00:00:00,80933,2016-03-12 11:45:04,2016,2016,March,March,1,11,11,9
2016-03-25 07:02:33,Fiat_Bravo_zur_Verwertung,privat,Offer,1,test,Other,2000,manuell,75,bravo,125000,Mar,Other,fiat,Yes,2016-03-25 00:00:00,73760,2016-03-25 09:42:35,2016,2016,March,March,0,9,16,9
2016-03-05 16:56:44,25_km_Fuehrerschein_frei_Fiat,privat,Offer,0,control,Other,2000,manuell,0,500,30000,Jan,Gasoline,fiat,Other,2016-03-05 00:00:00,41569,2016-04-07 14:57:53,2016,2016,March,March,33,14,16,11
2016-03-12 14:39:41,Fiat_Punto_Bastler,privat,Offer,250,test,Other,2016,manuell,0,punto,150000,Sep,Gasoline,fiat,Yes,2016-03-12 00:00:00,41836,2016-03-28 17:45:50,2016,2016,March,March,16,17,0,3
2016-03-13 13:43:34,Fiat_Stilo_1.8_16v_133PS,privat,Offer,1150,test,Other,2005,Unspecified,0,stilo,150000,Jan,Other,fiat,Other,2016-03-13 00:00:00,24963,2016-04-06 15:46:24,2016,2016,March,March,24,15,11,11
2016-03-10 19:56:44,Fiat_punto_55_Typ_176,privat,Offer,100,control,Other,1995,Unspecified,0,Other,150000,Jan,Other,fiat,Other,2016-03-10 00:00:00,31688,2016-03-22 16:18:19,2016,2016,March,March,12,16,21,11
2016-03-21 18:59:14,Fiat_doblo_diesel,privat,Offer,1499,test,Other,2005,manuell,0,Other,150000,Nov,Diesel,fiat,Other,2016-03-21 00:00:00,82234,2016-04-04 19:15:38,2016,2016,March,March,14,19,11,1
2016-03-28 18:51:58,Fiat_Punto,privat,Offer,600,control,Other,2016,Unspecified,0,punto,150000,Jan,Gasoline,fiat,Other,2016-03-28 00:00:00,32699,2016-03-28 18:51:58,2016,2016,March,March,0,18,0,11
2016-03-24 12:56:00,Fiat_Ducato_14_2.8_jtd_Export_oder_Bastlerfahrzeug,privat,Offer,1000,test,Other,2005,manuell,128,ducato,150000,Jul,Other,fiat,Other,2016-03-24 00:00:00,53773,2016-04-03 03:46:17,2016,2016,March,March,10,3,11,5
2016-04-03 15:43:26,Fiat_Punto_mit_Klima__5_Tueren,privat,Offer,550,test,Other,2000,manuell,0,punto,150000,Jun,Gasoline,fiat,No,2016-04-03 00:00:00,50769,2016-04-05 14:45:09,2016,2016,April,April,2,14,16,6
2016-04-04 22:46:09,Fiat_Barchetta,privat,Offer,450,test,Other,2000,Unspecified,131,Other,150000,Jun,Gasoline,fiat,Yes,2016-04-04 00:00:00,21465,2016-04-04 22:46:09,2016,2016,April,April,0,22,16,6
2016-03-12 09:56:33,Scheunenfund_Fiat_Coupé_gegen_gebot,privat,Offer,0,control,Other,2000,Unspecified,0,andere,150000,Jan,Other,fiat,Other,2016-03-12 00:00:00,25569,2016-03-13 00:45:53,2016,2016,March,March,1,0,16,11
2016-03-24 17:46:30,Verkaufe_Fiat_Punto_1.2_16V_Sporting,privat,Offer,1200,control,Other,2000,manuell,0,punto,150000,Jul,Gasoline,fiat,No,2016-03-24 00:00:00,74182,2016-04-07 10:46:19,2016,2016,March,March,14,10,16,5
2016-03-28 15:25:23,Fiat_Ducato_2.8_Diesel__3_Seiten_kipper,privat,Offer,1500,test,Other,2000,manuell,0,ducato,150000,Jul,Diesel,fiat,Other,2016-03-28 00:00:00,56182,2016-03-28 19:50:25,2016,2016,March,March,0,19,16,5
2016-04-04 17:54:21,Als_Bastler_Fahrzeug,privat,Offer,300,test,Other,2016,Unspecified,0,seicento,125000,Jan,Gasoline,fiat,Other,2016-04-04 00:00:00,25924,2016-04-06 19:48:31,2016,2016,April,April,2,19,0,11
2016-03-05 18:51:54,Bastlerfahrzeug_Fiat_Punto,privat,Offer,400,test,Other,2005,manuell,0,punto,150000,Jan,Gasoline,fiat,Other,2016-03-05 00:00:00,86167,2016-03-07 20:18:02,2016,2016,March,March,2,20,11,11
2016-03-27 21:53:23,Schriftzug_Fiat_128_Oldtimer,privat,Offer,5,test,Other,1970,Unspecified,0,andere,5000,Jan,Other,fiat,Other,2016-03-27 00:00:00,40599,2016-03-31 05:47:26,2016,2016,March,March,4,5,46,11
