dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-19 10:50:35,Fiat_Ducato_Maxi_3_Liter_Motor,privat,Offer,4400,test,andere,2007,manuell,160,ducato,150000,Mar,Diesel,fiat,Yes,2016-03-19 00:00:00,65824,2016-03-21 10:31:40,2016,2016,March,March,2,10,9,9
2016-03-23 11:47:15,Fiat_Scudo_2.0_JTD__Kasten__langer_Radstand__1._Hd.,privat,Offer,1690,test,andere,2000,manuell,94,andere,150000,May,Diesel,fiat,No,2016-03-23 00:00:00,86156,2016-04-07 12:46:57,2016,2016,March,March,15,12,16,7
2016-03-22 19:36:22,Fiat_Multipla_Erdgas,privat,Offer,400,test,andere,2001,manuell,74,andere,150000,Jan,Cng,fiat,Other,2016-03-22 00:00:00,38304,2016-04-06 14:17:07,2016,2016,March,March,15,14,15,11
2016-03-21 12:55:49,DUCATO_TÜV_NEU_mit_DPF_Gruene_Plakette,privat,Offer,3950,control,andere,2002,manuell,108,ducato,150000,May,Diesel,fiat,No,2016-03-21 00:00:00,41199,2016-03-22 17:16:19,2016,2016,March,March,1,17,14,7
2016-03-12 07:57:24,Fiat_Ducato,privat,Offer,400,control,andere,1999,manuell,0,ducato,125000,Jan,Diesel,fiat,Other,2016-03-12 00:00:00,91315,2016-03-12 09:39:58,2016,2016,March,March,0,9,17,11
2016-03-08 20:59:20,Fiat_Doblo_Cargo___zuverlaessig_und_werkstattgepflegt,privat,Offer,2850,control,andere,2007,manuell,75,doblo,150000,Feb,Diesel,fiat,No,2016-03-08 00:00:00,6343,2016-04-05 23:16:30,2016,2016,March,March,28,23,9,10
2016-03-19 22:56:59,Fiat_Doblo_1_6_CNG_/_Benzin_LKW,privat,Offer,3350,test,andere,2006,manuell,103,doblo,150000,Jun,Gasoline,fiat,No,2016-03-19 00:00:00,21354,2016-04-02 01:46:15,2016,2016,March,March,14,1,10,6
2016-03-08 23:53:26,Fiat_Scudo_1_9_Diesel_Kasten,privat,Offer,500,control,andere,1996,manuell,69,andere,150000,Jan,Diesel,fiat,Other,2016-03-08 00:00:00,22045,2016-03-09 15:44:31,2016,2016,March,March,1,15,20,11
2016-03-16 21:36:35,Fiat_Ducato___Lastwagen__Tranporter_1450___VHB,privat,Offer,1450,control,andere,1998,manuell,0,andere,70000,Oct,Diesel,fiat,Other,2016-03-16 00:00:00,79108,2016-03-17 00:40:34,2016,2016,March,March,1,0,18,2
2016-03-07 16:59:05,FIat_Doblo_Transporter_1_9_JTD__mit_Standheizung_u._Anhaengerkupl.,privat,Offer,2850,control,andere,2005,manuell,100,doblo,125000,Mar,Diesel,fiat,No,2016-03-07 00:00:00,59494,2016-03-12 11:46:39,2016,2016,March,March,5,11,11,9
2016-03-22 16:45:44,Fiat_Doblo_Maxi_1_2,privat,Offer,4590,test,andere,2008,manuell,75,doblo,90000,Aug,Diesel,fiat,Other,2016-03-22 00:00:00,94405,2016-03-28 06:46:05,2016,2016,March,March,6,6,8,4
2016-03-17 19:50:09,Fiat_Tolento_290_Wohnmobil,privat,Offer,3000,control,andere,1991,Unspecified,71,Other,5000,Mar,Diesel,fiat,Other,2016-03-17 00:00:00,56422,2016-04-06 21:17:51,2016,2016,March,March,20,21,25,9
2016-03-27 08:02:05,Fiat_Punto,privat,Offer,1200,test,andere,2002,manuell,60,punto,150000,Jul,Gasoline,fiat,No,2016-03-27 00:00:00,94469,2016-04-07 05:17:22,2016,2016,March,March,11,5,14,5
2016-03-21 15:25:24,Fiat_Doblo_Cargo_Maxi_SX_2.0_Multijet_Kastenwagen,privat,Offer,5999,test,andere,2012,manuell,135,doblo,90000,Oct,Diesel,fiat,Yes,2016-03-21 00:00:00,56412,2016-03-23 11:29:37,2016,2016,March,March,2,11,4,2
2016-03-23 11:49:00,Fiat_Ducato_14_2_8_I.D.TD,privat,Offer,1250,test,andere,2000,manuell,122,ducato,150000,Jan,Diesel,fiat,No,2016-03-23 00:00:00,97424,2016-04-07 13:17:04,2016,2016,March,March,15,13,16,11
2016-03-12 00:25:40,Fiat_Ducato_an_Bastler_Tausch_Moeglich_gegen_pkw,privat,Offer,1750,test,andere,1989,manuell,75,ducato,150000,Jul,Diesel,fiat,No,2016-03-11 00:00:00,65520,2016-04-06 16:16:17,2016,2016,March,March,26,16,27,5
2016-03-22 14:37:01,"_Fiat_Ducato_zu_verkaufen_""""",privat,Offer,0,control,andere,2006,manuell,120,ducato,150000,Jul,Diesel,fiat,No,2016-03-22 00:00:00,63808,2016-03-22 15:44:04,2016,2016,March,March,0,15,10,5
2016-03-26 16:58:45,Fiat_Doblo_Cargo,privat,Offer,3800,control,andere,2006,manuell,76,doblo,125000,Mar,Diesel,fiat,No,2016-03-26 00:00:00,24887,2016-03-31 13:45:21,2016,2016,March,March,5,13,10,9
2016-03-19 14:50:35,Super_Angebot_fuer_Wohnmobil__und_Transporter,privat,Offer,150,test,andere,2014,Unspecified,0,ducato,40000,Jan,Other,fiat,Other,2016-03-19 00:00:00,21502,2016-04-06 22:44:23,2016,2016,March,March,18,22,2,11
2016-03-24 16:52:53,Fiat_fiorino,privat,Offer,150,control,andere,1996,manuell,75,Other,150000,May,Other,fiat,Yes,2016-03-24 00:00:00,41334,2016-04-05 07:51:12,2016,2016,March,March,12,7,20,7
2016-03-07 23:45:27,Fiat_Ducato_mittellang_extra_hoch_LKW_Zulassung.Nicht_fahrtuechtig,privat,Offer,850,test,andere,2000,manuell,122,ducato,150000,Apr,Diesel,fiat,Yes,2016-03-07 00:00:00,37269,2016-03-08 05:16:55,2016,2016,March,March,1,5,16,8
