dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-10 05:36:22,Fiat_Ulysse_2.2_JTD_DPF,privat,Offer,2800,test,bus,2004,manuell,128,andere,150000,Oct,Diesel,fiat,No,2016-03-10 00:00:00,71032,2016-04-06 04:44:51,2016,2016,March,March,27,4,12,2
2016-03-28 10:49:19,Fiat_Qubo_1.3_Multijet_16V_Active,privat,Offer,4300,control,bus,2009,manuell,75,andere,150000,Aug,Diesel,fiat,No,2016-03-28 00:00:00,83454,2016-04-06 12:45:15,2016,2016,March,March,9,12,7,4
2016-04-02 15:41:25,Fiat_Ducato_2.8_laeuft_1A,privat,Offer,1200,control,bus,2000,manuell,120,ducato,150000,Jul,Diesel,fiat,No,2016-04-02 00:00:00,46284,2016-04-02 15:41:25,2016,2016,April,April,0,15,16,5
2016-03-31 17:45:26,Fiat_Idea_1.4_16V,privat,Offer,1800,control,bus,2004,manuell,95,andere,150000,Feb,Gasoline,fiat,Yes,2016-03-31 00:00:00,67363,2016-04-06 11:15:49,2016,2016,March,March,6,11,12,10
2016-04-05 11:55:35,Fiat_Ducato,privat,Offer,2750,test,bus,2007,manuell,120,ducato,150000,Jan,Diesel,fiat,Yes,2016-04-05 00:00:00,46145,2016-04-05 12:40:33,2016,2016,April,April,0,12,9,11
2016-03-29 15:36:55,Fiat_Ducato_2.3_jtd_long_und_hoch,privat,Offer,2700,control,bus,2002,manuell,110,ducato,150000,Nov,Diesel,fiat,No,2016-03-29 00:00:00,74080,2016-04-06 01:15:31,2016,2016,March,March,8,1,14,1
2016-03-18 23:06:25,Fiat_Scudo_TÜV_8__2017,privat,Offer,650,test,bus,2000,manuell,109,Other,125000,Jan,Diesel,fiat,Yes,2016-03-18 00:00:00,35390,2016-03-19 11:45:33,2016,2016,March,March,1,11,16,11
2016-03-18 11:47:25,Fiat_Ducato_10_C1A_230.237.1_verglast,privat,Offer,3500,control,bus,2002,manuell,84,ducato,150000,Nov,Diesel,fiat,No,2016-03-18 00:00:00,12351,2016-04-05 22:16:33,2016,2016,March,March,18,22,14,1
2016-03-21 11:48:43,Erstbesitz,privat,Offer,3500,control,bus,2002,manuell,85,ducato,150000,Nov,Diesel,fiat,Other,2016-03-21 00:00:00,12351,2016-04-06 05:45:39,2016,2016,March,March,16,5,14,1
2016-04-03 21:36:25,Fiat_Ducato__Gruene_Plakette,privat,Offer,2300,test,bus,2005,manuell,110,ducato,150000,Mar,Diesel,fiat,No,2016-04-03 00:00:00,63477,2016-04-03 21:36:25,2016,2016,April,April,0,21,11,9
2016-03-08 19:47:28,Fiat_Scudo,privat,Offer,1850,test,bus,1996,manuell,92,andere,150000,Jan,Diesel,fiat,No,2016-03-08 00:00:00,31785,2016-04-05 15:17:17,2016,2016,March,March,28,15,20,11
2016-03-28 15:56:37,Fiat_Scudo_220L_99er_1_9_Diesel_Tuev_bis_01/17,privat,Offer,1999,control,bus,1999,manuell,70,andere,150000,Aug,Diesel,fiat,No,2016-03-28 00:00:00,24214,2016-04-06 20:46:50,2016,2016,March,March,9,20,17,4
2016-03-17 18:45:08,Wohnmobil_zu_verkaufen,privat,Offer,4500,control,bus,1988,manuell,92,andere,150000,Nov,Diesel,fiat,Other,2016-03-17 00:00:00,73525,2016-03-22 00:18:23,2016,2016,March,March,5,0,28,1
2016-03-17 14:40:21,Fiat_Ducato__Koffer__Maxi_Kasten,privat,Offer,4999,control,bus,2005,manuell,128,ducato,150000,Mar,Diesel,fiat,No,2016-03-17 00:00:00,90571,2016-03-17 14:40:21,2016,2016,March,March,0,14,11,9
2016-03-08 04:58:41,Fiat_Doblo_1_9_jtd_sx,privat,Offer,2390,test,bus,2003,manuell,101,doblo,150000,May,Diesel,fiat,No,2016-03-08 00:00:00,50127,2016-03-22 16:46:02,2016,2016,March,March,14,16,13,7
2016-03-29 21:48:36,Fiat_Doblo_1.9_JTD,privat,Offer,4500,test,bus,2006,manuell,105,doblo,150000,Apr,Diesel,fiat,No,2016-03-29 00:00:00,29494,2016-03-29 21:48:36,2016,2016,March,March,0,21,10,8
2016-03-16 18:48:43,Fiat_Ducato_10_230.139.1_C1A,privat,Offer,1500,control,bus,2000,manuell,90,ducato,150000,Nov,Diesel,fiat,No,2016-03-16 00:00:00,59494,2016-04-07 02:45:47,2016,2016,March,March,22,2,16,1
2016-03-23 14:54:02,Fiat_Ducato_11_243.3V3.0_verglast_C1A,privat,Offer,4700,test,bus,2002,manuell,110,ducato,150000,May,Diesel,fiat,No,2016-03-23 00:00:00,21255,2016-03-26 08:44:51,2016,2016,March,March,3,8,14,7
2016-03-05 19:53:56,Fiat_Ducato_3_5_to__Zahnriemen_gemacht__Holzboden,privat,Offer,9999,test,bus,2013,manuell,0,ducato,150000,May,Diesel,fiat,No,2016-03-05 00:00:00,75210,2016-04-05 18:44:51,2016,2016,March,March,31,18,3,7
2016-03-25 15:49:52,Fiat_Ducato_L4H2_DPF_250.BJ2.0_Modular,privat,Offer,7900,test,bus,2010,manuell,120,ducato,125000,Mar,Diesel,fiat,No,2016-03-25 00:00:00,13403,2016-03-25 15:49:52,2016,2016,March,March,0,15,6,9
2016-03-15 18:53:38,Fiat_Scudo,privat,Offer,1000,control,bus,2001,manuell,69,andere,150000,Oct,Diesel,fiat,Other,2016-03-15 00:00:00,79211,2016-03-23 00:15:23,2016,2016,March,March,8,0,15,2
2016-03-17 17:40:38,Fiat_ducato!_Sehr_gute_zustand,privat,Offer,3100,control,bus,2004,manuell,0,ducato,150000,Nov,Diesel,fiat,Other,2016-03-17 00:00:00,31020,2016-03-23 05:46:52,2016,2016,March,March,6,5,12,1
2016-03-09 09:54:33,Fiat_Ducato_2.0_JTD,privat,Offer,1090,test,bus,2002,manuell,84,ducato,150000,Mar,Diesel,fiat,No,2016-03-09 00:00:00,98639,2016-03-09 10:45:18,2016,2016,March,March,0,10,14,9
2016-03-30 04:03:42,Fiat_Doblo_Cargo_JTD_223.117.2,privat,Offer,3600,test,bus,2008,manuell,75,doblo,150000,Apr,Diesel,fiat,No,2016-03-30 00:00:00,15528,2016-04-06 20:46:28,2016,2016,March,March,7,20,8,8
2016-04-01 09:56:48,Fiat_Doblo_1.9_JTD_Malibu,privat,Offer,2399,test,bus,2003,manuell,101,doblo,150000,Oct,Diesel,fiat,Yes,2016-04-01 00:00:00,25355,2016-04-01 10:45:47,2016,2016,April,April,0,10,13,2
2016-03-25 17:57:09,Fiat_Doblo_Malibu__1_6l_16V__Klima_128000_km__TÜV_04/17_,privat,Offer,1200,test,bus,2004,manuell,103,doblo,150000,Jul,Gasoline,fiat,Other,2016-03-25 00:00:00,38173,2016-03-28 17:46:16,2016,2016,March,March,3,17,12,5
