dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-07 21:55:49,Fiat_Marea_100_16V_Weekend_SX,privat,Offer,850,control,kombi,2001,manuell,103,andere,125000,Mar,Gasoline,fiat,No,2016-03-07 00:00:00,20146,2016-04-06 10:46:18,2016,2016,March,March,30,10,15,9
2016-03-10 13:51:28,Fiat_Stilo_Multi_Wagon_1.6_16V,privat,Offer,3300,test,kombi,2004,manuell,103,stilo,150000,Sep,Gasoline,fiat,No,2016-03-10 00:00:00,44801,2016-03-21 00:46:31,2016,2016,March,March,11,0,12,3
2016-03-23 18:06:25,Fiat_Stilo_Multi_Wagon_1.6___Euro_4,privat,Offer,700,test,kombi,2003,manuell,103,stilo,150000,Jan,Gasoline,fiat,No,2016-03-23 00:00:00,60437,2016-03-23 18:06:25,2016,2016,March,March,0,18,13,11
2016-03-11 09:50:29,Fiat_Ducato_L1H1_DPF_250.0K3.0,privat,Offer,2950,control,kombi,2007,manuell,158,ducato,150000,Jul,Diesel,fiat,Yes,2016-03-11 00:00:00,67105,2016-04-06 21:47:33,2016,2016,March,March,26,21,9,5
2016-03-12 16:38:33,Fiat_Ducato_L2_250.AD2.0_+288,privat,Offer,5500,control,kombi,2007,manuell,120,ducato,150000,Jul,Diesel,fiat,No,2016-03-12 00:00:00,86653,2016-04-07 05:46:15,2016,2016,March,March,26,5,9,5
2016-04-02 17:49:01,Fiat_Marea_100_16V_Weekend_ELX,privat,Offer,1150,control,kombi,2000,manuell,103,andere,70000,Sep,Gasoline,fiat,No,2016-04-02 00:00:00,30167,2016-04-04 15:47:15,2016,2016,April,April,2,15,16,3
2016-03-08 21:37:52,Fiat_Stilo_Multiwagon_1.6_16V__Kombieinheit_defekt_,privat,Offer,1800,control,kombi,2003,manuell,103,stilo,125000,Feb,Gasoline,fiat,No,2016-03-08 00:00:00,14822,2016-04-07 12:45:57,2016,2016,March,March,30,12,13,10
2016-03-05 17:37:01,Top_gepflegter_Fiat_Stilo_1.6l*_Kombi*_Klimaanlage*_1.Hand*,privat,Offer,2290,test,kombi,2003,manuell,103,stilo,100000,Aug,Gasoline,fiat,No,2016-02-20 00:00:00,48336,2016-03-09 10:16:55,2016,2016,February,March,18,10,13,4
2016-03-23 11:57:32,Fiat_Croma_1.8_16V,privat,Offer,6500,test,kombi,2008,manuell,140,croma,80000,Jun,Gasoline,fiat,No,2016-03-23 00:00:00,26316,2016-04-05 11:18:15,2016,2016,March,March,13,11,8,6
2016-03-22 19:58:14,Palio_Weekend,privat,Offer,0,test,kombi,1999,manuell,0,andere,150000,Mar,Gasoline,fiat,Yes,2016-03-22 00:00:00,72172,2016-03-26 21:47:48,2016,2016,March,March,4,21,17,9
2016-03-16 23:38:37,Fiat_Palio_Weekend_75_!93.000KM!,privat,Offer,999,test,kombi,1998,manuell,73,andere,100000,Nov,Gasoline,fiat,No,2016-03-16 00:00:00,38126,2016-04-06 00:17:53,2016,2016,March,March,21,0,18,1
2016-03-30 21:52:16,Fiat_Stilo_Multiwagon,privat,Offer,1650,test,kombi,2005,manuell,103,stilo,150000,Jul,Gasoline,fiat,Other,2016-03-30 00:00:00,86399,2016-04-05 12:20:30,2016,2016,March,March,6,12,11,5
2016-03-12 13:54:42,Fiat_Scudo_L1__9_Si.__Panorama_Executive_DVD,privat,Offer,9200,control,kombi,2008,manuell,136,andere,125000,Jan,Diesel,fiat,No,2016-03-12 00:00:00,58285,2016-03-12 13:54:42,2016,2016,March,March,0,13,8,11
2016-03-27 13:49:21,Fiat_Tipo_1_4_ie,privat,Offer,250,test,kombi,1989,manuell,70,andere,150000,Aug,Gasoline,fiat,Other,2016-03-27 00:00:00,8239,2016-04-07 09:46:12,2016,2016,March,March,11,9,27,4
2016-03-08 12:54:11,Fiat_Croma,privat,Offer,2500,test,kombi,2005,manuell,147,croma,150000,May,Gasoline,fiat,Yes,2016-03-08 00:00:00,67065,2016-03-09 19:45:29,2016,2016,March,March,1,19,11,7
2016-03-11 12:49:38,FiatPalio_Weekend_/__zum_Ausschlachten_oder_Herrichten,privat,Offer,220,test,kombi,2000,manuell,0,andere,150000,May,Gasoline,fiat,Other,2016-03-11 00:00:00,46240,2016-04-07 06:45:46,2016,2016,March,March,27,6,16,7
2016-03-09 11:49:55,Verkaufe_Fiat_Doblo_DIESEL_Euro_4_KLIMA_TOP,privat,Offer,3900,test,kombi,2008,manuell,0,doblo,150000,Jan,Diesel,fiat,No,2016-03-09 00:00:00,39245,2016-03-12 22:16:09,2016,2016,March,March,3,22,8,11
2016-04-01 17:54:43,Fiat_Marea_Wekend_Kombi,privat,Offer,450,test,kombi,1999,manuell,90,andere,150000,Sep,Gasoline,fiat,No,2016-04-01 00:00:00,39164,2016-04-05 13:44:46,2016,2016,April,April,4,13,17,3
2016-03-11 14:47:24,Fiat_Marea_kombi_TÜV_8/16__SOMMERREIFEN_NEU_CHECKHEFR_GEPFLEGT,privat,Offer,1150,control,kombi,1998,manuell,150,andere,150000,Mar,Gasoline,fiat,No,2016-03-11 00:00:00,7318,2016-03-29 04:18:19,2016,2016,March,March,18,4,18,9
2016-03-24 16:38:12,Fiat_Stil_Bj_2004,privat,Offer,1999,control,kombi,2004,manuell,0,stilo,150000,May,Diesel,fiat,Other,2016-03-24 00:00:00,37632,2016-03-27 13:16:13,2016,2016,March,March,3,13,12,7
2016-03-24 14:36:20,Fiat_Doblo_Multijet,privat,Offer,6900,test,kombi,2010,manuell,105,doblo,100000,Nov,Diesel,fiat,No,2016-03-24 00:00:00,51377,2016-03-28 23:17:16,2016,2016,March,March,4,23,6,1
2016-03-16 20:37:16,Fiat_Stilo_Multi_Wagon_1.9_JTD_115_nur_112_steuern,privat,Offer,2699,control,kombi,2004,manuell,116,stilo,150000,Jan,Diesel,fiat,Yes,2016-03-16 00:00:00,68766,2016-04-07 06:45:32,2016,2016,March,March,22,6,12,11
2016-03-27 13:53:48,ich_verkaufe_mein_Auto_Fiad_Marea_Kombi_Fuer_Hobibastler,privat,Offer,450,test,kombi,1996,manuell,95,andere,150000,Oct,Gasoline,fiat,Yes,2016-03-27 00:00:00,63589,2016-04-07 09:46:23,2016,2016,March,March,11,9,20,2
2016-03-15 21:54:13,Fiat_Ducato_15_244.474.0_M1A_LKW,privat,Offer,2000,control,kombi,2004,manuell,110,ducato,150000,Oct,Diesel,fiat,No,2016-03-15 00:00:00,32425,2016-03-15 21:54:13,2016,2016,March,March,0,21,12,2
2016-03-09 21:50:33,Fiat_Stilo_1.9_TDI_Multiwagon,privat,Offer,300,test,kombi,2003,manuell,115,stilo,150000,Nov,Diesel,fiat,Yes,2016-03-09 00:00:00,23569,2016-03-10 08:17:44,2016,2016,March,March,1,8,13,1
