dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-16 20:55:07,Fiat_Punto_85.000_km_mit_TÜV,privat,Offer,950,control,limousine,2002,Unspecified,0,punto,90000,Oct,Other,fiat,Other,2016-03-16 00:00:00,33729,2016-03-30 17:16:31,2016,2016,March,March,14,17,14,2
2016-03-05 14:20:57,Fiat_Brava_Tuev_neu!!_03/2018!!_Klima!!_Motor_defekt!!,privat,Offer,450,test,limousine,1997,manuell,103,andere,150000,Nov,Gasoline,fiat,Yes,2016-03-04 00:00:00,56370,2016-03-17 06:46:45,2016,2016,March,March,13,6,19,1
2016-03-30 23:55:00,Fiat_Punto,privat,Offer,4150,control,limousine,2009,manuell,0,punto,90000,Apr,Gasoline,fiat,No,2016-03-30 00:00:00,25421,2016-04-06 01:16:45,2016,2016,March,March,7,1,7,8
2016-03-14 09:51:17,Fiat_Punto_Benziner_Inspektion_neu,privat,Offer,650,control,limousine,2001,manuell,60,punto,150000,Nov,Gasoline,fiat,No,2016-03-14 00:00:00,28876,2016-03-15 04:45:47,2016,2016,March,March,1,4,15,1
2016-03-25 00:57:23,Fiat_Brava_1_4_SX_Benzin_Klima_Anhaengerkupplung_TÜV_ASU_12_2017,privat,Offer,2000,control,limousine,1999,manuell,80,andere,100000,Mar,Gasoline,fiat,No,2016-03-24 00:00:00,20357,2016-04-06 06:17:19,2016,2016,March,March,13,6,17,9
2016-03-07 23:51:46,FIAT_BRAVA_without_TÜV_for_parts,privat,Offer,200,test,limousine,2001,manuell,106,andere,150000,Apr,Diesel,fiat,Yes,2016-03-07 00:00:00,47574,2016-03-08 17:19:01,2016,2016,March,March,1,17,15,8
2016-03-28 08:58:16,Fiat_Stilo_1.2_16V,privat,Offer,1300,test,limousine,2002,manuell,80,stilo,150000,Feb,Gasoline,fiat,No,2016-03-28 00:00:00,90429,2016-03-30 00:18:21,2016,2016,March,March,2,0,14,10
2016-03-05 17:59:19,Schwarzer_Punto,privat,Offer,950,test,limousine,2002,manuell,60,punto,125000,Aug,Gasoline,fiat,No,2016-03-05 00:00:00,47495,2016-03-07 16:16:10,2016,2016,March,March,2,16,14,4
2016-03-26 10:38:14,Fiat_stillo_1_4l,privat,Offer,1299,test,limousine,2005,manuell,95,stilo,150000,Jun,Gasoline,fiat,Other,2016-03-26 00:00:00,79114,2016-03-27 22:16:41,2016,2016,March,March,1,22,11,6
2016-03-21 19:57:27,Stilo_1.9_jtd_Dynamic_3T__Wetterauer_chipgetunt__1._HAND!_159_tkm,privat,Offer,1850,test,limousine,2003,manuell,136,stilo,150000,Aug,Diesel,fiat,No,2016-03-21 00:00:00,95173,2016-03-23 01:46:27,2016,2016,March,March,2,1,13,4
2016-03-27 13:55:14,Fiat_Stilo_1.6_16V_mit_TÜV,privat,Offer,850,test,limousine,2003,manuell,103,stilo,150000,Jan,Gasoline,fiat,Other,2016-03-27 00:00:00,38729,2016-04-01 13:17:56,2016,2016,March,March,5,13,13,11
2016-03-15 20:38:46,Fiat_Stilo_1.6_16V,privat,Offer,1850,test,limousine,2002,manuell,103,stilo,125000,Nov,Gasoline,fiat,No,2016-03-15 00:00:00,47198,2016-04-07 01:46:46,2016,2016,March,March,23,1,14,1
2016-03-20 13:51:58,Fiat_Stilo_1.6_16V_an_Bastler_zu_verkaufen!,privat,Offer,1250,test,limousine,2003,manuell,103,stilo,100000,Mar,Gasoline,fiat,Yes,2016-03-20 00:00:00,63322,2016-03-24 05:45:31,2016,2016,March,March,4,5,13,9
2016-03-07 22:38:52,FIAT_STILO_1.6_TUV_BIS_11/2017,privat,Offer,999,test,limousine,2003,manuell,0,stilo,150000,Sep,Gasoline,fiat,No,2016-03-07 00:00:00,89231,2016-03-08 04:15:07,2016,2016,March,March,1,4,13,3
2016-03-11 22:56:19,Fiat_Still_1_6Kw.,privat,Offer,1150,control,limousine,2005,manuell,103,stilo,150000,Feb,Gasoline,fiat,Other,2016-03-11 00:00:00,95445,2016-03-27 15:45:42,2016,2016,March,March,16,15,11,10
2016-03-10 15:46:08,Verkaufe_Fiat_Brava,privat,Offer,700,test,limousine,1995,manuell,90,Other,90000,Jan,Gasoline,fiat,Other,2016-03-10 00:00:00,92358,2016-03-10 15:46:08,2016,2016,March,March,0,15,21,11
2016-03-05 16:54:06,Fiat_Brava_1.6_16V,privat,Offer,2999,control,limousine,1999,manuell,103,andere,125000,Mar,Gasoline,fiat,No,2016-03-05 00:00:00,78464,2016-03-12 19:20:47,2016,2016,March,March,7,19,17,9
2016-03-09 14:48:47,Fiat_Stilo_1.9_JTD___136500_TKM___Diesel___silber,privat,Offer,990,test,limousine,2002,manuell,101,stilo,150000,Jul,Diesel,fiat,No,2016-03-09 00:00:00,36132,2016-04-06 12:44:31,2016,2016,March,March,28,12,14,5
2016-03-15 20:49:03,Fiat_Punto_Dynamic_188_Facelift__2.Hand__EZ_2005_TÜV_07/2017,privat,Offer,1200,test,limousine,2005,manuell,60,punto,150000,Jun,Gasoline,fiat,No,2016-03-15 00:00:00,59590,2016-03-15 20:49:03,2016,2016,March,March,0,20,11,6
2016-03-21 13:48:59,Fiat_Tipo_1600_i.e._DGT,privat,Offer,650,test,limousine,1989,manuell,90,andere,50000,Jul,Gasoline,fiat,No,2016-03-21 00:00:00,93059,2016-04-06 09:46:27,2016,2016,March,March,16,9,27,5
2016-03-16 17:51:59,Fiat_Bravo_1.4_T_JET_16V_Sport,privat,Offer,5000,control,limousine,2008,manuell,150,bravo,150000,May,Gasoline,fiat,No,2016-03-16 00:00:00,89340,2016-04-01 03:45:23,2016,2016,March,March,16,3,8,7
2016-03-28 21:49:39,Fiat_Stilo_1.2_16V_Active,privat,Offer,2599,control,limousine,2002,manuell,80,stilo,90000,May,Gasoline,fiat,No,2016-03-28 00:00:00,97762,2016-04-01 08:15:26,2016,2016,March,March,4,8,14,7
2016-03-21 19:45:57,Fiat_Stilo_1.4_16V,privat,Offer,1450,test,limousine,2005,manuell,95,stilo,150000,Jun,Gasoline,fiat,No,2016-03-21 00:00:00,79114,2016-03-23 00:45:43,2016,2016,March,March,2,0,11,6
2016-03-21 19:54:02,Fiat_Bravo_1.6_Multijet_16V_DPF_Dynamic,privat,Offer,4500,test,limousine,2008,manuell,105,bravo,150000,Aug,Diesel,fiat,No,2016-03-21 00:00:00,6766,2016-03-21 19:54:02,2016,2016,March,March,0,19,8,4
2016-03-26 19:39:03,Anfaengerfahrzeug!Suesser_etwas_pflegebeduerftiger_Punto!Stadtflitzer,privat,Offer,350,control,limousine,1997,manuell,60,punto,150000,Nov,Gasoline,fiat,Other,2016-03-26 00:00:00,74869,2016-03-28 08:44:50,2016,2016,March,March,2,8,19,1
2016-03-25 19:55:32,Fiat_Lancia_Delta_HPE_1_6_16v,privat,Offer,0,test,limousine,1998,manuell,10317,andere,150000,Aug,Gasoline,fiat,No,2016-03-25 00:00:00,57520,2016-04-01 19:16:33,2016,2016,March,March,7,19,18,4
2016-03-29 00:41:05,Fiat_Bravo_1.6TD_Multijet_16V__Unfallfrei__TÜV_bis_10/2017__DPF,privat,Offer,4700,test,limousine,2008,manuell,105,bravo,150000,Feb,Diesel,fiat,Other,2016-03-28 00:00:00,93359,2016-04-07 07:16:42,2016,2016,March,March,10,7,8,10
