dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-08 15:54:45,Fiat_Panda_1.2_4x4_Climbing,privat,Offer,5200,test,suv,2008,manuell,60,panda,80000,Sep,Gasoline,fiat,No,2016-03-08 00:00:00,88693,2016-04-07 00:16:47,2016,2016,March,March,30,0,8,3
2016-04-04 14:58:48,Fiat_Sedici_4X4_Diesel,privat,Offer,5990,test,suv,2006,manuell,120,andere,150000,Apr,Diesel,fiat,No,2016-04-04 00:00:00,51515,2016-04-06 17:15:28,2016,2016,April,April,2,17,10,8
2016-03-23 21:50:05,?FIAT_FREEMONT_?,privat,Offer,13999,test,suv,2011,manuell,170,andere,125000,Jul,Diesel,fiat,No,2016-03-23 00:00:00,45884,2016-03-31 11:18:34,2016,2016,March,March,8,11,5,5
2016-04-03 21:37:19,Verkaufe_Fiat_Freemont_2_0_mit_vollausstatung,privat,Offer,22000,test,suv,2012,automatik,170,andere,70000,Feb,Diesel,fiat,No,2016-04-03 00:00:00,85664,2016-04-05 22:18:17,2016,2016,April,April,2,22,4,10
2016-03-26 01:51:18,FIAT_STRADA__PICKUP_DIESEL_LKW_ZULASSUNG,privat,Offer,2750,control,suv,2000,manuell,70,andere,150000,Aug,Diesel,fiat,No,2016-03-25 00:00:00,39340,2016-04-07 12:45:28,2016,2016,March,March,13,12,16,4
2016-03-09 20:49:38,Fiat_Panda_1.3_Multijet_4x4_Allrad_Diesel,privat,Offer,13500,test,suv,2014,manuell,75,panda,5000,Sep,Diesel,fiat,No,2016-03-09 00:00:00,37586,2016-03-18 02:44:32,2016,2016,March,March,9,2,2,3
2016-04-02 11:25:24,Fiat_Ducato,privat,Offer,5900,control,suv,2006,manuell,128,ducato,150000,Apr,Diesel,fiat,No,2016-04-02 00:00:00,56472,2016-04-05 18:46:07,2016,2016,April,April,3,18,10,8
2016-03-29 18:58:52,Fiat_Idea_1.4_16_V___Inspektion_Zahnriemen_TÜV_NEU__KLIMA_PDC,privat,Offer,1999,control,suv,2004,manuell,95,andere,150000,Feb,Gasoline,fiat,No,2016-03-29 00:00:00,49661,2016-04-06 05:17:34,2016,2016,March,March,8,5,12,10
2016-04-02 15:57:18,FIAT_IDEA__Klima__Super_Zustand!!!,privat,Offer,2299,control,suv,2005,manuell,95,andere,150000,Oct,Gasoline,fiat,No,2016-04-02 00:00:00,73230,2016-04-06 14:46:14,2016,2016,April,April,4,14,11,2
2016-03-16 23:55:53,Fiat_Freemont_1.Hand,privat,Offer,13333,test,suv,2011,manuell,170,andere,100000,Jun,Diesel,fiat,Other,2016-03-16 00:00:00,73525,2016-03-17 07:43:35,2016,2016,March,March,1,7,5,6
2016-04-01 00:36:17,Fiat_Strada_1.9_JTD_Lange_Kabine,privat,Offer,4199,test,suv,2005,manuell,80,andere,150000,Mar,Diesel,fiat,No,2016-04-01 00:00:00,56072,2016-04-06 17:44:22,2016,2016,April,April,5,17,11,9
2016-03-10 18:51:29,Fiat_Panda_Erdgas_BiPower_CNG,privat,Offer,2499,test,suv,2008,manuell,52,panda,150000,Mar,Cng,fiat,No,2016-03-10 00:00:00,96515,2016-03-22 14:18:56,2016,2016,March,March,12,14,8,9
2016-04-03 19:57:37,Fiat_Freemont_black_code,privat,Offer,23000,test,suv,2014,automatik,170,andere,50000,Jul,Diesel,fiat,No,2016-04-03 00:00:00,33604,2016-04-05 20:45:41,2016,2016,April,April,2,20,2,5
2016-03-17 22:37:16,Fiat_Sedici_1.9_Multijet_DPF_4x4_Dynamic,privat,Offer,7200,test,suv,2008,manuell,120,andere,125000,Aug,Diesel,fiat,No,2016-03-17 00:00:00,86836,2016-04-05 21:18:42,2016,2016,March,March,19,21,8,4
2016-03-30 20:52:40,Fiat_Multipla_Bj_2004_!!!NOTVERKAUF!!!,privat,Offer,650,control,suv,2004,manuell,103,andere,150000,Jan,Gasoline,fiat,No,2016-03-30 00:00:00,10789,2016-04-03 12:20:36,2016,2016,March,March,4,12,12,11
2016-03-15 18:30:19,Fiat_Panda_Cross_4x4__Allrad_mit_Sperre_Klimaautomatik_NP18000._E,privat,Offer,5799,control,suv,2006,manuell,51,panda,125000,Nov,Diesel,fiat,Yes,2016-03-15 00:00:00,61231,2016-04-04 17:47:09,2016,2016,March,March,20,17,10,1
2016-04-01 19:37:00,Fiat_Fiorino,privat,Offer,3999,control,suv,2011,manuell,73,andere,125000,Sep,Gasoline,fiat,No,2016-04-01 00:00:00,21107,2016-04-05 15:44:49,2016,2016,April,April,4,15,5,3
2016-03-30 21:37:35,Fiat_Panda_4×4_Climbing_1_2_8V,privat,Offer,8250,test,suv,2012,manuell,69,panda,70000,Feb,Gasoline,fiat,No,2016-03-30 00:00:00,42555,2016-04-05 11:45:20,2016,2016,March,March,6,11,4,10
2016-03-22 16:50:24,Fiat_500L_Pop_Star_1_6_16V_Multijet_77KW__Start_&_Stop_,privat,Offer,14500,test,suv,2013,manuell,105,500,10000,Jul,Diesel,fiat,No,2016-03-22 00:00:00,56637,2016-04-07 06:45:31,2016,2016,March,March,16,6,3,5
