dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-20 12:55:58,Schnaeppchen_Ford___Escort,privat,Offer,399,test,andere,1995,manuell,65,escort,150000,Aug,Gasoline,ford,No,2016-03-20 00:00:00,23758,2016-03-24 04:17:56,2016,2016,March,March,4,4,21,4
2016-03-17 17:38:35,Ford_Escort_1.6_16V__Klima__ZV__Servo,privat,Offer,199,control,andere,1997,manuell,90,escort,150000,Jun,Gasoline,ford,No,2016-03-17 00:00:00,47167,2016-04-07 03:16:33,2016,2016,March,March,21,3,19,6
2016-03-21 18:49:20,FORD_COURIER_ZU_VERKAUFEN,privat,Offer,0,test,andere,1991,manuell,60,andere,125000,Jul,Diesel,ford,No,2016-03-21 00:00:00,38104,2016-04-06 21:15:36,2016,2016,March,March,16,21,25,5
2016-03-09 13:53:13,Ford_Focus_C_MAX__Klimaautomatik_Automatikgetriebe,privat,Offer,5800,control,andere,2007,automatik,109,c_max,150000,Apr,Diesel,ford,Other,2016-03-09 00:00:00,22335,2016-04-06 08:16:09,2016,2016,March,March,28,8,9,8
2016-03-05 14:45:30,Bastler_Auto,privat,Offer,800,control,andere,2001,manuell,100,focus,150000,Jun,Gasoline,ford,Other,2016-03-05 00:00:00,8236,2016-03-19 19:47:59,2016,2016,March,March,14,19,15,6
2016-04-01 13:54:07,Ford_Transit,privat,Offer,2950,test,andere,2004,manuell,90,transit,150000,Mar,Diesel,ford,No,2016-04-01 00:00:00,30179,2016-04-07 11:17:44,2016,2016,April,April,6,11,12,9
2016-03-12 18:46:04,Ford_Transit_85_T240._137.Km._Scheckheft.,privat,Offer,2600,test,andere,2005,manuell,86,transit,150000,Mar,Diesel,ford,Other,2016-03-12 00:00:00,49163,2016-03-12 18:46:04,2016,2016,March,March,0,18,11,9
2016-03-13 22:41:20,Ford_F_100_mit_H_Zulassung_302_V8_77er,privat,Offer,7500,control,andere,1977,automatik,0,andere,150000,Jan,Gasoline,ford,No,2016-03-13 00:00:00,23623,2016-03-15 18:45:13,2016,2016,March,March,2,18,39,11
2016-03-26 19:55:06,Ford_Transit_Kastenwagen_TDCI__EZ:06/2007_fuer_kleines_Geld,privat,Offer,3950,control,andere,2007,manuell,85,transit,150000,Jun,Diesel,ford,No,2016-03-26 00:00:00,27798,2016-04-06 09:47:01,2016,2016,March,March,11,9,9,6
2016-03-17 22:50:20,Ford_Transit_330_TDI,privat,Offer,4800,test,andere,2008,manuell,101,Other,150000,Mar,Diesel,ford,No,2016-03-17 00:00:00,14656,2016-03-22 07:49:46,2016,2016,March,March,5,7,8,9
