dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-23 15:48:05,Ford_C_MAX_2.0_TDCi_DPF_Titanium,privat,Offer,7550,test,bus,2007,manuell,136,c_max,150000,Jun,Diesel,ford,No,2016-03-23 00:00:00,88361,2016-04-05 18:45:11,2016,2016,March,March,13,18,9,6
2016-03-28 19:06:18,Sehr_gepflegter_unfallfreier_Ford_C_Max_Style+_1_6_DPF_mit_AHK,privat,Offer,8250,test,bus,2010,manuell,109,c_max,125000,Oct,Diesel,ford,No,2016-03-28 00:00:00,35606,2016-04-07 04:44:59,2016,2016,March,March,10,4,6,2
2016-03-19 13:36:22,Ford_C_MAX_1.6_TDCi_Titanium__7_Sitzer_Topausstattung,privat,Offer,11890,test,bus,2011,manuell,116,c_max,150000,Apr,Diesel,ford,No,2016-03-19 00:00:00,97737,2016-04-06 18:48:10,2016,2016,March,March,18,18,5,8
2016-03-29 23:57:50,Ford_C_Max_zu_verkaufen!,privat,Offer,4000,control,bus,2008,manuell,115,c_max,125000,Jun,Diesel,ford,Yes,2016-03-29 00:00:00,52525,2016-04-06 22:45:21,2016,2016,March,March,8,22,8,6
2016-03-12 16:48:12,Ford_S_Max_2.0_TDCi_DPF_Aut._Trend,privat,Offer,6350,control,bus,2009,automatik,140,s_max,150000,Oct,Diesel,ford,No,2016-03-12 00:00:00,45699,2016-04-07 06:45:53,2016,2016,March,March,26,6,7,2
2016-03-30 02:37:57,Ford_C_Max_2.0Tdci_Ghia_Vollausstattung,privat,Offer,6499,test,bus,2006,manuell,136,c_max,150000,Jan,Diesel,ford,No,2016-03-29 00:00:00,59229,2016-04-06 22:45:42,2016,2016,March,March,8,22,10,11
2016-03-14 17:50:40,Ford_Tourneo_Connect_TDCi__DPF_gruene_Plakette_KLIMA___AHK,privat,Offer,1990,test,bus,2003,manuell,90,andere,150000,Oct,Diesel,ford,No,2016-03-01 00:00:00,82467,2016-03-21 10:45:42,2016,2016,March,March,20,10,13,2
2016-04-01 14:47:39,Ford_Galaxy_2.0_TDCi_DPF_Ambiente,privat,Offer,8450,test,bus,2008,manuell,131,galaxy,150000,May,Diesel,ford,No,2016-04-01 00:00:00,44359,2016-04-05 09:17:00,2016,2016,April,April,4,9,8,7
2016-03-22 12:45:44,Ford_C_Max,privat,Offer,3000,control,bus,2004,manuell,110,c_max,150000,Oct,Diesel,ford,No,2016-03-22 00:00:00,46397,2016-03-23 20:15:39,2016,2016,March,March,1,20,12,2
2016-03-31 00:28:47,Ford_Transit_Mit_TÜV/HU._Voll_Fahrbereit!_Fest_preis!!!,privat,Offer,1290,control,bus,2001,manuell,101,transit,5000,Jun,Diesel,ford,Other,2016-03-29 00:00:00,35435,2016-04-02 21:11:39,2016,2016,March,March,4,21,15,6
2016-03-26 15:37:01,Ford_Transit_280_K_TDCi,privat,Offer,3300,test,bus,2004,manuell,0,transit,150000,Nov,Diesel,ford,No,2016-03-26 00:00:00,28197,2016-04-06 03:17:34,2016,2016,March,March,11,3,12,1
2016-03-20 18:56:40,Ford_C_MAX_Grand_Titanium___Schiebetueren_7_Sitzer_Topausstattung,privat,Offer,11890,test,bus,2011,manuell,116,c_max,150000,Apr,Diesel,ford,Other,2016-03-20 00:00:00,97737,2016-04-07 02:45:30,2016,2016,March,March,18,2,5,8
2016-04-02 08:54:19,Ford_S_Max_2.2_TDCi_DPF_Titanium_Xenon_Alcantara_Navi_Panorama,privat,Offer,7299,control,bus,2008,manuell,175,s_max,150000,Nov,Diesel,ford,No,2016-04-02 00:00:00,34560,2016-04-06 07:17:50,2016,2016,April,April,4,7,8,1
2016-03-15 22:53:37,Ford_Galaxy,privat,Offer,2000,control,bus,2004,manuell,140,galaxy,150000,Jan,Gasoline,ford,No,2016-03-15 00:00:00,20357,2016-03-29 10:16:07,2016,2016,March,March,14,10,12,11
2016-03-09 14:36:18,Ford_Galaxy_7_sitzer_1_8tdci_TÜV_08/17,privat,Offer,6750,test,bus,2006,manuell,125,galaxy,150000,Oct,Other,ford,Other,2016-03-09 00:00:00,50765,2016-03-11 23:45:08,2016,2016,March,March,2,23,10,2
2016-03-28 19:38:14,Ford_Galaxy_VR6_Ghia_7_Sitzer,privat,Offer,900,control,bus,1997,manuell,174,galaxy,150000,May,Gasoline,ford,Other,2016-03-28 00:00:00,37120,2016-03-30 11:17:00,2016,2016,March,March,2,11,19,7
2016-03-23 10:37:43,Ford_Windstar,privat,Offer,600,control,bus,1998,automatik,148,andere,150000,Sep,Gasoline,ford,Yes,2016-03-23 00:00:00,42349,2016-03-23 10:37:43,2016,2016,March,March,0,10,18,3
2016-03-25 16:49:58,Ford_Galaxy_TDI_GLX,privat,Offer,1590,control,bus,1999,manuell,110,galaxy,150000,Aug,Diesel,ford,No,2016-03-25 00:00:00,68229,2016-04-06 21:17:45,2016,2016,March,March,12,21,17,4
2016-03-08 19:54:52,Ford_Galaxy_1_9_TDI_Viva_X_DPF_PDC_7_Sitze,privat,Offer,4900,test,bus,2005,manuell,116,galaxy,150000,Feb,Diesel,ford,No,2016-03-08 00:00:00,93051,2016-03-10 06:17:56,2016,2016,March,March,2,6,11,10
2016-03-08 19:41:37,Ford_S_Max_2.0_TDCi_DPF_Aut.,privat,Offer,11450,test,bus,2008,automatik,140,s_max,150000,May,Diesel,ford,No,2016-03-08 00:00:00,52525,2016-03-29 06:46:20,2016,2016,March,March,21,6,8,7
2016-03-26 15:53:10,Schoener_Ford_S_Max_Benziner,privat,Offer,4900,test,bus,2007,manuell,145,s_max,150000,Jan,Gasoline,ford,No,2016-03-26 00:00:00,65624,2016-03-27 12:22:41,2016,2016,March,March,1,12,9,11
2016-03-30 15:36:16,Ford_Transit_240_K_TDE_City_Light,privat,Offer,2699,test,bus,2006,manuell,86,transit,150000,Jul,Diesel,ford,No,2016-03-30 00:00:00,90429,2016-04-07 06:15:34,2016,2016,March,March,8,6,10,5
2016-03-08 22:38:28,Ford_Galaxy_2.2_TDCi_DPF_Ghia_Pano_Navi_TÜV_neu_ACC,privat,Offer,7950,test,bus,2009,manuell,175,galaxy,150000,Feb,Diesel,ford,No,2016-03-08 00:00:00,96103,2016-03-23 01:45:24,2016,2016,March,March,15,1,7,10
2016-03-11 13:38:17,Ford_Transit_Connect,privat,Offer,2400,test,bus,2007,manuell,0,transit,150000,Mar,Diesel,ford,No,2016-03-11 00:00:00,44787,2016-03-26 01:15:51,2016,2016,March,March,15,1,9,9
2016-03-17 19:39:35,Ford_c_max,privat,Offer,1900,control,bus,2003,manuell,125,c_max,150000,Jan,Other,ford,No,2016-03-17 00:00:00,53909,2016-04-01 10:46:30,2016,2016,March,March,15,10,13,11
2016-03-19 11:45:58,Ford_C_Max_AHK_Klima_gepflegt,privat,Offer,2890,test,bus,2004,manuell,120,c_max,150000,Mar,Gasoline,ford,No,2016-03-19 00:00:00,64646,2016-04-02 15:17:37,2016,2016,March,March,14,15,12,9
2016-03-23 17:44:18,Ford_C_Max_Trend_/_Fun_1.8,privat,Offer,3799,control,bus,2005,manuell,125,c_max,150000,Aug,Gasoline,ford,No,2016-03-23 00:00:00,66839,2016-03-23 17:44:18,2016,2016,March,March,0,17,11,4
2016-03-05 17:42:33,Ford_C_MAX_1.6_Ti_VCT_Trend,privat,Offer,8950,test,bus,2011,manuell,105,c_max,70000,Mar,Gasoline,ford,No,2016-03-05 00:00:00,34466,2016-03-15 20:48:26,2016,2016,March,March,10,20,5,9
2016-03-23 22:51:10,Ford_Galaxy_2.0_TDCi_DPF_Ghia___Voll_Vollaustattung,privat,Offer,5850,test,bus,2006,manuell,140,galaxy,150000,Oct,Diesel,ford,No,2016-03-23 00:00:00,45888,2016-03-23 23:43:12,2016,2016,March,March,0,23,10,2
2016-04-02 17:57:51,Ford_C_Max_FUTURA_NOTVERKAUF,privat,Offer,4900,control,bus,2005,manuell,125,c_max,125000,Sep,Gasoline,ford,No,2016-04-02 00:00:00,91126,2016-04-06 18:16:21,2016,2016,April,April,4,18,11,3
2016-04-03 15:43:51,Ford_Transit_260_K_TDCi_Lkw_Basis,privat,Offer,8450,test,bus,2010,manuell,116,transit,80000,Nov,Diesel,ford,No,2016-04-03 00:00:00,50129,2016-04-05 14:45:11,2016,2016,April,April,2,14,6,1
2016-03-31 18:58:47,Ford_Galaxy_16V_Trend,privat,Offer,1050,control,bus,2000,manuell,145,galaxy,150000,Apr,Gasoline,ford,No,2016-03-31 00:00:00,59379,2016-03-31 18:58:47,2016,2016,March,March,0,18,16,8
2016-03-27 21:50:02,Ford_Transit_350_TDCi_2_4l_116tkm_08/2017,privat,Offer,9100,test,bus,2008,manuell,140,transit,125000,Apr,Diesel,ford,No,2016-03-27 00:00:00,98554,2016-04-05 21:45:37,2016,2016,March,March,9,21,8,8
2016-03-20 15:43:07,Ford_Windstar_Traveler_Edition,privat,Offer,749,control,bus,1999,automatik,148,andere,150000,Jan,Gasoline,ford,Yes,2016-03-20 00:00:00,31848,2016-03-27 03:15:28,2016,2016,March,March,7,3,17,11
