dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-06 12:38:13,Ford_Mustang,privat,Offer,18700,test,coupe,2009,automatik,213,mustang,80000,Aug,Gasoline,ford,No,2016-03-06 00:00:00,97424,2016-04-06 05:44:39,2016,2016,March,March,31,5,7,4
2016-04-03 13:56:51,Ford_Cougar_2.5v6_24v_tausch,privat,Offer,2998,control,coupe,2000,manuell,170,andere,150000,Nov,Gasoline,ford,No,2016-04-03 00:00:00,99974,2016-04-05 12:46:54,2016,2016,April,April,2,12,16,1
2016-03-14 19:59:11,Verkaufe_geliebten_Ford_Puma_!,privat,Offer,1200,control,coupe,1998,manuell,125,andere,150000,Oct,Gasoline,ford,No,2016-03-14 00:00:00,42719,2016-03-22 16:16:55,2016,2016,March,March,8,16,18,2
2016-04-03 21:49:57,20mts_Hartop_V6___Modell_P5,privat,Offer,12800,test,coupe,1965,manuell,90,andere,100000,Aug,Gasoline,ford,No,2016-04-03 00:00:00,12049,2016-04-05 23:15:21,2016,2016,April,April,2,23,51,4
2016-04-03 13:51:45,Ford_probe_2_viele_neuteile,privat,Offer,1999,control,coupe,1996,manuell,115,andere,150000,Aug,Gasoline,ford,No,2016-04-03 00:00:00,9353,2016-04-05 12:46:33,2016,2016,April,April,2,12,20,4
2016-04-01 17:47:07,Ford_Probe_16V,privat,Offer,1300,test,coupe,1994,manuell,116,andere,150000,Jun,Gasoline,ford,No,2016-04-01 00:00:00,98669,2016-04-05 13:15:44,2016,2016,April,April,4,13,22,6
2016-03-15 12:37:40,Ford_Capri_III_3_0L_V6_restauriert_mit_H_Zulassung,privat,Offer,11111,control,coupe,1980,automatik,136,Other,100000,Jul,Gasoline,ford,Other,2016-03-15 00:00:00,37081,2016-04-06 00:16:23,2016,2016,March,March,22,0,36,5
2016-03-15 17:58:42,Ford_Focus,privat,Offer,1200,control,coupe,2001,manuell,75,focus,150000,Jan,Gasoline,ford,No,2016-03-15 00:00:00,30655,2016-03-21 17:16:04,2016,2016,March,March,6,17,15,11
2016-04-05 00:56:17,Ford_Focus_MK1_1.6_coupé,privat,Offer,1700,control,coupe,2003,manuell,101,focus,150000,Jan,Gasoline,ford,Other,2016-04-05 00:00:00,66773,2016-04-07 03:46:09,2016,2016,April,April,2,3,13,11
2016-03-16 21:53:34,Ford_Ford_Taunus_V6_Oldtimer_H_Zulassung,privat,Offer,5200,control,coupe,1977,manuell,90,andere,100000,Sep,Gasoline,ford,No,2016-03-16 00:00:00,78464,2016-04-05 12:19:43,2016,2016,March,March,20,12,39,3
2016-03-23 18:47:37,Ford_Mustang,privat,Offer,18000,test,coupe,2011,automatik,307,mustang,80000,Jan,Gasoline,ford,No,2016-03-23 00:00:00,66424,2016-03-29 14:16:47,2016,2016,March,March,6,14,5,11
2016-03-07 23:36:16,Ford_Puma_TÜV,privat,Offer,549,test,coupe,1998,manuell,90,andere,150000,Jan,Gasoline,ford,No,2016-03-07 00:00:00,99189,2016-04-05 15:47:42,2016,2016,March,March,29,15,18,11
2016-03-21 23:54:25,Ford_Taunus,privat,Offer,3950,test,coupe,1965,Unspecified,0,andere,30000,Sep,Other,ford,No,2016-03-21 00:00:00,18106,2016-03-22 06:51:15,2016,2016,March,March,1,6,51,3
2016-04-03 17:47:20,Ford_Probe__mit_Tuev_bis_2017,privat,Offer,1000,test,coupe,1998,manuell,0,andere,150000,Mar,Gasoline,ford,Other,2016-04-03 00:00:00,27711,2016-04-05 18:16:26,2016,2016,April,April,2,18,18,9
2016-04-04 19:40:16,Ford_Puma_ohne_TÜV,privat,Offer,500,test,coupe,1998,manuell,90,andere,150000,May,Gasoline,ford,Other,2016-04-04 00:00:00,26826,2016-04-06 21:45:32,2016,2016,April,April,2,21,18,7
2016-03-27 18:52:43,Ford_Escort_kein_Tuev,privat,Offer,120,control,coupe,1998,manuell,75,escort,70000,Jul,Gasoline,ford,Other,2016-03-27 00:00:00,29640,2016-04-01 20:17:04,2016,2016,March,March,5,20,18,5
2016-03-09 14:52:41,Ford_Puma,privat,Offer,500,test,coupe,1998,manuell,0,andere,125000,Jan,Gasoline,ford,Yes,2016-03-09 00:00:00,1309,2016-03-12 13:45:12,2016,2016,March,March,3,13,18,11
2016-04-03 19:42:52,Ford_Puma___Bj_1999,privat,Offer,350,test,coupe,1999,manuell,125,andere,150000,Jan,Gasoline,ford,Other,2016-04-03 00:00:00,33602,2016-04-05 20:16:01,2016,2016,April,April,2,20,17,11
2016-03-11 15:55:12,Ford_Puma,privat,Offer,1600,test,coupe,2000,manuell,125,andere,125000,Jan,Gasoline,ford,Yes,2016-03-11 00:00:00,71065,2016-03-22 06:17:32,2016,2016,March,March,11,6,16,11
2016-03-09 15:46:50,Ford_Cougar_24V,privat,Offer,600,control,coupe,1998,manuell,170,andere,150000,Nov,Gasoline,ford,No,2016-03-09 00:00:00,7973,2016-04-07 00:45:55,2016,2016,March,March,29,0,18,1
2016-03-15 21:53:29,Ford_Escort_RS_Cosworth_NEU,privat,Offer,0,control,coupe,1995,manuell,999,escort,5000,Jun,Other,ford,No,2016-03-15 00:00:00,10365,2016-04-06 10:17:12,2016,2016,March,March,22,10,21,6
2016-03-13 16:22:49,Ford_Escord_mit_H_und_neue_tuev,privat,Offer,2800,test,coupe,1983,manuell,55,escort,5000,Jun,Gasoline,ford,No,2016-03-13 00:00:00,65614,2016-03-19 07:47:18,2016,2016,March,March,6,7,33,6
2016-03-13 01:06:24,Ford_Mustang_V6_Liebhaber_Fahrzeug,privat,Offer,14500,test,coupe,2005,automatik,215,mustang,100000,Jul,Gasoline,ford,No,2016-03-13 00:00:00,57080,2016-03-21 04:15:46,2016,2016,March,March,8,4,11,5
2016-03-26 12:47:17,Ford_Mustang_Coupé_1966__4_7l_V8:_Einsteigen__grinsen__losfahren.,privat,Offer,16500,control,coupe,1966,manuell,200,mustang,125000,Jul,Gasoline,ford,No,2016-03-26 00:00:00,97956,2016-04-03 23:17:33,2016,2016,March,March,8,23,50,5
2016-03-17 15:58:55,Ford_Cougar_2_5_V6_Cosmopolitan_Tuev_04/2017_Leder_Klimaautomatik,privat,Offer,1390,test,coupe,1999,manuell,170,andere,150000,Apr,Gasoline,ford,No,2016-03-17 00:00:00,45476,2016-04-07 01:17:00,2016,2016,March,March,21,1,17,8
2016-03-09 21:40:48,Ford_Mustang_Racing_Brembo_Tuning,privat,Offer,17999,test,coupe,2006,manuell,309,mustang,150000,Jun,Gasoline,ford,No,2016-03-09 00:00:00,96117,2016-04-05 20:46:16,2016,2016,March,March,27,20,10,6
2016-03-06 00:36:17,Ford_Mustang,privat,Offer,21500,control,coupe,1968,automatik,200,mustang,125000,Jun,Gasoline,ford,No,2016-03-06 00:00:00,67466,2016-04-05 12:44:40,2016,2016,March,March,30,12,48,6
2016-03-15 10:51:15,Ford_St,privat,Offer,14990,control,coupe,2008,manuell,226,focus,70000,Jun,Gasoline,ford,No,2016-03-15 00:00:00,50679,2016-04-05 20:46:48,2016,2016,March,March,21,20,8,6
2016-03-19 13:39:35,Ford_Puma,privat,Offer,1250,test,coupe,1999,manuell,125,andere,150000,Mar,Gasoline,ford,No,2016-03-19 00:00:00,76275,2016-03-30 05:44:52,2016,2016,March,March,11,5,17,9
2016-03-28 23:51:34,"Ford_""Knudsen""_Taunus__Zustand_1_Minus_fuer_durchgesessene_Sitze",privat,Offer,15000,test,coupe,1974,manuell,72,andere,40000,Jan,Gasoline,ford,No,2016-03-28 00:00:00,1445,2016-04-05 14:16:30,2016,2016,March,March,8,14,42,11
2016-03-19 20:55:09,Ford__1971Thunderbird_Special_Landau_Brougham_Landau,privat,Offer,23900,control,coupe,1971,automatik,374,andere,50000,Jun,Gasoline,ford,No,2016-03-19 00:00:00,17498,2016-04-07 10:17:44,2016,2016,March,March,19,10,45,6
2016-03-21 20:40:08,Ford_Puma_Tuev_Neu_BJ_97,privat,Offer,1000,control,coupe,1997,manuell,125,andere,150000,Nov,Gasoline,ford,Other,2016-03-21 00:00:00,74523,2016-04-01 02:46:01,2016,2016,March,March,11,2,19,1
2016-03-25 19:48:05,Ford_Focus_1.8_16V_Sport_Edition_mit_No_Limit_Bodykit_und_TÜV!!,privat,Offer,1400,test,coupe,2001,manuell,116,focus,150000,Oct,Gasoline,ford,No,2016-03-25 00:00:00,73054,2016-04-02 19:44:53,2016,2016,March,March,8,19,15,2
2016-03-20 11:38:15,Ford_Puma,privat,Offer,1550,test,coupe,1999,manuell,125,andere,150000,Aug,Gasoline,ford,No,2016-03-20 00:00:00,90425,2016-04-06 08:46:34,2016,2016,March,March,17,8,17,4
2016-03-31 21:50:02,Ford_Puma,privat,Offer,750,test,coupe,1997,manuell,125,andere,150000,Oct,Gasoline,ford,Yes,2016-03-31 00:00:00,76332,2016-03-31 21:50:02,2016,2016,March,March,0,21,19,2
2016-03-10 23:57:04,Ford_Sportka,privat,Offer,3500,test,coupe,2005,manuell,95,ka,100000,Jun,Gasoline,ford,No,2016-03-10 00:00:00,54472,2016-04-06 02:45:20,2016,2016,March,March,27,2,11,6
2016-03-07 17:58:06,Ford_Puma,privat,Offer,750,test,coupe,1997,manuell,125,andere,150000,Oct,Gasoline,ford,No,2016-03-07 00:00:00,51067,2016-03-07 17:58:06,2016,2016,March,March,0,17,19,2
2016-03-22 18:36:41,Ford_Puma_1.Hand_TÜV_06/2017,privat,Offer,1099,control,coupe,2000,manuell,125,andere,150000,Mar,Gasoline,ford,No,2016-03-22 00:00:00,45327,2016-03-25 11:47:33,2016,2016,March,March,3,11,16,9
2016-03-09 07:52:59,ford_mustang__V8__bj._1966__TOP!!!,privat,Offer,23000,test,coupe,1966,automatik,200,mustang,70000,Jul,Gasoline,ford,No,2016-03-09 00:00:00,41747,2016-03-23 08:45:11,2016,2016,March,March,14,8,50,5
2016-03-14 15:50:44,Ford_Granada_Mk1_2.0_V6_Coupe,privat,Offer,1800,control,coupe,1975,manuell,0,Other,125000,Jan,Gasoline,ford,Other,2016-03-14 00:00:00,68163,2016-03-14 15:50:44,2016,2016,March,March,0,15,41,11
2016-03-15 10:41:16,Ford_focus_mk_2_Sport_Edition,privat,Offer,4600,control,coupe,2006,manuell,140,Other,150000,Jun,Diesel,ford,Other,2016-03-15 00:00:00,12049,2016-03-23 15:49:46,2016,2016,March,March,8,15,10,6
2016-03-25 11:39:02,Fiesta_St_2.0,privat,Offer,4950,test,coupe,2005,manuell,150,fiesta,150000,Nov,Gasoline,ford,No,2016-03-25 00:00:00,55743,2016-04-06 11:45:29,2016,2016,March,March,12,11,11,1
2016-03-14 20:51:35,Ford_Puma,privat,Offer,1200,control,coupe,1998,manuell,125,andere,150000,Oct,Gasoline,ford,No,2016-03-14 00:00:00,42719,2016-03-22 18:16:26,2016,2016,March,March,8,18,18,2
2016-03-28 11:51:42,Ford_Mustang,privat,Offer,18500,control,coupe,2010,manuell,213,mustang,40000,Mar,Gasoline,ford,No,2016-03-28 00:00:00,86576,2016-04-06 14:17:25,2016,2016,March,March,9,14,6,9
2016-03-13 22:22:40,Ford_Puma,privat,Offer,750,control,coupe,1997,manuell,125,andere,150000,Oct,Gasoline,ford,No,2016-03-13 00:00:00,65929,2016-04-02 05:17:14,2016,2016,March,March,20,5,19,2
2016-03-10 21:46:56,Ford_Capri_2_8i_injection,privat,Offer,1999,control,coupe,1981,manuell,160,andere,150000,Jan,Gasoline,ford,Yes,2016-03-10 00:00:00,54552,2016-03-20 16:16:58,2016,2016,March,March,10,16,35,11
2016-03-07 16:58:04,Ford_Cougar_16V,privat,Offer,600,control,coupe,2001,manuell,131,andere,150000,Aug,Gasoline,ford,Yes,2016-03-07 00:00:00,24536,2016-03-07 16:58:04,2016,2016,March,March,0,16,15,4
2016-03-20 10:51:12,Ford_Fairlane_Torino_V8_ab_Werk_rostfrei_aus_1._Hand,privat,Offer,13900,control,coupe,1968,manuell,252,andere,90000,Jul,Gasoline,ford,No,2016-03-20 00:00:00,86510,2016-04-06 07:45:46,2016,2016,March,March,17,7,48,5
2016-03-15 14:57:14,Ford_Capri_III_2_3_V6_mit_Tuev_und_H_Kennzeichen,privat,Offer,6999,control,coupe,1980,automatik,114,andere,80000,Aug,Gasoline,ford,No,2016-03-15 00:00:00,52379,2016-03-26 17:47:18,2016,2016,March,March,11,17,36,4
2016-03-11 18:59:30,Ford_Mustang,privat,Offer,15000,test,coupe,2005,automatik,305,mustang,150000,May,Gasoline,ford,No,2016-03-11 00:00:00,94575,2016-04-06 00:16:41,2016,2016,March,March,26,0,11,7
2016-03-16 12:55:19,Ford_Mustang,privat,Offer,20000,test,coupe,2012,automatik,309,mustang,60000,Jul,Gasoline,ford,No,2016-03-16 00:00:00,25864,2016-03-29 22:45:16,2016,2016,March,March,13,22,4,5
2016-03-16 21:52:27,Ford_Probe_USA_2.0_mit_Klima,privat,Offer,700,control,coupe,1997,manuell,114,andere,150000,Jan,Gasoline,ford,No,2016-03-16 00:00:00,63811,2016-04-07 10:15:30,2016,2016,March,March,22,10,19,11
2016-03-30 19:51:19,Ford__Mustang_GT_Schalter_V8_4.6_Einzigartig!,privat,Offer,22999,test,coupe,2005,manuell,305,mustang,80000,Jul,Gasoline,ford,No,2016-03-30 00:00:00,47506,2016-04-07 11:45:40,2016,2016,March,March,8,11,11,5
2016-04-05 10:47:59,Ford_SIERRA_coupe_GT___top___einer_der_wenigen_GT___an_Liebhaber,privat,Offer,0,control,coupe,1992,manuell,120,andere,150000,Mar,Gasoline,ford,No,2016-04-05 00:00:00,76131,2016-04-07 13:49:59,2016,2016,April,April,2,13,24,9
2016-03-22 16:37:15,Ford_Probe_TÜV_NEU_Tuning_Verkauf/_Tausch_bis_zum_31.3_1500,privat,Offer,1500,test,coupe,1996,manuell,163,andere,150000,Jun,Gasoline,ford,Other,2016-03-22 00:00:00,25335,2016-04-06 06:17:55,2016,2016,March,March,15,6,20,6
2016-03-16 17:50:56,Ford_Escort_RS_2000,privat,Offer,850,control,coupe,1993,manuell,150,escort,125000,May,Gasoline,ford,No,2016-03-16 00:00:00,48324,2016-03-27 06:18:26,2016,2016,March,March,11,6,23,7
2016-03-28 08:36:58,Ford_Cougar_2_0_Tuev_bis_11/2016,privat,Offer,650,test,coupe,2000,manuell,130,Other,150000,Jan,Gasoline,ford,No,2016-03-28 00:00:00,18069,2016-04-04 09:45:18,2016,2016,March,March,7,9,16,11
2016-03-07 21:46:04,Tuning_Ford_Mondeo_Ghia_tiefer_lauter_1_8l_rot_85KW_/_116PS,privat,Offer,250,control,coupe,1998,manuell,116,mondeo,150000,May,Gasoline,ford,Yes,2016-03-07 00:00:00,2763,2016-03-09 13:17:56,2016,2016,March,March,2,13,18,7
2016-03-25 01:36:18,Ford_Cougar_24V,privat,Offer,1500,test,coupe,2000,manuell,170,andere,150000,Oct,Gasoline,ford,No,2016-03-25 00:00:00,90453,2016-04-04 04:46:31,2016,2016,March,March,10,4,16,2
2016-03-09 15:42:55,Ford_Probe_24V_Medici,privat,Offer,1999,control,coupe,1997,manuell,163,andere,150000,Feb,Gasoline,ford,No,2016-03-09 00:00:00,86850,2016-03-25 17:49:56,2016,2016,March,March,16,17,19,10
2016-03-17 00:59:19,1958_Ford_Thunderbird_mit_352_cid_Big_Block_TÜV_und_H_Zul.neu,privat,Offer,16800,test,coupe,1958,automatik,275,andere,150000,Jul,Gasoline,ford,No,2016-03-16 00:00:00,17268,2016-04-06 02:16:39,2016,2016,March,March,21,2,58,5
2016-03-19 16:45:01,Verkaufe_Ford_Focus_BJ_2004___Top_gepflegt,privat,Offer,2700,test,coupe,2004,manuell,101,focus,125000,Feb,Gasoline,ford,No,2016-03-19 00:00:00,91341,2016-03-23 04:21:29,2016,2016,March,March,4,4,12,10
2016-04-01 11:55:03,Tausche_Mein_Ford_caugar,privat,Offer,1700,test,coupe,1998,manuell,0,andere,150000,Jan,Gasoline,ford,Other,2016-04-01 00:00:00,12487,2016-04-07 08:17:23,2016,2016,April,April,6,8,18,11
2016-04-01 11:55:44,Verkaufe_sehr_gepflegten_Ford_Mustang_GT_4.6,privat,Offer,14000,test,coupe,2006,automatik,326,mustang,150000,Jul,Gasoline,ford,No,2016-04-01 00:00:00,86529,2016-04-03 07:51:15,2016,2016,April,April,2,7,10,5
2016-03-17 21:53:17,Ford_Cougar,privat,Offer,1090,test,coupe,1999,manuell,131,andere,150000,Feb,Gasoline,ford,No,2016-03-17 00:00:00,75365,2016-04-07 13:17:22,2016,2016,March,March,21,13,17,10
2016-03-16 03:03:06,Ford_Cougar,privat,Offer,550,test,coupe,1998,manuell,131,andere,150000,Jul,Gasoline,ford,Yes,2016-03-16 00:00:00,71364,2016-03-17 06:16:19,2016,2016,March,March,1,6,18,5
2016-03-07 08:37:14,Ford_Capri_III_2_8i_mit_H_Zulassung,privat,Offer,18600,control,coupe,1984,manuell,160,andere,150000,Nov,Gasoline,ford,No,2016-03-07 00:00:00,33739,2016-04-06 00:46:55,2016,2016,March,March,30,0,32,1
2016-03-20 01:32:23,Ford_Escord_L_mit_neue_TÜV_und_H_Liebhaberauto_!!!!,privat,Offer,2800,test,coupe,1983,manuell,50,escort,5000,May,Gasoline,ford,No,2016-03-20 00:00:00,65614,2016-03-21 14:30:12,2016,2016,March,March,1,14,33,7
