dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-11 21:39:15,KA_Lufthansa_Edition_450_VB,privat,Offer,450,test,kleinwagen,1910,Unspecified,0,ka,5000,Jan,Gasoline,ford,Other,2016-03-11 00:00:00,24148,2016-03-19 08:46:47,2016,2016,March,March,8,8,106,11
2016-03-05 16:45:05,Ford_Fiesta,privat,Offer,750,control,kleinwagen,2002,manuell,50,fiesta,150000,Apr,Gasoline,ford,No,2016-03-05 00:00:00,70327,2016-03-11 06:16:00,2016,2016,March,March,6,6,14,8
2016-03-18 12:39:23,Ford_Fiesta_1.4_Ghia_Klima__Scheckheft__Tuev_NEU!!,privat,Offer,1990,control,kleinwagen,2003,manuell,80,fiesta,125000,Apr,Gasoline,ford,No,2016-03-18 00:00:00,13469,2016-03-18 12:39:23,2016,2016,March,March,0,12,13,8
2016-04-04 21:43:31,***_ACHTUNG_FORD_KA_NEU_TÜV_BIS_04/2087_ZU_VERKAUFEN_***,privat,Offer,1350,test,kleinwagen,2002,manuell,60,ka,150000,Aug,Gasoline,ford,Other,2016-04-04 00:00:00,24103,2016-04-07 00:15:47,2016,2016,April,April,3,0,14,4
2016-03-15 20:53:11,Ford_Fiesta_1.4_Fun_X_Klima__AK__TÜV_neu__gepflegt_!,privat,Offer,3450,test,kleinwagen,2007,manuell,88,fiesta,100000,Mar,Gasoline,ford,No,2016-03-15 00:00:00,66954,2016-03-25 21:16:25,2016,2016,March,March,10,21,9,9
2016-04-02 20:48:56,Ford_ka_zu_verkaufen,privat,Offer,350,test,kleinwagen,1997,manuell,65,ka,150000,Nov,Gasoline,ford,Other,2016-04-02 00:00:00,10965,2016-04-02 20:48:56,2016,2016,April,April,0,20,19,1
2016-04-04 21:54:07,Ford_Fiesta_1.3,privat,Offer,2410,test,kleinwagen,2004,manuell,69,fiesta,150000,Mar,Gasoline,ford,No,2016-04-04 00:00:00,33442,2016-04-07 00:45:11,2016,2016,April,April,3,0,12,9
2016-03-06 12:51:24,Ford_Ford_Fiesta_1.4_TDCI._NEUER_TÜV_!,privat,Offer,2000,test,kleinwagen,2002,manuell,68,fiesta,150000,Nov,Diesel,ford,No,2016-03-06 00:00:00,85774,2016-03-06 12:51:24,2016,2016,March,March,0,12,14,1
2016-03-15 22:49:38,Ford_Fiesta__top_fuer_Anfaenger_oder_Familie_,privat,Offer,1199,control,kleinwagen,2000,manuell,60,fiesta,125000,Jan,Gasoline,ford,No,2016-03-15 00:00:00,28199,2016-03-20 23:44:46,2016,2016,March,March,5,23,16,11
2016-03-17 11:54:39,Ford_Fiesta_1.3_Viva,privat,Offer,2800,control,kleinwagen,2004,manuell,69,fiesta,100000,May,Gasoline,ford,No,2016-03-17 00:00:00,67551,2016-03-20 13:19:12,2016,2016,March,March,3,13,12,7
2016-03-30 21:50:24,Ford_Fiesta_Mk4,privat,Offer,250,test,kleinwagen,1998,manuell,60,Other,100000,Jan,Other,ford,Other,2016-03-30 00:00:00,21354,2016-03-30 21:50:24,2016,2016,March,March,0,21,18,11
2016-03-25 10:47:07,Ford_Ka_Bastlerauto,privat,Offer,200,test,kleinwagen,1997,manuell,60,ka,150000,Jan,Gasoline,ford,No,2016-03-25 00:00:00,31618,2016-04-06 10:17:08,2016,2016,March,March,12,10,19,11
2016-03-21 14:50:20,Biete_Ford_Fiesta_1_4_TDCI__JH_1__mit_frischen_Tuev_zum_Verkauf_an,privat,Offer,1250,control,kleinwagen,2002,manuell,67,fiesta,150000,Aug,Diesel,ford,No,2016-03-21 00:00:00,53562,2016-03-21 15:06:48,2016,2016,March,March,0,15,14,4
2016-03-11 17:58:10,Verkaufe_Ford_escord,privat,Offer,750,control,kleinwagen,1990,manuell,90,Other,150000,Apr,Gasoline,ford,Yes,2016-03-11 00:00:00,29525,2016-03-16 05:46:20,2016,2016,March,March,5,5,26,8
2016-03-31 19:45:19,Ford_Ka,privat,Offer,500,control,kleinwagen,2002,manuell,60,ka,150000,Jul,Gasoline,ford,No,2016-03-31 00:00:00,63589,2016-04-04 12:46:42,2016,2016,March,March,4,12,14,5
2016-03-30 20:53:48,Ford_Fiesta_diesel.,privat,Offer,1850,control,kleinwagen,2004,manuell,65,fiesta,150000,May,Diesel,ford,No,2016-03-30 00:00:00,52146,2016-04-07 13:18:08,2016,2016,March,March,8,13,12,7
2016-03-17 20:37:39,Ford_Fiesta_1.25_Trend__Unfallfrei__Klima__Scheckheft_gepflegt_,privat,Offer,5600,control,kleinwagen,2009,manuell,60,fiesta,80000,Mar,Gasoline,ford,No,2016-03-17 00:00:00,65474,2016-04-06 23:45:29,2016,2016,March,March,20,23,7,9
2016-03-18 17:06:55,Ford_Ka_mit_2_Jahre_TÜV_mit_Klimaanlage_&_wenig_Kilometer,privat,Offer,799,test,kleinwagen,2003,manuell,54,ka,125000,Jun,Gasoline,ford,No,2016-03-18 00:00:00,60528,2016-03-25 16:50:11,2016,2016,March,March,7,16,13,6
2016-03-21 20:49:17,Ford_Ka_Futura_1_Hand_Klima_Kein_Rost_AlufelgenServo,privat,Offer,1000,test,kleinwagen,2000,manuell,60,ka,60000,Jun,Gasoline,ford,No,2016-03-21 00:00:00,63329,2016-03-22 23:37:03,2016,2016,March,March,1,23,16,6
2016-04-01 18:41:34,Ford_Fiesta,privat,Offer,1780,control,kleinwagen,2004,manuell,70,fiesta,90000,Feb,Gasoline,ford,Yes,2016-04-01 00:00:00,96215,2016-04-05 14:17:05,2016,2016,April,April,4,14,12,10
2016-03-25 08:54:22,ford_ka___oster_preiss,privat,Offer,980,control,kleinwagen,2001,Unspecified,0,ka,5000,May,Gasoline,ford,Other,2016-03-25 00:00:00,24576,2016-04-06 08:44:46,2016,2016,March,March,12,8,15,7
2016-03-30 14:48:43,Ford_Fiesta,privat,Offer,1100,control,kleinwagen,2000,manuell,50,fiesta,90000,Apr,Gasoline,ford,No,2016-03-30 00:00:00,40589,2016-04-07 05:44:30,2016,2016,March,March,8,5,16,8
2016-03-07 11:37:55,Ford_Ka_Bastlerfahrzeug,privat,Offer,560,test,kleinwagen,2002,manuell,50,ka,100000,Sep,Gasoline,ford,Other,2016-03-07 00:00:00,51371,2016-03-10 12:46:22,2016,2016,March,March,3,12,14,3
