dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-28 00:56:46,Ford_Focus_Turnier_1.6_TDCi_DPF,privat,Offer,1500,control,kombi,2006,manuell,109,focus,150000,Oct,Diesel,ford,No,2016-03-27 00:00:00,74223,2016-04-02 11:47:00,2016,2016,March,March,6,11,10,2
2016-03-08 13:55:52,Mondeo_TDCI_Bj._2002,privat,Offer,800,control,kombi,2002,manuell,115,mondeo,150000,Nov,Diesel,ford,Other,2016-03-08 00:00:00,34253,2016-03-10 08:17:28,2016,2016,March,March,2,8,14,1
2016-03-16 22:06:24,Mondeo_Tddi_Teile_gesucht,privat,Offer,0,test,kombi,2001,manuell,115,mondeo,150000,Jan,Other,ford,Other,2016-03-16 00:00:00,57627,2016-03-26 11:17:50,2016,2016,March,March,10,11,15,11
2016-03-31 19:50:19,!!!_Ford_Mondeo__mit_TÜV___das_ist_wichtig_Tausche__auch_!!!,privat,Offer,500,control,kombi,2001,manuell,131,mondeo,150000,Nov,Diesel,ford,No,2016-03-31 00:00:00,66117,2016-04-06 14:17:56,2016,2016,March,March,6,14,15,1
2016-04-02 11:59:01,Ford_Mondeo_1.8_Turnier_Ambiente,privat,Offer,1450,test,kombi,2001,manuell,125,mondeo,150000,Oct,Gasoline,ford,No,2016-04-02 00:00:00,68647,2016-04-06 10:17:44,2016,2016,April,April,4,10,15,2
2016-03-18 14:07:01,Ford_Focus_Turnier_DI_Ghia,privat,Offer,1599,test,kombi,1999,manuell,90,focus,150000,Mar,Diesel,ford,No,2016-03-18 00:00:00,56479,2016-04-07 10:17:16,2016,2016,March,March,20,10,17,9
2016-03-28 14:57:24,Ford_Focus_Turnier_2.0_TDCi_DPF_Aut.EINPARKHELFE_TOP,privat,Offer,5000,test,kombi,2008,automatik,136,focus,150000,Jun,Diesel,ford,No,2016-03-28 00:00:00,45355,2016-03-31 23:46:20,2016,2016,March,March,3,23,8,6
2016-04-03 21:56:01,Ford_Mondeo_5_Door_Wagon_1_8l_85kw,privat,Offer,600,test,kombi,1998,manuell,0,mondeo,150000,Sep,Gasoline,ford,No,2016-04-03 00:00:00,18276,2016-04-03 22:42:17,2016,2016,April,April,0,22,18,3
2016-03-27 21:36:22,Ford_Mondeo_1.8_Turnier_Trend,privat,Offer,2500,test,kombi,2001,manuell,125,mondeo,150000,Apr,Gasoline,ford,No,2016-03-27 00:00:00,34260,2016-03-31 05:47:28,2016,2016,March,March,4,5,15,8
2016-03-17 14:38:54,Ford_Focus_Turnier_1.6_TDCi_bis_18.03_angemeldet,privat,Offer,2999,control,kombi,2007,manuell,109,focus,150000,Aug,Diesel,ford,No,2016-03-17 00:00:00,66773,2016-03-17 14:38:54,2016,2016,March,March,0,14,9,4
2016-03-28 15:37:11,Ford_Focus_Kombi,privat,Offer,750,control,kombi,2000,manuell,0,focus,150000,May,Gasoline,ford,Other,2016-03-28 00:00:00,28832,2016-04-06 20:15:35,2016,2016,March,March,9,20,16,7
