dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-16 23:25:21,Honda_Civic_EG4,privat,Offer,900,test,Other,1995,manuell,90,civic,150000,Mar,Gasoline,honda,Other,2016-03-16 00:00:00,35789,2016-03-19 17:19:00,2016,2016,March,March,3,17,21,9
2016-03-10 20:43:12,Honda_jazz_1.4___5trg__mod_2006___klimatron___euro4___faehrt_super,privat,Offer,2390,test,Other,2016,Unspecified,83,jazz,150000,Nov,Gasoline,honda,No,2016-03-10 00:00:00,78713,2016-03-13 03:17:27,2016,2016,March,March,3,3,0,1
2016-03-11 13:46:28,Honda_civic_1.4_16v,privat,Offer,0,test,Other,2000,Unspecified,0,civic,150000,Jan,Other,honda,Other,2016-03-11 00:00:00,98673,2016-04-07 09:45:12,2016,2016,March,March,27,9,16,11
2016-03-26 17:53:09,Honda_Accord_1.8i_Ls,privat,Offer,900,control,Other,2016,manuell,116,accord,150000,May,Other,honda,Other,2016-03-26 00:00:00,59075,2016-04-06 06:46:07,2016,2016,March,March,11,6,0,7
2016-03-24 19:42:30,Honda_Civic_mit_Tuev___neue_Reifen_etc...,privat,Offer,800,control,Other,2016,manuell,75,civic,150000,Sep,Other,honda,Other,2016-03-20 00:00:00,30966,2016-04-07 03:44:59,2016,2016,March,March,18,3,0,3
2016-04-01 12:46:07,Honda_Civic_1_7_CDTI_mit_6_Gang,privat,Offer,1000,test,Other,2005,Unspecified,0,civic,150000,Jan,Other,honda,Other,2016-04-01 00:00:00,32351,2016-04-07 09:16:26,2016,2016,April,April,6,9,11,11
2016-03-26 21:54:59,Honda_prelude_bb3_2.0,privat,Offer,500,control,Other,1995,manuell,133,andere,150000,Jan,Gasoline,honda,Other,2016-03-26 00:00:00,16775,2016-04-04 14:17:54,2016,2016,March,March,9,14,21,11
2016-03-09 10:52:52,Biete_einen_Honda_Civic_Ek3_facelift_in_opalgruen_mit_erst_75000km,privat,Offer,2250,control,Other,2016,manuell,115,civic,80000,Nov,Gasoline,honda,No,2016-03-09 00:00:00,6682,2016-03-16 02:44:49,2016,2016,March,March,7,2,0,1
2016-03-10 16:51:15,CRX_del_Sol,privat,Offer,650,control,Other,1995,Unspecified,0,cr_reihe,125000,Jan,Other,honda,Other,2016-03-10 00:00:00,48324,2016-03-20 02:15:27,2016,2016,March,March,10,2,21,11
2016-04-02 16:52:04,Honda_Civic,privat,Offer,600,control,Other,2000,manuell,0,civic,150000,Jan,Gasoline,honda,Other,2016-04-02 00:00:00,49201,2016-04-06 16:15:52,2016,2016,April,April,4,16,16,11
2016-03-16 08:53:32,Honda_civic_Ek3_facelift_in_opalgruen_mit_erst_75000_km,privat,Offer,2250,test,Other,2016,manuell,115,civic,80000,Nov,Gasoline,honda,No,2016-03-16 00:00:00,6682,2016-04-06 02:44:24,2016,2016,March,March,21,2,0,1
2016-03-17 20:53:43,Autoeinbrueche!_Wer_kann_helfen?,privat,Offer,0,control,Other,2000,Unspecified,0,Other,5000,Jan,Other,honda,Other,2016-03-17 00:00:00,22941,2016-03-17 21:42:03,2016,2016,March,March,0,21,16,11
