dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-09 18:37:36,Honda_Civic_1.6_Automatik_mit_Prins_LPG_Autogas_Bj_2002,privat,Offer,2500,test,andere,2002,automatik,110,civic,150000,Oct,Lpg,honda,Other,2016-03-09 00:00:00,39128,2016-03-11 14:45:38,2016,2016,March,March,2,14,14,2
2016-03-12 23:58:39,HONDA_CRX..,privat,Offer,1990,control,andere,1989,manuell,121,Other,150000,Sep,Other,honda,Other,2016-03-12 00:00:00,66806,2016-03-28 11:45:43,2016,2016,March,March,16,11,27,3
2016-03-24 00:58:40,ein_Honda_Jass_83_ps.,privat,Offer,4350,test,andere,2007,manuell,83,jazz,5000,Nov,Gasoline,honda,No,2016-03-23 00:00:00,47475,2016-04-04 19:57:15,2016,2016,March,March,12,19,9,1
2016-03-25 15:39:28,Honda_Cicic_Bastler_Auto,privat,Offer,600,test,andere,1993,manuell,75,civic,150000,Jan,Gasoline,honda,Yes,2016-03-25 00:00:00,23843,2016-04-06 19:16:07,2016,2016,March,March,12,19,23,11
2016-03-13 00:46:31,Honda_Civic_TÜV_12.2017__KLIMA__SERVO__LEDER,privat,Offer,1350,control,andere,1997,manuell,90,civic,150000,Mar,Gasoline,honda,No,2016-03-12 00:00:00,44147,2016-03-19 10:47:34,2016,2016,March,March,7,10,19,9
2016-04-04 22:50:05,Honda_FR_V_1.7_._1._Hand_unfallfrei_org._79000_km,privat,Offer,4950,test,andere,2005,manuell,125,andere,80000,Jun,Gasoline,honda,No,2016-04-04 00:00:00,74343,2016-04-07 02:17:15,2016,2016,April,April,3,2,11,6
2016-03-30 22:36:24,Honda_civic_ek3_/_hatchback,privat,Offer,2599,control,andere,1996,manuell,114,civic,150000,Feb,Gasoline,honda,No,2016-03-30 00:00:00,63526,2016-04-05 23:17:40,2016,2016,March,March,6,23,20,10
2016-03-12 16:53:58,Youngtimer,privat,Offer,550,control,andere,1996,manuell,75,civic,150000,Jan,Gasoline,honda,Other,2016-03-12 00:00:00,26605,2016-03-15 22:18:25,2016,2016,March,March,3,22,20,11
2016-03-07 19:51:07,Honda_Cevic_TÜV_6/2017,privat,Offer,1500,control,andere,1990,automatik,0,civic,80000,Feb,Gasoline,honda,No,2016-03-07 00:00:00,51371,2016-03-16 00:45:58,2016,2016,March,March,9,0,26,10
2016-03-17 07:55:10,Schoener_roter_Honda_Cevic_06/2017_fuer_1900,privat,Offer,1900,control,andere,1990,automatik,0,civic,80000,Feb,Gasoline,honda,No,2016-03-17 00:00:00,40789,2016-03-17 07:55:10,2016,2016,March,March,0,7,26,10
2016-03-16 12:59:13,Honda__CRX__Targa__fast_Oldtimer,privat,Offer,800,test,andere,1992,manuell,0,cr_reihe,150000,Oct,Gasoline,honda,Other,2016-03-16 00:00:00,24306,2016-04-02 10:18:36,2016,2016,March,March,17,10,24,2
2016-03-16 13:44:09,Honda__CRX__Targa__fast_Oldtimer,privat,Offer,800,control,andere,1992,manuell,0,cr_reihe,150000,Oct,Gasoline,honda,Other,2016-03-16 00:00:00,24306,2016-04-02 11:46:47,2016,2016,March,March,17,11,24,2
2016-03-18 05:54:47,Honda_crx_1_6i_16v_ed9_ee8_Sammler_Zustand_!!!,privat,Offer,4800,test,andere,1988,manuell,135,andere,125000,Apr,Gasoline,honda,Other,2016-03-18 00:00:00,13409,2016-03-31 04:45:19,2016,2016,March,March,13,4,28,8
2016-03-06 00:57:26,Honda_crx_eg2_b16a2_delsol,privat,Offer,4000,control,andere,1998,manuell,160,andere,150000,Jan,Other,honda,No,2016-03-05 00:00:00,32832,2016-04-06 00:46:47,2016,2016,March,March,32,0,18,11
2016-03-08 09:46:43,Honda_CRX_DEL_SOL_mit_neuem_TÜV,privat,Offer,1250,control,andere,1995,manuell,125,andere,150000,Jul,Gasoline,honda,No,2016-03-08 00:00:00,42277,2016-03-08 15:49:43,2016,2016,March,March,0,15,21,5
2016-03-28 21:59:24,Honda_FR_V_2.2_DTDi_Comfort_DPF_*_Top_*_1HD._*_Checkheft_*,privat,Offer,6990,control,andere,2007,manuell,140,Other,125000,Oct,Diesel,honda,No,2016-03-28 00:00:00,1257,2016-04-07 05:45:31,2016,2016,March,March,10,5,9,2
2016-03-28 13:44:11,HONDA_FR_V,privat,Offer,4800,test,andere,2006,manuell,0,andere,150000,Feb,Other,honda,Other,2016-03-28 00:00:00,12103,2016-04-06 16:46:48,2016,2016,March,March,9,16,10,10
2016-04-02 20:49:31,Honda_civic_Hatchback,privat,Offer,1000,test,andere,1995,manuell,75,civic,150000,Jan,Gasoline,honda,No,2016-04-02 00:00:00,15517,2016-04-06 21:44:23,2016,2016,April,April,4,21,21,11
2016-03-17 20:52:27,Honda_Civic_1.4i_90PS,privat,Offer,700,control,andere,1997,manuell,90,civic,150000,Jan,Gasoline,honda,Yes,2016-03-17 00:00:00,32049,2016-03-23 10:18:31,2016,2016,March,March,6,10,19,11
