dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-09 01:58:26,Honda_Crx_del_sol_eh6,privat,Offer,650,control,cabrio,1995,manuell,125,cr_reihe,150000,Jun,Gasoline,honda,No,2016-03-09 00:00:00,42549,2016-03-09 15:44:22,2016,2016,March,March,0,15,21,6
2016-04-02 10:51:07,Honda_S_2000,privat,Offer,8990,test,cabrio,2002,manuell,241,andere,125000,Jul,Gasoline,honda,No,2016-04-02 00:00:00,73527,2016-04-04 07:50:56,2016,2016,April,April,2,7,14,5
2016-04-02 22:56:06,Honda_Crx_del_sol_eg2_/lpg_Gas_Anlage,privat,Offer,2000,test,cabrio,1996,manuell,160,Other,150000,Jan,Other,honda,Other,2016-04-02 00:00:00,27478,2016-04-07 01:46:43,2016,2016,April,April,5,1,20,11
2016-03-21 07:01:41,Honda_CRX_1.6_del_Sol_EH6_Cabrio_Targa_neu_lackiert_Leder,privat,Offer,2900,control,cabrio,1994,manuell,125,cr_reihe,150000,Oct,Gasoline,honda,No,2016-03-21 00:00:00,44229,2016-04-06 01:49:59,2016,2016,March,March,16,1,22,2
2016-04-05 01:58:00,S2000_*H&R*_*Cusco*_*Carbon*,privat,Offer,16500,control,cabrio,2001,manuell,241,andere,150000,Nov,Other,honda,No,2016-04-05 00:00:00,36043,2016-04-07 11:15:43,2016,2016,April,April,2,11,15,1
2016-04-02 15:39:36,Honda_CRX_Del_Sol_TÜV_07/17_!!_NUR_BIS_MORGEN_999__!!,privat,Offer,999,control,cabrio,1994,manuell,125,cr_reihe,150000,Mar,Gasoline,honda,Yes,2016-04-02 00:00:00,84307,2016-04-04 13:15:30,2016,2016,April,April,2,13,22,9
2016-03-30 21:49:12,Honda_CRX_Del_Sol_Rot,privat,Offer,900,test,cabrio,1995,manuell,124,cr_reihe,150000,Jul,Lpg,honda,No,2016-03-30 00:00:00,78176,2016-04-01 17:16:02,2016,2016,March,March,2,17,21,5
2016-03-09 00:36:24,Honda_del_Sol_*Klima*_Targa!_Zuverlaessig!,privat,Offer,2400,test,cabrio,1997,manuell,125,cr_reihe,150000,Jan,Gasoline,honda,Other,2016-03-09 00:00:00,65611,2016-04-06 05:46:16,2016,2016,March,March,28,5,19,11
2016-03-05 18:41:26,Honda_Civic_del_Sol__CRS_ESI_TARGA_SPORT_CABRIO_Youmg_timer_Kult,privat,Offer,1980,test,cabrio,1997,manuell,92,cr_reihe,150000,Jan,Other,honda,No,2016-02-26 00:00:00,14624,2016-03-21 20:45:16,2016,2016,February,March,24,20,19,11
2016-03-26 22:36:55,Honda_S2000_Cabrio__Roadster,privat,Offer,8200,test,cabrio,2004,manuell,241,andere,20000,May,Gasoline,honda,No,2016-03-26 00:00:00,88131,2016-03-27 08:40:56,2016,2016,March,March,1,8,12,7
