dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-26 13:50:33,Honda_Civic_Coupe_1.7_LS,privat,Offer,1500,control,coupe,2001,manuell,120,civic,150000,Mar,Gasoline,honda,No,2016-03-26 00:00:00,8058,2016-03-26 13:50:33,2016,2016,March,March,0,13,15,9
2016-04-01 13:57:03,Honda_Prelude_BB6,privat,Offer,560,test,coupe,1998,manuell,0,andere,150000,Jan,Other,honda,Other,2016-04-01 00:00:00,39448,2016-04-01 13:57:03,2016,2016,April,April,0,13,18,11
2016-03-25 18:53:16,Honda_Prelude,privat,Offer,3500,test,coupe,2000,manuell,140,andere,125000,Aug,Gasoline,honda,No,2016-03-25 00:00:00,35418,2016-03-25 18:53:16,2016,2016,March,March,0,18,16,4
2016-03-30 12:50:37,Honda_Accord_coupe,privat,Offer,500,control,coupe,1997,automatik,156,accord,5000,May,Gasoline,honda,Yes,2016-03-30 00:00:00,52222,2016-04-07 03:44:51,2016,2016,March,March,8,3,19,7
2016-03-27 22:54:13,Honda_CRX_1.6_ESi,privat,Offer,1400,test,coupe,1992,manuell,125,cr_reihe,150000,Jun,Gasoline,honda,No,2016-03-27 00:00:00,55595,2016-04-06 06:17:07,2016,2016,March,March,10,6,24,6
2016-04-01 23:06:20,Honda_Prelude_BB3,privat,Offer,5100,control,coupe,1995,manuell,220,andere,150000,Jun,Gasoline,honda,No,2016-04-01 00:00:00,56470,2016-04-05 15:45:53,2016,2016,April,April,4,15,21,6
2016-04-03 11:54:59,Honda_CRX_1.6,privat,Offer,4750,control,coupe,1995,manuell,160,cr_reihe,150000,Mar,Gasoline,honda,No,2016-04-03 00:00:00,65203,2016-04-04 16:11:16,2016,2016,April,April,1,16,21,9
2016-03-14 22:39:35,US_IMPORT_Honda_Accord_Coupe_EX_L_V6_2008,privat,Offer,8000,control,coupe,2008,automatik,268,accord,150000,Sep,Gasoline,honda,No,2016-03-14 00:00:00,92249,2016-04-06 16:17:10,2016,2016,March,March,23,16,8,3
2016-03-20 14:44:42,Honda_Civic_Type_R_in_Teilen_EP1_EP2_EP3_Ersatzteile_K20_swap,privat,Offer,1,test,coupe,2003,Unspecified,0,civic,125000,Apr,Gasoline,honda,Other,2016-03-20 00:00:00,96515,2016-04-06 17:16:36,2016,2016,March,March,17,17,13,8
2016-03-07 14:39:16,Honda_Civic_EJ1__B16A2__170_PS__125.000_km__TÜV_neu,privat,Offer,2999,control,coupe,1993,manuell,170,civic,125000,Jul,Gasoline,honda,No,2016-03-07 00:00:00,67575,2016-04-07 02:15:35,2016,2016,March,March,31,2,23,5
