dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-17 12:56:28,Honda_Civic_Aero_Deck_1.4i_S,privat,Offer,1500,test,kombi,2001,manuell,90,civic,150000,Jan,Gasoline,honda,No,2016-03-17 00:00:00,90431,2016-03-28 13:44:45,2016,2016,March,March,11,13,15,11
2016-03-30 20:41:11,Honda_Accord_Tourer_2.4_i_Type_S_!_ORIGINAL_!,privat,Offer,4500,control,kombi,2003,manuell,190,accord,150000,Feb,Gasoline,honda,No,2016-03-30 00:00:00,13409,2016-04-05 09:52:36,2016,2016,March,March,6,9,13,10
2016-04-01 14:50:32,Honda_Accord_Tourer_2.0_i_Sport,privat,Offer,3990,test,kombi,2005,manuell,155,accord,150000,Jan,Gasoline,honda,Yes,2016-04-01 00:00:00,53879,2016-04-05 09:18:26,2016,2016,April,April,4,9,11,11
2016-03-28 22:48:00,Honda_Accord_Tourer_2.2i_CDTi_Sport_30_Jahre_Edition,privat,Offer,6989,control,kombi,2008,manuell,140,accord,150000,Jun,Diesel,honda,No,2016-03-28 00:00:00,37574,2016-04-01 09:46:03,2016,2016,March,March,4,9,8,6
2016-03-31 23:51:52,Honda_Accord_Tourer_2.2i_DTEC_Automatik_Executive,privat,Offer,10600,control,kombi,2009,automatik,150,accord,150000,Jul,Diesel,honda,No,2016-03-31 00:00:00,71640,2016-04-07 03:17:23,2016,2016,March,March,7,3,7,5
2016-03-21 01:56:33,Honda_Accord_Tourer_2.2i_DTEC_Executive,privat,Offer,10500,test,kombi,2008,manuell,150,accord,150000,Nov,Diesel,honda,No,2016-03-21 00:00:00,42349,2016-04-06 00:17:03,2016,2016,March,March,16,0,8,1
2016-03-12 09:37:23,Honda_Accord_Tourer_2.0_i,privat,Offer,4100,control,kombi,2005,manuell,155,accord,150000,Mar,Gasoline,honda,No,2016-03-12 00:00:00,38120,2016-03-12 10:41:34,2016,2016,March,March,0,10,11,9
2016-03-22 09:51:46,Honda_Stream,privat,Offer,2000,test,kombi,2001,manuell,125,andere,125000,Aug,Gasoline,honda,No,2016-03-22 00:00:00,89522,2016-03-29 12:48:22,2016,2016,March,March,7,12,15,4
2016-03-31 20:39:52,Honda_Accord_2.2_Diesel,privat,Offer,3750,test,kombi,2004,manuell,140,accord,150000,Nov,Diesel,honda,No,2016-03-31 00:00:00,1917,2016-04-06 15:15:55,2016,2016,March,March,6,15,12,1
2016-03-13 20:42:55,Honda_accord_Tourer_top_Zustand,privat,Offer,7499,control,kombi,2006,manuell,155,accord,80000,Nov,Other,honda,No,2016-03-13 00:00:00,6193,2016-03-14 23:15:19,2016,2016,March,March,1,23,10,1
2016-03-24 18:54:11,Honda_Accord_Tourer_2_2_cdti_CN2,privat,Offer,3599,test,kombi,2004,manuell,140,accord,150000,Jan,Diesel,honda,No,2016-03-24 00:00:00,6679,2016-04-03 11:55:07,2016,2016,March,March,10,11,12,11
2016-03-29 20:40:30,Honda_Accord_2.2_Diesel,privat,Offer,4200,test,kombi,2004,manuell,0,accord,150000,Nov,Diesel,honda,No,2016-03-29 00:00:00,1917,2016-03-31 14:16:02,2016,2016,March,March,2,14,12,1
2016-03-25 21:51:33,Honda_Accord_Kombi,privat,Offer,610,test,kombi,1995,manuell,136,accord,150000,May,Gasoline,honda,No,2016-03-25 00:00:00,85659,2016-04-07 04:45:38,2016,2016,March,March,13,4,21,7
2016-03-19 12:39:52,Honda_combi_mit_defekter_Kupplung,privat,Offer,550,test,kombi,1996,manuell,0,accord,150000,Aug,Other,honda,Yes,2016-03-19 00:00:00,29308,2016-03-28 13:15:45,2016,2016,March,March,9,13,20,4
2016-03-29 10:37:42,Honda_Accord_Aerodeck_136PS,privat,Offer,250,control,kombi,1995,manuell,136,accord,150000,Jan,Gasoline,honda,Other,2016-03-29 00:00:00,44369,2016-04-05 20:18:41,2016,2016,March,March,7,20,21,11
2016-04-04 07:58:40,Honda__Accord_Tourer_2009,privat,Offer,8000,test,kombi,2009,manuell,0,accord,150000,Jun,Diesel,honda,Other,2016-04-04 00:00:00,12045,2016-04-06 10:17:02,2016,2016,April,April,2,10,7,6
2016-03-11 20:52:19,Honda_Civic_*_TÜV/Benzin/Zentral/ElkFHB/CD_Radio/_8Fach_Berreift/,privat,Offer,950,control,kombi,1999,manuell,90,civic,150000,Oct,Gasoline,honda,No,2016-03-11 00:00:00,45881,2016-03-13 02:45:19,2016,2016,March,March,2,2,17,2
2016-03-26 13:57:31,Honda_Accord_Tourer_2.0_i,privat,Offer,4300,control,kombi,2003,manuell,155,accord,150000,Nov,Gasoline,honda,No,2016-03-26 00:00:00,1979,2016-04-06 02:17:11,2016,2016,March,March,11,2,13,1
2016-03-21 22:47:46,Servo_Klima_/4xElektr.fenster_//Anhaengerkupplung__TÜV_bis.Juli.17,privat,Offer,899,control,kombi,1999,manuell,0,civic,150000,Jun,Gasoline,honda,No,2016-03-21 00:00:00,28199,2016-03-21 23:42:12,2016,2016,March,March,0,23,17,6
2016-03-20 16:55:12,*Honda_Civic_Aerodeck*!!!,privat,Offer,1500,test,kombi,2001,manuell,75,civic,150000,Mar,Gasoline,honda,No,2016-03-20 00:00:00,32457,2016-04-06 23:46:42,2016,2016,March,March,17,23,15,9
2016-04-03 11:37:44,Honda_Accord_Sport_Tourer,privat,Offer,4499,control,kombi,2004,manuell,155,accord,150000,Aug,Gasoline,honda,Other,2016-04-03 00:00:00,36323,2016-04-07 12:44:43,2016,2016,April,April,4,12,12,4
2016-03-24 19:50:28,Honda_Accord_Tourer_2.2i_CDTi_Executive,privat,Offer,3599,control,kombi,2004,manuell,140,accord,150000,Aug,Diesel,honda,No,2016-03-24 00:00:00,6679,2016-04-03 13:18:01,2016,2016,March,March,10,13,12,4
2016-03-11 18:00:09,Honda_Accord_Tourer_2.0_i_Sport,privat,Offer,4999,control,kombi,2004,manuell,155,accord,125000,Jul,Gasoline,honda,No,2016-03-11 00:00:00,8297,2016-03-12 22:45:57,2016,2016,March,March,1,22,12,5
2016-04-05 12:57:16,Honda_Accord_2.4_i_LPG,privat,Offer,6300,test,kombi,2003,manuell,190,accord,150000,Jun,Lpg,honda,No,2016-04-05 00:00:00,12487,2016-04-05 12:57:16,2016,2016,April,April,0,12,13,6
2016-04-02 03:02:28,Honda_Accord_Kombi_2_H_tuev_au_neu,privat,Offer,2500,control,kombi,2000,manuell,90,accord,125000,Jun,Gasoline,honda,No,2016-04-02 00:00:00,42389,2016-04-06 06:17:19,2016,2016,April,April,4,6,16,6
2016-03-14 21:49:43,Honda_Accord_Tourer_2.2i_CDTi_Sport,privat,Offer,6280,test,kombi,2007,manuell,140,accord,150000,May,Diesel,honda,No,2016-03-14 00:00:00,89155,2016-03-19 11:47:03,2016,2016,March,March,5,11,9,7
2016-03-13 18:42:01,Honda_Accord_Tourer_2.0_Executive,privat,Offer,10500,test,kombi,2008,manuell,156,accord,100000,Aug,Lpg,honda,No,2016-03-13 00:00:00,47574,2016-03-28 14:16:53,2016,2016,March,March,15,14,8,4
2016-04-01 09:55:48,Honda._Kombi,privat,Offer,770,test,kombi,1999,manuell,0,Other,150000,Jan,Gasoline,honda,Other,2016-04-01 00:00:00,80339,2016-04-07 06:17:42,2016,2016,April,April,6,6,17,11
2016-03-09 16:45:25,Honda_Civic,privat,Offer,0,test,kombi,2000,manuell,75,civic,150000,Aug,Gasoline,honda,No,2016-03-09 00:00:00,31855,2016-04-07 05:15:56,2016,2016,March,March,29,5,16,4
2016-03-23 16:58:43,Honda_Civil_1_4_____01723971504,privat,Offer,700,test,kombi,1998,manuell,75,civic,150000,Jul,Gasoline,honda,No,2016-03-23 00:00:00,47443,2016-04-05 21:46:06,2016,2016,March,March,13,21,18,5
2016-03-12 13:44:41,Honda_Accord_2_0_i_Cmfort_HU_11/2016,privat,Offer,3200,control,kombi,2003,manuell,155,accord,150000,Jan,Gasoline,honda,Other,2016-03-12 00:00:00,28816,2016-03-17 14:17:40,2016,2016,March,March,5,14,13,11
2016-03-26 17:46:09,Verkaufe_Honda_Civic_Aerodeck_Kombi,privat,Offer,1350,control,kombi,2000,manuell,90,civic,150000,Nov,Gasoline,honda,No,2016-03-26 00:00:00,26683,2016-03-26 17:46:09,2016,2016,March,March,0,17,16,1
2016-04-04 00:52:40,Honda_Accord_Kombi_HU_6/17,privat,Offer,1199,test,kombi,1996,manuell,136,Other,150000,Nov,Gasoline,honda,Other,2016-04-03 00:00:00,1454,2016-04-06 08:16:41,2016,2016,April,April,3,8,20,1
2016-03-09 19:37:00,honda_civic,privat,Offer,600,test,kombi,1998,manuell,85,civic,30000,Nov,Gasoline,honda,No,2016-03-09 00:00:00,94315,2016-03-11 03:17:24,2016,2016,March,March,2,3,18,1
2016-03-14 00:47:59,Honda_Accord_Tourer_2_2i_CTDi_Sport_140_PS__Scheckheftgepflegt_,privat,Offer,4999,control,kombi,2006,manuell,140,accord,150000,Jan,Diesel,honda,Other,2016-03-13 00:00:00,17358,2016-04-07 00:45:55,2016,2016,March,March,25,0,10,11
2016-03-14 20:42:36,Honda_Civic_Kombi_/_FHB_/_TÜV_/_Sauber_/,privat,Offer,690,control,kombi,1999,manuell,90,civic,150000,Jul,Gasoline,honda,Other,2016-03-14 00:00:00,45884,2016-03-17 10:44:32,2016,2016,March,March,3,10,17,5
2016-03-26 17:48:04,Honda_Aerodeck,privat,Offer,990,control,kombi,2000,manuell,90,andere,125000,Jun,Gasoline,honda,No,2016-03-26 00:00:00,44149,2016-04-02 09:17:18,2016,2016,March,March,7,9,16,6
2016-03-29 19:54:39,Hondaccord_Kombi_mit_klima_und_Anhaengerkupplung,privat,Offer,500,control,kombi,1996,manuell,0,accord,150000,Aug,Gasoline,honda,Other,2016-03-29 00:00:00,29308,2016-03-31 13:44:41,2016,2016,March,March,2,13,20,4
2016-03-21 09:57:34,HONDA_CIVIC_KOMBI,privat,Offer,650,control,kombi,1999,manuell,90,civic,150000,Mar,Gasoline,honda,No,2016-03-21 00:00:00,21481,2016-03-21 10:43:44,2016,2016,March,March,0,10,17,9
2016-03-19 09:56:09,Honda_Accord_Aerodeck,privat,Offer,1300,test,kombi,1997,manuell,136,andere,150000,Mar,Gasoline,honda,No,2016-03-19 00:00:00,79312,2016-04-06 10:15:45,2016,2016,March,March,18,10,19,9
2016-04-04 12:53:34,Honda_Accord_Tourer_2.2i_CDTi_Executive,privat,Offer,6199,control,kombi,2006,manuell,140,accord,150000,Jan,Diesel,honda,No,2016-04-04 00:00:00,73765,2016-04-06 14:45:12,2016,2016,April,April,2,14,10,11
2016-03-27 15:46:59,Honda_Aerodeck,privat,Offer,1450,control,kombi,2000,manuell,90,andere,150000,Nov,Gasoline,honda,No,2016-03-27 00:00:00,33129,2016-04-07 13:16:45,2016,2016,March,March,11,13,16,1
2016-03-31 04:03:31,Honda_Civic_Aerodeck,privat,Offer,1700,control,kombi,1998,manuell,75,civic,150000,Jun,Gasoline,honda,No,2016-03-31 00:00:00,45475,2016-04-06 02:16:25,2016,2016,March,March,6,2,18,6
2016-03-14 14:56:48,Honda_Accord_Tourer_2.2i_CDTi_Executive,privat,Offer,4499,control,kombi,2004,manuell,140,accord,150000,Mar,Diesel,honda,No,2016-03-14 00:00:00,51515,2016-03-22 08:48:21,2016,2016,March,March,8,8,12,9
2016-03-31 13:49:21,Honda_Accord_Aerodeck_2_0_SI_Kombi_ohne_TÜV,privat,Offer,550,control,kombi,1996,manuell,136,accord,150000,Nov,Gasoline,honda,No,2016-03-31 00:00:00,29664,2016-04-06 06:44:29,2016,2016,March,March,6,6,20,1
2016-03-27 21:57:12,Honda_Civic_Automatic_zum_rep._od._Ersatzteilgewinnung__wenig_km_,privat,Offer,400,test,kombi,1989,automatik,75,civic,125000,Oct,Gasoline,honda,Other,2016-03-27 00:00:00,63755,2016-04-02 00:45:23,2016,2016,March,March,6,0,27,2
2016-03-20 20:41:50,Sehr_gepflegtes_Auto,privat,Offer,5299,test,kombi,2005,manuell,140,accord,150000,Jan,Other,honda,No,2016-03-20 00:00:00,41063,2016-04-07 04:46:59,2016,2016,March,March,18,4,11,11
2016-03-15 08:55:22,Honda_Civic_Aerodeck_Ersatzteile,privat,Offer,0,test,kombi,1998,manuell,90,Other,150000,Jan,Other,honda,Yes,2016-03-15 00:00:00,37139,2016-04-05 16:44:18,2016,2016,March,March,21,16,18,11
2016-03-18 23:36:42,Honda_Accord_Tourer_2.2i_DTEC_Executive,privat,Offer,5300,test,kombi,2008,manuell,150,accord,125000,Oct,Diesel,honda,No,2016-03-18 00:00:00,41352,2016-03-21 10:45:44,2016,2016,March,March,3,10,8,2
2016-03-19 18:40:11,Honda_Accord_Tourer_2.4_i_Automatik_Executive,privat,Offer,10500,test,kombi,2006,automatik,190,accord,125000,Oct,Gasoline,honda,No,2016-03-19 00:00:00,7422,2016-04-07 05:17:38,2016,2016,March,March,19,5,10,2
2016-03-05 19:44:52,Honda_Civic_Aero_Deck_1.4i_S,privat,Offer,1000,test,kombi,2000,manuell,90,civic,150000,Nov,Gasoline,honda,No,2016-03-05 00:00:00,58455,2016-03-20 20:48:11,2016,2016,March,March,15,20,16,1
2016-03-27 19:52:01,Honda_Civic,privat,Offer,990,control,kombi,1999,manuell,75,civic,150000,Aug,Gasoline,honda,No,2016-03-27 00:00:00,81671,2016-04-05 18:45:54,2016,2016,March,March,9,18,17,4
2016-03-27 14:42:54,Honda_Civic_Aero_Deck_1.4i,privat,Offer,3000,control,kombi,1998,manuell,75,civic,100000,Nov,Gasoline,honda,No,2016-03-27 00:00:00,76228,2016-04-03 10:18:20,2016,2016,March,March,7,10,18,1
2016-03-08 00:32:31,Honda_Aerodeck,privat,Offer,850,test,kombi,1998,manuell,90,andere,150000,Jan,Gasoline,honda,No,2016-03-07 00:00:00,65197,2016-04-05 16:21:53,2016,2016,March,March,29,16,18,11
2016-03-06 11:25:43,Honda_Civic,privat,Offer,1000,test,kombi,1998,manuell,0,Other,150000,Jul,Gasoline,honda,No,2016-03-06 00:00:00,35440,2016-03-29 02:15:44,2016,2016,March,March,23,2,18,5
2016-03-09 20:54:49,Honda_Accord_Tourer_2.2i_CDTi_Xenon__Leder_AHK__S_Heft,privat,Offer,7950,test,kombi,2007,manuell,140,accord,125000,Jul,Diesel,honda,No,2016-03-09 00:00:00,52146,2016-03-27 20:44:33,2016,2016,March,March,18,20,9,5
2016-03-29 22:47:24,Honda_Civic_Aero_Deck_1.8i,privat,Offer,3499,test,kombi,1998,manuell,169,civic,150000,Jul,Gasoline,honda,No,2016-03-29 00:00:00,92521,2016-04-06 10:44:52,2016,2016,March,March,8,10,18,5
2016-03-25 22:56:49,Honda_Jazz,privat,Offer,6800,control,kombi,2010,manuell,90,jazz,80000,Jan,Gasoline,honda,No,2016-03-25 00:00:00,85092,2016-04-05 14:15:51,2016,2016,March,March,11,14,6,11
2016-03-26 17:40:14,Honda_Civic_Aerodeck_Kombi_*Klimaanlage*,privat,Offer,3000,control,kombi,1998,manuell,75,Other,100000,Jan,Other,honda,No,2016-03-26 00:00:00,76228,2016-04-04 05:17:43,2016,2016,March,March,9,5,18,11
2016-04-02 23:55:23,Honda_Accord_Tourer_2.2i_CDTi_Executive,privat,Offer,8299,test,kombi,2006,manuell,140,accord,125000,Nov,Diesel,honda,No,2016-04-02 00:00:00,85457,2016-04-07 08:15:54,2016,2016,April,April,5,8,10,1
2016-03-09 19:39:20,Honda_civic,privat,Offer,500,test,kombi,2000,manuell,90,civic,150000,Nov,Gasoline,honda,No,2016-03-09 00:00:00,47798,2016-03-22 06:17:10,2016,2016,March,March,13,6,16,1
2016-03-25 16:50:23,Verkaufe_Honda_Civic_Aerodeck_Kombi,privat,Offer,1650,control,kombi,2000,manuell,90,civic,150000,Nov,Gasoline,honda,No,2016-03-25 00:00:00,26683,2016-03-25 16:50:23,2016,2016,March,March,0,16,16,1
2016-03-05 16:57:09,Honda_Accord_Tourer_2.2i_CDTi_Sport,privat,Offer,5699,control,kombi,2007,manuell,140,accord,150000,Feb,Diesel,honda,No,2016-03-05 00:00:00,24558,2016-03-10 01:45:46,2016,2016,March,March,5,1,9,10
2016-04-02 19:53:00,Kombi_Honda_Civic_Aerodec,privat,Offer,500,control,kombi,1998,manuell,75,Other,150000,Nov,Gasoline,honda,Yes,2016-04-02 00:00:00,54576,2016-04-06 20:17:22,2016,2016,April,April,4,20,18,1
2016-03-29 02:57:45,Honda_civic_aerodeck_MB8,privat,Offer,2000,test,kombi,2000,manuell,90,Other,125000,Jan,Other,honda,Other,2016-03-29 00:00:00,39218,2016-04-05 17:45:01,2016,2016,March,March,7,17,16,11
2016-03-28 00:56:33,Honda_Accord_Tourer_Sport,privat,Offer,4750,control,kombi,2004,manuell,155,accord,150000,Aug,Gasoline,honda,Other,2016-03-27 00:00:00,36323,2016-04-02 11:47:58,2016,2016,March,March,6,11,12,4
2016-03-24 22:50:18,Honda_Accord_Tourer_2.0_Elegance_Advantage,privat,Offer,9700,control,kombi,2010,manuell,156,accord,125000,Sep,Gasoline,honda,No,2016-03-24 00:00:00,64295,2016-03-25 00:44:11,2016,2016,March,March,1,0,6,3
2016-03-28 13:53:18,Honda_Accord_Tourer_2.4_i_Type_S,privat,Offer,6900,test,kombi,2006,manuell,190,accord,150000,Jul,Gasoline,honda,No,2016-03-28 00:00:00,99638,2016-03-30 04:45:19,2016,2016,March,March,2,4,10,5
2016-03-20 11:55:38,Honda_Accord_Tourer_Sport,privat,Offer,4900,test,kombi,2004,manuell,155,accord,150000,Aug,Gasoline,honda,Other,2016-03-20 00:00:00,36323,2016-03-26 20:17:03,2016,2016,March,March,6,20,12,4
2016-03-12 12:56:06,Honda_Accord_Aerodeck,privat,Offer,1450,test,kombi,1997,manuell,136,accord,150000,Jun,Gasoline,honda,No,2016-03-12 00:00:00,79312,2016-04-06 10:17:47,2016,2016,March,March,25,10,19,6
2016-03-26 08:55:41,Honda_Aerodeck_1.4iS,privat,Offer,1450,test,kombi,2000,manuell,90,civic,150000,Nov,Gasoline,honda,No,2016-03-26 00:00:00,33129,2016-03-31 02:18:02,2016,2016,March,March,5,2,16,1
2016-03-14 21:57:13,Honda_Accord_Tourer_Comfort,privat,Offer,3400,test,kombi,2003,automatik,155,accord,150000,Oct,Gasoline,honda,No,2016-03-14 00:00:00,9117,2016-03-20 23:41:12,2016,2016,March,March,6,23,13,2
2016-04-03 21:54:08,Honda_ACCORD_2_4_Executive_mit_gr._Navi,privat,Offer,9999,test,kombi,2006,automatik,190,accord,125000,Oct,Gasoline,honda,Other,2016-04-03 00:00:00,7422,2016-04-05 23:15:34,2016,2016,April,April,2,23,10,2
2016-03-30 19:51:54,Honda_als_Ersatzteil__nicht_fahrbereit__Mueggenwalde,privat,Offer,749,test,kombi,2001,manuell,75,civic,125000,Mar,Gasoline,honda,Yes,2016-03-30 00:00:00,18513,2016-04-05 09:16:21,2016,2016,March,March,6,9,15,9
2016-03-14 19:51:46,Honda_Accord_2.0i_Aero_Deck_ES,privat,Offer,1350,control,kombi,1996,manuell,136,accord,150000,Nov,Gasoline,honda,No,2016-03-14 00:00:00,76344,2016-04-06 05:46:06,2016,2016,March,March,23,5,20,1
2016-03-28 17:52:06,Honda_Shuttle,privat,Offer,1300,test,kombi,1995,automatik,0,andere,150000,Jan,Gasoline,honda,No,2016-03-28 00:00:00,86647,2016-04-06 23:46:03,2016,2016,March,March,9,23,21,11
2016-04-03 20:40:53,Honda_Accord_Tourer_2.2i_CDTi_Executive,privat,Offer,2800,test,kombi,2006,manuell,140,accord,150000,Oct,Diesel,honda,Yes,2016-04-03 00:00:00,1558,2016-04-05 21:17:03,2016,2016,April,April,2,21,10,2
2016-03-27 10:52:35,Nur_Heute_Osterschnaeppchen_Verkaufe_Honda_Civic_Aerodeck_Kombi,privat,Offer,1100,control,kombi,2000,manuell,90,civic,150000,Nov,Gasoline,honda,No,2016-03-27 00:00:00,26683,2016-03-27 11:40:06,2016,2016,March,March,0,11,16,1
