dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-07 12:51:23,Honda_Civic_1.4_i_VTEC_Comfort,privat,Offer,6900,test,limousine,2008,manuell,99,civic,60000,Nov,Gasoline,honda,No,2016-03-07 00:00:00,12621,2016-03-26 09:44:53,2016,2016,March,March,19,9,8,1
2016-03-24 14:38:41,Honda_Civic_1.6i,privat,Offer,2499,test,limousine,2003,manuell,110,civic,150000,Nov,Gasoline,honda,Other,2016-03-24 00:00:00,42853,2016-03-24 14:38:41,2016,2016,March,March,0,14,13,1
2016-03-28 01:36:15,Honda_Civic_1.4i,privat,Offer,1500,test,limousine,2000,manuell,75,civic,125000,Nov,Gasoline,honda,No,2016-03-28 00:00:00,12163,2016-04-02 11:47:57,2016,2016,March,March,5,11,16,1
2016-03-09 10:54:10,Honda_Accord_2.0_i_Comfort,privat,Offer,2190,control,limousine,2003,manuell,155,accord,150000,Nov,Gasoline,honda,Yes,2016-03-09 00:00:00,87437,2016-03-11 16:45:58,2016,2016,March,March,2,16,13,1
2016-03-19 13:43:42,Honda_Civic_1.4i_S_Cool,privat,Offer,1500,test,limousine,2001,manuell,90,civic,150000,Jun,Gasoline,honda,No,2016-03-19 00:00:00,79618,2016-03-27 01:45:14,2016,2016,March,March,8,1,15,6
2016-03-21 19:53:48,Honda_civic_1.4_90_PS_mit_TUV,privat,Offer,650,test,limousine,1997,manuell,0,civic,150000,Apr,Gasoline,honda,No,2016-03-21 00:00:00,94439,2016-03-21 19:53:48,2016,2016,March,March,0,19,19,8
2016-03-17 22:50:51,Honda_Honda_Civic_1.8i_VTEC_Type_S,privat,Offer,5200,test,limousine,2008,manuell,140,civic,150000,Feb,Gasoline,honda,No,2016-03-17 00:00:00,59939,2016-03-18 01:41:34,2016,2016,March,March,1,1,8,10
2016-03-15 12:58:21,Honda_Accord_2.0i_ES,privat,Offer,1980,control,limousine,1999,automatik,147,accord,150000,Jun,Gasoline,honda,No,2016-03-15 00:00:00,85748,2016-03-21 09:45:50,2016,2016,March,March,6,9,17,6
2016-04-04 18:50:33,Verkaufe_mein_Honda_Civic_1_6__BJ_12/2001,privat,Offer,2000,test,limousine,2001,manuell,110,civic,90000,Nov,Gasoline,honda,Other,2016-04-04 00:00:00,12057,2016-04-06 21:15:57,2016,2016,April,April,2,21,15,1
2016-03-26 15:55:49,Honda_Accord_1.8i_LS,privat,Offer,1650,test,limousine,1996,automatik,116,accord,150000,Oct,Gasoline,honda,No,2016-03-26 00:00:00,71717,2016-04-02 06:17:46,2016,2016,March,March,7,6,20,2
2016-03-06 21:48:50,Honda_Civic_1.8_i_VTEC_Sport_40_Jahre_Edition_TÜV_NEUE,privat,Offer,10999,control,limousine,2012,manuell,141,civic,60000,Nov,Gasoline,honda,No,2016-03-06 00:00:00,86462,2016-04-07 02:44:39,2016,2016,March,March,32,2,4,1
2016-03-26 12:39:17,Honda_civic_5_Turig_mit_Neu_TÜV,privat,Offer,3100,control,limousine,2005,manuell,90,civic,150000,Jul,Gasoline,honda,No,2016-03-26 00:00:00,49088,2016-04-02 02:17:16,2016,2016,March,March,7,2,11,5
