dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-04 10:57:36,Verkaufe_meinen_kleinen_wegen_neu_Anschaffung,privat,Offer,1400,control,Other,2016,manuell,55,andere,5000,Jan,Other,hyundai,Other,2016-04-04 00:00:00,34454,2016-04-06 12:45:43,2016,2016,April,April,2,12,0,11
2016-03-22 20:47:22,Hyundai_Atos,privat,Offer,200,control,Other,2005,manuell,0,andere,150000,Jan,Gasoline,hyundai,Yes,2016-03-22 00:00:00,66953,2016-03-28 12:16:13,2016,2016,March,March,6,12,11,11
2016-03-27 11:46:36,Hyundai_kein_VW_Ford_Volvo_mitsubishi_Honda_Mercedes,privat,Offer,50,test,Other,2005,Unspecified,0,andere,5000,Jan,Other,hyundai,Other,2016-03-27 00:00:00,18569,2016-03-27 11:46:36,2016,2016,March,March,0,11,11,11
2016-03-08 19:44:28,Hyundai_i10_2009,privat,Offer,2500,test,Other,2009,manuell,0,i_reihe,90000,Jun,Other,hyundai,Yes,2016-03-08 00:00:00,49847,2016-03-17 01:15:55,2016,2016,March,March,9,1,7,6
2016-03-08 15:51:03,Hyundai_Getz_1.3_TB_3Tuerer,privat,Offer,850,test,Other,2005,manuell,0,getz,150000,Jun,Gasoline,hyundai,Other,2016-03-08 00:00:00,15711,2016-03-08 15:51:03,2016,2016,March,March,0,15,11,6
2016-03-07 14:47:09,Hyndai_Accent_an_Bastler_zu_verkaufen,privat,Offer,250,control,Other,2000,manuell,75,andere,125000,Feb,Gasoline,hyundai,Yes,2016-03-07 00:00:00,18337,2016-03-23 08:15:53,2016,2016,March,March,16,8,16,10
2016-03-20 13:55:10,bremsscheiben_vorne_fuer_4WD,privat,Offer,50,test,Other,2005,Unspecified,0,santa,5000,Jan,Other,hyundai,Other,2016-03-20 00:00:00,37603,2016-04-06 15:45:35,2016,2016,March,March,17,15,11,11
2016-03-24 18:45:27,Hyundai_Atos_mit_TÜV,privat,Offer,400,test,Other,2016,manuell,0,Other,125000,Jul,Gasoline,hyundai,No,2016-03-24 00:00:00,25337,2016-03-24 18:45:27,2016,2016,March,March,0,18,0,5
2016-03-08 19:57:09,Hyundai_Getz_1.3TB,privat,Offer,850,test,Other,2005,manuell,0,getz,150000,Jan,Gasoline,hyundai,Other,2016-03-08 00:00:00,15711,2016-03-08 19:57:09,2016,2016,March,March,0,19,11,11
2016-03-31 23:50:10,Hyuindai_terracan_EXPORT,privat,Offer,0,control,Other,2006,Unspecified,0,Other,5000,Jan,Other,hyundai,Other,2016-03-31 00:00:00,33647,2016-04-07 01:44:37,2016,2016,March,March,7,1,10,11
2016-04-03 00:56:19,HYUNDAI_MATRIX,privat,Offer,1200,control,Other,2003,manuell,101,Other,150000,Jan,Other,hyundai,No,2016-04-03 00:00:00,47608,2016-04-07 09:16:57,2016,2016,April,April,4,9,13,11
2016-04-02 15:54:12,###_HYUNDAI_GETZ_###_MIT_TÜV###,privat,Offer,550,control,Other,2016,Unspecified,0,getz,125000,Jan,Gasoline,hyundai,Other,2016-04-02 00:00:00,35781,2016-04-05 22:18:14,2016,2016,April,April,3,22,0,11
2016-03-31 16:57:15,Hyndai_Matrix_zu_verkaufen!!,privat,Offer,2100,control,Other,2005,manuell,103,andere,100000,Jan,Other,hyundai,Other,2016-03-31 00:00:00,59269,2016-04-06 10:46:12,2016,2016,March,March,6,10,11,11
2016-04-04 07:56:16,Santa_fee_zu_verkaufen,privat,Offer,3200,test,Other,2016,manuell,0,santa,150000,May,Other,hyundai,Other,2016-04-04 00:00:00,16348,2016-04-06 08:45:29,2016,2016,April,April,2,8,0,7
2016-03-24 22:37:58,Hyundai_Matrix_2003,privat,Offer,550,control,Other,2005,manuell,0,andere,150000,Apr,Gasoline,hyundai,No,2016-03-24 00:00:00,37520,2016-03-31 05:15:20,2016,2016,March,March,7,5,11,8
