dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-13 15:47:50,Hyundai_ix20_1.4_Comfort_mit_Technik_Paket_und_LPG,privat,Offer,8249,test,bus,2011,manuell,90,i_reihe,90000,Feb,Gasoline,hyundai,No,2016-03-13 00:00:00,36358,2016-03-28 13:46:05,2016,2016,March,March,15,13,5,10
2016-03-25 23:37:54,Hyundai_trajet_diesel,privat,Offer,2000,control,bus,2005,manuell,0,andere,150000,May,Diesel,hyundai,Other,2016-03-25 00:00:00,40595,2016-04-05 14:46:38,2016,2016,March,March,11,14,11,7
2016-03-25 09:53:49,hunday_santamo,privat,Offer,500,test,bus,1998,manuell,0,andere,20000,Jan,Lpg,hyundai,No,2016-03-25 00:00:00,9648,2016-03-25 10:44:04,2016,2016,March,March,0,10,18,11
2016-03-16 21:49:32,Hyundai_ix20_1.6_CRDi_Top_Ausstattung,privat,Offer,6290,control,bus,2012,manuell,116,i_reihe,150000,Nov,Diesel,hyundai,No,2016-03-16 00:00:00,45881,2016-03-19 21:18:20,2016,2016,March,March,3,21,4,1
2016-03-31 12:37:43,Hyundai_ix20_1.4_5_Star_Gold_Edition___top_Zustand!,privat,Offer,10999,test,bus,2013,manuell,90,i_reihe,30000,Jul,Gasoline,hyundai,No,2016-03-31 00:00:00,64579,2016-04-06 04:46:34,2016,2016,March,March,6,4,3,5
2016-03-29 17:52:38,Hyundai_Matrix__top_Zustand__TÜV_11/2017,privat,Offer,2690,control,bus,2004,manuell,101,andere,125000,Aug,Gasoline,hyundai,No,2016-03-29 00:00:00,94327,2016-04-06 03:45:21,2016,2016,March,March,8,3,12,4
2016-03-07 19:50:32,Hyundai_Trajet_2.0_CRDi,privat,Offer,799,control,bus,2002,manuell,113,andere,150000,Mar,Diesel,hyundai,No,2016-03-07 00:00:00,53474,2016-04-07 12:17:40,2016,2016,March,March,31,12,14,9
2016-03-21 20:54:50,Fuer_Bastler_Hyundai_Matrix_1.6_GLS,privat,Offer,500,control,bus,2004,manuell,103,andere,150000,Nov,Gasoline,hyundai,Yes,2016-03-21 00:00:00,52224,2016-03-28 19:16:38,2016,2016,March,March,7,19,12,1
2016-03-23 19:51:41,Hyundai_Trajet_2_0__Klima__7_Sitzer__kein_Tuev,privat,Offer,1299,control,bus,2001,manuell,116,andere,150000,May,Gasoline,hyundai,No,2016-03-23 00:00:00,12159,2016-03-23 19:51:41,2016,2016,March,March,0,19,15,7
2016-03-31 21:51:19,Hyundai_H_1____HA__2016.12,privat,Offer,1790,test,bus,2000,manuell,80,andere,150000,Jun,Diesel,hyundai,No,2016-03-31 00:00:00,98544,2016-04-06 17:44:26,2016,2016,March,March,6,17,16,6
2016-03-24 18:47:46,Hyundai_Trajit,privat,Offer,1500,test,bus,2003,automatik,2,Other,150000,Oct,Diesel,hyundai,Other,2016-03-24 00:00:00,40789,2016-03-26 04:15:35,2016,2016,March,March,2,4,13,2
2016-03-31 19:58:14,Hyundai_Trajet_2.0_GLS,privat,Offer,2500,control,bus,2000,manuell,136,andere,150000,Nov,Lpg,hyundai,No,2016-03-31 00:00:00,50825,2016-04-06 14:18:14,2016,2016,March,March,6,14,16,1
2016-03-29 14:56:15,Hyundai_H_1_HK_Motor__Laeueft__Motorschaden_6Sitzer,privat,Offer,2400,test,bus,2009,manuell,170,andere,150000,May,Diesel,hyundai,Yes,2016-03-29 00:00:00,68623,2016-03-31 08:16:44,2016,2016,March,March,2,8,7,7
2016-03-29 14:37:35,Suche_eine_Hyundai_H1_ab_Bj.2009,privat,Offer,0,test,bus,2009,manuell,0,Other,5000,Jan,Diesel,hyundai,Other,2016-03-29 00:00:00,26419,2016-04-05 23:46:56,2016,2016,March,March,7,23,7,11
2016-03-20 16:46:21,Hyundai_Trajet_2.0_CRDi_GLS,privat,Offer,2000,test,bus,2001,manuell,113,andere,150000,May,Diesel,hyundai,No,2016-03-20 00:00:00,73760,2016-03-21 19:46:50,2016,2016,March,March,1,19,15,7
