dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-21 20:43:01,Hyundai_Getz_1.5_CRDi_VGT_GLS,privat,Offer,1400,control,kleinwagen,2006,manuell,88,getz,150000,Jul,Diesel,hyundai,Yes,2016-03-21 00:00:00,51147,2016-04-02 22:47:22,2016,2016,March,March,12,22,10,5
2016-03-18 21:06:25,Hyundai_i20,privat,Offer,4850,control,kleinwagen,2010,manuell,77,i_reihe,100000,Nov,Gasoline,hyundai,Other,2016-03-18 00:00:00,65936,2016-03-20 08:35:03,2016,2016,March,March,2,8,6,1
2016-03-19 16:57:24,Hyundai_Getz_1.1,privat,Offer,1650,test,kleinwagen,2006,manuell,63,getz,150000,Mar,Gasoline,hyundai,No,2016-03-19 00:00:00,58642,2016-03-19 17:41:47,2016,2016,March,March,0,17,10,9
2016-03-19 14:36:21,Getz_Schnaeppchen_2150_TÜV_08/2017,privat,Offer,2150,test,kleinwagen,2008,manuell,64,getz,100000,Jan,Gasoline,hyundai,No,2016-03-19 00:00:00,71254,2016-03-21 08:59:43,2016,2016,March,March,2,8,8,11
2016-03-22 19:25:23,Zuverlaessigen_Hyundai_Getz_1.1_zu_verkaufen,privat,Offer,1800,control,kleinwagen,2004,manuell,63,getz,125000,Nov,Gasoline,hyundai,No,2016-03-22 00:00:00,60433,2016-04-07 12:16:23,2016,2016,March,March,16,12,12,1
2016-03-15 21:50:00,Hyundai_Atos_Prime_MX,privat,Offer,888,control,kleinwagen,2005,manuell,60,Other,150000,Jan,Gasoline,hyundai,Yes,2016-03-15 00:00:00,17129,2016-03-24 15:45:00,2016,2016,March,March,9,15,11,11
2016-03-27 13:49:25,Hyundai_Getz___Klima___5_Tuerig___TÜV/Au_08/2016,privat,Offer,1200,test,kleinwagen,2003,manuell,82,getz,150000,Nov,Gasoline,hyundai,No,2016-03-27 00:00:00,22767,2016-03-27 13:49:25,2016,2016,March,March,0,13,13,1
2016-03-15 11:58:02,Accent_guter_Zustand_mit_maegel_technisch_gut,privat,Offer,150,test,kleinwagen,1999,manuell,75,andere,30000,Jul,Gasoline,hyundai,Other,2016-03-15 00:00:00,17126,2016-03-20 06:45:36,2016,2016,March,March,5,6,17,5
2016-04-07 01:36:24,Hyundai_Accent_1.5_Diesel,privat,Offer,2600,control,kleinwagen,2007,manuell,110,andere,100000,Feb,Diesel,hyundai,No,2016-04-07 00:00:00,97616,2016-04-07 01:36:24,2016,2016,April,April,0,1,9,10
2016-03-08 10:54:01,Hyundai_i10_1.1_Classic,privat,Offer,3299,test,kleinwagen,2009,manuell,67,i_reihe,90000,May,Gasoline,hyundai,No,2016-03-08 00:00:00,60320,2016-04-06 07:16:52,2016,2016,March,March,29,7,7,7
2016-03-22 15:52:46,Hyndai_I10_WM_Edition,privat,Offer,3200,control,kleinwagen,2010,manuell,67,i_reihe,70000,Jul,Gasoline,hyundai,Yes,2016-03-22 00:00:00,82131,2016-03-31 13:17:12,2016,2016,March,March,9,13,6,5
2016-03-28 17:54:57,Hyundai_getz_Diesel,privat,Offer,890,test,kleinwagen,2007,manuell,90,getz,150000,Nov,Diesel,hyundai,Other,2016-03-28 00:00:00,56410,2016-03-28 18:44:41,2016,2016,March,March,0,18,9,1
2016-03-23 19:00:54,Hyundai_Getz_1.1,privat,Offer,1650,test,kleinwagen,2007,manuell,67,getz,150000,Sep,Gasoline,hyundai,No,2016-03-23 00:00:00,72458,2016-03-23 19:42:15,2016,2016,March,March,0,19,9,3
2016-04-02 21:57:14,Hyundai_Atos_1.1,privat,Offer,2000,test,kleinwagen,2006,manuell,63,andere,80000,Oct,Gasoline,hyundai,No,2016-04-02 00:00:00,54413,2016-04-02 21:57:14,2016,2016,April,April,0,21,10,2
2016-04-04 21:43:10,GETZ_1.5_CDRI_mit_Klima_und_4_x_El._FH,privat,Offer,1550,test,kleinwagen,2007,manuell,88,getz,150000,Aug,Diesel,hyundai,Yes,2016-04-04 00:00:00,68305,2016-04-07 00:15:45,2016,2016,April,April,3,0,9,4
2016-03-17 19:45:05,Hyundai_Getz,privat,Offer,2000,control,kleinwagen,2005,manuell,63,getz,80000,Sep,Gasoline,hyundai,No,2016-03-17 00:00:00,49479,2016-03-19 19:46:01,2016,2016,March,March,2,19,11,3
2016-04-01 11:52:52,Hyundai_Atos_1.0i_GL,privat,Offer,850,test,kleinwagen,1999,manuell,54,andere,150000,Jun,Gasoline,hyundai,No,2016-04-01 00:00:00,22399,2016-04-07 08:46:08,2016,2016,April,April,6,8,17,6
2016-03-08 16:49:09,HyundaI_getz,privat,Offer,1150,test,kleinwagen,2004,manuell,68,Other,150000,Apr,Other,hyundai,Yes,2016-03-08 00:00:00,67063,2016-03-23 05:21:03,2016,2016,March,March,15,5,12,8
2016-04-04 15:40:28,Hyundai_i10_1.1_Klima,privat,Offer,4600,test,kleinwagen,2009,manuell,67,i_reihe,30000,Jun,Gasoline,hyundai,No,2016-04-04 00:00:00,6484,2016-04-06 16:47:27,2016,2016,April,April,2,16,7,6
2016-03-07 12:00:43,Hyundai_Getz_1.1,privat,Offer,1200,test,kleinwagen,2002,manuell,67,getz,20000,Nov,Gasoline,hyundai,No,2016-03-07 00:00:00,91781,2016-03-23 13:46:12,2016,2016,March,March,16,13,14,1
2016-03-14 19:59:08,Hyundai_Getz_1.1,privat,Offer,1349,control,kleinwagen,2003,Unspecified,0,getz,80000,Jun,Gasoline,hyundai,No,2016-03-14 00:00:00,67813,2016-03-15 15:18:50,2016,2016,March,March,1,15,13,6
