dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-05 10:51:06,Hyundai_Lantra,privat,Offer,350,control,limousine,1999,manuell,120,andere,125000,Jul,Other,hyundai,Other,2016-04-05 00:00:00,87616,2016-04-05 10:51:06,2016,2016,April,April,0,10,17,5
2016-04-04 11:43:42,Hyundai_i30_TÜV._04.2018_/_11_2009_bj,privat,Offer,4499,control,limousine,2009,manuell,109,i_reihe,125000,Apr,Gasoline,hyundai,No,2016-04-04 00:00:00,45139,2016-04-06 12:17:53,2016,2016,April,April,2,12,7,8
2016-03-11 02:02:02,Hyundai_i_30_1_6_Diesel_mit_Garantie,privat,Offer,10500,test,limousine,2015,manuell,110,i_reihe,10000,Nov,Diesel,hyundai,No,2016-03-11 00:00:00,66773,2016-03-15 15:19:16,2016,2016,March,March,4,15,1,1
2016-03-25 14:58:30,Hyundai_Accent_1.3i_L_TÜV/AU_12_2016_Airbag_el._Fenster,privat,Offer,650,control,limousine,2000,manuell,75,andere,150000,Jan,Gasoline,hyundai,No,2016-03-25 00:00:00,51469,2016-03-27 01:16:25,2016,2016,March,March,2,1,16,11
2016-03-23 22:52:35,Hyundai_i20_5_Star_Silver_Edition,privat,Offer,8000,test,limousine,2013,manuell,86,i_reihe,60000,Jul,Gasoline,hyundai,Other,2016-03-23 00:00:00,85646,2016-03-24 03:42:19,2016,2016,March,March,1,3,3,5
2016-04-02 03:02:45,Hyundai_1_6_Diesel_KEIN_TÜV,privat,Offer,3999,control,limousine,2009,manuell,0,i_reihe,125000,Jan,Diesel,hyundai,No,2016-04-02 00:00:00,44809,2016-04-04 05:16:48,2016,2016,April,April,2,5,7,11
2016-03-10 19:41:27,Hyundai_Sonata_2.0_CRDi_GLS,privat,Offer,1950,control,limousine,2006,manuell,140,andere,150000,Sep,Diesel,hyundai,No,2016-03-10 00:00:00,66333,2016-03-21 09:46:24,2016,2016,March,March,11,9,10,3
2016-04-03 13:55:43,Hyundai_i30_1.4_Classic,privat,Offer,4400,control,limousine,2010,manuell,109,i_reihe,125000,Jun,Gasoline,hyundai,No,2016-04-03 00:00:00,60529,2016-04-06 20:19:45,2016,2016,April,April,3,20,6,6
2016-03-20 23:44:52,Hyundai_i30_1.4_Edition_Plus,privat,Offer,4990,control,limousine,2009,manuell,109,i_reihe,150000,Feb,Gasoline,hyundai,No,2016-03-20 00:00:00,39448,2016-03-29 02:44:37,2016,2016,March,March,9,2,7,10
2016-04-02 15:46:26,Hyundai_Accent_1.5i_GLS,privat,Offer,900,control,limousine,1995,automatik,88,andere,70000,Apr,Gasoline,hyundai,No,2016-04-02 00:00:00,22399,2016-04-06 14:18:11,2016,2016,April,April,4,14,21,8
2016-03-07 16:36:39,Bastlerfahrzeug,privat,Offer,400,control,limousine,2000,manuell,75,andere,150000,Jan,Gasoline,hyundai,Yes,2016-03-07 00:00:00,55566,2016-03-08 07:45:19,2016,2016,March,March,1,7,16,11
2016-03-11 13:53:43,Hyundai_Lantra_1.6i_GLS,privat,Offer,1399,test,limousine,1999,automatik,114,andere,70000,May,Gasoline,hyundai,No,2016-03-11 00:00:00,30165,2016-04-07 09:45:59,2016,2016,March,March,27,9,17,7
2016-03-22 17:49:40,Hyundai_i30_1.6_CRDi_Comfort,privat,Offer,7900,control,limousine,2010,manuell,116,i_reihe,100000,Sep,Diesel,hyundai,No,2016-03-22 00:00:00,41812,2016-04-06 09:16:59,2016,2016,March,March,15,9,6,3
2016-03-18 15:42:37,Hyundai_Sonata_2.4,privat,Offer,5300,control,limousine,2007,manuell,162,andere,40000,Jan,Gasoline,hyundai,No,2016-03-18 00:00:00,73760,2016-04-05 22:17:40,2016,2016,March,March,18,22,9,11
2016-04-04 22:49:20,I30_1_6_Diesel_Klimaautomatik,privat,Offer,3899,test,limousine,2009,manuell,0,i_reihe,125000,Jan,Diesel,hyundai,Yes,2016-04-04 00:00:00,44809,2016-04-07 01:45:59,2016,2016,April,April,3,1,7,11
2016-03-30 22:53:52,Hyundai_i30_1.4_Classic,privat,Offer,6500,control,limousine,2010,manuell,109,i_reihe,50000,May,Gasoline,hyundai,No,2016-03-30 00:00:00,53639,2016-04-05 19:15:28,2016,2016,March,March,6,19,6,7
2016-04-02 16:30:47,Hyundai_i30_1_4_Classic_mit_Restgarantie_2018,privat,Offer,9800,control,limousine,2013,manuell,99,i_reihe,30000,Aug,Gasoline,hyundai,No,2016-04-02 00:00:00,56220,2016-04-05 23:44:35,2016,2016,April,April,3,23,3,4
2016-03-26 22:51:58,Hyundai_i20_1.2_78_PS_Sitzheizung__Klima__Parksensor,privat,Offer,6950,test,limousine,2012,manuell,78,andere,40000,Sep,Gasoline,hyundai,No,2016-03-26 00:00:00,73553,2016-03-30 05:44:48,2016,2016,March,March,4,5,4,3
2016-04-04 10:54:29,Hyundai_i30_TÜV._04.2018_/_11_2009_bj,privat,Offer,4499,control,limousine,2009,manuell,109,i_reihe,125000,Apr,Gasoline,hyundai,No,2016-04-04 00:00:00,45139,2016-04-06 11:46:39,2016,2016,April,April,2,11,7,8
2016-03-19 17:52:33,HYUNDA?_XG_350_NAV?_LEDER_S?TZHE?ZUNG_TEMPOMAT_VOLL...,privat,Offer,1399,control,limousine,2003,automatik,197,andere,150000,Apr,Gasoline,hyundai,No,2016-03-19 00:00:00,35578,2016-03-20 10:07:19,2016,2016,March,March,1,10,13,8
2016-04-01 19:57:08,Hyundai_i30_1.4_Comfort_Sport__Standheizung__LPG_Gas,privat,Offer,6990,control,limousine,2009,manuell,109,i_reihe,90000,Feb,Gasoline,hyundai,No,2016-04-01 00:00:00,17506,2016-04-05 16:45:49,2016,2016,April,April,4,16,7,10
2016-03-18 10:37:53,Hyundai_Lantra_1.6i_TÜV_06.2017_AHK,privat,Offer,1299,control,limousine,2000,manuell,116,andere,100000,Jun,Gasoline,hyundai,No,2016-03-18 00:00:00,6464,2016-04-05 22:16:30,2016,2016,March,March,18,22,16,6
2016-03-27 23:53:20,Hyundai_i30_1.4_Classic,privat,Offer,11500,test,limousine,2014,manuell,99,i_reihe,50000,Sep,Gasoline,hyundai,No,2016-03-27 00:00:00,86476,2016-04-06 09:15:34,2016,2016,March,March,10,9,2,3
2016-03-10 08:32:22,Auto_in_guten_zustand,privat,Offer,4850,control,limousine,2010,manuell,78,Other,100000,Nov,Gasoline,hyundai,Other,2016-03-10 00:00:00,65936,2016-03-11 08:16:48,2016,2016,March,March,1,8,6,1
