dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-15 16:37:39,Jaguar_XJ40__sehr_gepflegt,privat,Offer,3750,control,limousine,1991,automatik,234,andere,150000,Jan,Gasoline,jaguar,No,2016-03-15 00:00:00,83435,2016-03-29 23:15:33,2016,2016,March,March,14,23,25,11
2016-03-17 11:55:03,Jaguar_S_Type_3.0_V6,privat,Offer,1999,control,limousine,1999,manuell,238,s_type,150000,Nov,Gasoline,jaguar,No,2016-03-17 00:00:00,76777,2016-04-02 14:15:47,2016,2016,March,March,16,14,17,1
2016-04-05 06:56:04,Leasinguebernahme_Jaguar_XF_3.0_V6_34.000_Restkilometer,privat,Offer,1,test,limousine,2013,automatik,241,x_type,30000,Sep,Diesel,jaguar,No,2016-04-05 00:00:00,92660,2016-04-07 09:44:19,2016,2016,April,April,2,9,3,3
2016-03-20 20:46:43,Jaguar_X_Type_2.2D_Executive_DPF,privat,Offer,4499,test,limousine,2007,manuell,146,x_type,150000,May,Diesel,jaguar,No,2016-03-20 00:00:00,46238,2016-03-27 10:44:47,2016,2016,March,March,7,10,9,7
2016-03-09 19:36:17,Jaguar_Stype_4_0_LPG_V8,privat,Offer,4000,test,limousine,2000,automatik,289,s_type,150000,Oct,Lpg,jaguar,Other,2016-03-09 00:00:00,45665,2016-03-21 02:18:40,2016,2016,March,March,12,2,16,2
2016-03-19 11:47:54,Jaguar_XJ_40_Automatik_EURO_2_!TOP!,privat,Offer,3850,test,limousine,1990,automatik,222,andere,150000,May,Gasoline,jaguar,No,2016-03-19 00:00:00,42107,2016-03-22 20:48:52,2016,2016,March,March,3,20,26,7
2016-03-26 00:57:03,Jaguar_XJ8_4.0_Executive,privat,Offer,5500,test,limousine,1998,automatik,284,andere,150000,Feb,Gasoline,jaguar,Other,2016-03-25 00:00:00,20355,2016-04-05 15:45:33,2016,2016,March,March,11,15,18,10
2016-03-22 12:55:55,Jaguar_S_Type_2.7_Twin_Turbo_Diesel_Aut._Executive,privat,Offer,2100,control,limousine,2006,automatik,207,s_type,150000,Oct,Diesel,jaguar,Yes,2016-03-22 00:00:00,48712,2016-04-06 02:16:28,2016,2016,March,March,15,2,10,2
2016-04-02 18:53:14,Jaguar_X_Type_Executive_3.0_V6_231_PS/_TÜV_10_16_/Scheckheft_/TOP,privat,Offer,4290,control,limousine,2001,automatik,231,x_type,150000,Nov,Gasoline,jaguar,No,2016-04-02 00:00:00,26384,2016-04-04 18:52:08,2016,2016,April,April,2,18,15,1
2016-03-12 15:37:16,Jaguar_XJ8,privat,Offer,890,control,limousine,1999,automatik,237,andere,125000,Jul,Gasoline,jaguar,Yes,2016-03-12 00:00:00,81829,2016-03-12 15:37:16,2016,2016,March,March,0,15,17,5
2016-03-25 21:36:18,Jaguar_XJ_4.0_Executive,privat,Offer,5500,test,limousine,1998,automatik,284,andere,150000,Feb,Gasoline,jaguar,No,2016-03-25 00:00:00,20355,2016-04-07 03:46:48,2016,2016,March,March,13,3,18,10
2016-03-05 20:06:32,Jaguar_X_Type_2.0_Diesel_TÜV_10/2017,privat,Offer,3599,test,limousine,2003,manuell,131,x_type,150000,Nov,Diesel,jaguar,No,2016-03-05 00:00:00,55411,2016-03-05 20:06:32,2016,2016,March,March,0,20,13,1
2016-04-03 09:50:40,Jaguar_S_Type_3.0_V6_Executive,privat,Offer,5950,control,limousine,2000,automatik,238,s_type,125000,Mar,Gasoline,jaguar,No,2016-04-03 00:00:00,86356,2016-04-07 10:45:43,2016,2016,April,April,4,10,16,9
2016-03-22 17:37:56,Jaguar_X_Type_2_0_Diesel_Tuev_neu_Top_zustand_voll_fahrbereit,privat,Offer,3850,control,limousine,2005,manuell,131,x_type,150000,Jul,Diesel,jaguar,No,2016-03-22 00:00:00,48691,2016-03-22 17:37:56,2016,2016,March,March,0,17,11,5
2016-03-27 22:37:02,Jaguar_einwandfreiem_Zustand,privat,Offer,4500,test,limousine,2005,automatik,207,s_type,150000,Jun,Diesel,jaguar,Other,2016-03-27 00:00:00,91710,2016-04-06 06:17:21,2016,2016,March,March,10,6,11,6
