dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-26 18:44:52,Top_transporter_mit_wenig_km,privat,Offer,3100,test,andere,2001,manuell,90,Other,70000,Jul,Diesel,kia,No,2016-03-26 00:00:00,39218,2016-04-06 07:45:41,2016,2016,March,March,11,7,15,5
2016-03-27 09:54:31,Kia_carens_tausch_gegen_7_sitzer,privat,Offer,0,test,andere,2003,Unspecified,0,andere,150000,Jan,,kia,Other,2016-03-27 00:00:00,26131,2016-03-27 10:48:47,2016,2016,March,March,0,10,13,11
2016-04-03 14:38:40,Ich_biete_Ihnen_meinen_KIA_RIO___Bjh.2002,privat,Offer,600,test,andere,2002,manuell,0,rio,150000,Oct,Gasoline,kia,Other,2016-04-03 00:00:00,36251,2016-04-05 13:18:12,2016,2016,April,April,2,13,14,2
2016-03-24 22:44:25,Gebrauchter_Kia_Rio,privat,Offer,1980,control,andere,2004,manuell,81,rio,80000,Mar,Gasoline,kia,No,2016-03-24 00:00:00,13403,2016-03-29 09:17:08,2016,2016,March,March,5,9,12,9
2016-03-05 14:58:28,Pro_Ceed_2.0_CRDi,privat,Offer,7600,control,andere,2010,manuell,144,ceed,125000,Apr,Diesel,kia,Other,2016-03-05 00:00:00,58642,2016-03-09 19:15:52,2016,2016,March,March,4,19,6,8
2016-03-16 11:43:11,Super_gepflegter_7_Sitzer,privat,Offer,3900,test,andere,2004,manuell,144,carnival,125000,Apr,Diesel,kia,Other,2016-03-16 00:00:00,22115,2016-04-06 04:16:43,2016,2016,March,March,21,4,12,8
2016-03-10 17:51:20,Kia_Carens_2.0_Benzin_Baujahr_2007_Klimaautomatik,privat,Offer,1999,control,andere,2007,manuell,0,andere,125000,Mar,Gasoline,kia,Other,2016-03-10 00:00:00,35216,2016-03-10 17:51:20,2016,2016,March,March,0,17,9,9
2016-04-01 13:47:38,KiA_in_Silber,privat,Offer,99,test,andere,2005,manuell,0,andere,70000,Sep,Gasoline,kia,No,2016-04-01 00:00:00,78244,2016-04-01 13:47:38,2016,2016,April,April,0,13,11,3
2016-03-27 16:50:05,Kia_Up_/_Sitzer,privat,Offer,500,test,andere,2002,automatik,106,andere,150000,Jun,Diesel,kia,Yes,2016-03-27 00:00:00,13351,2016-04-05 12:21:29,2016,2016,March,March,9,12,14,6
2016-03-21 08:55:47,Schoener_7_sitzer,privat,Offer,3200,control,andere,2004,manuell,144,carnival,125000,Apr,Diesel,kia,Other,2016-03-21 00:00:00,22115,2016-04-06 01:49:21,2016,2016,March,March,16,1,12,8
2016-03-24 18:48:04,Kia_carens,privat,Offer,1100,test,andere,2004,manuell,0,andere,150000,Jan,Other,kia,Other,2016-03-24 00:00:00,66892,2016-04-07 12:49:09,2016,2016,March,March,14,12,12,11
2016-03-07 14:53:43,verkauft_wird_Kia_Pro_Ceed__Frontschaden__Reparatur_notw._VB_3200,privat,Offer,3200,control,andere,2009,manuell,126,ceed,60000,Mar,Gasoline,kia,Yes,2016-03-07 00:00:00,90449,2016-03-07 19:46:21,2016,2016,March,March,0,19,7,9
2016-04-05 08:36:20,Kia_Carens_2_0_Diesel,privat,Offer,999,test,andere,2004,manuell,123,andere,150000,Nov,Diesel,kia,Yes,2016-04-05 00:00:00,41460,2016-04-05 09:50:29,2016,2016,April,April,0,9,12,1
2016-03-12 13:39:21,Kia_carnival_EX_7_sitzer,privat,Offer,900,control,andere,2002,manuell,144,carnival,150000,Jan,Diesel,kia,Yes,2016-03-12 00:00:00,37154,2016-04-06 12:45:38,2016,2016,March,March,25,12,14,11
2016-03-06 08:37:11,Kia_Carens_1._Hand,privat,Offer,2200,test,andere,2004,manuell,116,andere,80000,Apr,Diesel,kia,No,2016-03-06 00:00:00,91275,2016-03-06 09:45:22,2016,2016,March,March,0,9,12,8
2016-03-06 23:47:22,Verkaufe_oder_Tausche,privat,Offer,4000,control,andere,2003,manuell,125,andere,150000,Jan,Lpg,kia,Other,2016-03-06 00:00:00,99752,2016-04-05 15:17:52,2016,2016,March,March,30,15,13,11
2016-03-12 09:56:10,Kia_Carens,privat,Offer,1500,control,andere,2003,manuell,126,andere,150000,Feb,Gasoline,kia,No,2016-03-12 00:00:00,58135,2016-04-06 00:44:45,2016,2016,March,March,25,0,13,10
2016-03-11 13:45:25,Kia_Opirus_3.5_V6___Gasanlange,privat,Offer,1000,test,andere,2004,automatik,0,andere,5000,Mar,Gasoline,kia,Other,2016-03-11 00:00:00,49584,2016-03-12 17:45:43,2016,2016,March,March,1,17,12,9
2016-03-17 00:55:40,Kia_Carens_Benzin_1_8L.,privat,Offer,1650,test,andere,2003,manuell,126,andere,150000,Apr,Gasoline,kia,No,2016-03-17 00:00:00,28277,2016-03-17 07:50:23,2016,2016,March,March,0,7,13,8
2016-03-28 08:36:57,Kia_Venga_1_4_CRDi,privat,Offer,8300,test,andere,2010,manuell,90,andere,80000,Feb,Diesel,kia,No,2016-03-28 00:00:00,36179,2016-04-04 09:45:22,2016,2016,March,March,7,9,6,10
