dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-04 06:36:46,"2_Autobianchi_A_112_""Projektaufgabe""",privat,Offer,1900,test,Other,1985,Unspecified,0,andere,90000,Jan,Other,lancia,Other,2016-04-04 00:00:00,71287,2016-04-06 10:16:55,2016,2016,April,April,2,10,31,11
2016-03-20 11:46:29,lancia_dedra,privat,Offer,799,test,Other,1992,Unspecified,0,andere,125000,Nov,Other,lancia,Other,2016-03-20 00:00:00,47441,2016-04-06 09:17:53,2016,2016,March,March,17,9,24,1
2016-03-23 09:51:49,"Lancia_Y_1.1___LPG_34l___""tausch_moeglich""",privat,Offer,990,test,Other,2016,manuell,60,ypsilon,150000,Apr,Other,lancia,No,2016-03-23 00:00:00,40764,2016-03-24 17:18:07,2016,2016,March,March,1,17,0,8
2016-03-10 18:37:01,Lancia_Delta__original_83Tkm_Velour,privat,Offer,300,test,Other,1995,manuell,75,delta,90000,Jun,Other,lancia,Yes,2016-03-10 00:00:00,55130,2016-03-11 19:28:24,2016,2016,March,March,1,19,21,6
2016-03-31 11:49:17,Lancia_Thema_3.0_V6_Scheunenfund,privat,Offer,500,control,Other,1995,Unspecified,0,andere,150000,Jan,Other,lancia,Other,2016-03-31 00:00:00,16761,2016-04-06 04:17:44,2016,2016,March,March,6,4,21,11
2016-03-20 10:50:10,Lancia_1.4_Mit_Klima_HU_12.2016,privat,Offer,599,control,Other,2016,manuell,80,ypsilon,150000,Oct,Gasoline,lancia,No,2016-03-20 00:00:00,8280,2016-04-06 07:45:26,2016,2016,March,March,17,7,0,2
2016-03-30 13:38:36,Lancia_Ypsilon_Platino_1_4_16_x,privat,Offer,1950,test,Other,2016,manuell,95,Other,150000,Aug,Gasoline,lancia,No,2016-03-30 00:00:00,50226,2016-04-07 04:15:34,2016,2016,March,March,8,4,0,4
2016-03-17 11:51:25,Lancia_Ypsilon_Automatik_1.2,privat,Offer,400,control,Other,2016,automatik,60,ypsilon,150000,Jun,Other,lancia,No,2016-03-17 00:00:00,12099,2016-03-20 13:17:21,2016,2016,March,March,3,13,0,6
2016-03-09 19:54:19,Lancia_Dedra,privat,Offer,300,test,Other,2016,manuell,131,andere,90000,Feb,Gasoline,lancia,No,2016-03-09 00:00:00,88279,2016-04-05 14:18:43,2016,2016,March,March,27,14,0,10
2016-03-16 21:41:08,Lancia_y_10,privat,Offer,200,control,Other,2016,Unspecified,0,ypsilon,150000,Jan,Other,lancia,Yes,2016-03-16 00:00:00,44532,2016-04-07 08:46:25,2016,2016,March,March,22,8,0,11
2016-03-19 21:47:48,Lancia_Y_1.2_16_V_Elefantino_rosso_mit_TÜV,privat,Offer,1299,control,Other,2016,manuell,80,ypsilon,150000,Mar,Gasoline,lancia,Other,2016-03-19 00:00:00,71067,2016-03-23 11:44:59,2016,2016,March,March,4,11,0,9
2016-04-03 15:45:49,Lancia_Ypsilon,privat,Offer,99,test,Other,2000,Unspecified,0,ypsilon,150000,Jan,Other,lancia,Other,2016-04-03 00:00:00,95213,2016-04-05 14:46:41,2016,2016,April,April,2,14,16,11
2016-04-02 11:57:48,Lancia_Kappa_2.4_Vollleder_uvm..,privat,Offer,1250,test,Other,1998,manuell,0,Other,150000,Nov,Other,lancia,Other,2016-04-02 00:00:00,37081,2016-04-06 10:17:30,2016,2016,April,April,4,10,18,1
2016-03-15 19:45:52,Lancia____Schluesselanhaenger,privat,Offer,12,control,Other,1990,Unspecified,0,andere,100000,Jan,Other,lancia,Other,2016-03-15 00:00:00,12353,2016-03-21 20:19:21,2016,2016,March,March,6,20,26,11
2016-03-14 22:57:00,Lancia_Kappa,privat,Offer,200,control,Other,2000,Unspecified,0,kappa,150000,Jan,Gasoline,lancia,Other,2016-03-14 00:00:00,50667,2016-03-15 23:45:32,2016,2016,March,March,1,23,16,11
2016-03-10 19:53:26,Lancia_y_1.2,privat,Offer,750,control,Other,2016,manuell,60,ypsilon,150000,Jan,Gasoline,lancia,Other,2016-03-10 00:00:00,42697,2016-03-14 19:16:55,2016,2016,March,March,4,19,0,11
2016-04-01 22:25:37,Lancia_musa_16v_platino_panorama,privat,Offer,3399,control,Other,2016,automatik,95,musa,100000,Jul,Gasoline,lancia,Other,2016-04-01 00:00:00,56076,2016-04-05 15:16:53,2016,2016,April,April,4,15,0,5
2016-03-31 18:55:31,Lancia_Y_60_PS,privat,Offer,195,control,Other,2016,manuell,0,ypsilon,150000,Feb,Gasoline,lancia,Other,2016-03-31 00:00:00,31171,2016-03-31 18:55:31,2016,2016,March,March,0,18,0,10
2016-04-04 19:38:02,Lancia_Kappa___gruen,privat,Offer,50,test,Other,2000,Unspecified,0,kappa,150000,Jan,Other,lancia,Other,2016-04-04 00:00:00,34471,2016-04-04 19:38:02,2016,2016,April,April,0,19,16,11
2016-03-18 08:38:34,Lancia_y_mit_TÜV,privat,Offer,250,test,Other,2000,manuell,60,ypsilon,100000,Jan,Other,lancia,Yes,2016-03-18 00:00:00,58339,2016-04-05 22:15:30,2016,2016,March,March,18,22,16,11
2016-04-02 11:36:23,Lancia_Lappalie_2.4_Vollleder_uvm..,privat,Offer,1250,test,Other,1998,manuell,0,Other,150000,Nov,Other,lancia,Other,2016-04-02 00:00:00,37081,2016-04-06 09:16:13,2016,2016,April,April,4,9,18,1
