dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-20 16:36:18,Der_Fruehling_kommt____Lancia_Lybra_2.4_jtd_LX,privat,Offer,1795,test,kombi,2002,manuell,140,lybra,150000,Oct,Diesel,lancia,No,2016-03-20 00:00:00,96487,2016-04-06 23:46:44,2016,2016,March,March,17,23,14,2
2016-03-17 13:52:28,Super_Kombi_zum_Verkauf_oder_Tausch!!,privat,Offer,1350,control,kombi,2000,manuell,131,Other,150000,Oct,Gasoline,lancia,No,2016-03-17 00:00:00,25348,2016-04-06 19:47:50,2016,2016,March,March,20,19,16,2
2016-03-15 20:37:37,Lancia_Musa,privat,Offer,5100,test,kombi,2009,manuell,95,musa,70000,Jul,Gasoline,lancia,Other,2016-03-15 00:00:00,23684,2016-04-07 02:17:00,2016,2016,March,March,23,2,7,5
2016-03-29 17:54:16,Lancia_Lybra_Station_Wagon_1.8,privat,Offer,1300,control,kombi,2000,manuell,131,lybra,150000,Mar,Gasoline,lancia,No,2016-03-29 00:00:00,44807,2016-04-06 03:45:25,2016,2016,March,March,8,3,16,9
2016-03-28 21:39:14,Lancia_Lybra_Diesel_Tuev_2/2017__kleine_Maengel_...TOP_PREIS,privat,Offer,290,control,kombi,2001,Unspecified,0,lybra,150000,Jan,Diesel,lancia,Other,2016-03-28 00:00:00,63916,2016-04-07 04:15:48,2016,2016,March,March,10,4,15,11
2016-03-27 20:52:54,Lancia_Lybra_Station_Wagon_2.0_LX,privat,Offer,950,control,kombi,2004,manuell,150,lybra,150000,Nov,Gasoline,lancia,Yes,2016-03-27 00:00:00,60439,2016-04-06 00:44:40,2016,2016,March,March,10,0,12,1
2016-03-15 12:48:18,Lancia_Lybria_.._Erster_Hand,privat,Offer,500,control,kombi,2000,manuell,0,lybra,150000,Nov,Gasoline,lancia,No,2016-03-15 00:00:00,6295,2016-03-26 13:18:15,2016,2016,March,March,11,13,16,1
2016-03-12 22:39:30,Lancia_Delta_Diesel_1_6,privat,Offer,5600,control,kombi,2008,automatik,116,delta,150000,Oct,Diesel,lancia,Yes,2016-03-12 00:00:00,54552,2016-03-12 22:39:30,2016,2016,March,March,0,22,8,2
2016-03-20 09:46:09,Lancia_kombi,privat,Offer,680,control,kombi,2001,manuell,0,lybra,150000,Oct,Diesel,lancia,No,2016-03-20 00:00:00,79206,2016-03-28 05:18:10,2016,2016,March,March,8,5,15,2
2016-03-09 23:53:39,Lancia_Delta_1.6_Multijet_16v_Oro,privat,Offer,6700,test,kombi,2008,manuell,120,delta,150000,Oct,Diesel,lancia,No,2016-03-09 00:00:00,58285,2016-04-06 00:44:46,2016,2016,March,March,28,0,8,2
2016-04-02 16:52:19,Lancia_Lybra_Station_Wagon_2.4_jtd,privat,Offer,1190,control,kombi,2004,manuell,150,lybra,150000,Apr,Diesel,lancia,No,2016-04-02 00:00:00,93155,2016-04-02 16:52:19,2016,2016,April,April,0,16,12,8
2016-03-18 23:44:03,Lancia_Lybra___Gerne_an_Liebhaber_abzugeben,privat,Offer,0,test,kombi,2000,manuell,154,lybra,150000,May,Lpg,lancia,Other,2016-03-18 00:00:00,96114,2016-04-05 23:16:17,2016,2016,March,March,18,23,16,7
2016-03-12 22:51:02,Lancia_Libra_Kupllung_kaputt,privat,Offer,700,control,kombi,2003,manuell,0,lybra,150000,Sep,Diesel,lancia,Yes,2016-03-12 00:00:00,15537,2016-03-25 03:16:52,2016,2016,March,March,13,3,13,3
