dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-15 14:53:33,MAZDA__RX8,privat,Offer,6600,control,andere,2005,manuell,190,rx_reihe,80000,Jun,Gasoline,mazda,No,2016-03-15 00:00:00,83543,2016-04-06 05:16:38,2016,2016,March,March,22,5,11,6
2016-03-24 23:57:44,Mazda_2_Diesel_Euro_4,privat,Offer,999,test,andere,2003,manuell,0,andere,150000,Nov,Diesel,mazda,Other,2016-03-24 00:00:00,51766,2016-03-31 03:16:08,2016,2016,March,March,7,3,13,1
2016-03-30 22:52:35,roter_Mazda_323,privat,Offer,700,control,andere,1998,manuell,65,andere,150000,Feb,Gasoline,mazda,Other,2016-03-30 00:00:00,49324,2016-04-05 22:17:51,2016,2016,March,March,6,22,18,10
2016-03-31 22:51:06,Verkaufe_Mazda_Demio,privat,Offer,1100,test,andere,1999,manuell,0,andere,150000,Sep,Gasoline,mazda,Other,2016-03-31 00:00:00,18233,2016-04-06 19:47:12,2016,2016,March,March,6,19,17,3
2016-03-28 12:53:43,Mazda_Rx8_4950_VB,privat,Offer,4950,test,andere,2004,manuell,231,rx_reihe,150000,Jun,,mazda,No,2016-03-28 00:00:00,32339,2016-04-06 16:15:26,2016,2016,March,March,9,16,12,6
2016-03-12 21:38:29,Mazda_Premacy,privat,Offer,1900,test,andere,2003,manuell,100,Other,125000,Aug,Gasoline,mazda,No,2016-03-12 00:00:00,34399,2016-03-29 10:15:47,2016,2016,March,March,17,10,13,4
2016-03-26 10:54:20,mazda_premacy_1999,privat,Offer,1200,test,andere,1999,manuell,66,andere,150000,Nov,Diesel,mazda,Yes,2016-03-26 00:00:00,94526,2016-04-05 22:16:04,2016,2016,March,March,10,22,17,1
2016-03-27 17:49:09,Mazda_626_mit__Prinz_Gasanlage,privat,Offer,1150,test,andere,1999,manuell,116,6_reihe,150000,Jun,Lpg,mazda,No,2016-03-27 00:00:00,45663,2016-04-05 14:16:01,2016,2016,March,March,9,14,17,6
2016-03-17 07:00:52,MAZDA_323_1_4_L,privat,Offer,450,control,andere,1999,manuell,73,3_reihe,70000,Apr,Gasoline,mazda,Yes,2016-03-17 00:00:00,94130,2016-04-04 04:17:36,2016,2016,March,March,18,4,17,8
2016-04-04 19:57:09,Autoverkauf,privat,Offer,0,test,andere,1997,manuell,88,3_reihe,150000,Apr,Gasoline,mazda,Yes,2016-04-04 00:00:00,52249,2016-04-06 22:17:13,2016,2016,April,April,2,22,19,8
