dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-10 10:46:01,Mazda_Premacy_1.9,privat,Offer,800,test,bus,2001,automatik,114,andere,150000,Apr,Gasoline,mazda,Yes,2016-03-10 00:00:00,35043,2016-03-20 15:45:12,2016,2016,March,March,10,15,15,8
2016-04-02 16:30:52,Mazda_Premacy_1.9_TÜV_NEU,privat,Offer,750,control,bus,1999,manuell,101,andere,150000,Nov,Gasoline,mazda,No,2016-04-02 00:00:00,55128,2016-04-02 17:45:49,2016,2016,April,April,0,17,17,1
2016-03-14 21:37:55,Mazda_Demio_1.5_Exclusive,privat,Offer,1490,test,bus,2001,manuell,75,andere,150000,Aug,Gasoline,mazda,No,2016-03-14 00:00:00,23843,2016-04-04 10:47:48,2016,2016,March,March,21,10,15,4
2016-03-09 12:36:20,Mazda_Premacy_1.9,privat,Offer,1280,control,bus,1999,automatik,0,andere,150000,Oct,Gasoline,mazda,Yes,2016-03-09 00:00:00,44894,2016-04-06 02:44:42,2016,2016,March,March,28,2,17,2
2016-03-30 20:36:54,Mazda_5_2.0_CD_DPF,privat,Offer,6900,control,bus,2008,manuell,143,5_reihe,150000,Feb,Diesel,mazda,No,2016-03-30 00:00:00,15320,2016-04-05 11:45:57,2016,2016,March,March,6,11,8,10
2016-03-14 12:49:48,Mazda_MPV_2.0TD_136ps_6_sitzer_2005bj_120000km_tuev_2017,privat,Offer,6500,test,bus,2005,manuell,136,andere,125000,Apr,Diesel,mazda,No,2016-03-14 00:00:00,90482,2016-04-05 12:47:40,2016,2016,March,March,22,12,11,8
2016-03-20 18:40:42,Mazda_Demio_1.4_Comfort,privat,Offer,1900,test,bus,2002,manuell,63,andere,150000,Jan,Gasoline,mazda,No,2016-03-20 00:00:00,68723,2016-04-07 02:16:36,2016,2016,March,March,18,2,14,11
2016-03-10 14:53:50,Familienvan_Mazda_5__115_PS__Bj.2005__7_Sitzer_mit_Zusatzteilen,privat,Offer,4484,test,bus,2005,manuell,115,5_reihe,150000,Jul,Gasoline,mazda,No,2016-03-10 00:00:00,47906,2016-03-12 19:16:55,2016,2016,March,March,2,19,11,5
2016-03-29 21:45:09,Mazda_mpv_2.0TD_exklusiv_7_Sitze_8_Fach_bereift,privat,Offer,3500,test,bus,2002,manuell,136,andere,150000,Aug,Diesel,mazda,No,2016-03-29 00:00:00,21149,2016-04-06 08:15:44,2016,2016,March,March,8,8,14,4
2016-03-06 12:36:41,Mazda_premacy,privat,Offer,2000,test,bus,2004,manuell,100,Other,150000,Apr,Other,mazda,No,2016-03-06 00:00:00,17109,2016-03-11 08:45:23,2016,2016,March,March,5,8,12,8
