dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-05 14:14:19,Mazda_RX_8,privat,Offer,3900,test,coupe,2004,manuell,192,rx_reihe,125000,Jul,Gasoline,mazda,No,2016-03-03 00:00:00,57520,2016-03-29 05:18:01,2016,2016,March,March,26,5,12,5
2016-03-17 16:49:24,Mazda_MX_3_16V,privat,Offer,1039,test,coupe,1992,manuell,88,mx_reihe,150000,Mar,Gasoline,mazda,No,2016-03-17 00:00:00,96487,2016-04-07 02:17:24,2016,2016,March,March,21,2,24,9
2016-03-27 10:55:12,Mazda_RX_8,privat,Offer,4590,control,coupe,2004,manuell,192,rx_reihe,125000,Jan,Gasoline,mazda,No,2016-03-27 00:00:00,49824,2016-04-07 06:45:06,2016,2016,March,March,11,6,12,11
2016-03-28 22:52:35,mazda_mx_3_....,privat,Offer,500,control,coupe,1994,manuell,88,mx_reihe,150000,Jan,Gasoline,mazda,Other,2016-03-28 00:00:00,39279,2016-04-05 12:47:22,2016,2016,March,March,8,12,22,11
2016-03-26 13:37:19,Mazda_MX3_an_Bastler,privat,Offer,400,control,coupe,1996,manuell,129,mx_reihe,125000,Jan,Gasoline,mazda,Other,2016-03-26 00:00:00,53949,2016-03-26 13:37:19,2016,2016,March,March,0,13,20,11
2016-04-02 11:40:30,Mazda_323_C_Ba___mit_Tuev_bis_04.2017,privat,Offer,550,test,coupe,1996,automatik,88,3_reihe,150000,Mar,Gasoline,mazda,No,2016-04-02 00:00:00,12163,2016-04-04 08:18:21,2016,2016,April,April,2,8,20,9
2016-03-24 08:32:24,Mazda_MX_3_V6_ohne_TÜV_fuer_Bastler_oder_ausschlachten,privat,Offer,600,control,coupe,1994,manuell,132,mx_reihe,150000,Jan,Gasoline,mazda,Other,2016-03-24 00:00:00,65604,2016-04-07 06:46:40,2016,2016,March,March,14,6,22,11
2016-03-17 11:50:42,Mazdaspeed_RX_8_Revolution,privat,Offer,9500,control,coupe,2005,manuell,192,rx_reihe,70000,Feb,Gasoline,mazda,Other,2016-03-17 00:00:00,53842,2016-03-17 11:50:42,2016,2016,March,March,0,11,11,10
2016-03-23 09:50:10,Mazda_RX8___Top_Zustand,privat,Offer,5750,test,coupe,2005,manuell,192,rx_reihe,100000,Mar,Gasoline,mazda,No,2016-03-23 00:00:00,96450,2016-04-07 09:16:36,2016,2016,March,March,15,9,11,9
2016-04-03 23:53:32,Mazda_RX_8_Tausch/Verkauf,privat,Offer,7000,control,coupe,2006,manuell,231,rx_reihe,125000,Jan,Gasoline,mazda,Other,2016-04-03 00:00:00,72654,2016-04-06 08:16:24,2016,2016,April,April,3,8,10,11
