dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-08 18:51:16,Mazda_626_als_Ersatzteilespender_oder_Wiederaufbau,privat,Offer,350,test,kombi,1998,manuell,0,6_reihe,150000,Jan,Gasoline,mazda,Yes,2016-03-08 00:00:00,54655,2016-04-07 14:56:13,2016,2016,March,March,30,14,18,11
2016-03-07 10:59:03,Mazda_6_Sport_Kombi_2.0_CD_DPF_Active,privat,Offer,1500,test,kombi,2007,manuell,143,6_reihe,150000,Sep,Diesel,mazda,Yes,2016-03-07 00:00:00,81827,2016-03-07 15:18:03,2016,2016,March,March,0,15,9,3
2016-03-05 20:48:33,Mazda_626__fuer_Export_oder_Bastler,privat,Offer,0,control,kombi,2000,manuell,0,Other,150000,Nov,Diesel,mazda,Other,2016-03-05 00:00:00,26203,2016-03-19 19:48:04,2016,2016,March,March,14,19,16,1
2016-03-17 20:48:29,Mazda_6_Kombi,privat,Offer,3490,control,kombi,2005,manuell,120,6_reihe,150000,Jan,Diesel,mazda,Other,2016-03-17 00:00:00,26446,2016-03-24 17:17:02,2016,2016,March,March,7,17,11,11
2016-03-08 21:45:43,Mazda_6_Zuverkaufen,privat,Offer,6800,control,kombi,2007,manuell,147,6_reihe,125000,Sep,Gasoline,mazda,No,2016-03-08 00:00:00,1744,2016-03-17 08:15:17,2016,2016,March,March,9,8,9,3
2016-03-26 22:49:36,Mazda_6__Sport_Kombi_2.5_Top,privat,Offer,12150,test,kombi,2009,manuell,170,6_reihe,60000,Jul,Gasoline,mazda,No,2016-03-26 00:00:00,91096,2016-04-06 15:45:40,2016,2016,March,March,11,15,7,5
2016-03-29 22:47:15,Mazda_6_Sport_Kombi_Exclusiv__AHK__Tempomat__viele_Extras,privat,Offer,3900,test,kombi,2003,manuell,141,6_reihe,150000,Sep,Other,mazda,No,2016-03-29 00:00:00,48356,2016-04-06 09:46:28,2016,2016,March,March,8,9,13,3
2016-03-28 09:53:06,Mazda_6_Sport_Kombi_1.8,privat,Offer,2000,control,kombi,2003,manuell,120,6_reihe,150000,Aug,Gasoline,mazda,No,2016-03-28 00:00:00,48249,2016-03-28 09:53:06,2016,2016,March,March,0,9,13,4
2016-03-23 08:54:35,Mazda_626_TÜV_und_ASU__2018,privat,Offer,890,control,kombi,1998,manuell,90,6_reihe,150000,Jul,Gasoline,mazda,No,2016-03-23 00:00:00,85640,2016-03-24 15:46:20,2016,2016,March,March,1,15,18,5
2016-03-12 20:56:10,Mazda_6_Sport_Kombi_2.0_CD_Top,privat,Offer,2000,test,kombi,2004,manuell,136,6_reihe,150000,Mar,Diesel,mazda,Yes,2016-03-12 00:00:00,66646,2016-03-22 07:47:52,2016,2016,March,March,10,7,12,9
2016-03-20 13:37:59,TOP_Gepflegter_Mazda_6_Sportkombi_2_0_16V_cd_Exclusive_Tuev_NEU_+.,privat,Offer,2900,test,kombi,2004,manuell,121,6_reihe,150000,Sep,Diesel,mazda,No,2016-03-20 00:00:00,32825,2016-04-02 15:46:40,2016,2016,March,March,13,15,12,3
2016-03-08 20:56:40,Mazda_6_Sport_Kombi_Exclusive__Neues_Model__2.0__BOSE_Saund__1Hd,privat,Offer,0,control,kombi,2008,manuell,147,6_reihe,150000,Mar,Gasoline,mazda,Other,2016-03-08 00:00:00,64807,2016-03-20 06:15:44,2016,2016,March,March,12,6,8,9
2016-03-28 10:25:24,Mazda_6_Sport_Kombi_2.0_DPF_Xenon_Keyless,privat,Offer,6150,test,kombi,2008,manuell,143,6_reihe,150000,Nov,Diesel,mazda,No,2016-03-28 00:00:00,35745,2016-04-06 05:17:18,2016,2016,March,March,9,5,8,1
2016-03-08 22:49:46,Mazda_6_Sport_Kombi_2.0_CD_Comfort,privat,Offer,990,test,kombi,2003,manuell,121,6_reihe,150000,Apr,Diesel,mazda,No,2016-03-08 00:00:00,83533,2016-03-09 00:40:45,2016,2016,March,March,1,0,13,8
2016-04-03 22:49:51,Mazda_626_2.0_TD,privat,Offer,1300,control,kombi,1999,manuell,101,6_reihe,150000,Sep,Diesel,mazda,No,2016-04-03 00:00:00,32758,2016-04-06 00:45:13,2016,2016,April,April,3,0,17,3
2016-04-03 14:56:46,Verkauf_auto,privat,Offer,750,test,kombi,2000,manuell,110,andere,5000,Nov,Diesel,mazda,Yes,2016-04-03 00:00:00,26131,2016-04-03 15:41:06,2016,2016,April,April,0,15,16,1
2016-03-29 00:06:36,Mazda_6_Sport_Kombi_2.0_CD_DPF_Comfort,privat,Offer,2750,test,kombi,2006,manuell,121,6_reihe,150000,Jun,Diesel,mazda,No,2016-03-28 00:00:00,60431,2016-04-05 05:45:40,2016,2016,March,March,8,5,10,6
2016-03-25 16:39:37,Mazda_6_Sport_Kombi_2.0_Exclusive__Klimaautomatik_,privat,Offer,3900,control,kombi,2005,manuell,147,6_reihe,150000,Sep,Gasoline,mazda,No,2016-03-25 00:00:00,50735,2016-04-06 20:48:15,2016,2016,March,March,12,20,11,3
2016-03-26 15:36:16,Mazda_6_Sport_Kombi_2.0_CD_DPF_Comfort,privat,Offer,1200,test,kombi,2006,manuell,121,6_reihe,150000,Sep,Diesel,mazda,Yes,2016-03-26 00:00:00,45711,2016-03-26 16:42:15,2016,2016,March,March,0,16,10,3
2016-03-30 17:56:09,Mazda_6_2.0_Diesel,privat,Offer,1500,control,kombi,2004,manuell,136,6_reihe,150000,Apr,Diesel,mazda,Other,2016-03-30 00:00:00,79771,2016-04-03 08:17:34,2016,2016,March,March,4,8,12,8
2016-03-12 20:38:58,Mazda_6_Sport_Kombi_Exclusive,privat,Offer,9999,test,kombi,2009,manuell,140,6_reihe,150000,Jun,Diesel,mazda,No,2016-03-12 00:00:00,49828,2016-03-16 02:46:12,2016,2016,March,March,4,2,7,6
