dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-11 14:50:52,MB_Vito_Transporter_108_CDI,privat,Offer,1400,control,andere,2003,manuell,82,vito,150000,Aug,Diesel,mercedes_benz,No,2016-03-11 00:00:00,4668,2016-03-11 14:50:52,2016,2016,March,March,0,14,13,4
2016-03-17 11:50:01,Mercedes_Vito_zu_verkaufen_!!,privat,Offer,5950,control,andere,2005,manuell,0,vito,150000,Jun,Diesel,mercedes_benz,No,2016-03-17 00:00:00,22929,2016-04-06 12:15:30,2016,2016,March,March,20,12,11,6
2016-03-19 13:44:46,Mercedes_Benz_A160_CDI_1_6L_60_PS,privat,Offer,900,test,andere,1999,manuell,60,a_klasse,150000,Sep,Diesel,mercedes_benz,No,2016-03-19 00:00:00,32351,2016-03-19 13:44:46,2016,2016,March,March,0,13,17,3
2016-03-26 04:50:42,Mercedes_SLK_230_Kompressor__18_Zoll_AMG_Klima__TÜV_neu,privat,Offer,3950,test,andere,1999,automatik,193,slk,150000,Oct,Gasoline,mercedes_benz,Other,2016-03-24 00:00:00,33775,2016-03-28 13:52:46,2016,2016,March,March,4,13,17,2
2016-03-10 15:55:39,Mercedes_B_Klasse_Sport,privat,Offer,6500,test,andere,2008,manuell,109,b_klasse,150000,Nov,Diesel,mercedes_benz,No,2016-03-10 00:00:00,90411,2016-04-01 18:47:03,2016,2016,March,March,22,18,8,1
2016-04-04 16:54:14,Mercedes_Vaneo_7_sitzer_!_Diesel_TÜV_08/17Inspektion_Bremsen_Neu,privat,Offer,3499,test,andere,2003,manuell,90,andere,150000,Apr,Diesel,mercedes_benz,No,2016-04-04 00:00:00,41334,2016-04-06 18:46:46,2016,2016,April,April,2,18,13,8
2016-04-02 23:56:49,Mercedes_A_160CDi_Avantgarde,privat,Offer,5900,test,andere,2005,manuell,82,a_klasse,100000,Aug,Diesel,mercedes_benz,Yes,2016-04-02 00:00:00,28211,2016-04-07 08:16:03,2016,2016,April,April,5,8,11,4
2016-03-21 15:59:28,Mercedes_A150_W169_Baujahr_2005_zu_verkaufen,privat,Offer,2300,control,andere,2005,automatik,95,a_klasse,150000,Jun,Gasoline,mercedes_benz,Yes,2016-03-21 00:00:00,65203,2016-03-22 14:27:57,2016,2016,March,March,1,14,11,6
2016-03-15 17:51:52,Mercedes_Sprinter_koffer_308_CDI,privat,Offer,3890,control,andere,2002,manuell,109,sprinter,150000,Jun,Diesel,mercedes_benz,No,2016-03-15 00:00:00,31655,2016-03-22 21:48:05,2016,2016,March,March,7,21,14,6
2016-03-06 23:38:13,Mercedes_Benz_Pritsche_Sprinter_CDI_311,privat,Offer,8099,control,andere,2006,manuell,109,andere,125000,Nov,Diesel,mercedes_benz,No,2016-03-06 00:00:00,1662,2016-03-17 10:47:34,2016,2016,March,March,11,10,10,1
2016-04-02 11:57:08,schicke_Perle_Mercedes_Coupe_CLK_230_Kompressor_Preis_runter_;o_,privat,Offer,2500,test,andere,1997,manuell,193,clk,150000,Sep,Gasoline,mercedes_benz,No,2016-04-02 00:00:00,99444,2016-04-06 10:17:33,2016,2016,April,April,4,10,19,3
2016-03-19 15:51:23,Mb_sprinter_212_lkw_mit_8_sitzen_TÜV_3.2017,privat,Offer,2299,control,andere,1995,manuell,122,sprinter,150000,Apr,Diesel,mercedes_benz,No,2016-03-19 00:00:00,31226,2016-03-19 15:51:23,2016,2016,March,March,0,15,21,8
2016-03-08 17:53:46,Mercedes_Sprinter_208CDI,privat,Offer,3900,control,andere,2005,manuell,60,sprinter,150000,Oct,Diesel,mercedes_benz,Other,2016-03-08 00:00:00,59581,2016-03-11 13:44:46,2016,2016,March,March,3,13,11,2
2016-03-10 20:56:50,Mercedes_Vito_115CDI__W639/4___EZ_05/2009__110KW__223TKm__1.Hand,privat,Offer,5990,test,andere,2009,manuell,150,vito,150000,May,Diesel,mercedes_benz,No,2016-03-10 00:00:00,53113,2016-04-06 19:45:09,2016,2016,March,March,27,19,7,7
2016-04-03 17:54:39,Mercedes_C_180,privat,Offer,1700,test,andere,1999,manuell,0,andere,150000,Mar,Gasoline,mercedes_benz,No,2016-04-03 00:00:00,42697,2016-04-05 18:17:43,2016,2016,April,April,2,18,17,9
2016-04-05 10:57:21,MB_208_Keine_TÜV.,privat,Offer,1,control,andere,2001,manuell,0,Other,100000,Apr,Other,mercedes_benz,No,2016-04-05 00:00:00,88214,2016-04-05 11:44:09,2016,2016,April,April,0,11,15,8
2016-03-10 19:43:05,Verkaufe_ein_211_CDI_Sprinter,privat,Offer,3150,control,andere,2000,manuell,0,sprinter,150000,Jun,Diesel,mercedes_benz,No,2016-03-10 00:00:00,83026,2016-03-21 09:46:32,2016,2016,March,March,11,9,16,6
2016-03-25 10:52:54,Mercedes_300CE_Sportline_Voll_Automatik___Leder_TÜV_11/2017,privat,Offer,4500,test,andere,1991,automatik,0,e_klasse,150000,Oct,Gasoline,mercedes_benz,No,2016-03-25 00:00:00,25335,2016-04-05 22:16:01,2016,2016,March,March,11,22,25,2
2016-03-24 19:06:25,Mercedes_Benz_sprinter_211_cdi,privat,Offer,3690,test,andere,2001,manuell,0,sprinter,150000,Aug,Diesel,mercedes_benz,No,2016-03-24 00:00:00,56076,2016-03-31 13:45:04,2016,2016,March,March,7,13,15,4
2016-03-14 15:46:04,Mercedes_Benz_Sprinter_313_CDI_Kasten_lang_normaldach,privat,Offer,8200,control,andere,2007,manuell,130,sprinter,150000,Mar,Diesel,mercedes_benz,No,2016-03-14 00:00:00,58089,2016-04-05 12:16:52,2016,2016,March,March,22,12,9,9
2016-03-26 12:51:14,308_lkw_3_Seiten_kipper__140tkm_TÜV_11.2017,privat,Offer,3500,control,andere,1992,manuell,79,Other,150000,Jan,Diesel,mercedes_benz,No,2016-03-26 00:00:00,67269,2016-04-06 00:44:55,2016,2016,March,March,11,0,24,11
2016-03-12 20:57:23,Scheunen_Fund_mercedes,privat,Offer,0,test,andere,1980,automatik,0,andere,5000,Jan,Gasoline,mercedes_benz,Other,2016-03-12 00:00:00,31275,2016-04-05 15:45:30,2016,2016,March,March,24,15,36,11
2016-03-18 22:37:20,MB_vario_!!!_7_x_Stueck_zu_verkaufen_auch_in_teile,privat,Offer,1200,test,andere,1992,manuell,0,andere,150000,Jun,Diesel,mercedes_benz,Yes,2016-03-18 00:00:00,53175,2016-03-21 08:45:18,2016,2016,March,March,3,8,24,6
2016-03-26 12:49:32,Mercedes_Benz_Vito,privat,Offer,2500,control,andere,1997,manuell,0,vito,150000,Apr,Diesel,mercedes_benz,Other,2016-03-26 00:00:00,48599,2016-03-26 12:49:32,2016,2016,March,March,0,12,19,8
2016-04-04 23:57:06,MB_100_Pritsche_+_Plane___Erstbesitz__TÜV_09.2017__Erstlack,privat,Offer,3500,control,andere,1993,manuell,75,andere,150000,Jan,Diesel,mercedes_benz,No,2016-04-04 00:00:00,10119,2016-04-07 08:16:48,2016,2016,April,April,3,8,23,11
2016-03-11 11:39:51,Nur_dieses_wochenende_schnaepchenpreis,privat,Offer,8000,control,andere,1974,manuell,0,andere,150000,Jan,Other,mercedes_benz,Other,2016-03-11 00:00:00,26723,2016-04-07 01:44:55,2016,2016,March,March,27,1,42,11
2016-03-12 01:53:48,Mercedes_A_Klasse_A_140_L,privat,Offer,2690,test,andere,2002,manuell,82,a_klasse,150000,Aug,Gasoline,mercedes_benz,No,2016-03-11 00:00:00,26388,2016-04-05 19:45:13,2016,2016,March,March,25,19,14,4
2016-03-24 22:49:38,Sprinter_413_cdi_auf_3_5_Tonnen_Abgelast,privat,Offer,8000,control,andere,2002,automatik,130,sprinter,125000,Jul,Diesel,mercedes_benz,No,2016-03-24 00:00:00,4849,2016-04-05 21:48:07,2016,2016,March,March,12,21,14,5
2016-03-16 21:56:19,Mercedes_Sprinter_209_90PS___Mittellang_/_Hochdach,privat,Offer,5300,control,andere,2006,manuell,90,sprinter,150000,Aug,Diesel,mercedes_benz,No,2016-03-16 00:00:00,30161,2016-03-28 20:48:08,2016,2016,March,March,12,20,10,4
2016-03-20 07:36:18,Youngtimer_Mercedes_Benz_W124_Coupe_Sportline,privat,Offer,5500,control,andere,1995,manuell,136,e_klasse,150000,May,Lpg,mercedes_benz,No,2016-03-20 00:00:00,59329,2016-03-26 15:46:11,2016,2016,March,March,6,15,21,7
2016-03-29 14:55:43,Mercedes_B200_cdi_Unfallfrei,privat,Offer,7200,test,andere,2005,manuell,140,b_klasse,150000,Aug,Diesel,mercedes_benz,No,2016-03-29 00:00:00,59425,2016-04-06 01:15:38,2016,2016,March,March,8,1,11,4
2016-03-05 18:53:18,Mercedes_Sprinter_313_CDI_MAXI_Sofort_Startklar,privat,Offer,4600,test,andere,2004,manuell,129,sprinter,150000,Jul,Diesel,mercedes_benz,No,2016-03-05 00:00:00,31785,2016-03-06 04:17:31,2016,2016,March,March,1,4,12,5
2016-03-25 12:43:46,Mercedes_Benz_A_170_CDI,privat,Offer,0,test,andere,2001,automatik,70,a_klasse,150000,Mar,Diesel,mercedes_benz,Yes,2016-03-25 00:00:00,47475,2016-03-25 12:43:46,2016,2016,March,March,0,12,15,9
2016-04-04 13:52:03,Mercedes_Sprinter_316_aus__2012__Lang/Hoch_Motorschaden._1.Hand,privat,Offer,0,control,andere,2012,manuell,0,sprinter,150000,Jan,Diesel,mercedes_benz,Other,2016-04-04 00:00:00,86971,2016-04-06 15:16:35,2016,2016,April,April,2,15,4,11
2016-03-10 15:50:23,Vito_Kasten__gruene_Plakette!!!__LKW_Zulassung_nur_160__Steuern,privat,Offer,3650,test,andere,2003,manuell,0,vito,150000,Aug,Diesel,mercedes_benz,No,2016-03-10 00:00:00,15236,2016-03-14 13:15:50,2016,2016,March,March,4,13,13,4
2016-03-14 14:47:44,MB_A180_CDI,privat,Offer,4490,control,andere,2008,manuell,109,a_klasse,150000,Nov,Diesel,mercedes_benz,No,2016-03-14 00:00:00,49080,2016-03-17 12:46:33,2016,2016,March,March,3,12,8,1
2016-03-30 15:44:49,Ich_verkaufe_meinen_Mercedes_Sprinter_211_CDI,privat,Offer,3000,test,andere,2005,manuell,109,sprinter,150000,Jul,Other,mercedes_benz,Other,2016-03-30 00:00:00,81671,2016-04-07 06:16:07,2016,2016,March,March,8,6,11,5
2016-03-23 19:37:04,Mercedes_Benz_Sprinter_906__211CDI_Silber,privat,Offer,7700,control,andere,2007,manuell,0,sprinter,150000,Oct,Diesel,mercedes_benz,Other,2016-03-23 00:00:00,44137,2016-04-06 01:45:46,2016,2016,March,March,14,1,9,2
2016-04-04 21:53:33,Verkaufe_treue_Pritsche,privat,Offer,4500,test,andere,1992,manuell,90,andere,150000,Sep,Diesel,mercedes_benz,No,2016-04-04 00:00:00,30890,2016-04-07 00:45:10,2016,2016,April,April,3,0,24,3
2016-03-23 18:51:15,Mercedes_Benz_Vito_111_CDI_Kastenwagen_2_Schiebetuer_Lang+TÜV_NEU_,privat,Offer,4590,test,andere,2006,manuell,109,vito,150000,Feb,Diesel,mercedes_benz,No,2016-03-23 00:00:00,12161,2016-04-05 23:45:43,2016,2016,March,March,13,23,10,10
2016-04-01 23:55:34,Mercedes_Benz_Sprinter_413_CDI_Koffer,privat,Offer,6299,control,andere,2001,manuell,129,sprinter,150000,Jul,Diesel,mercedes_benz,No,2016-04-01 00:00:00,68169,2016-04-04 04:16:51,2016,2016,April,April,3,4,15,5
2016-03-16 12:48:52,vito_cdi_111_kastenwagen,privat,Offer,4000,test,andere,2007,manuell,116,vito,150000,May,Diesel,mercedes_benz,Yes,2016-03-16 00:00:00,18182,2016-03-17 10:44:42,2016,2016,March,March,1,10,9,7
2016-03-17 16:48:28,Mercedes_Benz_UX_100___Kipper.Allrad.Hydraulik,privat,Offer,3999,test,andere,1997,manuell,0,Other,70000,Jan,Other,mercedes_benz,No,2016-03-17 00:00:00,34346,2016-03-17 16:48:28,2016,2016,March,March,0,16,19,11
2016-03-19 11:54:53,Hot_Rod__Merzedes_Benz__w124__lowrider,privat,Offer,3900,test,andere,1950,automatik,180,andere,150000,May,Gasoline,mercedes_benz,Other,2016-03-19 00:00:00,25813,2016-04-06 14:46:34,2016,2016,March,March,18,14,66,7
2016-03-09 15:53:54,Mercedes_Benz_230ce,privat,Offer,2100,control,andere,1990,automatik,132,c_klasse,150000,Apr,Gasoline,mercedes_benz,No,2016-03-09 00:00:00,51647,2016-03-27 09:17:37,2016,2016,March,March,18,9,26,8
2016-04-04 17:50:26,Mercedes_Benz_D609_LKW_Sprinter_Transporter,privat,Offer,2400,test,andere,1995,manuell,85,andere,70000,Apr,Diesel,mercedes_benz,No,2016-04-04 00:00:00,42719,2016-04-04 17:50:26,2016,2016,April,April,0,17,21,8
2016-03-23 18:39:13,Mercesdes_Benz_A_150___wenig_Kilometer,privat,Offer,4990,test,andere,2005,automatik,95,a_klasse,80000,Jan,Gasoline,mercedes_benz,No,2016-03-23 00:00:00,24768,2016-04-05 23:15:53,2016,2016,March,March,13,23,11,11
2016-04-03 15:42:48,Mercedes_/8_230.6_guter_Zustand_m__H.Zul._TÜV_neu,privat,Offer,5490,test,andere,1971,manuell,120,andere,50000,May,Gasoline,mercedes_benz,Other,2016-04-03 00:00:00,33775,2016-04-07 05:36:38,2016,2016,April,April,4,5,45,7
2016-03-15 13:37:00,Mercedes_Benz_Sprinter_208_CDI___Euro_4_Plakette__,privat,Offer,3600,control,andere,2000,manuell,82,sprinter,150000,Nov,Diesel,mercedes_benz,Other,2016-03-15 00:00:00,21109,2016-04-06 03:46:30,2016,2016,March,March,22,3,16,1
2016-03-23 16:48:26,LKW_MERCEDES_BENZ_410_D_APSCHLEP,privat,Offer,4350,test,andere,1994,manuell,0,andere,150000,Jan,Other,mercedes_benz,Other,2016-03-23 00:00:00,48231,2016-04-05 20:44:31,2016,2016,March,March,13,20,22,11
2016-03-07 10:55:28,Nur_der_Planenaufbau_vom_Sprinter/Vario,privat,Offer,333,test,andere,2002,Unspecified,0,sprinter,150000,Mar,Diesel,mercedes_benz,Other,2016-03-07 00:00:00,4435,2016-04-07 07:46:18,2016,2016,March,March,31,7,14,9
2016-03-18 18:36:21,SPRINTER_PRITSCHE_DOPPELKABINE_DER_STADTREINIGUNG_WORMS__TÜV_,privat,Offer,2700,control,andere,1999,manuell,0,Other,100000,Nov,Diesel,mercedes_benz,Other,2016-03-18 00:00:00,67227,2016-03-18 19:41:39,2016,2016,March,March,0,19,17,1
2016-03-10 21:55:14,Mercedes_407_Linienbuss_47+1_Automatikgetriebe,privat,Offer,2350,control,andere,1991,automatik,272,andere,150000,Jul,Diesel,mercedes_benz,No,2016-03-10 00:00:00,26340,2016-04-06 22:15:56,2016,2016,March,March,27,22,25,5
