dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-01 22:55:47,Mercedes_Benz_A_160_Classic_Klima,privat,Offer,1850,test,bus,2004,manuell,102,a_klasse,150000,Jan,Gasoline,mercedes_benz,No,2016-04-01 00:00:00,49565,2016-04-05 22:46:05,2016,2016,April,April,4,22,12,11
2016-03-25 15:50:30,Mercedes_Camper_D407,privat,Offer,1500,test,bus,1984,manuell,70,andere,150000,Aug,Diesel,mercedes_benz,No,2016-03-25 00:00:00,22767,2016-03-27 03:17:02,2016,2016,March,March,2,3,32,4
2016-04-04 14:06:22,Mercedes_Benz_B180_Automatik,privat,Offer,13500,test,bus,2012,automatik,109,b_klasse,150000,Jul,Diesel,mercedes_benz,No,2016-04-04 00:00:00,35576,2016-04-05 12:09:29,2016,2016,April,April,1,12,4,5
2016-03-10 10:50:26,Mercedes_Benz_311_CDI_Sprinter_DOKA_6_SITZ._TÜV/AU_NEU,privat,Offer,5000,test,bus,2006,manuell,109,sprinter,150000,Apr,Diesel,mercedes_benz,No,2016-03-10 00:00:00,26382,2016-03-12 14:45:39,2016,2016,March,March,2,14,10,8
2016-03-18 06:36:46,Mercedes_Benz_Vito_115_CDI_Extralang_DPF_Aut.,privat,Offer,10500,control,bus,2006,automatik,150,vito,150000,Jun,Diesel,mercedes_benz,No,2016-03-18 00:00:00,33729,2016-04-05 21:47:51,2016,2016,March,March,18,21,10,6
2016-03-20 12:58:06,Mercedes_Benz_Sprinter_313_CDI_Doka_3_5t,privat,Offer,3350,test,bus,2000,manuell,130,sprinter,150000,Nov,Diesel,mercedes_benz,No,2016-03-20 00:00:00,96472,2016-03-21 15:21:23,2016,2016,March,March,1,15,16,1
2016-03-26 16:39:01,Viano___Vito___chekheft___diesel___gepflegt,privat,Offer,13500,control,bus,2007,automatik,204,viano,150000,Jun,Diesel,mercedes_benz,No,2016-03-26 00:00:00,3253,2016-03-29 18:47:25,2016,2016,March,March,3,18,9,6
2016-03-09 09:36:19,Mercedes_Benz_Vito_112_CDI_8_Sitze_Standheizung_Tempomat,privat,Offer,5000,test,bus,2000,manuell,122,vito,150000,Sep,Diesel,mercedes_benz,No,2016-03-09 00:00:00,9599,2016-04-07 09:16:27,2016,2016,March,March,29,9,16,3
2016-03-23 16:49:44,Mercedes_Benz_B_150,privat,Offer,7500,test,bus,2006,manuell,95,b_klasse,90000,Apr,Gasoline,mercedes_benz,No,2016-03-23 00:00:00,17348,2016-04-05 20:46:33,2016,2016,March,March,13,20,10,8
2016-03-22 01:53:10,Mercedes_Vito,privat,Offer,3800,test,bus,2000,manuell,122,vito,150000,May,Diesel,mercedes_benz,Yes,2016-03-21 00:00:00,45470,2016-04-03 14:19:53,2016,2016,March,March,13,14,16,7
