dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-07 18:39:04,Mercedes_Benz_SL_380,privat,Offer,6500,control,cabrio,1981,automatik,204,sl,150000,Mar,Gasoline,mercedes_benz,Yes,2016-03-07 00:00:00,13125,2016-03-09 07:46:08,2016,2016,March,March,2,7,35,9
2016-03-10 14:36:55,Mercedes_Benz_CLK_Cabrio_200_Kompressor_Elegance,privat,Offer,12790,test,cabrio,2001,automatik,163,clk,40000,Jun,Gasoline,mercedes_benz,No,2016-03-10 00:00:00,41539,2016-04-05 11:49:37,2016,2016,March,March,26,11,15,6
2016-04-03 13:53:56,Mercedes_Benz_SLK_200_Kompressor,privat,Offer,14500,control,cabrio,2007,manuell,163,slk,60000,Feb,Gasoline,mercedes_benz,No,2016-04-03 00:00:00,79650,2016-04-05 12:46:41,2016,2016,April,April,2,12,9,10
2016-03-12 18:49:56,Mercedes_Benz_SLK_230_Kompressor__Klima__Sitzheizung__AMG_Felg,privat,Offer,6900,test,cabrio,1999,manuell,193,slk,150000,Jun,Gasoline,mercedes_benz,No,2016-03-12 00:00:00,33758,2016-04-07 12:46:38,2016,2016,March,March,26,12,17,6
2016-03-30 11:49:40,Mercedes_Benz_SLK_280_7G_TRONIC,privat,Offer,14200,test,cabrio,2005,automatik,231,slk,100000,Jul,Gasoline,mercedes_benz,No,2016-03-30 00:00:00,69469,2016-04-07 02:44:58,2016,2016,March,March,8,2,11,5
2016-03-08 14:51:18,Verkaufe_Mercedes___Benz_SLK_200,privat,Offer,4000,test,cabrio,1999,manuell,136,slk,150000,Jan,Gasoline,mercedes_benz,Other,2016-03-08 00:00:00,52538,2016-03-14 19:15:27,2016,2016,March,March,6,19,17,11
2016-03-17 15:06:24,Mercedes_Benz_SLK_230_Kompressor_AMG_Packet_Leder_rot/schwarz,privat,Offer,6200,control,cabrio,1999,manuell,193,slk,125000,Jan,Gasoline,mercedes_benz,No,2016-03-17 00:00:00,55130,2016-03-22 17:46:15,2016,2016,March,March,5,17,17,11
2016-03-17 13:37:25,Mercedes_Benz_SLK_200_Kompressor,privat,Offer,3333,control,cabrio,2000,automatik,163,slk,150000,May,Gasoline,mercedes_benz,Yes,2016-03-17 00:00:00,92224,2016-03-20 15:45:55,2016,2016,March,March,3,15,16,7
2016-03-29 21:52:45,Mercedes_SLK_200_Cabrio,privat,Offer,15400,test,cabrio,2007,manuell,163,slk,70000,Mar,Gasoline,mercedes_benz,No,2016-03-29 00:00:00,93089,2016-04-06 08:45:23,2016,2016,March,March,8,8,9,9
2016-03-21 10:55:49,SL_280__6/96__top_Zustand__wenig_gelaufen__schwarz/blau_metallic,privat,Offer,14900,test,cabrio,1996,automatik,193,sl,125000,Jun,Gasoline,mercedes_benz,No,2016-03-21 00:00:00,22589,2016-04-06 05:45:11,2016,2016,March,March,16,5,20,6
2016-03-17 19:37:00,"Mercedes_Benz_SLK_230_Kompressor_""Der_Sommer_kommt""",privat,Offer,6800,control,cabrio,2001,automatik,198,slk,125000,Feb,Gasoline,mercedes_benz,No,2016-03-17 00:00:00,22525,2016-04-05 04:18:19,2016,2016,March,March,19,4,15,10
2016-03-28 14:57:39,Mercedes_Benz_CLK_200_Kompressor,privat,Offer,4550,test,cabrio,1999,manuell,192,clk,150000,Apr,Gasoline,mercedes_benz,No,2016-03-28 00:00:00,55437,2016-04-06 19:16:38,2016,2016,March,March,9,19,17,8
2016-03-11 18:52:25,Mercedes_Benz_CLK_Cabrio_280_Avantgarde_Navi_wie_NEU_25.950_KM,privat,Offer,19995,test,cabrio,2008,automatik,231,clk,30000,Aug,Gasoline,mercedes_benz,No,2016-03-11 00:00:00,45659,2016-03-12 09:16:53,2016,2016,March,March,1,9,8,4
2016-04-04 13:46:08,Mercedes_Benz_SLK_200_Kompressor,privat,Offer,7200,control,cabrio,2001,manuell,163,slk,150000,Mar,Gasoline,mercedes_benz,No,2016-04-04 00:00:00,85716,2016-04-06 14:46:50,2016,2016,April,April,2,14,15,9
2016-04-07 13:25:27,Top_SLK_200_Scheckheft__Service_Neu!,privat,Offer,4590,control,cabrio,1998,manuell,136,slk,150000,Mar,Gasoline,mercedes_benz,No,2016-04-07 00:00:00,65201,2016-04-07 13:25:27,2016,2016,April,April,0,13,18,9
2016-03-26 18:38:13,Mercedes_Benz_SLK_230_Kompressor,privat,Offer,6200,test,cabrio,1998,manuell,193,slk,90000,Aug,Gasoline,mercedes_benz,No,2016-03-26 00:00:00,61138,2016-04-06 07:44:35,2016,2016,March,March,11,7,18,4
2016-04-04 21:51:10,Mercedes_Benz_SL_380,privat,Offer,12000,test,cabrio,1982,automatik,163,sl,150000,Feb,Gasoline,mercedes_benz,No,2016-04-04 00:00:00,26129,2016-04-04 21:51:10,2016,2016,April,April,0,21,34,10
2016-03-05 17:48:16,Mercedes_Benz_SLK_230_Kompressor,privat,Offer,3900,test,cabrio,2001,manuell,197,slk,150000,Jul,Gasoline,mercedes_benz,No,2016-03-05 00:00:00,45879,2016-03-07 16:15:39,2016,2016,March,March,2,16,15,5
2016-03-12 10:40:36,Mercedes_Benz_SLK_350,privat,Offer,12400,control,cabrio,2004,manuell,272,slk,150000,Mar,Gasoline,mercedes_benz,No,2016-03-12 00:00:00,66839,2016-04-06 01:17:25,2016,2016,March,March,25,1,12,9
