dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-07 12:48:32,Mercedes_CLK_230_Automatik,privat,Offer,5990,test,coupe,2002,automatik,197,clk,150000,May,Gasoline,mercedes_benz,No,2016-03-07 00:00:00,9114,2016-03-16 05:48:30,2016,2016,March,March,9,5,14,7
2016-03-15 15:52:17,Mercedes_Benz_C_180_Kompressor_Sportcoupe,privat,Offer,3700,control,coupe,2003,manuell,143,c_klasse,150000,Nov,Gasoline,mercedes_benz,No,2016-03-15 00:00:00,38640,2016-04-06 08:16:04,2016,2016,March,March,22,8,13,1
2016-03-25 19:47:02,Mercedes_Benz_C_160_Kompressor_Sportcoupe__8_fach_Alubereift_,privat,Offer,7600,test,coupe,2006,manuell,122,c_klasse,125000,Jun,Gasoline,mercedes_benz,No,2016-03-25 00:00:00,34454,2016-04-07 02:15:25,2016,2016,March,March,13,2,10,6
2016-03-28 10:57:54,Mercedes_CLK_2_6_V6_Tausche_gerne_gegen_SUV_TÜV_fast_Neu,privat,Offer,6000,control,coupe,2002,manuell,170,clk,150000,Apr,Gasoline,mercedes_benz,No,2016-03-28 00:00:00,45326,2016-04-06 12:45:25,2016,2016,March,March,9,12,14,8
2016-03-19 20:59:02,Mercedes_Benz_200,privat,Offer,4800,control,coupe,2001,manuell,163,andere,100000,May,Gasoline,mercedes_benz,No,2016-03-19 00:00:00,78462,2016-04-07 09:17:07,2016,2016,March,March,19,9,15,7
2016-03-15 13:53:34,Mercedes_Benz_CLK_Coupe_270_CDI_VOLLAUSSTATTUNG,privat,Offer,7350,control,coupe,2003,automatik,170,clk,150000,Jan,Diesel,mercedes_benz,No,2016-03-15 00:00:00,82024,2016-04-06 03:46:23,2016,2016,March,March,22,3,13,11
2016-03-07 16:39:09,Mercedes_Benz_300_CE,privat,Offer,5400,control,coupe,1992,automatik,179,andere,150000,Mar,Gasoline,mercedes_benz,No,2016-03-07 00:00:00,29633,2016-03-18 01:17:57,2016,2016,March,March,11,1,24,9
2016-03-20 12:49:53,Clk_320_142000,privat,Offer,4200,test,coupe,1999,automatik,0,clk,150000,Aug,Gasoline,mercedes_benz,Other,2016-03-20 00:00:00,47475,2016-04-06 12:46:24,2016,2016,March,March,17,12,17,4
2016-03-29 04:03:43,Mercedes_A_Klasse_150,privat,Offer,3999,test,coupe,2004,manuell,0,a_klasse,125000,Nov,Gasoline,mercedes_benz,No,2016-03-29 00:00:00,13629,2016-04-03 17:46:02,2016,2016,March,March,5,17,12,1
2016-03-24 23:48:00,Zu_verkaufen__Mercedes_Benz_CLS_320_CDI,privat,Offer,14500,test,coupe,2006,automatik,219,cl,150000,Nov,Diesel,mercedes_benz,No,2016-03-24 00:00:00,51107,2016-04-06 00:16:47,2016,2016,March,March,13,0,10,1
2016-04-02 18:45:06,Mercedes_Benz_CE_230,privat,Offer,4900,control,coupe,1981,automatik,136,andere,80000,Apr,Other,mercedes_benz,Yes,2016-04-02 00:00:00,94081,2016-04-02 18:45:06,2016,2016,April,April,0,18,35,8
2016-03-28 22:50:55,CLK_AMG_DIESEL_PDF_AVANTGARDE_XENON_LEDER_TAUSCH_NAVI,privat,Offer,9100,control,coupe,2004,automatik,170,clk,5000,Nov,Diesel,mercedes_benz,Other,2016-03-28 00:00:00,47918,2016-04-07 07:17:02,2016,2016,March,March,10,7,12,1
2016-03-14 16:39:11,Mercedes_C_180_sportcoupe,privat,Offer,3900,test,coupe,2003,automatik,143,c_klasse,150000,Jun,Gasoline,mercedes_benz,Other,2016-03-14 00:00:00,25524,2016-03-29 11:45:16,2016,2016,March,March,15,11,13,6
2016-04-04 08:54:52,Mercedes_Benz_Clk__Leder__Klima_Sitzheizung__,privat,Offer,2200,control,coupe,2000,automatik,136,clk,150000,Nov,Gasoline,mercedes_benz,No,2016-04-04 00:00:00,6886,2016-04-06 09:45:49,2016,2016,April,April,2,9,16,1
2016-03-27 20:49:18,Tausche_Mercedes_Sportcoupe,privat,Offer,0,control,coupe,2002,manuell,129,c_klasse,150000,Jun,Gasoline,mercedes_benz,No,2016-03-27 00:00:00,33813,2016-03-27 20:49:18,2016,2016,March,March,0,20,14,6
2016-04-02 20:37:03,Mercedes_cl500_w215_lpg_gas__abc_neu_pp_exklusive,privat,Offer,5000,test,coupe,2000,automatik,306,cl,150000,Sep,Lpg,mercedes_benz,No,2016-04-02 00:00:00,55286,2016-04-06 20:47:12,2016,2016,April,April,4,20,16,3
2016-03-31 04:03:52,Tausche_Sportcoupe_Mercedes,privat,Offer,0,control,coupe,2002,manuell,129,c_klasse,150000,Feb,Gasoline,mercedes_benz,No,2016-03-31 00:00:00,33813,2016-04-04 01:15:57,2016,2016,March,March,4,1,14,10
2016-03-16 16:51:23,Mercedes_Benz_C_180_Sportcoupe,privat,Offer,2699,control,coupe,2002,manuell,129,c_klasse,150000,Jan,Gasoline,mercedes_benz,No,2016-03-16 00:00:00,96146,2016-03-17 15:16:07,2016,2016,March,March,1,15,14,11
2016-03-20 13:55:44,Mercedes_Benz_C250_CDI_7G_Tronic,privat,Offer,17999,test,coupe,2011,automatik,204,c_klasse,150000,Apr,Diesel,mercedes_benz,No,2016-03-20 00:00:00,30916,2016-03-30 03:17:15,2016,2016,March,March,10,3,5,8
2016-03-24 15:48:11,Mercedes_Benz_230_CE_Autom._SD__Orig._44_TKM,privat,Offer,8400,test,coupe,1989,automatik,132,andere,50000,Sep,Gasoline,mercedes_benz,No,2016-03-24 00:00:00,24976,2016-04-07 07:46:32,2016,2016,March,March,14,7,27,3
2016-03-28 15:50:43,Mercedes_Benz_E_350_CDI_DPF_Coupe_BlueEFFICIENCY_7G_TRONIC,privat,Offer,21990,control,coupe,2010,automatik,231,e_klasse,125000,Jan,Diesel,mercedes_benz,No,2016-03-28 00:00:00,82178,2016-04-02 20:18:46,2016,2016,March,March,5,20,6,11
2016-03-12 20:06:18,Mercedes_Benz_CLK_200,privat,Offer,1700,control,coupe,1999,automatik,0,clk,150000,Nov,Gasoline,mercedes_benz,Other,2016-03-12 00:00:00,60388,2016-03-15 05:45:09,2016,2016,March,March,3,5,17,1
2016-03-10 04:36:25,Clk_500_v8_lpg_Avantgarde_12x18zoll_Vollaust_eventuell_Tausch,privat,Offer,10500,control,coupe,2003,automatik,306,clk,150000,Aug,Lpg,mercedes_benz,Other,2016-03-10 00:00:00,44339,2016-04-06 04:44:52,2016,2016,March,March,27,4,13,4
