dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-01 12:45:41,Mercedes_A_Klasse____Top_Zustand___TÜV/AU___neu_!_Halbautomatik,privat,Offer,1700,test,kleinwagen,1999,automatik,102,a_klasse,125000,Nov,Gasoline,mercedes_benz,No,2016-04-01 00:00:00,12305,2016-04-01 12:45:41,2016,2016,April,April,0,12,17,1
2016-03-08 19:58:07,A_210_Evolution_AMG_Styling_absoluter_Festpreis,privat,Offer,1499,test,kleinwagen,2002,manuell,140,a_klasse,150000,Oct,Other,mercedes_benz,No,2016-03-08 00:00:00,16727,2016-03-10 17:44:36,2016,2016,March,March,2,17,14,2
2016-03-10 17:55:56,Mercedes_a_160,privat,Offer,2800,control,kleinwagen,2002,manuell,102,a_klasse,150000,Jan,Other,mercedes_benz,Other,2016-03-10 00:00:00,19089,2016-03-12 23:16:31,2016,2016,March,March,2,23,14,11
2016-03-10 19:59:04,Mercedes_Benz_A140_Avantgarde_Automatik,privat,Offer,1790,control,kleinwagen,2001,automatik,82,a_klasse,150000,Jun,Gasoline,mercedes_benz,Other,2016-03-10 00:00:00,13437,2016-03-11 08:46:38,2016,2016,March,March,1,8,15,6
2016-03-07 17:49:09,M.Benz_A170_cdi_L,privat,Offer,1499,test,kleinwagen,2003,manuell,0,a_klasse,150000,May,Diesel,mercedes_benz,No,2016-03-07 00:00:00,27753,2016-03-16 14:18:05,2016,2016,March,March,9,14,13,7
2016-03-19 23:56:55,Biete_eine_A_klasse_a_160_sehr_geflegt,privat,Offer,799,control,kleinwagen,1999,manuell,102,a_klasse,150000,Jul,Gasoline,mercedes_benz,No,2016-03-19 00:00:00,33034,2016-03-28 03:44:44,2016,2016,March,March,9,3,17,5
2016-03-31 10:06:27,A_Klasse_diesel,privat,Offer,550,control,kleinwagen,2001,automatik,95,a_klasse,150000,Jun,Diesel,mercedes_benz,Other,2016-03-31 00:00:00,63329,2016-04-05 19:15:44,2016,2016,March,March,5,19,15,6
2016-03-19 21:55:48,Mercedes_A_klasse_TÜV_02.2018.,privat,Offer,1500,control,kleinwagen,2001,manuell,102,a_klasse,150000,Mar,Other,mercedes_benz,No,2016-03-19 00:00:00,84547,2016-03-19 23:42:35,2016,2016,March,March,0,23,15,9
2016-03-26 20:38:47,Mercedes_Benz_a_Klasse_sehr_sauber_geflegt_TÜV_bis_09/16,privat,Offer,1699,control,kleinwagen,2000,manuell,0,a_klasse,150000,Mar,Gasoline,mercedes_benz,No,2016-03-26 00:00:00,81737,2016-04-06 10:45:17,2016,2016,March,March,11,10,16,9
2016-03-30 17:52:54,A_klasse_170_CDI_PARTIKELFILTER_KLIMA,privat,Offer,999,control,kleinwagen,1999,manuell,90,a_klasse,150000,Sep,Diesel,mercedes_benz,No,2016-03-30 00:00:00,32545,2016-04-01 12:18:27,2016,2016,March,March,2,12,17,3
2016-04-02 20:36:58,Mercedes_Benz_A140_TOP_ZUSTAND_mit_NEU_TÜV,privat,Offer,1300,test,kleinwagen,1998,manuell,0,a_klasse,150000,Sep,Gasoline,mercedes_benz,No,2016-04-02 00:00:00,72411,2016-04-04 18:46:16,2016,2016,April,April,2,18,18,3
2016-04-01 22:48:33,Mercedes_Benz_A140_Klima_gute_Austattung_TÜV_01/17,privat,Offer,1250,test,kleinwagen,1999,manuell,0,a_klasse,150000,Jan,Gasoline,mercedes_benz,No,2016-04-01 00:00:00,69126,2016-04-05 21:45:00,2016,2016,April,April,4,21,17,11
2016-04-04 20:57:08,MERCEDES_A170_DIESEL_KLIMA_TÜV2017,privat,Offer,0,control,kleinwagen,2002,manuell,90,a_klasse,5000,Jul,Other,mercedes_benz,Yes,2016-04-04 00:00:00,91301,2016-04-06 23:44:22,2016,2016,April,April,2,23,14,5
2016-03-31 17:50:56,Mercedes_A_140_zu_verkaufen,privat,Offer,2299,control,kleinwagen,2000,manuell,0,a_klasse,125000,Sep,Gasoline,mercedes_benz,Other,2016-03-31 00:00:00,94447,2016-04-06 11:44:25,2016,2016,March,March,6,11,16,3
2016-03-16 17:58:05,Mercedes_Benz_A_160_CDI_Classic,privat,Offer,500,control,kleinwagen,2000,manuell,60,a_klasse,150000,Jul,Diesel,mercedes_benz,No,2016-03-16 00:00:00,70825,2016-03-19 16:44:52,2016,2016,March,March,3,16,16,5
2016-03-14 15:45:24,Mercedes_A_170_CDI,privat,Offer,600,control,kleinwagen,1999,manuell,90,a_klasse,150000,Jul,Diesel,mercedes_benz,Yes,2016-03-14 00:00:00,26532,2016-03-23 15:48:59,2016,2016,March,March,9,15,17,5
2016-04-02 14:37:59,Mercedes_Benz_A_160,privat,Offer,1450,test,kleinwagen,2000,manuell,102,a_klasse,150000,Jan,Other,mercedes_benz,No,2016-04-02 00:00:00,87439,2016-04-02 14:37:59,2016,2016,April,April,0,14,16,11
2016-03-14 11:57:09,Gepflegte_Mercedes_A_klasse__TÜV_2017__wenig_Kilometer,privat,Offer,2999,test,kleinwagen,2002,manuell,82,a_klasse,90000,Jan,Gasoline,mercedes_benz,No,2016-03-14 00:00:00,12355,2016-04-05 11:50:26,2016,2016,March,March,22,11,14,11
2016-04-03 13:55:14,Mercedes_A_170_Benzin_LPG_Standheizung,privat,Offer,3000,control,kleinwagen,2006,manuell,0,a_klasse,150000,Jun,Other,mercedes_benz,Yes,2016-04-03 00:00:00,13589,2016-04-05 12:46:47,2016,2016,April,April,2,12,10,6
