dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-13 20:40:49,MERCEDES_200E__TÜV_04/2016,privat,Offer,500,test,limousine,1990,manuell,118,andere,150000,Oct,Gasoline,mercedes_benz,Yes,2016-03-13 00:00:00,35390,2016-03-13 20:40:49,2016,2016,March,March,0,20,26,2
2016-04-03 15:48:11,Mercedes_Benz_E_250_D_Original_Zustand_!!,privat,Offer,3300,test,limousine,1995,automatik,113,e_klasse,150000,Jan,Diesel,mercedes_benz,No,2016-04-03 00:00:00,53879,2016-04-05 15:16:05,2016,2016,April,April,2,15,21,11
2016-03-17 18:55:12,Mercedes_Benz_E_200_CDI_Automatik_Classic,privat,Offer,3500,control,limousine,2004,automatik,122,e_klasse,150000,Nov,Diesel,mercedes_benz,No,2016-03-17 00:00:00,67071,2016-03-30 15:46:10,2016,2016,March,March,13,15,12,1
2016-03-30 20:38:20,E_500_Avantgarde_AMG_Ausstattung,privat,Offer,7500,control,limousine,2002,automatik,306,e_klasse,150000,Apr,Other,mercedes_benz,Other,2016-03-30 00:00:00,33649,2016-04-03 11:44:49,2016,2016,March,March,4,11,14,8
2016-03-15 09:51:05,Mercedes_Benz_190,privat,Offer,1280,control,limousine,1992,automatik,109,andere,150000,Sep,Gasoline,mercedes_benz,Other,2016-03-15 00:00:00,86163,2016-04-05 19:18:21,2016,2016,March,March,21,19,24,3
2016-03-28 09:37:01,MERCEDES_BENZ_W124_250D_83KW_/_113PS___SCHLACHTFEST_!!!_Preis:_1,privat,Offer,1,control,limousine,1995,manuell,113,e_klasse,150000,Apr,Diesel,mercedes_benz,No,2016-03-28 00:00:00,40589,2016-04-06 12:15:54,2016,2016,March,March,9,12,21,8
2016-03-18 11:25:43,Mercedes_Benz_Kabrio__Limousine___mit_Gas_Umbau....,privat,Offer,7000,control,limousine,2003,manuell,120,slk,150000,May,Gasoline,mercedes_benz,No,2016-03-18 00:00:00,57578,2016-03-23 08:44:31,2016,2016,March,March,5,8,13,7
2016-04-01 15:53:08,Mercedes_Benz_C180_mit_TÜV,privat,Offer,350,test,limousine,1996,manuell,122,c_klasse,150000,Sep,Gasoline,mercedes_benz,Other,2016-04-01 00:00:00,49685,2016-04-05 10:48:41,2016,2016,April,April,4,10,20,3
2016-03-22 10:50:53,Mercedes_C_200_Kompressor,privat,Offer,2300,control,limousine,2000,manuell,160,c_klasse,150000,May,Gasoline,mercedes_benz,No,2016-03-22 00:00:00,40231,2016-03-22 11:41:11,2016,2016,March,March,0,11,16,7
2016-03-10 16:57:31,Mercedes_Benz_C_270_CDI_Elegance,privat,Offer,6890,control,limousine,2003,manuell,170,c_klasse,125000,Feb,Diesel,mercedes_benz,No,2016-03-10 00:00:00,55743,2016-04-01 20:47:57,2016,2016,March,March,22,20,13,10
2016-03-09 15:50:39,Mercedes__C220__CDI,privat,Offer,1450,control,limousine,1999,manuell,0,c_klasse,5000,Aug,Other,mercedes_benz,No,2016-03-09 00:00:00,39120,2016-03-10 01:17:06,2016,2016,March,March,1,1,17,4
2016-03-19 04:37:03,Mercedes_Benz_E_220,privat,Offer,7150,test,limousine,2002,manuell,150,e_klasse,150000,Mar,Diesel,mercedes_benz,No,2016-03-19 00:00:00,70619,2016-03-29 18:45:38,2016,2016,March,March,10,18,14,9
2016-03-12 18:44:27,Mercedes_Benz_A_160_BlueEFFICIENCY_Avantgarde,privat,Offer,8450,test,limousine,2010,manuell,95,a_klasse,70000,Nov,Gasoline,mercedes_benz,No,2016-03-12 00:00:00,21465,2016-04-07 11:44:22,2016,2016,March,March,26,11,6,1
2016-03-11 15:37:14,W124_320_E_TÜV_03/2017_5_Gang_Automatik_KLIMA,privat,Offer,2700,test,limousine,1992,automatik,220,e_klasse,150000,Nov,Gasoline,mercedes_benz,Other,2016-03-11 00:00:00,71706,2016-03-16 03:16:36,2016,2016,March,March,5,3,24,1
2016-03-08 19:48:23,Mercedes_Benz_A_140__2.Hand_Scheckheft_gepfl.,privat,Offer,3850,test,limousine,2004,automatik,82,a_klasse,125000,Jun,Gasoline,mercedes_benz,No,2016-03-08 00:00:00,59348,2016-03-21 03:46:22,2016,2016,March,March,13,3,12,6
2016-04-04 13:48:25,Mercedes_Benz_E220_|_220_E_|_TÜV_03/2017_|_w124_|_E_Klasse,privat,Offer,1490,control,limousine,1992,automatik,136,e_klasse,150000,Feb,Gasoline,mercedes_benz,No,2016-04-04 00:00:00,13349,2016-04-06 15:16:20,2016,2016,April,April,2,15,24,10
