dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-18 07:53:24,UHR_MINI_original_!!!,privat,Offer,45,test,Other,2015,Unspecified,0,andere,5000,Jan,Other,mini,Other,2016-03-18 00:00:00,37339,2016-04-05 22:15:28,2016,2016,March,March,18,22,1,11
2016-03-14 10:42:05,Mini_Cooper_Leder_Klimaautomatik_Sitzheizung,privat,Offer,3690,control,Other,2016,manuell,116,cooper,150000,Oct,Other,mini,No,2016-03-14 00:00:00,37688,2016-03-15 04:45:04,2016,2016,March,March,1,4,0,2
2016-03-17 20:37:56,Miniatur_Mini_Cooper,privat,Offer,0,control,Other,2015,Unspecified,0,cooper,5000,Jan,Other,mini,No,2016-03-17 00:00:00,9380,2016-03-29 01:47:36,2016,2016,March,March,12,1,1,11
2016-03-23 15:48:10,Verkaufe_Mini_Cooper_R50,privat,Offer,3500,test,Other,2016,manuell,116,cooper,150000,Nov,Gasoline,mini,No,2016-03-23 00:00:00,89275,2016-04-03 18:17:40,2016,2016,March,March,11,18,0,1
2016-03-23 18:52:30,MINI_ONE_1.6__tausch_moeglich_,privat,Offer,0,test,Other,2016,manuell,90,one,150000,Jan,Gasoline,mini,No,2016-03-23 00:00:00,86551,2016-04-05 23:45:45,2016,2016,March,March,13,23,0,11
2016-03-22 20:55:45,SUCHE_MINI_COOPER_ONE_BIS_2500,privat,Offer,0,control,Other,2000,Unspecified,0,Other,150000,Jan,Other,mini,Other,2016-03-22 00:00:00,45219,2016-04-06 16:16:49,2016,2016,March,March,15,16,16,11
2016-04-04 18:47:59,Mini_Cooper_S_Parklane_Leder_Panorama___TAUSCH_moeglich_,privat,Offer,0,test,Other,2005,manuell,170,cooper,150000,Nov,Other,mini,No,2016-04-04 00:00:00,34295,2016-04-06 21:15:44,2016,2016,April,April,2,21,11,1
2016-03-05 14:53:31,Mini_Cooper_R50_116PS__Dachfenster__Bastler,privat,Offer,1750,control,Other,2005,manuell,116,cooper,100000,Sep,Other,mini,Yes,2016-03-05 00:00:00,4924,2016-03-06 03:46:53,2016,2016,March,March,1,3,11,3
2016-03-25 16:57:18,MINI_im_Doppelpack_Rover__blau__und_Austin__rot_,privat,Offer,2000,control,Other,1990,Unspecified,41,andere,100000,Jan,Other,mini,Other,2016-03-25 00:00:00,36391,2016-03-28 17:16:45,2016,2016,March,March,3,17,26,11
2016-03-07 05:40:52,Mini_Cooper_One,privat,Offer,3100,test,Other,2005,manuell,116,Other,150000,Jan,Gasoline,mini,Other,2016-02-18 00:00:00,6449,2016-03-25 13:19:35,2016,2016,February,March,36,13,11,11
