dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-14 16:48:56,Mini_1.6i_VOLL_LEDER_NAVI_PANORAMA,privat,Offer,4200,test,andere,2009,automatik,128,cooper,50000,May,Gasoline,mini,No,2016-03-14 00:00:00,92271,2016-03-14 16:48:56,2016,2016,March,March,0,16,7,7
2016-04-04 14:48:37,Mini_Van_Mk2,privat,Offer,3200,test,andere,1980,manuell,100,andere,150000,Feb,Gasoline,mini,Yes,2016-04-04 00:00:00,14662,2016-04-06 16:17:19,2016,2016,April,April,2,16,36,10
2016-03-22 13:52:40,Mini_1.6i_VOLL_LEDER_NAVI_PANORAMA,privat,Offer,4200,control,andere,2009,automatik,128,cooper,50000,May,Gasoline,mini,No,2016-03-22 00:00:00,45525,2016-03-22 13:52:40,2016,2016,March,March,0,13,7,7
2016-03-14 13:54:02,Mini_1.6i_VOLL_LEDER_NAVI_PANORAMA,privat,Offer,4200,test,andere,2009,automatik,128,cooper,50000,May,Gasoline,mini,No,2016-03-14 00:00:00,47551,2016-03-14 13:54:02,2016,2016,March,March,0,13,7,7
2016-03-22 19:25:20,Mini_1.6i_VOLL_LEDER_NAVI_PANORAMA,privat,Offer,4200,control,andere,2009,automatik,128,cooper,50000,May,Gasoline,mini,No,2016-03-22 00:00:00,63263,2016-03-22 19:25:20,2016,2016,March,March,0,19,7,7
2016-03-12 10:52:37,Mini_Paceman_Cooper_S_All4_Automatik_Leasing_319,privat,Offer,319,control,andere,2013,automatik,184,cooper,40000,Mar,Gasoline,mini,No,2016-03-12 00:00:00,22459,2016-04-06 02:46:40,2016,2016,March,March,25,2,3,9
2016-03-22 17:47:03,Rennsemmel,privat,Offer,6500,control,andere,2009,manuell,55,andere,125000,May,Gasoline,mini,No,2016-03-22 00:00:00,23715,2016-04-06 08:46:43,2016,2016,March,March,15,8,7,7
2016-03-15 22:48:29,MINI_COOPER__PAKET_CHILI_/_XENON_/_KLIMA_/_TEILLEDER_/_ALU,privat,Offer,5100,control,andere,2003,manuell,116,cooper,60000,Feb,Gasoline,mini,No,2016-03-15 00:00:00,12099,2016-03-17 21:50:28,2016,2016,March,March,2,21,13,10
2016-03-18 02:57:20,Suche_mini_cooper_S,privat,Offer,3000,control,andere,2002,manuell,0,cooper,150000,Jan,Gasoline,mini,Yes,2016-03-18 00:00:00,89542,2016-04-05 21:16:15,2016,2016,March,March,18,21,14,11
2016-03-22 16:52:34,Mini_1.6i_VOLL_LEDER_NAVI_PANORAMA,privat,Offer,4200,test,andere,2009,automatik,128,cooper,50000,May,Gasoline,mini,No,2016-03-22 00:00:00,14052,2016-03-22 16:52:34,2016,2016,March,March,0,16,7,7
2016-03-22 10:52:15,Mini_1.6i_VOLL_LEDER_NAVI_PANORAMA,privat,Offer,4200,control,andere,2009,automatik,128,cooper,50000,May,Gasoline,mini,No,2016-03-22 00:00:00,51469,2016-03-22 10:52:15,2016,2016,March,March,0,10,7,7
2016-03-22 14:57:27,Mini_1.6i_VOLL_LEDER_NAVI_PANORAMA,privat,Offer,4200,control,andere,2009,automatik,128,cooper,50000,May,Gasoline,mini,No,2016-03-22 00:00:00,65606,2016-03-22 15:44:51,2016,2016,March,March,0,15,7,7
