dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-16 23:45:03,Mini_Cooper_S_Countryman_All4_mit_Vollausstattung,privat,Offer,15700,test,suv,2011,manuell,190,andere,90000,Jun,Gasoline,mini,No,2016-03-16 00:00:00,46562,2016-03-27 16:47:23,2016,2016,March,March,11,16,5,6
2016-03-08 19:43:39,MINI_Mini_One_D_Countryman_LEDER_PDC_ALU_CHILI_Paket,privat,Offer,14666,test,suv,2011,manuell,90,one,60000,May,Diesel,mini,No,2016-03-08 00:00:00,69190,2016-04-05 13:18:52,2016,2016,March,March,28,13,5,7
2016-03-12 16:47:16,Mini_Cooper_Countryman_SD__All4__Navi__Klimaautomatik,privat,Offer,22500,control,suv,2013,manuell,143,andere,50000,Aug,Diesel,mini,No,2016-03-12 00:00:00,66450,2016-04-07 06:45:28,2016,2016,March,March,26,6,3,4
2016-03-30 16:53:58,MINI_Cooper_SD_Countryman,privat,Offer,16490,test,suv,2012,manuell,143,cooper,70000,Apr,Diesel,mini,No,2016-03-30 00:00:00,92721,2016-04-07 08:16:42,2016,2016,March,March,8,8,4,8
2016-03-27 20:53:13,MINI_Cooper_D_Countryman_All4__Chili__Winterraeder,privat,Offer,16499,control,suv,2012,manuell,111,cooper,40000,May,Diesel,mini,No,2016-03-27 00:00:00,55270,2016-04-05 20:46:14,2016,2016,March,March,9,20,4,7
2016-04-01 12:56:27,MINI_Cooper_S_ALL4_Countryman,privat,Offer,22490,test,suv,2013,manuell,184,cooper,30000,May,Gasoline,mini,No,2016-04-01 00:00:00,45768,2016-04-07 09:44:26,2016,2016,April,April,6,9,3,7
2016-03-22 18:49:05,MINI_Cooper_D_Countryman_ALL4_Navi_Xenon_Leder,privat,Offer,14990,control,suv,2010,manuell,111,cooper,80000,Nov,Diesel,mini,No,2016-03-22 00:00:00,89584,2016-03-25 11:17:48,2016,2016,March,March,3,11,6,1
2016-03-16 21:57:18,Super_Mini_Cooper_S_Countryman_All4_mit_Vollausstattung,privat,Offer,15700,control,suv,2011,manuell,189,andere,90000,Jun,Gasoline,mini,No,2016-03-16 00:00:00,46562,2016-03-27 14:16:03,2016,2016,March,March,11,14,5,6
2016-04-02 00:47:18,MINI_Cooper_S_Countryman_Autom._Navi_Xenon_Glasdach,privat,Offer,21500,test,suv,2012,automatik,184,cooper,40000,Nov,Gasoline,mini,No,2016-04-01 00:00:00,22453,2016-04-06 04:16:30,2016,2016,April,April,5,4,4,1
2016-04-04 23:51:31,MINI_Mini_Cooper_S_Countryman_all4___salt_&_pepper,privat,Offer,17500,control,suv,2010,manuell,205,cooper,30000,Nov,Gasoline,mini,No,2016-04-04 00:00:00,10435,2016-04-07 08:15:31,2016,2016,April,April,3,8,6,1
2016-03-23 23:52:11,MINI_Cooper_S_Countryman,privat,Offer,21950,control,suv,2014,manuell,184,cooper,40000,Apr,Gasoline,mini,No,2016-03-23 00:00:00,78604,2016-04-06 19:15:44,2016,2016,March,March,14,19,2,8
2016-03-17 23:42:34,Mini_Cooper_D_Countryman_All4,privat,Offer,24500,control,suv,2014,manuell,112,cooper,30000,Oct,Diesel,mini,No,2016-03-17 00:00:00,93155,2016-04-05 12:44:42,2016,2016,March,March,19,12,2,2
2016-03-21 01:59:40,Mini_Countryman_SD,privat,Offer,18000,test,suv,2011,automatik,143,cooper,90000,Sep,Diesel,mini,No,2016-03-21 00:00:00,96103,2016-03-22 12:16:43,2016,2016,March,March,1,12,5,3
2016-03-14 21:45:08,MINI_Cooper_Countryman_Sport__Sitzheiz__Schw_Felgen,privat,Offer,13550,test,suv,2011,manuell,122,cooper,60000,Jan,Gasoline,mini,No,2016-03-14 00:00:00,50767,2016-03-30 01:16:07,2016,2016,March,March,16,1,5,11
2016-03-16 21:58:18,Super_Mini_Cooper_S_Countryman_All4_mit_Vollausstattung,privat,Offer,15700,control,suv,2011,manuell,189,andere,90000,Jun,Gasoline,mini,No,2016-03-16 00:00:00,46562,2016-03-27 14:16:03,2016,2016,March,March,11,14,5,6
2016-04-05 10:49:46,MINI_Cooper_SD_Countryman_All4__Navi__Panoramadach,privat,Offer,17100,control,suv,2012,manuell,143,cooper,60000,Jun,Diesel,mini,No,2016-04-05 00:00:00,45128,2016-04-07 14:56:08,2016,2016,April,April,2,14,4,6
2016-03-16 14:48:16,MINI_Cooper_SD_Countryman,privat,Offer,16990,test,suv,2011,automatik,143,cooper,70000,Nov,Diesel,mini,No,2016-03-16 00:00:00,85221,2016-03-31 20:17:49,2016,2016,March,March,15,20,5,1
2016-04-05 09:57:30,"MINI_Cooper_COUNTRYMAN_S_ALL4_Vollausstattung_Navi_Panorama_19""",privat,Offer,18690,control,suv,2012,manuell,184,cooper,60000,Aug,Gasoline,mini,No,2016-04-05 00:00:00,12163,2016-04-07 12:45:29,2016,2016,April,April,2,12,4,4
2016-03-21 19:25:22,Mini_Cooper_SD_All_4,privat,Offer,22800,test,suv,2012,manuell,143,cooper,40000,Aug,Diesel,mini,No,2016-03-21 00:00:00,65344,2016-04-05 21:18:45,2016,2016,March,March,15,21,4,4
2016-03-25 19:47:44,MINI_Cooper_S_Countryman,privat,Offer,16999,test,suv,2011,manuell,184,cooper,60000,Nov,Gasoline,mini,No,2016-03-25 00:00:00,44287,2016-04-07 02:16:06,2016,2016,March,March,13,2,5,1
2016-03-26 15:54:27,Tausche_oder_verkaufe_Mini_Countryman_Cooper_S_All_4_!!,privat,Offer,17700,test,suv,2011,manuell,184,cooper,90000,Sep,Gasoline,mini,No,2016-03-26 00:00:00,54290,2016-04-06 04:15:50,2016,2016,March,March,11,4,5,3
2016-04-01 21:50:57,MINI_Cooper_Countryman_ALL4__AUT___Pepper__AHK,privat,Offer,22900,test,suv,2015,automatik,122,cooper,10000,Jul,Gasoline,mini,No,2016-04-01 00:00:00,84130,2016-04-05 19:46:23,2016,2016,April,April,4,19,1,5
2016-03-15 10:48:26,MINI_Countryman_Cooper_S__Vollausstattung___19'_CW_Raedern,privat,Offer,21500,control,suv,2012,manuell,184,andere,20000,May,Gasoline,mini,No,2016-03-15 00:00:00,82211,2016-03-25 00:15:33,2016,2016,March,March,10,0,4,7
2016-03-12 17:49:20,MINI_Cooper_SD_Countryman_All_4_Navi_Xenon_Leder,privat,Offer,18990,test,suv,2011,manuell,143,cooper,60000,Jun,Diesel,mini,No,2016-03-12 00:00:00,48163,2016-04-07 09:45:56,2016,2016,March,March,26,9,5,6
2016-03-19 18:58:23,Mini_Countryman_Cooper_S_ALL4,privat,Offer,17700,test,suv,2011,manuell,184,andere,90000,Sep,Gasoline,mini,No,2016-03-19 00:00:00,54290,2016-03-28 23:44:37,2016,2016,March,March,9,23,5,3
